sequence,v115@JhA8IeA8DeB8BeC8AeE8JeZEJvhFukBzgBfnB0iB6o?BFrB,v115@JhA8IeA8DeB8BeC8AeE8Jei/IvhFzgBfnBxiBcpBGo?BFrB,v115@JhA8IeA8DeB8BeC8AeE8JeZEJvhFukBFhB0iB6oBfr?BzrB
IJTSLOZ,O,X,X
IJTSZLO,O,X,X
IJTSZOL,O,X,X
IJTSOLZ,O,X,X
IJTSOZL,O,X,X
IJTZLSO,X,X,X
IJTZLOS,X,X,X
IJTZSLO,X,X,X
IJTZSOL,X,X,X
IJTZOLS,X,X,X
IJTZOSL,X,X,X
IJTOLSZ,O,X,X
IJTOLZS,X,X,X
IJTOSLZ,O,X,X
IJTOSZL,O,X,X
IJTOZLS,X,X,X
IJTOZSL,X,X,X
IJLTSZO,O,X,X
IJLTSOZ,O,X,X
IJLTZSO,X,X,X
IJLTZOS,X,X,X
IJLTOSZ,O,X,X
IJLTOZS,X,X,X
IJLSTZO,O,X,O
IJLSTOZ,O,X,X
IJLSZTO,O,X,O
IJLSZOT,X,X,X
IJLSOTZ,X,X,O
IJLSOZT,X,X,O
IJLZTSO,X,X,X
IJLZTOS,X,X,X
IJLZSTO,O,X,O
IJLZSOT,X,X,X
IJLZOTS,X,X,X
IJLZOST,X,X,O
IJLOTSZ,X,X,X
IJLOTZS,X,X,X
IJLOSTZ,X,X,O
IJLOSZT,X,X,O
IJLOZTS,X,X,X
IJLOZST,X,X,O
IJSTLZO,O,X,O
IJSTLOZ,O,X,X
IJSTZLO,O,X,O
IJSTZOL,O,X,X
IJSTOLZ,O,X,X
IJSTOZL,O,X,X
IJSLTZO,O,X,O
IJSLTOZ,O,X,X
IJSLZTO,O,X,O
IJSLZOT,X,X,X
IJSLOTZ,X,X,O
IJSLOZT,X,X,O
IJSZTLO,O,X,O
IJSZTOL,O,X,X
IJSZLTO,O,X,O
IJSZLOT,X,X,X
IJSZOTL,X,X,X
IJSZOLT,X,X,X
IJSOTLZ,X,X,O
IJSOTZL,X,X,O
IJSOLTZ,X,X,O
IJSOLZT,X,X,O
IJSOZTL,X,X,O
IJSOZLT,X,X,O
IJZTLSO,X,X,X
IJZTLOS,X,X,X
IJZTSLO,X,X,X
IJZTSOL,X,X,X
IJZTOLS,X,X,X
IJZTOSL,X,X,X
IJZLTSO,X,X,X
IJZLTOS,X,X,X
IJZLSTO,O,X,O
IJZLSOT,X,X,X
IJZLOTS,X,X,X
IJZLOST,X,X,O
IJZSTLO,O,X,O
IJZSTOL,O,X,X
IJZSLTO,O,X,O
IJZSLOT,X,X,X
IJZSOTL,X,X,X
IJZSOLT,X,X,X
IJZOTLS,X,X,X
IJZOTSL,X,X,X
IJZOLTS,X,X,X
IJZOLST,X,X,O
IJZOSTL,X,X,O
IJZOSLT,X,X,O
IJOTLSZ,X,X,X
IJOTLZS,X,X,X
IJOTSLZ,X,X,X
IJOTSZL,X,X,X
IJOTZLS,X,X,X
IJOTZSL,X,X,X
IJOLTSZ,X,X,X
IJOLTZS,X,X,X
IJOLSTZ,X,X,O
IJOLSZT,X,X,O
IJOLZTS,X,X,X
IJOLZST,X,X,O
IJOSTLZ,X,X,O
IJOSTZL,X,X,O
IJOSLTZ,X,X,O
IJOSLZT,X,X,O
IJOSZTL,X,X,O
IJOSZLT,X,X,O
IJOZTLS,X,X,X
IJOZTSL,X,X,X
IJOZLTS,X,X,X
IJOZLST,X,X,O
IJOZSTL,X,X,O
IJOZSLT,X,X,O
ISTLJZO,O,X,O
ISTLJOZ,O,X,X
ISTLZJO,O,X,O
ISTLZOJ,O,X,X
ISTLOJZ,O,X,X
ISTLOZJ,O,X,X
ISTJLZO,O,X,O
ISTJLOZ,O,X,X
ISTJZLO,O,X,O
ISTJZOL,O,X,X
ISTJOLZ,O,X,X
ISTJOZL,O,X,X
ISTZLJO,O,X,O
ISTZLOJ,O,X,X
ISTZJLO,O,X,O
ISTZJOL,O,X,X
ISTZOLJ,O,X,X
ISTZOJL,O,X,X
ISTOLJZ,O,X,X
ISTOLZJ,O,X,X
ISTOJLZ,O,X,X
ISTOJZL,O,X,X
ISTOZLJ,O,X,X
ISTOZJL,O,X,X
ISLTJZO,O,X,O
ISLTJOZ,O,X,X
ISLTZJO,O,X,O
ISLTZOJ,O,X,X
ISLTOJZ,O,X,X
ISLTOZJ,O,X,X
ISLJTZO,O,X,O
ISLJTOZ,O,X,X
ISLJZTO,O,X,O
ISLJZOT,X,X,X
ISLJOTZ,X,X,O
ISLJOZT,X,X,O
ISLZTJO,O,X,O
ISLZTOJ,O,X,X
ISLZJTO,O,X,O
ISLZJOT,X,X,X
ISLZOTJ,X,X,X
ISLZOJT,X,X,X
ISLOTJZ,X,X,O
ISLOTZJ,X,X,O
ISLOJTZ,X,X,O
ISLOJZT,X,X,O
ISLOZTJ,X,X,O
ISLOZJT,X,X,O
ISJTLZO,O,X,O
ISJTLOZ,O,X,X
ISJTZLO,O,X,O
ISJTZOL,O,X,X
ISJTOLZ,O,X,X
ISJTOZL,O,X,X
ISJLTZO,O,X,O
ISJLTOZ,O,X,X
ISJLZTO,O,X,O
ISJLZOT,X,X,X
ISJLOTZ,X,X,O
ISJLOZT,X,X,O
ISJZTLO,O,X,O
ISJZTOL,O,X,X
ISJZLTO,O,X,O
ISJZLOT,X,X,X
ISJZOTL,X,X,X
ISJZOLT,X,X,X
ISJOTLZ,X,X,O
ISJOTZL,X,X,O
ISJOLTZ,X,X,O
ISJOLZT,X,X,O
ISJOZTL,X,X,O
ISJOZLT,X,X,O
ISZTLJO,O,X,O
ISZTLOJ,O,X,X
ISZTJLO,O,X,O
ISZTJOL,O,X,X
ISZTOLJ,O,X,X
ISZTOJL,O,X,X
ISZLTJO,O,X,O
ISZLTOJ,O,X,X
ISZLJTO,O,X,O
ISZLJOT,X,X,X
ISZLOTJ,X,X,X
ISZLOJT,X,X,X
ISZJTLO,O,X,O
ISZJTOL,O,X,X
ISZJLTO,O,X,O
ISZJLOT,X,X,X
ISZJOTL,X,X,X
ISZJOLT,X,X,X
ISZOTLJ,X,X,X
ISZOTJL,X,X,X
ISZOLTJ,X,X,X
ISZOLJT,X,X,X
ISZOJTL,X,X,X
ISZOJLT,X,X,X
ISOTLJZ,X,X,O
ISOTLZJ,X,X,O
ISOTJLZ,X,X,O
ISOTJZL,X,X,O
ISOTZLJ,X,X,O
ISOTZJL,X,X,O
ISOLTJZ,X,X,O
ISOLTZJ,X,X,O
ISOLJTZ,X,X,O
ISOLJZT,X,X,O
ISOLZTJ,X,X,O
ISOLZJT,X,X,O
ISOJTLZ,X,X,O
ISOJTZL,X,X,O
ISOJLTZ,X,X,O
ISOJLZT,X,X,O
ISOJZTL,X,X,O
ISOJZLT,X,X,O
ISOZTLJ,X,X,O
ISOZTJL,X,X,O
ISOZLTJ,X,X,O
ISOZLJT,X,X,O
ISOZJTL,X,X,O
ISOZJLT,X,X,O
IZTLJSO,X,X,X
IZTLJOS,X,X,X
IZTLSJO,X,X,X
IZTLSOJ,X,X,X
IZTLOJS,X,X,X
IZTLOSJ,X,X,X
IZTJLSO,X,X,X
IZTJLOS,X,X,X
IZTJSLO,X,X,X
IZTJSOL,X,X,X
IZTJOLS,X,X,X
IZTJOSL,X,X,X
IZTSLJO,X,X,X
IZTSLOJ,X,X,X
IZTSJLO,X,X,X
IZTSJOL,X,X,X
IZTSOLJ,X,X,X
IZTSOJL,X,X,X
IZTOLJS,X,X,X
IZTOLSJ,X,X,X
IZTOJLS,X,X,X
IZTOJSL,X,X,X
IZTOSLJ,X,X,X
IZTOSJL,X,X,X
IZLTJSO,X,X,X
IZLTJOS,X,X,X
IZLTSJO,X,X,X
IZLTSOJ,X,X,X
IZLTOJS,X,X,X
IZLTOSJ,X,X,X
IZLJTSO,X,X,X
IZLJTOS,X,X,X
IZLJSTO,O,X,O
IZLJSOT,X,X,X
IZLJOTS,X,X,X
IZLJOST,X,X,O
IZLSTJO,O,X,O
IZLSTOJ,O,X,X
IZLSJTO,O,X,O
IZLSJOT,X,X,X
IZLSOTJ,X,X,X
IZLSOJT,X,X,X
IZLOTJS,X,X,X
IZLOTSJ,X,X,X
IZLOJTS,X,X,X
IZLOJST,X,X,O
IZLOSTJ,X,X,O
IZLOSJT,X,X,O
IZJTLSO,X,X,X
IZJTLOS,X,X,X
IZJTSLO,X,X,X
IZJTSOL,X,X,X
IZJTOLS,X,X,X
IZJTOSL,X,X,X
IZJLTSO,X,X,X
IZJLTOS,X,X,X
IZJLSTO,O,X,O
IZJLSOT,X,X,X
IZJLOTS,X,X,X
IZJLOST,X,X,O
IZJSTLO,O,X,O
IZJSTOL,O,X,X
IZJSLTO,O,X,O
IZJSLOT,X,X,X
IZJSOTL,X,X,X
IZJSOLT,X,X,X
IZJOTLS,X,X,X
IZJOTSL,X,X,X
IZJOLTS,X,X,X
IZJOLST,X,X,O
IZJOSTL,X,X,O
IZJOSLT,X,X,O
IZSTLJO,O,X,O
IZSTLOJ,O,X,X
IZSTJLO,O,X,O
IZSTJOL,O,X,X
IZSTOLJ,O,X,X
IZSTOJL,O,X,X
IZSLTJO,O,X,O
IZSLTOJ,O,X,X
IZSLJTO,O,X,O
IZSLJOT,X,X,X
IZSLOTJ,X,X,X
IZSLOJT,X,X,X
IZSJTLO,O,X,O
IZSJTOL,O,X,X
IZSJLTO,O,X,O
IZSJLOT,X,X,X
IZSJOTL,X,X,X
IZSJOLT,X,X,X
IZSOTLJ,X,X,X
IZSOTJL,X,X,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,X
IZSOJTL,X,X,X
IZSOJLT,X,X,X
IZOTLJS,X,X,X
IZOTLSJ,X,X,X
IZOTJLS,X,X,X
IZOTJSL,X,X,X
IZOTSLJ,X,X,X
IZOTSJL,X,X,X
IZOLTJS,X,X,X
IZOLTSJ,X,X,X
IZOLJTS,X,X,X
IZOLJST,X,X,O
IZOLSTJ,X,X,O
IZOLSJT,X,X,O
IZOJTLS,X,X,X
IZOJTSL,X,X,X
IZOJLTS,X,X,X
IZOJLST,X,X,O
IZOJSTL,X,X,O
IZOJSLT,X,X,O
IZOSTLJ,X,X,O
IZOSTJL,X,X,O
IZOSLTJ,X,X,O
IZOSLJT,X,X,O
IZOSJTL,X,X,O
IZOSJLT,X,X,O
IOTLJSZ,X,X,X
IOTLJZS,X,X,X
IOTLSJZ,X,X,X
IOTLSZJ,X,X,X
IOTLZJS,X,X,X
IOTLZSJ,X,X,X
IOTJLSZ,X,X,X
IOTJLZS,X,X,X
IOTJSLZ,X,X,X
IOTJSZL,X,X,X
IOTJZLS,X,X,X
IOTJZSL,X,X,X
IOTSLJZ,X,X,X
IOTSLZJ,X,X,X
IOTSJLZ,X,X,X
IOTSJZL,X,X,X
IOTSZLJ,X,X,X
IOTSZJL,X,X,X
IOTZLJS,X,X,X
IOTZLSJ,X,X,X
IOTZJLS,X,X,X
IOTZJSL,X,X,X
IOTZSLJ,X,X,X
IOTZSJL,X,X,X
IOLTJSZ,X,X,X
IOLTJZS,X,X,X
IOLTSJZ,X,X,X
IOLTSZJ,X,X,X
IOLTZJS,X,X,X
IOLTZSJ,X,X,X
IOLJTSZ,X,X,X
IOLJTZS,X,X,X
IOLJSTZ,X,X,O
IOLJSZT,X,X,O
IOLJZTS,X,X,X
IOLJZST,X,X,O
IOLSTJZ,X,X,O
IOLSTZJ,X,X,O
IOLSJTZ,X,X,O
IOLSJZT,X,X,O
IOLSZTJ,X,X,O
IOLSZJT,X,X,O
IOLZTJS,X,X,X
IOLZTSJ,X,X,X
IOLZJTS,X,X,X
IOLZJST,X,X,O
IOLZSTJ,X,X,O
IOLZSJT,X,X,O
IOJTLSZ,X,X,X
IOJTLZS,X,X,X
IOJTSLZ,X,X,X
IOJTSZL,X,X,X
IOJTZLS,X,X,X
IOJTZSL,X,X,X
IOJLTSZ,X,X,X
IOJLTZS,X,X,X
IOJLSTZ,X,X,O
IOJLSZT,X,X,O
IOJLZTS,X,X,X
IOJLZST,X,X,O
IOJSTLZ,X,X,O
IOJSTZL,X,X,O
IOJSLTZ,X,X,O
IOJSLZT,X,X,O
IOJSZTL,X,X,O
IOJSZLT,X,X,O
IOJZTLS,X,X,X
IOJZTSL,X,X,X
IOJZLTS,X,X,X
IOJZLST,X,X,O
IOJZSTL,X,X,O
IOJZSLT,X,X,O
IOSTLJZ,X,X,O
IOSTLZJ,X,X,O
IOSTJLZ,X,X,O
IOSTJZL,X,X,O
IOSTZLJ,X,X,O
IOSTZJL,X,X,O
IOSLTJZ,X,X,O
IOSLTZJ,X,X,O
IOSLJTZ,X,X,O
IOSLJZT,X,X,O
IOSLZTJ,X,X,O
IOSLZJT,X,X,O
IOSJTLZ,X,X,O
IOSJTZL,X,X,O
IOSJLTZ,X,X,O
IOSJLZT,X,X,O
IOSJZTL,X,X,O
IOSJZLT,X,X,O
IOSZTLJ,X,X,O
IOSZTJL,X,X,O
IOSZLTJ,X,X,O
IOSZLJT,X,X,O
IOSZJTL,X,X,O
IOSZJLT,X,X,O
IOZTLJS,X,X,X
IOZTLSJ,X,X,X
IOZTJLS,X,X,X
IOZTJSL,X,X,X
IOZTSLJ,X,X,X
IOZTSJL,X,X,X
IOZLTJS,X,X,X
IOZLTSJ,X,X,X
IOZLJTS,X,X,X
IOZLJST,X,X,O
IOZLSTJ,X,X,O
IOZLSJT,X,X,O
IOZJTLS,X,X,X
IOZJTSL,X,X,X
IOZJLTS,X,X,X
IOZJLST,X,X,O
IOZJSTL,X,X,O
IOZJSLT,X,X,O
IOZSTLJ,X,X,O
IOZSTJL,X,X,O
IOZSLTJ,X,X,O
IOZSLJT,X,X,O
IOZSJTL,X,X,O
IOZSJLT,X,X,O
LTIJSZO,O,X,X
LTIJSOZ,O,X,X
LTIJZSO,X,X,X
LTIJZOS,X,X,X
LTIJOSZ,O,X,X
LTIJOZS,X,X,X
LTISJZO,O,X,X
LTISJOZ,O,X,X
LTISZJO,O,X,X
LTISZOJ,O,X,X
LTISOJZ,O,X,X
LTISOZJ,O,X,X
LTIZJSO,X,X,X
LTIZJOS,X,X,X
LTIZSJO,X,X,X
LTIZSOJ,X,X,X
LTIZOJS,X,X,X
LTIZOSJ,X,X,X
LTIOJSZ,O,X,X
LTIOJZS,X,X,X
LTIOSJZ,O,X,X
LTIOSZJ,O,X,X
LTIOZJS,X,X,X
LTIOZSJ,X,X,X
LTJISZO,O,X,X
LTJISOZ,O,X,X
LTJIZSO,X,X,X
LTJIZOS,X,X,X
LTJIOSZ,O,X,X
LTJIOZS,X,X,X
LTJSIZO,O,X,X
LTJSIOZ,O,X,X
LTJSZIO,O,X,X
LTJSZOI,O,X,X
LTJSOIZ,O,X,X
LTJSOZI,O,X,X
LTJZISO,X,X,X
LTJZIOS,X,X,X
LTJZSIO,X,X,X
LTJZSOI,X,X,X
LTJZOIS,X,X,X
LTJZOSI,X,X,X
LTJOISZ,O,X,X
LTJOIZS,X,X,X
LTJOSIZ,O,X,X
LTJOSZI,O,X,X
LTJOZIS,X,X,X
LTJOZSI,X,X,X
LTSIJZO,O,X,X
LTSIJOZ,O,X,X
LTSIZJO,O,X,X
LTSIZOJ,O,X,X
LTSIOJZ,O,X,X
LTSIOZJ,O,X,X
LTSJIZO,O,X,X
LTSJIOZ,O,X,X
LTSJZIO,O,X,X
LTSJZOI,O,X,X
LTSJOIZ,O,X,X
LTSJOZI,O,X,X
LTSZIJO,O,X,X
LTSZIOJ,O,X,X
LTSZJIO,O,X,X
LTSZJOI,O,X,X
LTSZOIJ,O,X,X
LTSZOJI,O,X,X
LTSOIJZ,O,X,X
LTSOIZJ,O,X,X
LTSOJIZ,O,X,X
LTSOJZI,O,X,X
LTSOZIJ,O,X,X
LTSOZJI,O,X,X
LTZIJSO,X,X,X
LTZIJOS,X,X,X
LTZISJO,X,X,X
LTZISOJ,X,X,X
LTZIOJS,X,X,X
LTZIOSJ,X,X,X
LTZJISO,X,X,X
LTZJIOS,X,X,X
LTZJSIO,X,X,X
LTZJSOI,X,X,X
LTZJOIS,X,X,X
LTZJOSI,X,X,X
LTZSIJO,X,X,X
LTZSIOJ,X,X,X
LTZSJIO,X,X,X
LTZSJOI,X,X,X
LTZSOIJ,X,X,X
LTZSOJI,X,X,X
LTZOIJS,X,X,X
LTZOISJ,X,X,X
LTZOJIS,X,X,X
LTZOJSI,X,X,X
LTZOSIJ,X,X,X
LTZOSJI,X,X,X
LTOIJSZ,O,X,X
LTOIJZS,X,X,X
LTOISJZ,O,X,X
LTOISZJ,O,X,X
LTOIZJS,X,X,X
LTOIZSJ,X,X,X
LTOJISZ,O,X,X
LTOJIZS,X,X,X
LTOJSIZ,O,X,X
LTOJSZI,O,X,X
LTOJZIS,X,X,X
LTOJZSI,X,X,X
LTOSIJZ,O,X,X
LTOSIZJ,O,X,X
LTOSJIZ,O,X,X
LTOSJZI,O,X,X
LTOSZIJ,O,X,X
LTOSZJI,O,X,X
LTOZIJS,X,X,X
LTOZISJ,X,X,X
LTOZJIS,X,X,X
LTOZJSI,X,X,X
LTOZSIJ,X,X,X
LTOZSJI,X,X,X
LITJSZO,O,X,X
LITJSOZ,O,X,X
LITJZSO,X,X,X
LITJZOS,X,X,X
LITJOSZ,O,X,X
LITJOZS,X,X,X
LITSJZO,O,X,X
LITSJOZ,O,X,X
LITSZJO,O,X,X
LITSZOJ,O,X,X
LITSOJZ,O,X,X
LITSOZJ,O,X,X
LITZJSO,X,X,X
LITZJOS,X,X,X
LITZSJO,X,X,X
LITZSOJ,X,X,X
LITZOJS,X,X,X
LITZOSJ,X,X,X
LITOJSZ,O,X,X
LITOJZS,X,X,X
LITOSJZ,O,X,X
LITOSZJ,O,X,X
LITOZJS,X,X,X
LITOZSJ,X,X,X
LIJTSZO,O,X,X
LIJTSOZ,O,X,X
LIJTZSO,X,X,X
LIJTZOS,X,X,X
LIJTOSZ,O,X,X
LIJTOZS,X,X,X
LIJSTZO,O,X,O
LIJSTOZ,O,X,X
LIJSZTO,O,X,O
LIJSZOT,X,X,X
LIJSOTZ,X,X,O
LIJSOZT,X,X,O
LIJZTSO,X,X,X
LIJZTOS,X,X,X
LIJZSTO,O,X,O
LIJZSOT,X,X,X
LIJZOTS,X,X,X
LIJZOST,X,X,O
LIJOTSZ,X,X,X
LIJOTZS,X,X,X
LIJOSTZ,X,X,O
LIJOSZT,X,X,O
LIJOZTS,X,X,X
LIJOZST,X,X,O
LISTJZO,O,X,O
LISTJOZ,O,X,X
LISTZJO,O,X,O
LISTZOJ,O,X,X
LISTOJZ,O,X,X
LISTOZJ,O,X,X
LISJTZO,O,X,O
LISJTOZ,O,X,X
LISJZTO,O,X,O
LISJZOT,X,X,X
LISJOTZ,X,X,O
LISJOZT,X,X,O
LISZTJO,O,X,O
LISZTOJ,O,X,X
LISZJTO,O,X,O
LISZJOT,X,X,X
LISZOTJ,X,X,X
LISZOJT,X,X,X
LISOTJZ,X,X,O
LISOTZJ,X,X,O
LISOJTZ,X,X,O
LISOJZT,X,X,O
LISOZTJ,X,X,O
LISOZJT,X,X,O
LIZTJSO,X,X,X
LIZTJOS,X,X,X
LIZTSJO,X,X,X
LIZTSOJ,X,X,X
LIZTOJS,X,X,X
LIZTOSJ,X,X,X
LIZJTSO,X,X,X
LIZJTOS,X,X,X
LIZJSTO,O,X,O
LIZJSOT,X,X,X
LIZJOTS,X,X,X
LIZJOST,X,X,O
LIZSTJO,O,X,O
LIZSTOJ,O,X,X
LIZSJTO,O,X,O
LIZSJOT,X,X,X
LIZSOTJ,X,X,X
LIZSOJT,X,X,X
LIZOTJS,X,X,X
LIZOTSJ,X,X,X
LIZOJTS,X,X,X
LIZOJST,X,X,O
LIZOSTJ,X,X,O
LIZOSJT,X,X,O
LIOTJSZ,X,X,X
LIOTJZS,X,X,X
LIOTSJZ,X,X,X
LIOTSZJ,X,X,X
LIOTZJS,X,X,X
LIOTZSJ,X,X,X
LIOJTSZ,X,X,X
LIOJTZS,X,X,X
LIOJSTZ,X,X,O
LIOJSZT,X,X,O
LIOJZTS,X,X,X
LIOJZST,X,X,O
LIOSTJZ,X,X,O
LIOSTZJ,X,X,O
LIOSJTZ,X,X,O
LIOSJZT,X,X,O
LIOSZTJ,X,X,O
LIOSZJT,X,X,O
LIOZTJS,X,X,X
LIOZTSJ,X,X,X
LIOZJTS,X,X,X
LIOZJST,X,X,O
LIOZSTJ,X,X,O
LIOZSJT,X,X,O
LJTISZO,O,X,X
LJTISOZ,O,X,X
LJTIZSO,X,X,X
LJTIZOS,X,X,X
LJTIOSZ,O,X,X
LJTIOZS,X,X,X
LJTSIZO,O,X,X
LJTSIOZ,O,X,X
LJTSZIO,O,X,X
LJTSZOI,O,X,X
LJTSOIZ,O,X,X
LJTSOZI,O,X,X
LJTZISO,X,X,X
LJTZIOS,X,X,X
LJTZSIO,X,X,X
LJTZSOI,X,X,X
LJTZOIS,X,X,X
LJTZOSI,X,X,X
LJTOISZ,O,X,X
LJTOIZS,X,X,X
LJTOSIZ,O,X,X
LJTOSZI,O,X,X
LJTOZIS,X,X,X
LJTOZSI,X,X,X
LJITSZO,O,X,X
LJITSOZ,O,X,X
LJITZSO,X,X,X
LJITZOS,X,X,X
LJITOSZ,O,X,X
LJITOZS,X,X,X
LJISTZO,O,X,O
LJISTOZ,O,X,X
LJISZTO,O,X,O
LJISZOT,X,X,X
LJISOTZ,X,X,O
LJISOZT,X,X,O
LJIZTSO,X,X,X
LJIZTOS,X,X,X
LJIZSTO,O,X,O
LJIZSOT,X,X,X
LJIZOTS,X,X,X
LJIZOST,X,X,O
LJIOTSZ,X,X,X
LJIOTZS,X,X,X
LJIOSTZ,X,X,O
LJIOSZT,X,X,O
LJIOZTS,X,X,X
LJIOZST,X,X,O
LJSTIZO,O,X,O
LJSTIOZ,O,X,X
LJSTZIO,O,X,O
LJSTZOI,O,X,X
LJSTOIZ,O,X,X
LJSTOZI,O,X,X
LJSITZO,O,X,O
LJSITOZ,O,X,X
LJSIZTO,O,X,O
LJSIZOT,X,X,X
LJSIOTZ,X,X,O
LJSIOZT,X,X,O
LJSZTIO,O,X,O
LJSZTOI,O,X,X
LJSZITO,O,X,O
LJSZIOT,X,X,X
LJSZOTI,X,X,X
LJSZOIT,X,X,X
LJSOTIZ,X,X,O
LJSOTZI,X,X,O
LJSOITZ,X,X,O
LJSOIZT,X,X,O
LJSOZTI,X,X,O
LJSOZIT,X,X,O
LJZTISO,X,X,X
LJZTIOS,X,X,X
LJZTSIO,X,X,X
LJZTSOI,X,X,X
LJZTOIS,X,X,X
LJZTOSI,X,X,X
LJZITSO,X,X,X
LJZITOS,X,X,X
LJZISTO,O,X,O
LJZISOT,X,X,X
LJZIOTS,X,X,X
LJZIOST,X,X,O
LJZSTIO,O,X,O
LJZSTOI,O,X,X
LJZSITO,O,X,O
LJZSIOT,X,X,X
LJZSOTI,X,X,X
LJZSOIT,X,X,X
LJZOTIS,X,X,X
LJZOTSI,X,X,X
LJZOITS,X,X,X
LJZOIST,X,X,O
LJZOSTI,X,X,O
LJZOSIT,X,X,O
LJOTISZ,X,X,X
LJOTIZS,X,X,X
LJOTSIZ,X,X,X
LJOTSZI,X,X,X
LJOTZIS,X,X,X
LJOTZSI,X,X,X
LJOITSZ,X,X,X
LJOITZS,X,X,X
LJOISTZ,X,X,O
LJOISZT,X,X,O
LJOIZTS,X,X,X
LJOIZST,X,X,O
LJOSTIZ,X,X,O
LJOSTZI,X,X,O
LJOSITZ,X,X,O
LJOSIZT,X,X,O
LJOSZTI,X,X,O
LJOSZIT,X,X,O
LJOZTIS,X,X,X
LJOZTSI,X,X,X
LJOZITS,X,X,X
LJOZIST,X,X,O
LJOZSTI,X,X,O
LJOZSIT,X,X,O
LSTIJZO,O,X,O
LSTIJOZ,O,X,X
LSTIZJO,O,X,O
LSTIZOJ,O,X,X
LSTIOJZ,O,X,X
LSTIOZJ,O,X,X
LSTJIZO,O,X,O
LSTJIOZ,O,X,X
LSTJZIO,O,X,O
LSTJZOI,O,X,X
LSTJOIZ,O,X,X
LSTJOZI,O,X,X
LSTZIJO,O,X,O
LSTZIOJ,O,X,X
LSTZJIO,O,X,O
LSTZJOI,O,X,X
LSTZOIJ,O,X,X
LSTZOJI,O,X,X
LSTOIJZ,O,X,X
LSTOIZJ,O,X,X
LSTOJIZ,O,X,X
LSTOJZI,O,X,X
LSTOZIJ,O,X,X
LSTOZJI,O,X,X
LSITJZO,O,X,O
LSITJOZ,O,X,X
LSITZJO,O,X,O
LSITZOJ,O,X,X
LSITOJZ,O,X,X
LSITOZJ,O,X,X
LSIJTZO,O,X,O
LSIJTOZ,O,X,X
LSIJZTO,O,X,O
LSIJZOT,X,X,X
LSIJOTZ,X,X,O
LSIJOZT,X,X,O
LSIZTJO,O,X,O
LSIZTOJ,O,X,X
LSIZJTO,O,X,O
LSIZJOT,X,X,X
LSIZOTJ,X,X,X
LSIZOJT,X,X,X
LSIOTJZ,X,X,O
LSIOTZJ,X,X,O
LSIOJTZ,X,X,O
LSIOJZT,X,X,O
LSIOZTJ,X,X,O
LSIOZJT,X,X,O
LSJTIZO,O,X,O
LSJTIOZ,O,X,X
LSJTZIO,O,X,O
LSJTZOI,O,X,X
LSJTOIZ,O,X,X
LSJTOZI,O,X,X
LSJITZO,O,X,O
LSJITOZ,O,X,X
LSJIZTO,O,X,O
LSJIZOT,X,X,X
LSJIOTZ,X,X,O
LSJIOZT,X,X,O
LSJZTIO,O,X,O
LSJZTOI,O,X,X
LSJZITO,O,X,O
LSJZIOT,X,X,X
LSJZOTI,X,X,X
LSJZOIT,X,X,X
LSJOTIZ,X,X,O
LSJOTZI,X,X,O
LSJOITZ,X,X,O
LSJOIZT,X,X,O
LSJOZTI,X,X,O
LSJOZIT,X,X,O
LSZTIJO,O,X,O
LSZTIOJ,O,X,X
LSZTJIO,O,X,O
LSZTJOI,O,X,X
LSZTOIJ,O,X,X
LSZTOJI,O,X,X
LSZITJO,O,X,O
LSZITOJ,O,X,X
LSZIJTO,O,X,O
LSZIJOT,X,X,X
LSZIOTJ,X,X,X
LSZIOJT,X,X,X
LSZJTIO,O,X,O
LSZJTOI,O,X,X
LSZJITO,O,X,O
LSZJIOT,X,X,X
LSZJOTI,X,X,X
LSZJOIT,X,X,X
LSZOTIJ,X,X,X
LSZOTJI,X,X,X
LSZOITJ,X,X,X
LSZOIJT,X,X,X
LSZOJTI,X,X,X
LSZOJIT,X,X,X
LSOTIJZ,X,X,O
LSOTIZJ,X,X,O
LSOTJIZ,X,X,O
LSOTJZI,X,X,O
LSOTZIJ,X,X,O
LSOTZJI,X,X,O
LSOITJZ,X,X,O
LSOITZJ,X,X,O
LSOIJTZ,X,X,O
LSOIJZT,X,X,O
LSOIZTJ,X,X,O
LSOIZJT,X,X,O
LSOJTIZ,X,X,O
LSOJTZI,X,X,O
LSOJITZ,X,X,O
LSOJIZT,X,X,O
LSOJZTI,X,X,O
LSOJZIT,X,X,O
LSOZTIJ,X,X,O
LSOZTJI,X,X,O
LSOZITJ,X,X,O
LSOZIJT,X,X,O
LSOZJTI,X,X,O
LSOZJIT,X,X,O
LZTIJSO,X,X,X
LZTIJOS,X,X,X
LZTISJO,X,X,X
LZTISOJ,X,X,X
LZTIOJS,X,X,X
LZTIOSJ,X,X,X
LZTJISO,X,X,X
LZTJIOS,X,X,X
LZTJSIO,X,X,X
LZTJSOI,X,X,X
LZTJOIS,X,X,X
LZTJOSI,X,X,X
LZTSIJO,X,X,X
LZTSIOJ,X,X,X
LZTSJIO,X,X,X
LZTSJOI,X,X,X
LZTSOIJ,X,X,X
LZTSOJI,X,X,X
LZTOIJS,X,X,X
LZTOISJ,X,X,X
LZTOJIS,X,X,X
LZTOJSI,X,X,X
LZTOSIJ,X,X,X
LZTOSJI,X,X,X
