sequence,v115@vhFRQJ+tBiqBsmBTpBHhB,v115@vhFRQJ+tB3mBihBMqBDpB
JITZSLO,O,O
JITZSOL,O,O
JITZOLS,O,X
JITZOSL,O,O
JITOLSZ,O,X
JITOLZS,O,X
JITOSLZ,X,O
JITOSZL,X,O
JITOZLS,O,X
JITOZSL,O,O
JILTSZO,O,X
JILTSOZ,O,X
JILTZSO,O,X
JILTZOS,O,X
JILTOSZ,O,X
JILTOZS,O,X
JILSTZO,O,O
JILSTOZ,O,O
JILSZTO,O,O
JILSZOT,O,O
JILSOTZ,O,O
JILSOZT,O,O
JILZTSO,O,X
JILZTOS,O,X
JILZSTO,O,O
JILZSOT,O,O
JILZOTS,O,X
JILZOST,O,O
JILOTSZ,O,X
JILOTZS,O,X
JILOSTZ,O,O
JILOSZT,O,O
JILOZTS,O,X
JILOZST,O,O
JISTLZO,X,O
JISTLOZ,X,O
JISTZLO,X,O
JISTZOL,X,O
JISTOLZ,X,O
JISTOZL,X,O
JISLTZO,O,O
JISLTOZ,O,O
JISLZTO,O,O
JISLZOT,O,O
JISLOTZ,O,O
JISLOZT,O,O
JISZTLO,O,O
JISZTOL,O,O
JISZLTO,O,O
JISZLOT,O,O
JISZOTL,O,O
JISZOLT,O,O
JISOTLZ,X,O
JISOTZL,X,O
JISOLTZ,O,O
JISOLZT,O,O
JISOZTL,O,O
JISOZLT,O,O
JIZTLSO,O,X
JIZTLOS,O,X
JIZTSLO,O,O
JIZTSOL,O,O
JIZTOLS,O,X
JIZTOSL,O,O
JIZLTSO,O,X
JIZLTOS,O,X
JIZLSTO,O,O
JIZLSOT,O,O
JIZLOTS,O,X
JIZLOST,O,O
JIZSTLO,O,O
JIZSTOL,O,O
JIZSLTO,O,O
JIZSLOT,O,O
JIZSOTL,O,O
JIZSOLT,O,O
JIZOTLS,O,X
JIZOTSL,O,O
JIZOLTS,O,X
JIZOLST,O,O
JIZOSTL,O,O
JIZOSLT,O,O
JIOTLSZ,O,X
JIOTLZS,O,X
JIOTSLZ,X,O
JIOTSZL,X,O
JIOTZLS,O,X
JIOTZSL,O,O
JIOLTSZ,O,X
JIOLTZS,O,X
JIOLSTZ,O,O
JIOLSZT,O,O
JIOLZTS,O,X
JIOLZST,O,O
JIOSTLZ,X,O
JIOSTZL,X,O
JIOSLTZ,O,O
JIOSLZT,O,O
JIOSZTL,O,O
JIOSZLT,O,O
JIOZTLS,O,X
JIOZTSL,O,O
JIOZLTS,O,X
JIOZLST,O,O
JIOZSTL,O,O
JIOZSLT,O,O
JLTISZO,O,X
JLTISOZ,O,X
JLTIZSO,O,X
JLTIZOS,O,X
JLTIOSZ,O,X
JLTIOZS,O,X
JLTSIZO,O,X
JLTSIOZ,O,X
JLTSZIO,X,X
JLTSZOI,X,X
JLTSOIZ,O,X
JLTSOZI,X,X
JLTZISO,X,X
JLTZIOS,X,X
JLTZSIO,X,X
JLTZSOI,X,X
JLTZOIS,X,X
JLTZOSI,X,X
JLTOISZ,O,X
JLTOIZS,O,X
JLTOSIZ,O,X
JLTOSZI,X,X
JLTOZIS,X,X
JLTOZSI,X,X
JLITSZO,O,X
JLITSOZ,O,X
JLITZSO,O,X
JLITZOS,O,X
JLITOSZ,O,X
JLITOZS,O,X
JLISTZO,O,O
JLISTOZ,O,O
JLISZTO,O,O
JLISZOT,O,O
JLISOTZ,O,O
JLISOZT,O,O
JLIZTSO,O,X
JLIZTOS,O,X
JLIZSTO,O,O
JLIZSOT,O,O
JLIZOTS,O,X
JLIZOST,O,O
JLIOTSZ,O,X
JLIOTZS,O,X
JLIOSTZ,O,O
JLIOSZT,O,O
JLIOZTS,O,X
JLIOZST,O,O
JLSTIZO,O,X
JLSTIOZ,O,X
JLSTZIO,X,X
JLSTZOI,X,X
JLSTOIZ,O,X
JLSTOZI,X,X
JLSITZO,O,X
JLSITOZ,O,X
JLSIZTO,O,X
JLSIZOT,O,X
JLSIOTZ,O,X
JLSIOZT,O,X
JLSZTIO,X,X
JLSZTOI,X,X
JLSZITO,O,X
JLSZIOT,O,X
JLSZOTI,X,X
JLSZOIT,O,X
JLSOTIZ,O,X
JLSOTZI,X,X
JLSOITZ,O,X
JLSOIZT,O,X
JLSOZTI,X,X
JLSOZIT,O,X
JLZTISO,X,X
JLZTIOS,X,X
JLZTSIO,X,X
JLZTSOI,X,X
JLZTOIS,X,X
JLZTOSI,X,X
JLZITSO,O,X
JLZITOS,O,X
JLZISTO,O,O
JLZISOT,O,O
JLZIOTS,O,X
JLZIOST,O,O
JLZSTIO,X,X
JLZSTOI,X,X
JLZSITO,O,X
JLZSIOT,O,X
JLZSOTI,X,X
JLZSOIT,O,X
JLZOTIS,X,X
JLZOTSI,X,X
JLZOITS,O,X
JLZOIST,O,O
JLZOSTI,X,X
JLZOSIT,O,X
JLOTISZ,O,X
JLOTIZS,O,X
JLOTSIZ,O,X
JLOTSZI,X,X
JLOTZIS,X,X
JLOTZSI,X,X
JLOITSZ,O,X
JLOITZS,O,X
JLOISTZ,O,O
JLOISZT,O,O
JLOIZTS,O,X
JLOIZST,O,O
JLOSTIZ,O,X
JLOSTZI,X,X
JLOSITZ,O,X
JLOSIZT,O,X
JLOSZTI,X,X
JLOSZIT,O,X
JLOZTIS,X,X
JLOZTSI,X,X
JLOZITS,O,X
JLOZIST,O,O
JLOZSTI,X,X
JLOZSIT,O,X
JSTILZO,X,X
JSTILOZ,X,X
JSTIZLO,X,X
JSTIZOL,X,X
JSTIOLZ,X,X
JSTIOZL,X,X
JSTLIZO,X,X
JSTLIOZ,X,X
JSTLZIO,X,X
JSTLZOI,X,X
JSTLOIZ,X,X
JSTLOZI,X,X
JSTZILO,X,X
JSTZIOL,X,X
JSTZLIO,X,X
JSTZLOI,X,X
JSTZOIL,X,X
JSTZOLI,X,X
JSTOILZ,X,X
JSTOIZL,X,X
JSTOLIZ,X,X
JSTOLZI,X,X
JSTOZIL,X,X
JSTOZLI,X,X
JSITLZO,X,O
JSITLOZ,X,O
JSITZLO,X,O
JSITZOL,X,O
JSITOLZ,X,O
JSITOZL,X,O
JSILTZO,O,O
JSILTOZ,O,O
JSILZTO,O,O
JSILZOT,O,O
JSILOTZ,O,O
JSILOZT,O,O
JSIZTLO,O,O
JSIZTOL,O,O
JSIZLTO,O,O
JSIZLOT,O,O
JSIZOTL,O,O
JSIZOLT,O,O
JSIOTLZ,X,O
JSIOTZL,X,O
JSIOLTZ,O,O
JSIOLZT,O,O
JSIOZTL,O,O
JSIOZLT,O,O
JSLTIZO,O,X
JSLTIOZ,O,X
JSLTZIO,X,X
JSLTZOI,X,X
JSLTOIZ,O,X
JSLTOZI,X,X
JSLITZO,O,X
JSLITOZ,O,X
JSLIZTO,O,X
JSLIZOT,O,X
JSLIOTZ,O,X
JSLIOZT,O,X
JSLZTIO,X,X
JSLZTOI,X,X
JSLZITO,O,X
JSLZIOT,O,X
JSLZOTI,X,X
JSLZOIT,O,X
JSLOTIZ,O,X
JSLOTZI,X,X
JSLOITZ,O,X
JSLOIZT,O,X
JSLOZTI,X,X
JSLOZIT,O,X
JSZTILO,X,X
JSZTIOL,X,X
JSZTLIO,X,X
JSZTLOI,X,X
JSZTOIL,X,X
JSZTOLI,X,X
JSZITLO,X,O
JSZITOL,X,O
JSZILTO,X,O
JSZILOT,X,O
JSZIOTL,X,O
JSZIOLT,X,O
JSZLTIO,X,X
JSZLTOI,X,X
JSZLITO,X,X
JSZLIOT,X,X
JSZLOTI,X,X
JSZLOIT,X,X
JSZOTIL,X,X
JSZOTLI,X,X
JSZOITL,X,O
JSZOILT,X,O
JSZOLTI,X,X
JSZOLIT,X,X
JSOTILZ,X,X
JSOTIZL,X,X
JSOTLIZ,X,X
JSOTLZI,X,X
JSOTZIL,X,X
JSOTZLI,X,X
JSOITLZ,X,O
JSOITZL,X,O
JSOILTZ,O,O
JSOILZT,O,O
JSOIZTL,O,O
JSOIZLT,O,O
JSOLTIZ,O,X
JSOLTZI,X,X
JSOLITZ,O,X
JSOLIZT,O,X
JSOLZTI,X,X
JSOLZIT,O,X
JSOZTIL,X,X
JSOZTLI,X,X
JSOZITL,X,O
JSOZILT,X,O
JSOZLTI,X,X
JSOZLIT,X,X
JZTILSO,X,X
JZTILOS,X,X
JZTISLO,X,O
JZTISOL,X,O
JZTIOLS,X,X
JZTIOSL,X,O
JZTLISO,X,X
JZTLIOS,X,X
JZTLSIO,X,X
JZTLSOI,X,X
JZTLOIS,X,X
JZTLOSI,X,X
JZTSILO,X,X
JZTSIOL,X,X
JZTSLIO,X,X
JZTSLOI,X,X
JZTSOIL,X,X
JZTSOLI,X,X
JZTOILS,X,X
JZTOISL,X,O
JZTOLIS,X,X
JZTOLSI,X,X
JZTOSIL,X,X
JZTOSLI,X,X
JZITLSO,O,X
JZITLOS,O,X
JZITSLO,O,O
JZITSOL,O,O
JZITOLS,O,X
JZITOSL,O,O
JZILTSO,O,X
JZILTOS,O,X
JZILSTO,O,O
JZILSOT,O,O
JZILOTS,O,X
JZILOST,O,O
JZISTLO,O,O
JZISTOL,O,O
JZISLTO,O,O
JZISLOT,O,O
JZISOTL,O,O
JZISOLT,O,O
JZIOTLS,O,X
JZIOTSL,O,O
JZIOLTS,O,X
JZIOLST,O,O
JZIOSTL,O,O
JZIOSLT,O,O
JZLTISO,X,X
JZLTIOS,X,X
JZLTSIO,X,X
JZLTSOI,X,X
JZLTOIS,X,X
JZLTOSI,X,X
JZLITSO,O,X
JZLITOS,O,X
JZLISTO,O,O
JZLISOT,O,O
JZLIOTS,O,X
JZLIOST,O,O
JZLSTIO,X,X
JZLSTOI,X,X
JZLSITO,O,X
JZLSIOT,O,X
JZLSOTI,X,X
JZLSOIT,O,X
JZLOTIS,X,X
JZLOTSI,X,X
JZLOITS,O,X
JZLOIST,O,O
JZLOSTI,X,X
JZLOSIT,O,X
JZSTILO,X,X
JZSTIOL,X,X
JZSTLIO,X,X
JZSTLOI,X,X
JZSTOIL,X,X
JZSTOLI,X,X
JZSITLO,X,O
JZSITOL,X,O
JZSILTO,X,O
JZSILOT,X,O
JZSIOTL,X,O
JZSIOLT,X,O
JZSLTIO,X,X
JZSLTOI,X,X
JZSLITO,X,X
JZSLIOT,X,X
JZSLOTI,X,X
JZSLOIT,X,X
JZSOTIL,X,X
JZSOTLI,X,X
JZSOITL,X,O
JZSOILT,X,O
JZSOLTI,X,X
JZSOLIT,X,X
JZOTILS,X,X
JZOTISL,X,O
JZOTLIS,X,X
JZOTLSI,X,X
JZOTSIL,X,X
JZOTSLI,X,X
JZOITLS,O,X
JZOITSL,O,O
JZOILTS,O,X
JZOILST,O,O
JZOISTL,O,O
JZOISLT,O,O
JZOLTIS,X,X
JZOLTSI,X,X
JZOLITS,O,X
JZOLIST,O,O
JZOLSTI,X,X
JZOLSIT,O,X
JZOSTIL,X,X
JZOSTLI,X,X
JZOSITL,X,O
JZOSILT,X,O
JZOSLTI,X,X
JZOSLIT,X,X
JOTILSZ,O,X
JOTILZS,O,X
JOTISLZ,X,O
JOTISZL,X,O
JOTIZLS,O,X
JOTIZSL,O,O
JOTLISZ,O,X
JOTLIZS,O,X
JOTLSIZ,O,X
JOTLSZI,X,X
JOTLZIS,X,X
JOTLZSI,X,X
JOTSILZ,X,X
JOTSIZL,X,X
JOTSLIZ,X,X
JOTSLZI,X,X
JOTSZIL,X,X
JOTSZLI,X,X
JOTZILS,X,X
JOTZISL,X,O
JOTZLIS,X,X
JOTZLSI,X,X
JOTZSIL,X,X
JOTZSLI,X,X
JOITLSZ,O,X
JOITLZS,O,X
JOITSLZ,X,O
JOITSZL,X,O
JOITZLS,O,X
JOITZSL,O,O
JOILTSZ,O,X
JOILTZS,O,X
JOILSTZ,O,O
JOILSZT,O,O
JOILZTS,O,X
JOILZST,O,O
JOISTLZ,X,O
JOISTZL,X,O
JOISLTZ,O,O
JOISLZT,O,O
JOISZTL,O,O
JOISZLT,O,O
JOIZTLS,O,X
JOIZTSL,O,O
JOIZLTS,O,X
JOIZLST,O,O
JOIZSTL,O,O
JOIZSLT,O,O
JOLTISZ,O,X
JOLTIZS,O,X
JOLTSIZ,O,X
JOLTSZI,X,X
JOLTZIS,X,X
JOLTZSI,X,X
JOLITSZ,O,X
JOLITZS,O,X
JOLISTZ,O,O
JOLISZT,O,O
JOLIZTS,O,X
JOLIZST,O,O
JOLSTIZ,O,X
JOLSTZI,X,X
JOLSITZ,O,X
JOLSIZT,O,X
JOLSZTI,X,X
JOLSZIT,O,X
JOLZTIS,X,X
JOLZTSI,X,X
JOLZITS,O,X
JOLZIST,O,O
JOLZSTI,X,X
JOLZSIT,O,X
JOSTILZ,X,X
JOSTIZL,X,X
JOSTLIZ,X,X
JOSTLZI,X,X
JOSTZIL,X,X
JOSTZLI,X,X
JOSITLZ,X,O
JOSITZL,X,O
JOSILTZ,O,O
JOSILZT,O,O
JOSIZTL,O,O
JOSIZLT,O,O
JOSLTIZ,O,X
JOSLTZI,X,X
JOSLITZ,O,X
JOSLIZT,O,X
JOSLZTI,X,X
JOSLZIT,O,X
JOSZTIL,X,X
JOSZTLI,X,X
JOSZITL,X,O
JOSZILT,X,O
JOSZLTI,X,X
JOSZLIT,X,X
JOZTILS,X,X
JOZTISL,X,O
JOZTLIS,X,X
JOZTLSI,X,X
JOZTSIL,X,X
JOZTSLI,X,X
JOZITLS,O,X
JOZITSL,O,O
JOZILTS,O,X
JOZILST,O,O
JOZISTL,O,O
JOZISLT,O,O
JOZLTIS,X,X
JOZLTSI,X,X
JOZLITS,O,X
JOZLIST,O,O
JOZLSTI,X,X
JOZLSIT,O,X
JOZSTIL,X,X
JOZSTLI,X,X
JOZSITL,X,O
JOZSILT,X,O
JOZSLTI,X,X
JOZSLIT,X,X
STILJZO,X,X
STILJOZ,X,X
STILZJO,X,X
STILZOJ,X,X
STILOJZ,X,X
STILOZJ,X,X
STIJLZO,X,X
STIJLOZ,X,X
STIJZLO,X,X
STIJZOL,X,X
STIJOLZ,X,X
STIJOZL,X,X
STIZLJO,X,X
STIZLOJ,X,X
STIZJLO,X,X
STIZJOL,X,X
STIZOLJ,X,X
STIZOJL,X,X
STIOLJZ,X,X
STIOLZJ,X,X
STIOJLZ,X,X
STIOJZL,X,X
STIOZLJ,X,X
STIOZJL,X,X
STLIJZO,X,X
STLIJOZ,X,X
STLIZJO,X,X
STLIZOJ,X,X
STLIOJZ,X,X
STLIOZJ,X,X
STLJIZO,X,X
STLJIOZ,X,X
STLJZIO,X,X
STLJZOI,X,X
STLJOIZ,X,X
STLJOZI,X,X
STLZIJO,X,X
STLZIOJ,X,X
STLZJIO,X,X
STLZJOI,X,X
STLZOIJ,X,X
STLZOJI,X,X
STLOIJZ,X,X
STLOIZJ,X,X
STLOJIZ,X,X
STLOJZI,X,X
STLOZIJ,X,X
STLOZJI,X,X
STJILZO,X,X
STJILOZ,X,X
STJIZLO,X,X
STJIZOL,X,X
STJIOLZ,X,X
STJIOZL,X,X
STJLIZO,X,X
STJLIOZ,X,X
STJLZIO,X,X
STJLZOI,X,X
STJLOIZ,X,X
STJLOZI,X,X
STJZILO,X,X
STJZIOL,X,X
STJZLIO,X,X
STJZLOI,X,X
STJZOIL,X,X
STJZOLI,X,X
STJOILZ,X,X
STJOIZL,X,X
STJOLIZ,X,X
STJOLZI,X,X
STJOZIL,X,X
STJOZLI,X,X
STZILJO,X,X
STZILOJ,X,X
STZIJLO,X,X
STZIJOL,X,X
STZIOLJ,X,X
STZIOJL,X,X
STZLIJO,X,X
STZLIOJ,X,X
STZLJIO,X,X
STZLJOI,X,X
STZLOIJ,X,X
STZLOJI,X,X
STZJILO,X,X
STZJIOL,X,X
STZJLIO,X,X
STZJLOI,X,X
STZJOIL,X,X
STZJOLI,X,X
STZOILJ,X,X
STZOIJL,X,X
STZOLIJ,X,X
STZOLJI,X,X
STZOJIL,X,X
STZOJLI,X,X
STOILJZ,X,X
STOILZJ,X,X
STOIJLZ,X,X
STOIJZL,X,X
STOIZLJ,X,X
STOIZJL,X,X
STOLIJZ,X,X
STOLIZJ,X,X
STOLJIZ,X,X
STOLJZI,X,X
STOLZIJ,X,X
STOLZJI,X,X
STOJILZ,X,X
STOJIZL,X,X
STOJLIZ,X,X
STOJLZI,X,X
STOJZIL,X,X
STOJZLI,X,X
STOZILJ,X,X
STOZIJL,X,X
STOZLIJ,X,X
STOZLJI,X,X
STOZJIL,X,X
STOZJLI,X,X
SITLJZO,X,O
SITLJOZ,X,O
SITLZJO,X,O
SITLZOJ,X,O
SITLOJZ,X,O
SITLOZJ,X,O
SITJLZO,X,O
SITJLOZ,X,O
SITJZLO,X,O
SITJZOL,X,O
SITJOLZ,X,O
SITJOZL,X,O
SITZLJO,X,O
SITZLOJ,X,O
SITZJLO,X,O
SITZJOL,X,O
SITZOLJ,X,O
SITZOJL,X,O
SITOLJZ,X,O
SITOLZJ,X,O
SITOJLZ,X,O
SITOJZL,X,O
SITOZLJ,X,O
SITOZJL,X,O
SILTJZO,O,O
SILTJOZ,O,O
SILTZJO,O,O
SILTZOJ,O,O
SILTOJZ,O,O
SILTOZJ,O,O
SILJTZO,O,O
SILJTOZ,O,O
SILJZTO,O,O
SILJZOT,O,O
SILJOTZ,O,O
SILJOZT,O,O
SILZTJO,O,O
SILZTOJ,O,O
SILZJTO,O,O
SILZJOT,O,O
SILZOTJ,O,O
SILZOJT,O,O
SILOTJZ,O,O
SILOTZJ,O,O
SILOJTZ,O,O
SILOJZT,O,O
SILOZTJ,O,O
SILOZJT,O,O
SIJTLZO,X,O
SIJTLOZ,X,O
SIJTZLO,X,O
SIJTZOL,X,O
SIJTOLZ,X,O
SIJTOZL,X,O
SIJLTZO,O,O
SIJLTOZ,O,O
SIJLZTO,O,O
SIJLZOT,O,O
SIJLOTZ,O,O
SIJLOZT,O,O
SIJZTLO,O,O
SIJZTOL,O,O
SIJZLTO,O,O
SIJZLOT,O,O
SIJZOTL,O,O
SIJZOLT,O,O
SIJOTLZ,X,O
SIJOTZL,X,O
SIJOLTZ,O,O
SIJOLZT,O,O
SIJOZTL,O,O
SIJOZLT,O,O
SIZTLJO,O,O
SIZTLOJ,O,O
SIZTJLO,O,O
SIZTJOL,O,O
SIZTOLJ,O,O
SIZTOJL,O,O
SIZLTJO,O,O
SIZLTOJ,O,O
SIZLJTO,O,O
SIZLJOT,O,O
SIZLOTJ,O,O
SIZLOJT,O,O
SIZJTLO,O,O
SIZJTOL,O,O
SIZJLTO,O,O
SIZJLOT,O,O
SIZJOTL,O,O
SIZJOLT,O,O
SIZOTLJ,O,O
SIZOTJL,O,O
SIZOLTJ,O,O
SIZOLJT,O,O
SIZOJTL,O,O
SIZOJLT,O,O
SIOTLJZ,X,O
SIOTLZJ,X,O
SIOTJLZ,X,O
SIOTJZL,X,O
SIOTZLJ,X,O
SIOTZJL,X,O
SIOLTJZ,O,O
SIOLTZJ,O,O
SIOLJTZ,O,O
SIOLJZT,O,O
SIOLZTJ,O,O
SIOLZJT,O,O
SIOJTLZ,X,O
SIOJTZL,X,O
SIOJLTZ,O,O
SIOJLZT,O,O
SIOJZTL,O,O
SIOJZLT,O,O
SIOZTLJ,O,O
SIOZTJL,O,O
SIOZLTJ,O,O
SIOZLJT,O,O
SIOZJTL,O,O
SIOZJLT,O,O
SLTIJZO,O,X
SLTIJOZ,O,X
SLTIZJO,O,X
SLTIZOJ,O,X
SLTIOJZ,O,X
SLTIOZJ,O,X
SLTJIZO,O,X
SLTJIOZ,O,X
SLTJZIO,X,X
SLTJZOI,X,X
SLTJOIZ,O,X
SLTJOZI,X,X
SLTZIJO,X,X
SLTZIOJ,X,X
SLTZJIO,X,X
SLTZJOI,X,X
SLTZOIJ,X,X
SLTZOJI,X,X
SLTOIJZ,O,X
SLTOIZJ,O,X
SLTOJIZ,O,X
SLTOJZI,X,X
SLTOZIJ,X,X
SLTOZJI,X,X
SLITJZO,O,X
SLITJOZ,O,X
SLITZJO,O,X
SLITZOJ,O,X
SLITOJZ,O,X
SLITOZJ,O,X
SLIJTZO,O,X
SLIJTOZ,O,X
SLIJZTO,O,X
SLIJZOT,O,X
SLIJOTZ,O,X
SLIJOZT,O,X
SLIZTJO,O,X
SLIZTOJ,O,X
SLIZJTO,O,X
SLIZJOT,O,X
SLIZOTJ,O,X
SLIZOJT,O,X
SLIOTJZ,O,X
SLIOTZJ,O,X
SLIOJTZ,O,X
SLIOJZT,O,X
SLIOZTJ,O,X
SLIOZJT,O,X
SLJTIZO,O,X
SLJTIOZ,O,X
SLJTZIO,X,X
SLJTZOI,X,X
SLJTOIZ,O,X
SLJTOZI,X,X
SLJITZO,O,X
SLJITOZ,O,X
SLJIZTO,O,X
SLJIZOT,O,X
SLJIOTZ,O,X
SLJIOZT,O,X
SLJZTIO,X,X
SLJZTOI,X,X
SLJZITO,O,X
SLJZIOT,O,X
SLJZOTI,X,X
SLJZOIT,O,X
SLJOTIZ,O,X
SLJOTZI,X,X
SLJOITZ,O,X
SLJOIZT,O,X
SLJOZTI,X,X
SLJOZIT,O,X
SLZTIJO,X,X
SLZTIOJ,X,X
SLZTJIO,X,X
SLZTJOI,X,X
SLZTOIJ,X,X
SLZTOJI,X,X
SLZITJO,O,X
SLZITOJ,O,X
SLZIJTO,O,X
SLZIJOT,O,X
SLZIOTJ,O,X
SLZIOJT,O,X
SLZJTIO,X,X
SLZJTOI,X,X
SLZJITO,O,X
SLZJIOT,O,X
SLZJOTI,X,X
SLZJOIT,O,X
SLZOTIJ,X,X
SLZOTJI,X,X
SLZOITJ,O,X
SLZOIJT,O,X
SLZOJTI,X,X
SLZOJIT,O,X
SLOTIJZ,O,X
SLOTIZJ,O,X
SLOTJIZ,O,X
SLOTJZI,X,X
SLOTZIJ,X,X
SLOTZJI,X,X
SLOITJZ,O,X
SLOITZJ,O,X
SLOIJTZ,O,X
SLOIJZT,O,X
SLOIZTJ,O,X
SLOIZJT,O,X
SLOJTIZ,O,X
SLOJTZI,X,X
SLOJITZ,O,X
SLOJIZT,O,X
SLOJZTI,X,X
SLOJZIT,O,X
SLOZTIJ,X,X
SLOZTJI,X,X
SLOZITJ,O,X
SLOZIJT,O,X
SLOZJTI,X,X
SLOZJIT,O,X
SJTILZO,X,X
SJTILOZ,X,X
SJTIZLO,X,X
SJTIZOL,X,X
SJTIOLZ,X,X
SJTIOZL,X,X
SJTLIZO,X,X
SJTLIOZ,X,X
SJTLZIO,X,X
SJTLZOI,X,X
SJTLOIZ,X,X
SJTLOZI,X,X
SJTZILO,X,X
SJTZIOL,X,X
SJTZLIO,X,X
SJTZLOI,X,X
SJTZOIL,X,X
SJTZOLI,X,X
SJTOILZ,X,X
SJTOIZL,X,X
SJTOLIZ,X,X
SJTOLZI,X,X
SJTOZIL,X,X
SJTOZLI,X,X
SJITLZO,X,O
SJITLOZ,X,O
SJITZLO,X,O
SJITZOL,X,O
SJITOLZ,X,O
SJITOZL,X,O
SJILTZO,O,O
SJILTOZ,O,O
SJILZTO,O,O
SJILZOT,O,O
SJILOTZ,O,O
SJILOZT,O,O
SJIZTLO,O,O
SJIZTOL,O,O
SJIZLTO,O,O
SJIZLOT,O,O
SJIZOTL,O,O
SJIZOLT,O,O
SJIOTLZ,X,O
SJIOTZL,X,O
SJIOLTZ,O,O
SJIOLZT,O,O
SJIOZTL,O,O
SJIOZLT,O,O
SJLTIZO,O,X
SJLTIOZ,O,X
SJLTZIO,X,X
SJLTZOI,X,X
SJLTOIZ,O,X
SJLTOZI,X,X
SJLITZO,O,X
SJLITOZ,O,X
SJLIZTO,O,X
SJLIZOT,O,X
SJLIOTZ,O,X
SJLIOZT,O,X
SJLZTIO,X,X
SJLZTOI,X,X
SJLZITO,O,X
SJLZIOT,O,X
SJLZOTI,X,X
SJLZOIT,O,X
SJLOTIZ,O,X
SJLOTZI,X,X
SJLOITZ,O,X
SJLOIZT,O,X
SJLOZTI,X,X
SJLOZIT,O,X
SJZTILO,X,X
SJZTIOL,X,X
SJZTLIO,X,X
SJZTLOI,X,X
SJZTOIL,X,X
SJZTOLI,X,X
SJZITLO,X,O
SJZITOL,X,O
SJZILTO,X,O
SJZILOT,X,O
SJZIOTL,X,O
SJZIOLT,X,O
SJZLTIO,X,X
SJZLTOI,X,X
SJZLITO,X,X
SJZLIOT,X,X
SJZLOTI,X,X
SJZLOIT,X,X
SJZOTIL,X,X
SJZOTLI,X,X
SJZOITL,X,O
SJZOILT,X,O
SJZOLTI,X,X
SJZOLIT,X,X
SJOTILZ,X,X
SJOTIZL,X,X
SJOTLIZ,X,X
SJOTLZI,X,X
SJOTZIL,X,X
SJOTZLI,X,X
SJOITLZ,X,O
SJOITZL,X,O
SJOILTZ,O,O
SJOILZT,O,O
SJOIZTL,O,O
SJOIZLT,O,O
SJOLTIZ,O,X
SJOLTZI,X,X
SJOLITZ,O,X
SJOLIZT,O,X
SJOLZTI,X,X
SJOLZIT,O,X
SJOZTIL,X,X
SJOZTLI,X,X
SJOZITL,X,O
SJOZILT,X,O
SJOZLTI,X,X
SJOZLIT,X,X
SZTILJO,X,X
SZTILOJ,X,X
SZTIJLO,X,X
SZTIJOL,X,X
SZTIOLJ,X,X
SZTIOJL,X,X
SZTLIJO,X,X
SZTLIOJ,X,X
SZTLJIO,X,X
SZTLJOI,X,X
SZTLOIJ,X,X
SZTLOJI,X,X
SZTJILO,X,X
SZTJIOL,X,X
SZTJLIO,X,X
SZTJLOI,X,X
SZTJOIL,X,X
SZTJOLI,X,X
SZTOILJ,X,X
SZTOIJL,X,X
SZTOLIJ,X,X
SZTOLJI,X,X
SZTOJIL,X,X
SZTOJLI,X,X
SZITLJO,X,O
SZITLOJ,X,O
SZITJLO,X,O
SZITJOL,X,O
SZITOLJ,X,O
SZITOJL,X,O
SZILTJO,X,O
SZILTOJ,X,O
SZILJTO,X,O
SZILJOT,X,O
SZILOTJ,X,O
SZILOJT,X,O
SZIJTLO,X,O
SZIJTOL,X,O
SZIJLTO,X,O
SZIJLOT,X,O
SZIJOTL,X,O
SZIJOLT,X,O
SZIOTLJ,X,O
SZIOTJL,X,O
SZIOLTJ,X,O
SZIOLJT,X,O
SZIOJTL,X,O
SZIOJLT,X,O
SZLTIJO,X,X
SZLTIOJ,X,X
SZLTJIO,X,X
SZLTJOI,X,X
SZLTOIJ,X,X
SZLTOJI,X,X
SZLITJO,X,X
SZLITOJ,X,X
SZLIJTO,X,X
SZLIJOT,X,X
SZLIOTJ,X,X
SZLIOJT,X,X
SZLJTIO,X,X
SZLJTOI,X,X
SZLJITO,X,X
SZLJIOT,X,X
SZLJOTI,X,X
SZLJOIT,X,X
SZLOTIJ,X,X
SZLOTJI,X,X
SZLOITJ,X,X
SZLOIJT,X,X
SZLOJTI,X,X
SZLOJIT,X,X
SZJTILO,X,X
SZJTIOL,X,X
SZJTLIO,X,X
SZJTLOI,X,X
SZJTOIL,X,X
SZJTOLI,X,X
SZJITLO,X,O
SZJITOL,X,O
SZJILTO,X,O
SZJILOT,X,O
SZJIOTL,X,O
SZJIOLT,X,O
SZJLTIO,X,X
SZJLTOI,X,X
SZJLITO,X,X
SZJLIOT,X,X
SZJLOTI,X,X
SZJLOIT,X,X
SZJOTIL,X,X
SZJOTLI,X,X
SZJOITL,X,O
SZJOILT,X,O
SZJOLTI,X,X
SZJOLIT,X,X
SZOTILJ,X,X
SZOTIJL,X,X
SZOTLIJ,X,X
SZOTLJI,X,X
SZOTJIL,X,X
SZOTJLI,X,X
SZOITLJ,X,O
SZOITJL,X,O
SZOILTJ,X,O
SZOILJT,X,O
SZOIJTL,X,O
SZOIJLT,X,O
SZOLTIJ,X,X
SZOLTJI,X,X
SZOLITJ,X,X
SZOLIJT,X,X
SZOLJTI,X,X
SZOLJIT,X,X
SZOJTIL,X,X
SZOJTLI,X,X
