sequence,v115@2gA8CeG8DeI8AeH8BeI8AeB8Je9MJvhFUjB2wBvmBJ?fBqkBTgB,v115@2gA8CeG8DeI8AeH8BeI8AeB8Je9MJvhFUjBJmBqrB2?pBTgBvfB,v115@2gA8CeG8DeI8AeH8BeI8AeB8Je9MJvhFUjBJmBqrBz?kBOkBvgB
IJTLOZS,O,O,O
IJTSLZO,O,O,O
IJTSLOZ,O,O,O
IJTSZLO,O,O,O
IJTSZOL,O,O,O
IJTSOLZ,O,O,O
IJTSOZL,O,O,O
IJTZLSO,O,O,O
IJTZLOS,O,O,O
IJTZSLO,O,O,O
IJTZSOL,O,O,O
IJTZOLS,O,O,O
IJTZOSL,O,O,O
IJTOLSZ,O,O,O
IJTOLZS,O,O,O
IJTOSLZ,O,O,O
IJTOSZL,O,O,O
IJTOZLS,O,O,O
IJTOZSL,O,O,O
IJLTSZO,O,O,X
IJLTSOZ,O,O,X
IJLTZSO,O,O,X
IJLTZOS,O,O,X
IJLTOSZ,O,O,X
IJLTOZS,O,O,X
IJLSTZO,X,O,X
IJLSTOZ,X,O,X
IJLSZTO,X,O,X
IJLSZOT,X,O,X
IJLSOTZ,X,O,X
IJLSOZT,X,O,X
IJLZTSO,O,O,X
IJLZTOS,O,O,X
IJLZSTO,X,O,X
IJLZSOT,X,O,X
IJLZOTS,O,O,X
IJLZOST,X,O,X
IJLOTSZ,O,O,X
IJLOTZS,O,O,X
IJLOSTZ,X,O,X
IJLOSZT,X,O,X
IJLOZTS,O,O,X
IJLOZST,X,O,X
IJSTLZO,X,O,O
IJSTLOZ,X,O,O
IJSTZLO,X,O,O
IJSTZOL,X,O,O
IJSTOLZ,X,O,O
IJSTOZL,X,O,O
IJSLTZO,X,O,X
IJSLTOZ,X,O,X
IJSLZTO,X,O,X
IJSLZOT,X,O,X
IJSLOTZ,X,O,X
IJSLOZT,X,O,X
IJSZTLO,X,O,O
IJSZTOL,X,O,O
IJSZLTO,X,O,X
IJSZLOT,X,O,X
IJSZOTL,X,O,O
IJSZOLT,X,O,O
IJSOTLZ,X,O,O
IJSOTZL,X,O,O
IJSOLTZ,X,O,O
IJSOLZT,X,O,O
IJSOZTL,X,O,O
IJSOZLT,X,O,O
IJZTLSO,O,O,O
IJZTLOS,O,O,O
IJZTSLO,O,O,O
IJZTSOL,O,O,O
IJZTOLS,O,O,O
IJZTOSL,O,O,O
IJZLTSO,O,O,X
IJZLTOS,O,O,X
IJZLSTO,X,O,X
IJZLSOT,X,O,X
IJZLOTS,O,O,X
IJZLOST,X,O,X
IJZSTLO,X,O,O
IJZSTOL,X,O,O
IJZSLTO,X,O,X
IJZSLOT,X,O,X
IJZSOTL,X,O,O
IJZSOLT,X,O,O
IJZOTLS,X,O,O
IJZOTSL,X,O,O
IJZOLTS,X,O,O
IJZOLST,X,O,O
IJZOSTL,X,O,O
IJZOSLT,X,O,O
IJOTLSZ,X,O,O
IJOTLZS,X,O,O
IJOTSLZ,X,O,O
IJOTSZL,X,O,O
IJOTZLS,X,O,O
IJOTZSL,X,O,O
IJOLTSZ,X,O,O
IJOLTZS,X,O,O
IJOLSTZ,X,O,O
IJOLSZT,X,O,O
IJOLZTS,X,O,O
IJOLZST,X,O,O
IJOSTLZ,X,O,O
IJOSTZL,X,O,O
IJOSLTZ,X,O,O
IJOSLZT,X,O,O
IJOSZTL,X,O,O
IJOSZLT,X,O,O
IJOZTLS,X,O,O
IJOZTSL,X,O,O
IJOZLTS,X,O,O
IJOZLST,X,O,O
IJOZSTL,X,O,O
IJOZSLT,X,O,O
ISTLJZO,O,O,O
ISTLJOZ,O,O,O
ISTLZJO,O,O,O
ISTLZOJ,O,O,O
ISTLOJZ,O,O,O
ISTLOZJ,O,O,O
ISTJLZO,O,O,O
ISTJLOZ,O,O,O
ISTJZLO,O,O,O
ISTJZOL,O,O,O
ISTJOLZ,O,O,O
ISTJOZL,O,O,O
ISTZLJO,O,O,O
ISTZLOJ,O,O,O
ISTZJLO,O,O,O
ISTZJOL,O,O,O
ISTZOLJ,X,O,O
ISTZOJL,X,O,O
ISTOLJZ,X,O,O
ISTOLZJ,X,O,O
ISTOJLZ,X,O,O
ISTOJZL,X,O,O
ISTOZLJ,X,O,O
ISTOZJL,X,O,O
ISLTJZO,O,X,O
ISLTJOZ,O,X,O
ISLTZJO,O,X,O
ISLTZOJ,O,X,O
ISLTOJZ,O,X,O
ISLTOZJ,O,X,O
ISLJTZO,X,X,X
ISLJTOZ,X,X,X
ISLJZTO,X,X,X
ISLJZOT,X,X,X
ISLJOTZ,X,X,X
ISLJOZT,X,X,X
ISLZTJO,O,X,O
ISLZTOJ,O,X,O
ISLZJTO,X,X,X
ISLZJOT,X,X,X
ISLZOTJ,O,X,O
ISLZOJT,X,X,O
ISLOTJZ,O,X,O
ISLOTZJ,O,X,O
ISLOJTZ,X,X,O
ISLOJZT,X,X,O
ISLOZTJ,O,X,O
ISLOZJT,X,X,O
ISJTLZO,X,O,O
ISJTLOZ,X,O,O
ISJTZLO,X,O,O
ISJTZOL,X,O,O
ISJTOLZ,X,O,O
ISJTOZL,X,O,O
ISJLTZO,X,O,X
ISJLTOZ,X,O,X
ISJLZTO,X,O,X
ISJLZOT,X,O,X
ISJLOTZ,X,O,X
ISJLOZT,X,O,X
ISJZTLO,X,O,O
ISJZTOL,X,O,O
ISJZLTO,X,O,X
ISJZLOT,X,O,X
ISJZOTL,X,O,O
ISJZOLT,X,O,O
ISJOTLZ,X,O,O
ISJOTZL,X,O,O
ISJOLTZ,X,O,O
ISJOLZT,X,O,O
ISJOZTL,X,O,O
ISJOZLT,X,O,O
ISZTLJO,O,O,O
ISZTLOJ,O,O,O
ISZTJLO,O,O,O
ISZTJOL,O,O,O
ISZTOLJ,X,O,O
ISZTOJL,X,O,O
ISZLTJO,O,X,O
ISZLTOJ,O,X,O
ISZLJTO,X,X,X
ISZLJOT,X,X,X
ISZLOTJ,O,X,O
ISZLOJT,X,X,O
ISZJTLO,X,O,O
ISZJTOL,X,O,O
ISZJLTO,X,O,X
ISZJLOT,X,O,X
ISZJOTL,X,O,O
ISZJOLT,X,O,O
ISZOTLJ,X,O,O
ISZOTJL,X,O,O
ISZOLTJ,X,X,O
ISZOLJT,X,X,O
ISZOJTL,X,O,O
ISZOJLT,X,O,O
ISOTLJZ,X,O,O
ISOTLZJ,X,O,O
ISOTJLZ,X,O,O
ISOTJZL,X,O,O
ISOTZLJ,X,O,O
ISOTZJL,X,O,O
ISOLTJZ,X,X,O
ISOLTZJ,X,X,O
ISOLJTZ,X,X,O
ISOLJZT,X,X,O
ISOLZTJ,X,X,O
ISOLZJT,X,X,O
ISOJTLZ,X,O,O
ISOJTZL,X,O,O
ISOJLTZ,X,O,O
ISOJLZT,X,O,O
ISOJZTL,X,O,O
ISOJZLT,X,O,O
ISOZTLJ,X,O,O
ISOZTJL,X,O,O
ISOZLTJ,X,X,O
ISOZLJT,X,X,O
ISOZJTL,X,O,O
ISOZJLT,X,O,O
IZTLJSO,O,O,O
IZTLJOS,O,O,O
IZTLSJO,O,O,O
IZTLSOJ,O,O,O
IZTLOJS,O,O,O
IZTLOSJ,O,O,O
IZTJLSO,O,O,O
IZTJLOS,O,O,O
IZTJSLO,O,O,O
IZTJSOL,O,O,O
IZTJOLS,O,O,O
IZTJOSL,O,O,O
IZTSLJO,O,O,O
IZTSLOJ,O,O,O
IZTSJLO,O,O,O
IZTSJOL,O,O,O
IZTSOLJ,X,O,O
IZTSOJL,X,O,O
IZTOLJS,O,O,O
IZTOLSJ,O,O,O
IZTOJLS,O,O,O
IZTOJSL,O,O,O
IZTOSLJ,X,O,O
IZTOSJL,X,O,O
IZLTJSO,O,O,O
IZLTJOS,O,O,O
IZLTSJO,O,O,O
IZLTSOJ,O,O,O
IZLTOJS,O,O,O
IZLTOSJ,O,O,O
IZLJTSO,O,O,X
IZLJTOS,O,O,X
IZLJSTO,X,O,X
IZLJSOT,X,O,X
IZLJOTS,O,O,X
IZLJOST,X,O,X
IZLSTJO,O,X,O
IZLSTOJ,O,X,O
IZLSJTO,X,X,X
IZLSJOT,X,X,X
IZLSOTJ,O,X,O
IZLSOJT,X,X,O
IZLOTJS,O,O,O
IZLOTSJ,O,O,O
IZLOJTS,O,O,O
IZLOJST,X,O,O
IZLOSTJ,O,X,O
IZLOSJT,X,X,O
IZJTLSO,O,O,O
IZJTLOS,O,O,O
IZJTSLO,O,O,O
IZJTSOL,O,O,O
IZJTOLS,O,O,O
IZJTOSL,O,O,O
IZJLTSO,O,O,X
IZJLTOS,O,O,X
IZJLSTO,X,O,X
IZJLSOT,X,O,X
IZJLOTS,O,O,X
IZJLOST,X,O,X
IZJSTLO,X,O,O
IZJSTOL,X,O,O
IZJSLTO,X,O,X
IZJSLOT,X,O,X
IZJSOTL,X,O,O
IZJSOLT,X,O,O
IZJOTLS,X,O,O
IZJOTSL,X,O,O
IZJOLTS,X,O,O
IZJOLST,X,O,O
IZJOSTL,X,O,O
IZJOSLT,X,O,O
IZSTLJO,O,O,O
IZSTLOJ,O,O,O
IZSTJLO,O,O,O
IZSTJOL,O,O,O
IZSTOLJ,X,O,O
IZSTOJL,X,O,O
IZSLTJO,O,X,O
IZSLTOJ,O,X,O
IZSLJTO,X,X,X
IZSLJOT,X,X,X
IZSLOTJ,O,X,O
IZSLOJT,X,X,O
IZSJTLO,X,O,O
IZSJTOL,X,O,O
IZSJLTO,X,O,X
IZSJLOT,X,O,X
IZSJOTL,X,O,O
IZSJOLT,X,O,O
IZSOTLJ,X,O,O
IZSOTJL,X,O,O
IZSOLTJ,X,X,O
IZSOLJT,X,X,O
IZSOJTL,X,O,O
IZSOJLT,X,O,O
IZOTLJS,O,O,O
IZOTLSJ,O,O,O
IZOTJLS,O,O,O
IZOTJSL,O,O,O
IZOTSLJ,X,O,O
IZOTSJL,X,O,O
IZOLTJS,O,O,O
IZOLTSJ,O,O,O
IZOLJTS,O,O,O
IZOLJST,X,O,O
IZOLSTJ,O,X,O
IZOLSJT,X,X,O
IZOJTLS,X,O,O
IZOJTSL,X,O,O
IZOJLTS,X,O,O
IZOJLST,X,O,O
IZOJSTL,X,O,O
IZOJSLT,X,O,O
IZOSTLJ,X,O,O
IZOSTJL,X,O,O
IZOSLTJ,X,X,O
IZOSLJT,X,X,O
IZOSJTL,X,O,O
IZOSJLT,X,O,O
IOTLJSZ,O,O,O
IOTLJZS,O,O,O
IOTLSJZ,O,O,O
IOTLSZJ,O,O,O
IOTLZJS,O,O,O
IOTLZSJ,O,O,O
IOTJLSZ,O,O,O
IOTJLZS,O,O,O
IOTJSLZ,O,O,O
IOTJSZL,O,O,O
IOTJZLS,O,O,O
IOTJZSL,O,O,O
IOTSLJZ,X,O,O
IOTSLZJ,X,O,O
IOTSJLZ,X,O,O
IOTSJZL,X,O,O
IOTSZLJ,X,O,O
IOTSZJL,X,O,O
IOTZLJS,O,O,O
IOTZLSJ,O,O,O
IOTZJLS,O,O,O
IOTZJSL,O,O,O
IOTZSLJ,X,O,O
IOTZSJL,X,O,O
IOLTJSZ,O,O,O
IOLTJZS,O,O,O
IOLTSJZ,O,O,O
IOLTSZJ,O,O,O
IOLTZJS,O,O,O
IOLTZSJ,O,O,O
IOLJTSZ,O,O,O
IOLJTZS,O,O,O
IOLJSTZ,X,O,O
IOLJSZT,X,O,O
IOLJZTS,O,O,O
IOLJZST,X,O,O
IOLSTJZ,O,X,O
IOLSTZJ,O,X,O
IOLSJTZ,X,X,O
IOLSJZT,X,X,O
IOLSZTJ,O,X,O
IOLSZJT,X,X,O
IOLZTJS,O,O,O
IOLZTSJ,O,O,O
IOLZJTS,O,O,O
IOLZJST,X,O,O
IOLZSTJ,O,X,O
IOLZSJT,X,X,O
IOJTLSZ,X,O,O
IOJTLZS,X,O,O
IOJTSLZ,X,O,O
IOJTSZL,X,O,O
IOJTZLS,X,O,O
IOJTZSL,X,O,O
IOJLTSZ,X,O,O
IOJLTZS,X,O,O
IOJLSTZ,X,O,O
IOJLSZT,X,O,O
IOJLZTS,X,O,O
IOJLZST,X,O,O
IOJSTLZ,X,O,O
IOJSTZL,X,O,O
IOJSLTZ,X,O,O
IOJSLZT,X,O,O
IOJSZTL,X,O,O
IOJSZLT,X,O,O
IOJZTLS,X,O,O
IOJZTSL,X,O,O
IOJZLTS,X,O,O
IOJZLST,X,O,O
IOJZSTL,X,O,O
IOJZSLT,X,O,O
IOSTLJZ,X,O,O
IOSTLZJ,X,O,O
IOSTJLZ,X,O,O
IOSTJZL,X,O,O
IOSTZLJ,X,O,O
IOSTZJL,X,O,O
IOSLTJZ,X,X,O
IOSLTZJ,X,X,O
IOSLJTZ,X,X,O
IOSLJZT,X,X,O
IOSLZTJ,X,X,O
IOSLZJT,X,X,O
IOSJTLZ,X,O,O
IOSJTZL,X,O,O
IOSJLTZ,X,O,O
IOSJLZT,X,O,O
IOSJZTL,X,O,O
IOSJZLT,X,O,O
IOSZTLJ,X,O,O
IOSZTJL,X,O,O
IOSZLTJ,X,X,O
IOSZLJT,X,X,O
IOSZJTL,X,O,O
IOSZJLT,X,O,O
IOZTLJS,O,O,O
IOZTLSJ,O,O,O
IOZTJLS,O,O,O
IOZTJSL,O,O,O
IOZTSLJ,X,O,O
IOZTSJL,X,O,O
IOZLTJS,O,O,O
IOZLTSJ,O,O,O
IOZLJTS,O,O,O
IOZLJST,X,O,O
IOZLSTJ,O,X,O
IOZLSJT,X,X,O
IOZJTLS,X,O,O
IOZJTSL,X,O,O
IOZJLTS,X,O,O
IOZJLST,X,O,O
IOZJSTL,X,O,O
IOZJSLT,X,O,O
IOZSTLJ,X,O,O
IOZSTJL,X,O,O
IOZSLTJ,X,X,O
IOZSLJT,X,X,O
IOZSJTL,X,O,O
IOZSJLT,X,O,O
LTIJSZO,O,O,O
LTIJSOZ,O,O,O
LTIJZSO,O,O,O
LTIJZOS,O,O,O
LTIJOSZ,O,O,O
LTIJOZS,O,O,O
LTISJZO,O,O,O
LTISJOZ,O,O,O
LTISZJO,O,O,O
LTISZOJ,O,O,O
LTISOJZ,O,O,O
LTISOZJ,O,O,O
LTIZJSO,O,O,O
LTIZJOS,O,O,O
LTIZSJO,O,O,O
LTIZSOJ,O,O,O
LTIZOJS,O,O,O
LTIZOSJ,O,O,O
LTIOJSZ,O,O,O
LTIOJZS,O,O,O
LTIOSJZ,O,O,O
LTIOSZJ,O,O,O
LTIOZJS,O,O,O
LTIOZSJ,O,O,O
LTJISZO,O,O,O
LTJISOZ,O,O,O
LTJIZSO,O,O,O
LTJIZOS,O,O,O
LTJIOSZ,O,O,O
LTJIOZS,O,O,O
LTJSIZO,O,O,O
LTJSIOZ,O,O,O
LTJSZIO,O,O,O
LTJSZOI,O,O,O
LTJSOIZ,O,O,O
LTJSOZI,O,O,O
LTJZISO,O,O,O
LTJZIOS,O,O,O
LTJZSIO,O,O,O
LTJZSOI,O,O,O
LTJZOIS,O,O,O
LTJZOSI,O,O,O
LTJOISZ,O,O,O
LTJOIZS,O,O,O
LTJOSIZ,O,O,O
LTJOSZI,O,O,O
LTJOZIS,O,O,O
LTJOZSI,O,O,O
LTSIJZO,O,O,O
LTSIJOZ,O,O,O
LTSIZJO,O,O,O
LTSIZOJ,O,O,O
LTSIOJZ,O,O,O
LTSIOZJ,O,O,O
LTSJIZO,O,O,O
LTSJIOZ,O,O,O
LTSJZIO,O,O,O
LTSJZOI,O,O,O
LTSJOIZ,O,O,O
LTSJOZI,O,O,O
LTSZIJO,O,O,O
LTSZIOJ,O,O,O
LTSZJIO,O,O,O
LTSZJOI,O,O,O
LTSZOIJ,O,O,O
LTSZOJI,O,O,O
LTSOIJZ,O,O,O
LTSOIZJ,O,O,O
LTSOJIZ,O,O,O
LTSOJZI,O,O,O
LTSOZIJ,O,O,O
LTSOZJI,O,O,O
LTZIJSO,O,O,O
LTZIJOS,O,O,O
LTZISJO,O,O,O
LTZISOJ,O,O,O
LTZIOJS,O,O,O
LTZIOSJ,O,O,O
LTZJISO,O,O,O
LTZJIOS,O,O,O
LTZJSIO,O,O,O
LTZJSOI,O,O,O
LTZJOIS,O,O,O
LTZJOSI,O,O,O
LTZSIJO,O,O,O
LTZSIOJ,O,O,O
LTZSJIO,O,O,O
LTZSJOI,O,O,O
LTZSOIJ,O,O,O
LTZSOJI,O,O,O
LTZOIJS,O,O,O
LTZOISJ,O,O,O
LTZOJIS,O,O,O
LTZOJSI,O,O,O
LTZOSIJ,O,O,O
LTZOSJI,O,O,O
LTOIJSZ,O,O,O
LTOIJZS,O,O,O
LTOISJZ,O,O,O
LTOISZJ,O,O,O
LTOIZJS,O,O,O
LTOIZSJ,O,O,O
LTOJISZ,O,O,O
LTOJIZS,O,O,O
LTOJSIZ,O,O,O
LTOJSZI,O,O,O
LTOJZIS,O,O,O
LTOJZSI,O,O,O
LTOSIJZ,O,O,O
LTOSIZJ,O,O,O
LTOSJIZ,O,O,O
LTOSJZI,O,O,O
LTOSZIJ,O,O,O
LTOSZJI,O,O,O
LTOZIJS,O,O,O
LTOZISJ,O,O,O
LTOZJIS,O,O,O
LTOZJSI,O,O,O
LTOZSIJ,O,O,O
LTOZSJI,O,O,O
LITJSZO,O,O,O
LITJSOZ,O,O,O
LITJZSO,O,O,O
LITJZOS,O,O,O
LITJOSZ,O,O,O
LITJOZS,O,O,O
LITSJZO,O,O,O
LITSJOZ,O,O,O
LITSZJO,O,O,O
LITSZOJ,O,O,O
LITSOJZ,O,O,O
LITSOZJ,O,O,O
LITZJSO,O,O,O
LITZJOS,O,O,O
LITZSJO,O,O,O
LITZSOJ,O,O,O
LITZOJS,O,O,O
LITZOSJ,O,O,O
LITOJSZ,O,O,O
LITOJZS,O,O,O
LITOSJZ,O,O,O
LITOSZJ,O,O,O
LITOZJS,O,O,O
LITOZSJ,O,O,O
LIJTSZO,O,O,X
LIJTSOZ,O,O,X
LIJTZSO,O,O,X
LIJTZOS,O,O,X
LIJTOSZ,O,O,X
LIJTOZS,O,O,X
LIJSTZO,X,O,X
LIJSTOZ,X,O,X
LIJSZTO,X,O,X
LIJSZOT,X,O,X
LIJSOTZ,X,O,X
LIJSOZT,X,O,X
LIJZTSO,O,O,X
LIJZTOS,O,O,X
LIJZSTO,X,O,X
LIJZSOT,X,O,X
LIJZOTS,O,O,X
LIJZOST,X,O,X
LIJOTSZ,O,O,X
LIJOTZS,O,O,X
LIJOSTZ,X,O,X
LIJOSZT,X,O,X
LIJOZTS,O,O,X
LIJOZST,X,O,X
LISTJZO,O,X,O
LISTJOZ,O,X,O
LISTZJO,O,X,O
LISTZOJ,O,X,O
LISTOJZ,O,X,O
LISTOZJ,O,X,O
LISJTZO,X,X,X
LISJTOZ,X,X,X
LISJZTO,X,X,X
LISJZOT,X,X,X
LISJOTZ,X,X,X
LISJOZT,X,X,X
LISZTJO,O,X,O
LISZTOJ,O,X,O
LISZJTO,X,X,X
LISZJOT,X,X,X
LISZOTJ,O,X,O
LISZOJT,X,X,O
LISOTJZ,O,X,O
LISOTZJ,O,X,O
LISOJTZ,X,X,O
LISOJZT,X,X,O
LISOZTJ,O,X,O
LISOZJT,X,X,O
LIZTJSO,O,O,O
LIZTJOS,O,O,O
LIZTSJO,O,O,O
LIZTSOJ,O,O,O
LIZTOJS,O,O,O
LIZTOSJ,O,O,O
LIZJTSO,O,O,X
LIZJTOS,O,O,X
LIZJSTO,X,O,X
LIZJSOT,X,O,X
LIZJOTS,O,O,X
LIZJOST,X,O,X
LIZSTJO,O,X,O
LIZSTOJ,O,X,O
LIZSJTO,X,X,X
LIZSJOT,X,X,X
LIZSOTJ,O,X,O
LIZSOJT,X,X,O
LIZOTJS,O,O,O
LIZOTSJ,O,O,O
LIZOJTS,O,O,O
LIZOJST,X,O,O
LIZOSTJ,O,X,O
LIZOSJT,X,X,O
LIOTJSZ,O,O,O
LIOTJZS,O,O,O
LIOTSJZ,O,O,O
LIOTSZJ,O,O,O
LIOTZJS,O,O,O
LIOTZSJ,O,O,O
LIOJTSZ,O,O,O
LIOJTZS,O,O,O
LIOJSTZ,X,O,O
LIOJSZT,X,O,O
LIOJZTS,O,O,O
LIOJZST,X,O,O
LIOSTJZ,O,X,O
LIOSTZJ,O,X,O
LIOSJTZ,X,X,O
LIOSJZT,X,X,O
LIOSZTJ,O,X,O
LIOSZJT,X,X,O
LIOZTJS,O,O,O
LIOZTSJ,O,O,O
LIOZJTS,O,O,O
LIOZJST,X,O,O
LIOZSTJ,O,X,O
LIOZSJT,X,X,O
LJTISZO,O,O,X
LJTISOZ,O,O,X
LJTIZSO,O,O,X
LJTIZOS,O,O,X
LJTIOSZ,O,O,X
LJTIOZS,O,O,X
LJTSIZO,O,O,X
LJTSIOZ,O,O,X
LJTSZIO,O,O,X
LJTSZOI,O,O,X
LJTSOIZ,O,O,X
LJTSOZI,O,O,X
LJTZISO,O,O,X
LJTZIOS,O,O,X
LJTZSIO,O,O,X
LJTZSOI,O,O,X
LJTZOIS,O,O,X
LJTZOSI,O,O,X
LJTOISZ,O,O,X
LJTOIZS,O,O,X
LJTOSIZ,O,O,X
LJTOSZI,O,O,X
LJTOZIS,O,O,X
LJTOZSI,O,O,X
LJITSZO,O,O,X
LJITSOZ,O,O,X
LJITZSO,O,O,X
LJITZOS,O,O,X
LJITOSZ,O,O,X
LJITOZS,O,O,X
LJISTZO,X,O,X
LJISTOZ,X,O,X
LJISZTO,X,O,X
LJISZOT,X,O,X
LJISOTZ,X,O,X
LJISOZT,X,O,X
LJIZTSO,O,O,X
LJIZTOS,O,O,X
LJIZSTO,X,O,X
LJIZSOT,X,O,X
LJIZOTS,O,O,X
LJIZOST,X,O,X
LJIOTSZ,O,O,X
LJIOTZS,O,O,X
LJIOSTZ,X,O,X
LJIOSZT,X,O,X
LJIOZTS,O,O,X
LJIOZST,X,O,X
LJSTIZO,X,O,X
LJSTIOZ,X,O,X
LJSTZIO,X,O,X
LJSTZOI,X,O,X
LJSTOIZ,X,O,X
LJSTOZI,X,O,X
LJSITZO,X,O,X
LJSITOZ,X,O,X
LJSIZTO,X,O,X
LJSIZOT,X,O,X
LJSIOTZ,X,O,X
LJSIOZT,X,O,X
LJSZTIO,X,O,X
LJSZTOI,X,O,X
LJSZITO,X,O,X
LJSZIOT,X,O,X
LJSZOTI,X,O,X
LJSZOIT,X,O,X
LJSOTIZ,X,O,X
LJSOTZI,X,O,X
LJSOITZ,X,O,X
LJSOIZT,X,O,X
LJSOZTI,X,O,X
LJSOZIT,X,O,X
LJZTISO,O,O,X
LJZTIOS,O,O,X
LJZTSIO,O,O,X
LJZTSOI,O,O,X
LJZTOIS,O,O,X
LJZTOSI,O,O,X
LJZITSO,O,O,X
LJZITOS,O,O,X
LJZISTO,X,O,X
LJZISOT,X,O,X
LJZIOTS,O,O,X
LJZIOST,X,O,X
LJZSTIO,X,O,X
LJZSTOI,X,O,X
LJZSITO,X,O,X
LJZSIOT,X,O,X
LJZSOTI,X,O,X
LJZSOIT,X,O,X
LJZOTIS,O,O,X
LJZOTSI,O,O,X
LJZOITS,O,O,X
LJZOIST,X,O,X
LJZOSTI,X,O,X
LJZOSIT,X,O,X
LJOTISZ,O,O,X
LJOTIZS,O,O,X
LJOTSIZ,O,O,X
LJOTSZI,O,O,X
LJOTZIS,O,O,X
LJOTZSI,O,O,X
LJOITSZ,O,O,X
LJOITZS,O,O,X
LJOISTZ,X,O,X
LJOISZT,X,O,X
LJOIZTS,O,O,X
LJOIZST,X,O,X
LJOSTIZ,X,O,X
LJOSTZI,X,O,X
LJOSITZ,X,O,X
LJOSIZT,X,O,X
LJOSZTI,X,O,X
LJOSZIT,X,O,X
LJOZTIS,O,O,X
LJOZTSI,O,O,X
LJOZITS,O,O,X
LJOZIST,X,O,X
LJOZSTI,X,O,X
LJOZSIT,X,O,X
LSTIJZO,O,X,O
LSTIJOZ,O,X,O
LSTIZJO,O,X,O
LSTIZOJ,O,X,O
LSTIOJZ,O,X,O
LSTIOZJ,O,X,O
LSTJIZO,O,X,O
LSTJIOZ,O,X,O
LSTJZIO,O,X,O
LSTJZOI,O,X,O
LSTJOIZ,O,X,O
LSTJOZI,O,X,O
LSTZIJO,O,X,O
LSTZIOJ,O,X,O
LSTZJIO,O,X,O
LSTZJOI,O,X,O
LSTZOIJ,O,X,O
LSTZOJI,O,X,O
LSTOIJZ,O,X,O
LSTOIZJ,O,X,O
LSTOJIZ,O,X,O
LSTOJZI,O,X,O
LSTOZIJ,O,X,O
LSTOZJI,O,X,O
LSITJZO,O,X,O
LSITJOZ,O,X,O
LSITZJO,O,X,O
LSITZOJ,O,X,O
LSITOJZ,O,X,O
LSITOZJ,O,X,O
LSIJTZO,X,X,X
LSIJTOZ,X,X,X
LSIJZTO,X,X,X
LSIJZOT,X,X,X
LSIJOTZ,X,X,X
LSIJOZT,X,X,X
LSIZTJO,O,X,O
LSIZTOJ,O,X,O
LSIZJTO,X,X,X
LSIZJOT,X,X,X
LSIZOTJ,O,X,O
LSIZOJT,X,X,O
LSIOTJZ,O,X,O
LSIOTZJ,O,X,O
LSIOJTZ,X,X,O
LSIOJZT,X,X,O
LSIOZTJ,O,X,O
LSIOZJT,X,X,O
LSJTIZO,X,X,X
LSJTIOZ,X,X,X
LSJTZIO,X,X,X
LSJTZOI,X,X,X
LSJTOIZ,X,X,X
LSJTOZI,X,X,X
LSJITZO,X,X,X
LSJITOZ,X,X,X
LSJIZTO,X,X,X
LSJIZOT,X,X,X
LSJIOTZ,X,X,X
LSJIOZT,X,X,X
LSJZTIO,X,X,X
LSJZTOI,X,X,X
LSJZITO,X,X,X
LSJZIOT,X,X,X
LSJZOTI,X,X,X
LSJZOIT,X,X,X
LSJOTIZ,X,X,X
LSJOTZI,X,X,X
LSJOITZ,X,X,X
LSJOIZT,X,X,X
LSJOZTI,X,X,X
LSJOZIT,X,X,X
LSZTIJO,O,X,O
LSZTIOJ,O,X,O
LSZTJIO,O,X,O
LSZTJOI,O,X,O
LSZTOIJ,O,X,O
LSZTOJI,O,X,O
LSZITJO,O,X,O
LSZITOJ,O,X,O
LSZIJTO,X,X,X
LSZIJOT,X,X,X
LSZIOTJ,O,X,O
LSZIOJT,X,X,O
LSZJTIO,X,X,X
LSZJTOI,X,X,X
LSZJITO,X,X,X
LSZJIOT,X,X,X
LSZJOTI,X,X,X
LSZJOIT,X,X,X
LSZOTIJ,O,X,O
LSZOTJI,O,X,O
LSZOITJ,O,X,O
LSZOIJT,X,X,O
LSZOJTI,X,X,O
LSZOJIT,X,X,O
LSOTIJZ,O,X,O
LSOTIZJ,O,X,O
LSOTJIZ,O,X,O
LSOTJZI,O,X,O
LSOTZIJ,O,X,O
LSOTZJI,O,X,O
LSOITJZ,O,X,O
LSOITZJ,O,X,O
LSOIJTZ,X,X,O
LSOIJZT,X,X,O
LSOIZTJ,O,X,O
LSOIZJT,X,X,O
LSOJTIZ,X,X,O
LSOJTZI,X,X,O
LSOJITZ,X,X,O
LSOJIZT,X,X,O
LSOJZTI,X,X,O
LSOJZIT,X,X,O
LSOZTIJ,O,X,O
LSOZTJI,O,X,O
LSOZITJ,O,X,O
LSOZIJT,X,X,O
LSOZJTI,X,X,O
LSOZJIT,X,X,O
LZTIJSO,O,O,O
LZTIJOS,O,O,O
LZTISJO,O,O,O
LZTISOJ,O,O,O
LZTIOJS,O,O,O
LZTIOSJ,O,O,O
LZTJISO,O,O,O
LZTJIOS,O,O,O
LZTJSIO,O,O,O
LZTJSOI,O,O,O
LZTJOIS,O,O,O
LZTJOSI,O,O,O
LZTSIJO,O,O,O
LZTSIOJ,O,O,O
LZTSJIO,O,O,O
LZTSJOI,O,O,O
LZTSOIJ,O,O,O
LZTSOJI,O,O,O
LZTOIJS,O,O,O
LZTOISJ,O,O,O
LZTOJIS,O,O,O
