sequence,v115@MhA8HeB8BeA8BeH8KeT/IvhF/lBFhBOnB8nB5oBipB,v115@MhA8HeB8BeA8BeH8Ke/FJvhFFhBKnBziB5oBOpB0pB,v115@MhA8HeB8BeA8BeH8Kei/IvhFFhB2nB5oBcpBTqB3sB
IJTSZOL,X,X,X
IJTSOLZ,X,X,X
IJTSOZL,X,X,X
IJTZLSO,X,X,X
IJTZLOS,X,X,X
IJTZSLO,X,X,X
IJTZSOL,X,X,X
IJTZOLS,X,X,X
IJTZOSL,X,X,X
IJTOLSZ,X,X,X
IJTOLZS,X,X,X
IJTOSLZ,X,X,X
IJTOSZL,X,X,X
IJTOZLS,X,X,O
IJTOZSL,X,X,X
IJLTSZO,X,X,X
IJLTSOZ,X,O,X
IJLTZSO,X,X,X
IJLTZOS,X,X,X
IJLTOSZ,X,O,X
IJLTOZS,X,X,X
IJLSTZO,X,X,X
IJLSTOZ,X,O,X
IJLSZTO,X,X,X
IJLSZOT,X,X,X
IJLSOTZ,X,O,X
IJLSOZT,X,X,X
IJLZTSO,X,X,X
IJLZTOS,X,X,X
IJLZSTO,X,X,X
IJLZSOT,X,X,X
IJLZOTS,X,X,X
IJLZOST,X,X,X
IJLOTSZ,X,O,X
IJLOTZS,X,X,X
IJLOSTZ,X,O,X
IJLOSZT,X,X,X
IJLOZTS,X,X,X
IJLOZST,X,X,X
IJSTLZO,X,X,X
IJSTLOZ,X,O,X
IJSTZLO,X,X,X
IJSTZOL,X,X,X
IJSTOLZ,X,X,X
IJSTOZL,X,X,X
IJSLTZO,X,X,X
IJSLTOZ,X,O,X
IJSLZTO,X,X,X
IJSLZOT,X,X,X
IJSLOTZ,X,O,X
IJSLOZT,X,X,X
IJSZTLO,X,X,X
IJSZTOL,X,X,X
IJSZLTO,X,X,X
IJSZLOT,X,X,X
IJSZOTL,X,X,X
IJSZOLT,X,X,X
IJSOTLZ,X,X,X
IJSOTZL,X,X,X
IJSOLTZ,X,O,X
IJSOLZT,X,X,X
IJSOZTL,X,X,X
IJSOZLT,X,X,X
IJZTLSO,X,X,X
IJZTLOS,X,X,X
IJZTSLO,X,X,X
IJZTSOL,X,X,X
IJZTOLS,X,X,X
IJZTOSL,X,X,X
IJZLTSO,X,X,X
IJZLTOS,X,X,X
IJZLSTO,X,X,X
IJZLSOT,X,X,X
IJZLOTS,X,X,X
IJZLOST,X,X,X
IJZSTLO,X,X,X
IJZSTOL,X,X,X
IJZSLTO,X,X,X
IJZSLOT,X,X,X
IJZSOTL,X,X,X
IJZSOLT,X,X,X
IJZOTLS,X,X,O
IJZOTSL,X,X,X
IJZOLTS,X,X,O
IJZOLST,X,X,X
IJZOSTL,X,X,X
IJZOSLT,X,X,X
IJOTLSZ,X,X,X
IJOTLZS,X,X,X
IJOTSLZ,X,X,X
IJOTSZL,X,X,X
IJOTZLS,X,X,O
IJOTZSL,X,X,X
IJOLTSZ,X,O,X
IJOLTZS,X,X,X
IJOLSTZ,X,O,X
IJOLSZT,X,X,X
IJOLZTS,X,X,X
IJOLZST,X,X,X
IJOSTLZ,X,X,X
IJOSTZL,X,X,X
IJOSLTZ,X,O,X
IJOSLZT,X,X,X
IJOSZTL,X,X,X
IJOSZLT,X,X,X
IJOZTLS,X,X,O
IJOZTSL,X,X,X
IJOZLTS,X,X,O
IJOZLST,X,X,X
IJOZSTL,X,X,X
IJOZSLT,X,X,X
ISTLJZO,X,X,X
ISTLJOZ,X,O,X
ISTLZJO,O,X,X
ISTLZOJ,O,X,X
ISTLOJZ,X,O,X
ISTLOZJ,O,X,X
ISTJLZO,X,X,X
ISTJLOZ,X,O,X
ISTJZLO,X,X,X
ISTJZOL,X,X,X
ISTJOLZ,X,X,X
ISTJOZL,X,X,X
ISTZLJO,O,X,X
ISTZLOJ,O,X,X
ISTZJLO,O,X,X
ISTZJOL,X,X,X
ISTZOLJ,X,X,X
ISTZOJL,X,X,X
ISTOLJZ,X,X,X
ISTOLZJ,X,X,X
ISTOJLZ,X,X,X
ISTOJZL,X,X,X
ISTOZLJ,X,X,X
ISTOZJL,X,X,X
ISLTJZO,X,X,X
ISLTJOZ,X,O,X
ISLTZJO,O,X,X
ISLTZOJ,O,X,X
ISLTOJZ,X,O,X
ISLTOZJ,O,X,X
ISLJTZO,X,X,X
ISLJTOZ,X,O,X
ISLJZTO,X,X,X
ISLJZOT,X,X,X
ISLJOTZ,X,O,X
ISLJOZT,X,X,X
ISLZTJO,O,X,X
ISLZTOJ,O,X,X
ISLZJTO,O,X,X
ISLZJOT,O,X,X
ISLZOTJ,O,X,X
ISLZOJT,O,X,X
ISLOTJZ,X,O,X
ISLOTZJ,O,X,X
ISLOJTZ,X,O,X
ISLOJZT,X,X,X
ISLOZTJ,O,X,X
ISLOZJT,O,X,X
ISJTLZO,X,X,X
ISJTLOZ,X,O,X
ISJTZLO,X,X,X
ISJTZOL,X,X,X
ISJTOLZ,X,X,X
ISJTOZL,X,X,X
ISJLTZO,X,X,X
ISJLTOZ,X,O,X
ISJLZTO,X,X,X
ISJLZOT,X,X,X
ISJLOTZ,X,O,X
ISJLOZT,X,X,X
ISJZTLO,X,X,X
ISJZTOL,X,X,X
ISJZLTO,X,X,X
ISJZLOT,X,X,X
ISJZOTL,X,X,X
ISJZOLT,X,X,X
ISJOTLZ,X,X,X
ISJOTZL,X,X,X
ISJOLTZ,X,O,X
ISJOLZT,X,X,X
ISJOZTL,X,X,X
ISJOZLT,X,X,X
ISZTLJO,O,X,X
ISZTLOJ,O,X,X
ISZTJLO,O,X,X
ISZTJOL,X,X,X
ISZTOLJ,X,X,X
ISZTOJL,X,X,X
ISZLTJO,O,X,X
ISZLTOJ,O,X,X
ISZLJTO,O,X,X
ISZLJOT,O,X,X
ISZLOTJ,O,X,X
ISZLOJT,O,X,X
ISZJTLO,O,X,X
ISZJTOL,X,X,X
ISZJLTO,O,X,X
ISZJLOT,O,X,X
ISZJOTL,X,X,X
ISZJOLT,X,X,X
ISZOTLJ,X,X,X
ISZOTJL,X,X,X
ISZOLTJ,X,X,X
ISZOLJT,X,X,X
ISZOJTL,X,X,X
ISZOJLT,X,X,X
ISOTLJZ,X,X,X
ISOTLZJ,X,X,X
ISOTJLZ,X,X,X
ISOTJZL,X,X,X
ISOTZLJ,X,X,X
ISOTZJL,X,X,X
ISOLTJZ,X,O,X
ISOLTZJ,X,X,X
ISOLJTZ,X,O,X
ISOLJZT,X,X,X
ISOLZTJ,X,X,X
ISOLZJT,X,X,X
ISOJTLZ,X,X,X
ISOJTZL,X,X,X
ISOJLTZ,X,O,X
ISOJLZT,X,X,X
ISOJZTL,X,X,X
ISOJZLT,X,X,X
ISOZTLJ,X,X,X
ISOZTJL,X,X,X
ISOZLTJ,X,X,X
ISOZLJT,X,X,X
ISOZJTL,X,X,X
ISOZJLT,X,X,X
IZTLJSO,X,X,X
IZTLJOS,X,X,X
IZTLSJO,X,X,X
IZTLSOJ,X,X,X
IZTLOJS,X,X,X
IZTLOSJ,X,X,X
IZTJLSO,X,X,X
IZTJLOS,X,X,X
IZTJSLO,O,X,X
IZTJSOL,X,X,X
IZTJOLS,X,X,X
IZTJOSL,X,X,X
IZTSLJO,O,X,X
IZTSLOJ,O,X,X
IZTSJLO,O,X,X
IZTSJOL,X,X,X
IZTSOLJ,X,X,X
IZTSOJL,X,X,X
IZTOLJS,X,X,X
IZTOLSJ,X,X,X
IZTOJLS,X,X,X
IZTOJSL,X,X,X
IZTOSLJ,X,X,X
IZTOSJL,X,X,X
IZLTJSO,X,X,X
IZLTJOS,X,X,X
IZLTSJO,X,X,X
IZLTSOJ,X,X,X
IZLTOJS,X,X,X
IZLTOSJ,X,X,X
IZLJTSO,X,X,X
IZLJTOS,X,X,X
IZLJSTO,O,X,X
IZLJSOT,O,X,X
IZLJOTS,X,X,X
IZLJOST,O,X,X
IZLSTJO,O,X,X
IZLSTOJ,O,X,X
IZLSJTO,O,X,X
IZLSJOT,O,X,X
IZLSOTJ,O,X,X
IZLSOJT,O,X,X
IZLOTJS,X,X,X
IZLOTSJ,X,X,X
IZLOJTS,X,X,X
IZLOJST,O,X,X
IZLOSTJ,O,X,X
IZLOSJT,O,X,X
IZJTLSO,X,X,X
IZJTLOS,X,X,X
IZJTSLO,O,X,X
IZJTSOL,X,X,X
IZJTOLS,X,X,X
IZJTOSL,X,X,X
IZJLTSO,X,X,X
IZJLTOS,X,X,X
IZJLSTO,O,X,X
IZJLSOT,O,X,X
IZJLOTS,X,X,X
IZJLOST,O,X,X
IZJSTLO,O,X,X
IZJSTOL,X,X,X
IZJSLTO,O,X,X
IZJSLOT,O,X,X
IZJSOTL,X,X,X
IZJSOLT,X,X,X
IZJOTLS,X,X,O
IZJOTSL,X,X,X
IZJOLTS,X,X,O
IZJOLST,X,X,X
IZJOSTL,X,X,X
IZJOSLT,X,X,X
IZSTLJO,O,X,X
IZSTLOJ,O,X,X
IZSTJLO,O,X,X
IZSTJOL,X,X,X
IZSTOLJ,X,X,X
IZSTOJL,X,X,X
IZSLTJO,O,X,X
IZSLTOJ,O,X,X
IZSLJTO,O,X,X
IZSLJOT,O,X,X
IZSLOTJ,O,X,X
IZSLOJT,O,X,X
IZSJTLO,O,X,X
IZSJTOL,X,X,X
IZSJLTO,O,X,X
IZSJLOT,O,X,X
IZSJOTL,X,X,X
IZSJOLT,X,X,X
IZSOTLJ,X,X,X
IZSOTJL,X,X,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,X
IZSOJTL,X,X,X
IZSOJLT,X,X,X
IZOTLJS,X,X,O
IZOTLSJ,X,X,X
IZOTJLS,X,X,O
IZOTJSL,X,X,X
IZOTSLJ,X,X,X
IZOTSJL,X,X,X
IZOLTJS,X,X,O
IZOLTSJ,X,X,X
IZOLJTS,X,X,O
IZOLJST,X,X,X
IZOLSTJ,X,X,X
IZOLSJT,X,X,X
IZOJTLS,X,X,O
IZOJTSL,X,X,X
IZOJLTS,X,X,O
IZOJLST,X,X,X
IZOJSTL,X,X,X
IZOJSLT,X,X,X
IZOSTLJ,X,X,X
IZOSTJL,X,X,X
IZOSLTJ,X,X,X
IZOSLJT,X,X,X
IZOSJTL,X,X,X
IZOSJLT,X,X,X
IOTLJSZ,X,X,X
IOTLJZS,X,X,X
IOTLSJZ,X,X,X
IOTLSZJ,X,X,X
IOTLZJS,X,X,X
IOTLZSJ,X,X,X
IOTJLSZ,X,X,X
IOTJLZS,X,X,X
IOTJSLZ,X,X,X
IOTJSZL,X,X,X
IOTJZLS,X,X,O
IOTJZSL,X,X,X
IOTSLJZ,X,X,X
IOTSLZJ,X,X,X
IOTSJLZ,X,X,X
IOTSJZL,X,X,X
IOTSZLJ,X,X,X
IOTSZJL,X,X,X
IOTZLJS,X,X,O
IOTZLSJ,X,X,X
IOTZJLS,X,X,O
IOTZJSL,X,X,X
IOTZSLJ,X,X,X
IOTZSJL,X,X,X
IOLTJSZ,X,O,X
IOLTJZS,X,X,X
IOLTSJZ,X,O,X
IOLTSZJ,X,X,X
IOLTZJS,X,X,X
IOLTZSJ,X,X,X
IOLJTSZ,X,O,X
IOLJTZS,X,X,X
IOLJSTZ,X,O,X
IOLJSZT,X,X,X
IOLJZTS,X,X,X
IOLJZST,X,X,X
IOLSTJZ,X,O,X
IOLSTZJ,X,X,X
IOLSJTZ,X,O,X
IOLSJZT,X,X,X
IOLSZTJ,X,X,X
IOLSZJT,X,X,X
IOLZTJS,X,X,X
IOLZTSJ,X,X,X
IOLZJTS,X,X,X
IOLZJST,X,X,X
IOLZSTJ,X,X,X
IOLZSJT,X,X,X
IOJTLSZ,X,X,X
IOJTLZS,X,X,X
IOJTSLZ,X,X,X
IOJTSZL,X,X,X
IOJTZLS,X,X,O
IOJTZSL,X,X,X
IOJLTSZ,X,O,X
IOJLTZS,X,X,X
IOJLSTZ,X,O,X
IOJLSZT,X,X,X
IOJLZTS,X,X,X
IOJLZST,X,X,X
IOJSTLZ,X,X,X
IOJSTZL,X,X,X
IOJSLTZ,X,O,X
IOJSLZT,X,X,X
IOJSZTL,X,X,X
IOJSZLT,X,X,X
IOJZTLS,X,X,O
IOJZTSL,X,X,X
IOJZLTS,X,X,O
IOJZLST,X,X,X
IOJZSTL,X,X,X
IOJZSLT,X,X,X
IOSTLJZ,X,X,X
IOSTLZJ,X,X,X
IOSTJLZ,X,X,X
IOSTJZL,X,X,X
IOSTZLJ,X,X,X
IOSTZJL,X,X,X
IOSLTJZ,X,O,X
IOSLTZJ,X,X,X
IOSLJTZ,X,O,X
IOSLJZT,X,X,X
IOSLZTJ,X,X,X
IOSLZJT,X,X,X
IOSJTLZ,X,X,X
IOSJTZL,X,X,X
IOSJLTZ,X,O,X
IOSJLZT,X,X,X
IOSJZTL,X,X,X
IOSJZLT,X,X,X
IOSZTLJ,X,X,X
IOSZTJL,X,X,X
IOSZLTJ,X,X,X
IOSZLJT,X,X,X
IOSZJTL,X,X,X
IOSZJLT,X,X,X
IOZTLJS,X,X,O
IOZTLSJ,X,X,X
IOZTJLS,X,X,O
IOZTJSL,X,X,X
IOZTSLJ,X,X,X
IOZTSJL,X,X,X
IOZLTJS,X,X,O
IOZLTSJ,X,X,X
IOZLJTS,X,X,O
IOZLJST,X,X,X
IOZLSTJ,X,X,X
IOZLSJT,X,X,X
IOZJTLS,X,X,O
IOZJTSL,X,X,X
IOZJLTS,X,X,O
IOZJLST,X,X,X
IOZJSTL,X,X,X
IOZJSLT,X,X,X
IOZSTLJ,X,X,X
IOZSTJL,X,X,X
IOZSLTJ,X,X,X
IOZSLJT,X,X,X
IOZSJTL,X,X,X
IOZSJLT,X,X,X
LTIJSZO,X,X,X
LTIJSOZ,X,O,X
LTIJZSO,X,X,X
LTIJZOS,X,X,X
LTIJOSZ,X,O,X
LTIJOZS,X,X,X
LTISJZO,X,X,X
LTISJOZ,X,O,X
LTISZJO,X,X,X
LTISZOJ,X,X,X
LTISOJZ,X,O,X
LTISOZJ,X,X,X
LTIZJSO,X,X,X
LTIZJOS,X,X,X
LTIZSJO,X,X,X
LTIZSOJ,X,X,X
LTIZOJS,X,X,X
LTIZOSJ,X,X,X
LTIOJSZ,X,O,X
LTIOJZS,X,X,X
LTIOSJZ,X,O,X
LTIOSZJ,X,X,X
LTIOZJS,X,X,X
LTIOZSJ,X,X,X
LTJISZO,X,X,X
LTJISOZ,X,O,X
LTJIZSO,X,X,X
LTJIZOS,X,X,X
LTJIOSZ,X,O,X
LTJIOZS,X,X,X
LTJSIZO,X,X,X
LTJSIOZ,X,O,X
LTJSZIO,X,X,X
LTJSZOI,X,X,X
LTJSOIZ,X,O,X
LTJSOZI,X,X,X
LTJZISO,X,X,X
LTJZIOS,X,X,X
LTJZSIO,X,X,X
LTJZSOI,X,X,X
LTJZOIS,X,X,X
LTJZOSI,X,X,X
LTJOISZ,X,O,X
LTJOIZS,X,X,X
LTJOSIZ,X,O,X
LTJOSZI,X,X,X
LTJOZIS,X,X,X
LTJOZSI,X,X,X
LTSIJZO,X,X,X
LTSIJOZ,X,O,X
LTSIZJO,X,X,X
LTSIZOJ,X,X,X
LTSIOJZ,X,O,X
LTSIOZJ,X,X,X
LTSJIZO,X,X,X
LTSJIOZ,X,O,X
LTSJZIO,X,X,X
LTSJZOI,X,X,X
LTSJOIZ,X,O,X
LTSJOZI,X,X,X
LTSZIJO,X,X,X
LTSZIOJ,X,X,X
LTSZJIO,X,X,X
LTSZJOI,X,X,X
LTSZOIJ,X,X,X
LTSZOJI,X,X,X
LTSOIJZ,X,O,X
LTSOIZJ,X,X,X
LTSOJIZ,X,O,X
LTSOJZI,X,X,X
LTSOZIJ,X,X,X
LTSOZJI,X,X,X
LTZIJSO,X,X,X
LTZIJOS,X,X,X
LTZISJO,X,X,X
LTZISOJ,X,X,X
LTZIOJS,X,X,X
LTZIOSJ,X,X,X
LTZJISO,X,X,X
LTZJIOS,X,X,X
LTZJSIO,X,X,X
LTZJSOI,X,X,X
LTZJOIS,X,X,X
LTZJOSI,X,X,X
LTZSIJO,X,X,X
LTZSIOJ,X,X,X
LTZSJIO,X,X,X
LTZSJOI,X,X,X
LTZSOIJ,X,X,X
LTZSOJI,X,X,X
LTZOIJS,X,X,X
LTZOISJ,X,X,X
LTZOJIS,X,X,X
LTZOJSI,X,X,X
LTZOSIJ,X,X,X
LTZOSJI,X,X,X
LTOIJSZ,X,O,X
LTOIJZS,X,X,X
LTOISJZ,X,O,X
LTOISZJ,X,X,X
LTOIZJS,X,X,X
LTOIZSJ,X,X,X
LTOJISZ,X,O,X
LTOJIZS,X,X,X
LTOJSIZ,X,O,X
LTOJSZI,X,X,X
LTOJZIS,X,X,X
LTOJZSI,X,X,X
LTOSIJZ,X,O,X
LTOSIZJ,X,X,X
LTOSJIZ,X,O,X
LTOSJZI,X,X,X
LTOSZIJ,X,X,X
LTOSZJI,X,X,X
LTOZIJS,X,X,X
LTOZISJ,X,X,X
LTOZJIS,X,X,X
LTOZJSI,X,X,X
LTOZSIJ,X,X,X
LTOZSJI,X,X,X
LITJSZO,X,X,X
LITJSOZ,X,O,X
LITJZSO,X,X,X
LITJZOS,X,X,X
LITJOSZ,X,O,X
LITJOZS,X,X,X
LITSJZO,X,X,X
LITSJOZ,X,O,X
LITSZJO,X,X,X
LITSZOJ,X,X,X
LITSOJZ,X,O,X
LITSOZJ,X,X,X
LITZJSO,X,X,X
LITZJOS,X,X,X
LITZSJO,X,X,X
LITZSOJ,X,X,X
LITZOJS,X,X,X
LITZOSJ,X,X,X
LITOJSZ,X,O,X
LITOJZS,X,X,X
LITOSJZ,X,O,X
LITOSZJ,X,X,X
LITOZJS,X,X,X
LITOZSJ,X,X,X
LIJTSZO,X,X,X
LIJTSOZ,X,O,X
LIJTZSO,X,X,X
LIJTZOS,X,X,X
LIJTOSZ,X,O,X
LIJTOZS,X,X,X
LIJSTZO,X,X,X
LIJSTOZ,X,O,X
LIJSZTO,X,X,X
LIJSZOT,X,X,X
LIJSOTZ,X,O,X
LIJSOZT,X,X,X
LIJZTSO,X,X,X
LIJZTOS,X,X,X
LIJZSTO,X,X,X
LIJZSOT,X,X,X
LIJZOTS,X,X,X
LIJZOST,X,X,X
LIJOTSZ,X,O,X
LIJOTZS,X,X,X
LIJOSTZ,X,O,X
LIJOSZT,X,X,X
LIJOZTS,X,X,X
LIJOZST,X,X,X
LISTJZO,X,X,X
LISTJOZ,X,O,X
LISTZJO,O,X,X
LISTZOJ,O,X,X
LISTOJZ,X,O,X
LISTOZJ,O,X,X
LISJTZO,X,X,X
LISJTOZ,X,O,X
LISJZTO,X,X,X
LISJZOT,X,X,X
LISJOTZ,X,O,X
LISJOZT,X,X,X
LISZTJO,O,X,X
LISZTOJ,O,X,X
LISZJTO,O,X,X
LISZJOT,O,X,X
LISZOTJ,O,X,X
LISZOJT,O,X,X
LISOTJZ,X,O,X
LISOTZJ,O,X,X
LISOJTZ,X,O,X
LISOJZT,X,X,X
LISOZTJ,O,X,X
LISOZJT,O,X,X
LIZTJSO,X,X,X
LIZTJOS,X,X,X
LIZTSJO,X,X,X
LIZTSOJ,X,X,X
LIZTOJS,X,X,X
LIZTOSJ,X,X,X
LIZJTSO,X,X,X
LIZJTOS,X,X,X
LIZJSTO,O,X,X
LIZJSOT,O,X,X
LIZJOTS,X,X,X
LIZJOST,O,X,X
LIZSTJO,O,X,X
LIZSTOJ,O,X,X
LIZSJTO,O,X,X
LIZSJOT,O,X,X
LIZSOTJ,O,X,X
LIZSOJT,O,X,X
LIZOTJS,X,X,X
LIZOTSJ,X,X,X
LIZOJTS,X,X,X
LIZOJST,O,X,X
LIZOSTJ,O,X,X
LIZOSJT,O,X,X
LIOTJSZ,X,O,X
LIOTJZS,X,X,X
LIOTSJZ,X,O,X
LIOTSZJ,X,X,X
LIOTZJS,X,X,X
LIOTZSJ,X,X,X
LIOJTSZ,X,O,X
LIOJTZS,X,X,X
LIOJSTZ,X,O,X
LIOJSZT,X,X,X
LIOJZTS,X,X,X
LIOJZST,X,X,X
LIOSTJZ,X,O,X
LIOSTZJ,O,X,X
LIOSJTZ,X,O,X
LIOSJZT,X,X,X
LIOSZTJ,O,X,X
LIOSZJT,O,X,X
LIOZTJS,X,X,X
LIOZTSJ,X,X,X
LIOZJTS,X,X,X
LIOZJST,O,X,X
LIOZSTJ,O,X,X
LIOZSJT,O,X,X
LJTISZO,X,X,X
LJTISOZ,X,O,X
LJTIZSO,X,X,X
LJTIZOS,X,X,X
LJTIOSZ,X,O,X
LJTIOZS,X,X,X
LJTSIZO,X,X,X
LJTSIOZ,X,O,X
LJTSZIO,X,X,X
LJTSZOI,X,X,X
LJTSOIZ,X,O,X
LJTSOZI,X,X,X
LJTZISO,X,X,X
LJTZIOS,X,X,X
LJTZSIO,X,X,X
LJTZSOI,X,X,X
LJTZOIS,X,X,X
LJTZOSI,X,X,X
LJTOISZ,X,O,X
LJTOIZS,X,X,X
LJTOSIZ,X,O,X
LJTOSZI,X,X,X
LJTOZIS,X,X,X
LJTOZSI,X,X,X
LJITSZO,X,X,X
LJITSOZ,X,O,X
LJITZSO,X,X,X
LJITZOS,X,X,X
LJITOSZ,X,O,X
LJITOZS,X,X,X
LJISTZO,X,X,X
LJISTOZ,X,O,X
LJISZTO,X,X,X
LJISZOT,X,X,X
LJISOTZ,X,O,X
LJISOZT,X,X,X
LJIZTSO,X,X,X
LJIZTOS,X,X,X
LJIZSTO,X,X,X
LJIZSOT,X,X,X
LJIZOTS,X,X,X
LJIZOST,X,X,X
LJIOTSZ,X,O,X
LJIOTZS,X,X,X
LJIOSTZ,X,O,X
LJIOSZT,X,X,X
LJIOZTS,X,X,X
LJIOZST,X,X,X
LJSTIZO,X,X,X
LJSTIOZ,X,O,X
LJSTZIO,X,X,X
LJSTZOI,X,X,X
LJSTOIZ,X,O,X
LJSTOZI,X,X,X
LJSITZO,X,X,X
LJSITOZ,X,O,X
LJSIZTO,X,X,X
LJSIZOT,X,X,X
LJSIOTZ,X,O,X
LJSIOZT,X,X,X
LJSZTIO,X,X,X
LJSZTOI,X,X,X
LJSZITO,X,X,X
LJSZIOT,X,X,X
LJSZOTI,X,X,X
LJSZOIT,X,X,X
LJSOTIZ,X,O,X
LJSOTZI,X,X,X
LJSOITZ,X,O,X
LJSOIZT,X,X,X
LJSOZTI,X,X,X
LJSOZIT,X,X,X
LJZTISO,X,X,X
LJZTIOS,X,X,X
LJZTSIO,X,X,X
LJZTSOI,X,X,X
LJZTOIS,X,X,X
LJZTOSI,X,X,X
LJZITSO,X,X,X
LJZITOS,X,X,X
LJZISTO,X,X,X
LJZISOT,X,X,X
LJZIOTS,X,X,X
LJZIOST,X,X,X
LJZSTIO,X,X,X
LJZSTOI,X,X,X
LJZSITO,X,X,X
LJZSIOT,X,X,X
LJZSOTI,X,X,X
LJZSOIT,X,X,X
LJZOTIS,X,X,X
LJZOTSI,X,X,X
LJZOITS,X,X,X
LJZOIST,X,X,X
LJZOSTI,X,X,X
LJZOSIT,X,X,X
LJOTISZ,X,O,X
LJOTIZS,X,X,X
LJOTSIZ,X,O,X
LJOTSZI,X,X,X
LJOTZIS,X,X,X
LJOTZSI,X,X,X
LJOITSZ,X,O,X
LJOITZS,X,X,X
LJOISTZ,X,O,X
LJOISZT,X,X,X
LJOIZTS,X,X,X
LJOIZST,X,X,X
LJOSTIZ,X,O,X
LJOSTZI,X,X,X
LJOSITZ,X,O,X
LJOSIZT,X,X,X
LJOSZTI,X,X,X
LJOSZIT,X,X,X
LJOZTIS,X,X,X
LJOZTSI,X,X,X
LJOZITS,X,X,X
LJOZIST,X,X,X
LJOZSTI,X,X,X
LJOZSIT,X,X,X
LSTIJZO,X,X,X
LSTIJOZ,X,O,X
LSTIZJO,O,X,X
LSTIZOJ,O,X,X
LSTIOJZ,X,O,X
LSTIOZJ,O,X,X
LSTJIZO,X,X,X
LSTJIOZ,X,O,X
LSTJZIO,X,X,X
LSTJZOI,X,X,X
LSTJOIZ,X,O,X
LSTJOZI,X,X,X
LSTZIJO,O,X,X
LSTZIOJ,O,X,X
LSTZJIO,O,X,X
LSTZJOI,O,X,X
LSTZOIJ,O,X,X
LSTZOJI,O,X,X
LSTOIJZ,X,O,X
LSTOIZJ,O,X,X
LSTOJIZ,X,O,X
LSTOJZI,X,X,X
LSTOZIJ,O,X,X
LSTOZJI,O,X,X
LSITJZO,X,X,X
LSITJOZ,X,O,X
LSITZJO,O,X,X
LSITZOJ,O,X,X
LSITOJZ,X,O,X
LSITOZJ,O,X,X
LSIJTZO,X,X,X
LSIJTOZ,X,O,X
LSIJZTO,X,X,X
LSIJZOT,X,X,X
LSIJOTZ,X,O,X
LSIJOZT,X,X,X
LSIZTJO,O,X,X
LSIZTOJ,O,X,X
LSIZJTO,O,X,X
LSIZJOT,O,X,X
LSIZOTJ,O,X,X
LSIZOJT,O,X,X
LSIOTJZ,X,O,X
LSIOTZJ,O,X,X
LSIOJTZ,X,O,X
LSIOJZT,X,X,X
LSIOZTJ,O,X,X
LSIOZJT,O,X,X
LSJTIZO,X,X,X
LSJTIOZ,X,O,X
LSJTZIO,X,X,X
LSJTZOI,X,X,X
LSJTOIZ,X,O,X
LSJTOZI,X,X,X
LSJITZO,X,X,X
LSJITOZ,X,O,X
LSJIZTO,X,X,X
LSJIZOT,X,X,X
LSJIOTZ,X,O,X
LSJIOZT,X,X,X
LSJZTIO,X,X,X
LSJZTOI,X,X,X
LSJZITO,X,X,X
LSJZIOT,X,X,X
LSJZOTI,X,X,X
LSJZOIT,X,X,X
LSJOTIZ,X,O,X
LSJOTZI,X,X,X
LSJOITZ,X,O,X
LSJOIZT,X,X,X
LSJOZTI,X,X,X
LSJOZIT,X,X,X
LSZTIJO,O,X,X
LSZTIOJ,O,X,X
LSZTJIO,O,X,X
LSZTJOI,O,X,X
LSZTOIJ,O,X,X
LSZTOJI,O,X,X
LSZITJO,O,X,X
LSZITOJ,O,X,X
LSZIJTO,O,X,X
LSZIJOT,O,X,X
LSZIOTJ,O,X,X
LSZIOJT,O,X,X
LSZJTIO,O,X,X
LSZJTOI,O,X,X
LSZJITO,O,X,X
LSZJIOT,O,X,X
LSZJOTI,O,X,X
LSZJOIT,O,X,X
LSZOTIJ,O,X,X
LSZOTJI,O,X,X
LSZOITJ,O,X,X
LSZOIJT,O,X,X
LSZOJTI,O,X,X
LSZOJIT,O,X,X
LSOTIJZ,X,O,X
LSOTIZJ,O,X,X
LSOTJIZ,X,O,X
LSOTJZI,X,X,X
LSOTZIJ,O,X,X
LSOTZJI,O,X,X
LSOITJZ,X,O,X
LSOITZJ,O,X,X
LSOIJTZ,X,O,X
LSOIJZT,X,X,X
LSOIZTJ,O,X,X
LSOIZJT,O,X,X
LSOJTIZ,X,O,X
LSOJTZI,X,X,X
LSOJITZ,X,O,X
LSOJIZT,X,X,X
LSOJZTI,X,X,X
LSOJZIT,X,X,X
LSOZTIJ,O,X,X
LSOZTJI,O,X,X
LSOZITJ,O,X,X
LSOZIJT,O,X,X
LSOZJTI,O,X,X
LSOZJIT,O,X,X
LZTIJSO,X,X,X
LZTIJOS,X,X,X
LZTISJO,X,X,X
LZTISOJ,X,X,X
LZTIOJS,X,X,X
LZTIOSJ,X,X,X
LZTJISO,X,X,X
LZTJIOS,X,X,X
LZTJSIO,X,X,X
LZTJSOI,X,X,X
LZTJOIS,X,X,X
LZTJOSI,X,X,X
LZTSIJO,X,X,X
LZTSIOJ,X,X,X
LZTSJIO,X,X,X
LZTSJOI,X,X,X
LZTSOIJ,X,X,X
LZTSOJI,X,X,X
LZTOIJS,X,X,X
LZTOISJ,X,X,X
LZTOJIS,X,X,X
LZTOJSI,X,X,X
LZTOSIJ,X,X,X
LZTOSJI,X,X,X
LZITJSO,X,X,X
LZITJOS,X,X,X
LZITSJO,X,X,X
