sequence,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeA8DeD8KeFAJvhFXh?BmiB5oBqpBTnB0qB,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeA8DeD8KeCAJvhFXh?BmiB5oB8pBTnB1vB,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeA8DeD8KeXBJvhFKn?BziB5oBupB0qBFqB,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeA8DeD8KeuEJvhFFh?BKnBziB5oBXqB0qB,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeA8DeD8KeXBJvhFOn?B8nB5oBzkB1vBCqB
ITLOJZS,X,X,X,X,X
ITLOSJZ,X,X,X,O,X
ITLOSZJ,X,X,X,X,X
ITLOZJS,X,X,X,X,X
ITLOZSJ,X,X,X,X,X
ITJLSZO,X,X,X,X,X
ITJLSOZ,X,X,X,X,X
ITJLZSO,X,X,X,X,X
ITJLZOS,X,X,X,X,X
ITJLOSZ,X,X,X,X,X
ITJLOZS,X,X,X,X,X
ITJSLZO,X,X,X,X,X
ITJSLOZ,X,X,X,X,X
ITJSZLO,X,O,X,X,X
ITJSZOL,X,X,X,X,X
ITJSOLZ,X,X,X,X,X
ITJSOZL,X,X,X,X,X
ITJZLSO,X,O,X,X,X
ITJZLOS,X,X,X,X,X
ITJZSLO,X,O,X,X,X
ITJZSOL,X,X,X,X,X
ITJZOLS,X,X,X,X,X
ITJZOSL,X,X,X,X,X
ITJOLSZ,X,X,X,X,X
ITJOLZS,X,X,X,X,X
ITJOSLZ,X,X,X,X,X
ITJOSZL,X,X,X,X,X
ITJOZLS,X,X,X,X,X
ITJOZSL,X,X,X,X,X
ITSLJZO,X,X,X,X,X
ITSLJOZ,X,X,X,O,X
ITSLZJO,X,X,X,X,X
ITSLZOJ,X,X,X,X,X
ITSLOJZ,X,X,X,O,X
ITSLOZJ,X,X,X,X,X
ITSJLZO,X,X,X,X,X
ITSJLOZ,X,X,X,O,X
ITSJZLO,X,O,X,X,X
ITSJZOL,X,X,X,X,X
ITSJOLZ,X,X,X,X,X
ITSJOZL,X,X,X,X,X
ITSZLJO,X,O,X,X,X
ITSZLOJ,X,O,X,X,X
ITSZJLO,X,O,X,X,X
ITSZJOL,X,X,X,X,O
ITSZOLJ,X,O,X,X,X
ITSZOJL,X,O,X,X,O
ITSOLJZ,X,X,X,X,X
ITSOLZJ,X,X,X,X,X
ITSOJLZ,X,X,X,X,X
ITSOJZL,X,O,X,X,X
ITSOZLJ,X,O,X,X,X
ITSOZJL,X,O,X,X,O
ITZLJSO,X,O,X,X,X
ITZLJOS,X,X,X,X,X
ITZLSJO,X,O,X,X,X
ITZLSOJ,X,O,X,X,X
ITZLOJS,X,O,X,X,X
ITZLOSJ,X,O,X,X,X
ITZJLSO,X,O,X,X,X
ITZJLOS,X,X,X,X,X
ITZJSLO,X,O,X,X,X
ITZJSOL,X,X,X,X,O
ITZJOLS,X,X,X,X,X
ITZJOSL,X,X,X,X,O
ITZSLJO,X,O,X,X,X
ITZSLOJ,X,O,X,X,X
ITZSJLO,X,O,X,X,X
ITZSJOL,X,X,X,X,O
ITZSOLJ,X,O,X,X,X
ITZSOJL,X,O,X,X,O
ITZOLJS,X,O,X,X,X
ITZOLSJ,X,O,X,X,X
ITZOJLS,X,O,X,X,X
ITZOJSL,X,O,X,X,O
ITZOSLJ,X,O,X,X,X
ITZOSJL,X,O,X,X,O
ITOLJSZ,X,X,X,X,X
ITOLJZS,X,X,X,X,X
ITOLSJZ,X,X,X,X,X
ITOLSZJ,X,X,X,X,X
ITOLZJS,X,X,X,X,X
ITOLZSJ,X,X,X,X,X
ITOJLSZ,X,X,X,X,X
ITOJLZS,X,X,X,X,X
ITOJSLZ,X,X,X,X,X
ITOJSZL,X,O,X,X,X
ITOJZLS,X,O,X,X,X
ITOJZSL,X,O,X,X,X
ITOSLJZ,X,X,X,X,X
ITOSLZJ,X,X,X,X,X
ITOSJLZ,X,X,X,X,X
ITOSJZL,X,O,X,X,X
ITOSZLJ,X,O,X,X,X
ITOSZJL,X,O,X,X,O
ITOZLJS,X,O,X,X,X
ITOZLSJ,X,O,X,X,X
ITOZJLS,X,O,X,X,X
ITOZJSL,X,O,X,X,O
ITOZSLJ,X,O,X,X,X
ITOZSJL,X,O,X,X,O
ILTJSZO,X,X,X,X,X
ILTJSOZ,O,X,X,X,X
ILTJZSO,X,X,X,X,X
ILTJZOS,X,X,X,X,X
ILTJOSZ,X,X,X,X,X
ILTJOZS,X,X,X,X,X
ILTSJZO,X,X,X,X,X
ILTSJOZ,O,X,X,O,X
ILTSZJO,X,X,X,X,X
ILTSZOJ,X,X,X,X,X
ILTSOJZ,O,X,X,O,X
ILTSOZJ,X,X,X,X,X
ILTZJSO,X,X,X,X,X
ILTZJOS,X,X,X,X,X
ILTZSJO,X,X,X,X,X
ILTZSOJ,X,X,X,X,X
ILTZOJS,X,X,X,X,X
ILTZOSJ,X,X,X,X,X
ILTOJSZ,O,X,X,X,X
ILTOJZS,X,X,X,X,X
ILTOSJZ,O,X,X,O,X
ILTOSZJ,X,X,X,X,X
ILTOZJS,X,X,X,X,X
ILTOZSJ,X,X,X,X,X
ILJTSZO,X,X,X,X,X
ILJTSOZ,O,X,X,X,X
ILJTZSO,X,X,X,X,X
ILJTZOS,X,X,X,X,X
ILJTOSZ,X,X,X,X,X
ILJTOZS,X,X,X,X,X
ILJSTZO,X,X,X,X,X
ILJSTOZ,O,X,X,X,X
ILJSZTO,X,X,X,X,X
ILJSZOT,X,X,X,X,X
ILJSOTZ,X,X,X,X,X
ILJSOZT,X,X,O,X,X
ILJZTSO,O,X,X,X,X
ILJZTOS,X,X,X,X,X
ILJZSTO,O,X,X,X,X
ILJZSOT,X,X,O,X,X
ILJZOTS,X,X,X,X,X
ILJZOST,X,X,O,X,X
ILJOTSZ,X,X,X,X,X
ILJOTZS,X,X,X,X,X
ILJOSTZ,X,X,X,X,X
ILJOSZT,X,X,O,X,X
ILJOZTS,X,X,X,X,X
ILJOZST,X,X,O,X,X
ILSTJZO,X,X,X,X,X
ILSTJOZ,O,X,X,O,X
ILSTZJO,X,X,X,X,X
ILSTZOJ,X,X,X,X,X
ILSTOJZ,O,X,X,O,X
ILSTOZJ,X,X,X,X,X
ILSJTZO,X,X,X,X,X
ILSJTOZ,O,X,X,O,X
ILSJZTO,X,X,X,O,X
ILSJZOT,X,X,X,O,X
ILSJOTZ,X,X,X,O,X
ILSJOZT,X,X,O,O,X
ILSZTJO,X,X,X,X,X
ILSZTOJ,X,X,X,X,X
ILSZJTO,X,X,X,X,X
ILSZJOT,X,X,O,X,X
ILSZOTJ,X,X,X,X,X
ILSZOJT,X,X,O,X,X
ILSOTJZ,O,X,X,O,X
ILSOTZJ,X,X,X,X,X
ILSOJTZ,O,X,X,O,X
ILSOJZT,X,X,O,O,X
ILSOZTJ,X,X,X,X,X
ILSOZJT,X,X,O,X,X
ILZTJSO,O,X,X,X,X
ILZTJOS,X,X,X,X,X
ILZTSJO,O,X,X,X,X
ILZTSOJ,O,X,X,X,X
ILZTOJS,O,X,X,X,X
ILZTOSJ,O,X,X,X,X
ILZJTSO,O,X,X,X,X
ILZJTOS,X,X,X,X,X
ILZJSTO,O,X,X,X,X
ILZJSOT,X,X,O,X,X
ILZJOTS,X,X,X,X,X
ILZJOST,X,X,O,X,X
ILZSTJO,O,X,X,X,X
ILZSTOJ,O,X,X,X,X
ILZSJTO,O,X,X,X,X
ILZSJOT,X,X,O,X,X
ILZSOTJ,O,X,X,X,X
ILZSOJT,O,X,O,X,X
ILZOTJS,O,X,X,X,X
ILZOTSJ,O,X,X,X,X
ILZOJTS,O,X,X,X,X
ILZOJST,O,X,O,X,X
ILZOSTJ,O,X,X,X,X
ILZOSJT,O,X,O,X,X
ILOTJSZ,O,X,X,X,X
ILOTJZS,X,X,X,X,X
ILOTSJZ,O,X,X,O,X
ILOTSZJ,X,X,X,X,X
ILOTZJS,X,X,X,X,X
ILOTZSJ,X,X,X,X,X
ILOJTSZ,O,X,X,X,X
ILOJTZS,X,X,X,X,X
ILOJSTZ,O,X,X,X,X
ILOJSZT,X,X,O,X,X
ILOJZTS,O,X,X,X,X
ILOJZST,O,X,O,X,X
ILOSTJZ,O,X,X,O,X
ILOSTZJ,X,X,X,X,X
ILOSJTZ,O,X,X,O,X
ILOSJZT,X,X,O,O,X
ILOSZTJ,X,X,X,X,X
ILOSZJT,X,X,O,X,X
ILOZTJS,O,X,X,X,X
ILOZTSJ,O,X,X,X,X
ILOZJTS,O,X,X,X,X
ILOZJST,O,X,O,X,X
ILOZSTJ,O,X,X,X,X
ILOZSJT,O,X,O,X,X
IJTLSZO,X,X,X,X,X
IJTLSOZ,X,X,X,X,X
IJTLZSO,X,X,X,X,X
IJTLZOS,X,X,X,X,X
IJTLOSZ,X,X,X,X,X
IJTLOZS,X,X,X,X,X
IJTSLZO,X,X,X,X,X
IJTSLOZ,X,X,X,X,X
IJTSZLO,X,O,X,X,X
IJTSZOL,X,X,X,X,X
IJTSOLZ,X,X,X,X,X
IJTSOZL,X,X,X,X,X
IJTZLSO,X,O,X,X,X
IJTZLOS,X,X,X,X,X
IJTZSLO,X,O,X,X,X
IJTZSOL,X,X,X,X,X
IJTZOLS,X,X,X,X,X
IJTZOSL,X,X,X,X,X
IJTOLSZ,X,X,X,X,X
IJTOLZS,X,X,X,X,X
IJTOSLZ,X,X,X,X,X
IJTOSZL,X,X,X,X,X
IJTOZLS,X,X,X,X,X
IJTOZSL,X,X,X,X,X
IJLTSZO,X,X,X,X,X
IJLTSOZ,O,X,X,X,X
IJLTZSO,X,X,X,X,X
IJLTZOS,X,X,X,X,X
IJLTOSZ,X,X,X,X,X
IJLTOZS,X,X,X,X,X
IJLSTZO,X,X,X,X,X
IJLSTOZ,O,X,X,X,X
IJLSZTO,X,X,X,X,X
IJLSZOT,X,X,X,X,X
IJLSOTZ,X,X,X,X,X
IJLSOZT,X,X,O,X,X
IJLZTSO,O,X,X,X,X
IJLZTOS,X,X,X,X,X
IJLZSTO,O,X,X,X,X
IJLZSOT,X,X,O,X,X
IJLZOTS,X,X,X,X,X
IJLZOST,X,X,O,X,X
IJLOTSZ,X,X,X,X,X
IJLOTZS,X,X,X,X,X
IJLOSTZ,X,X,X,X,X
IJLOSZT,X,X,O,X,X
IJLOZTS,X,X,X,X,X
IJLOZST,X,X,O,X,X
IJSTLZO,X,X,X,X,X
IJSTLOZ,O,X,X,X,X
IJSTZLO,X,O,X,X,X
IJSTZOL,X,X,X,X,X
IJSTOLZ,O,X,X,X,X
IJSTOZL,X,X,X,X,X
IJSLTZO,X,X,X,X,X
IJSLTOZ,O,X,X,X,X
IJSLZTO,X,X,X,X,X
IJSLZOT,X,X,X,X,X
IJSLOTZ,X,X,X,X,X
IJSLOZT,X,X,O,X,X
IJSZTLO,X,X,X,X,X
IJSZTOL,X,X,X,X,X
IJSZLTO,X,X,X,X,X
IJSZLOT,X,X,X,X,X
IJSZOTL,X,X,X,X,X
IJSZOLT,X,X,X,X,X
IJSOTLZ,X,X,X,X,X
IJSOTZL,X,X,X,X,X
IJSOLTZ,X,X,X,X,X
IJSOLZT,X,X,X,X,X
IJSOZTL,X,X,X,X,X
IJSOZLT,X,X,X,X,X
IJZTLSO,X,X,X,X,X
IJZTLOS,X,X,X,X,X
IJZTSLO,X,X,X,X,X
IJZTSOL,X,X,X,X,X
IJZTOLS,X,X,X,X,X
IJZTOSL,X,X,X,X,X
IJZLTSO,X,X,X,X,X
IJZLTOS,X,X,X,X,X
IJZLSTO,X,X,X,X,X
IJZLSOT,X,X,O,X,X
IJZLOTS,X,X,X,X,X
IJZLOST,X,X,O,X,X
IJZSTLO,X,X,X,X,X
IJZSTOL,X,X,X,X,X
IJZSLTO,X,X,X,X,X
IJZSLOT,X,X,O,X,X
IJZSOTL,X,X,X,X,X
IJZSOLT,X,X,X,X,X
IJZOTLS,X,X,X,X,X
IJZOTSL,X,X,X,X,X
IJZOLTS,X,X,X,X,X
IJZOLST,X,X,O,X,X
IJZOSTL,X,X,X,X,X
IJZOSLT,X,X,X,X,X
IJOTLSZ,X,X,X,X,X
IJOTLZS,X,X,X,X,X
IJOTSLZ,X,X,X,X,X
IJOTSZL,X,X,X,X,X
IJOTZLS,X,X,X,X,X
IJOTZSL,X,X,X,X,X
IJOLTSZ,X,X,X,X,X
IJOLTZS,X,X,X,X,X
IJOLSTZ,X,X,X,X,X
IJOLSZT,X,X,O,X,X
IJOLZTS,X,X,X,X,X
IJOLZST,X,X,O,X,X
IJOSTLZ,X,X,X,X,X
IJOSTZL,X,X,X,X,X
IJOSLTZ,X,X,X,X,X
IJOSLZT,X,X,X,X,X
IJOSZTL,X,X,X,X,X
IJOSZLT,X,X,X,X,X
IJOZTLS,X,X,X,X,X
IJOZTSL,X,X,X,X,X
IJOZLTS,X,X,X,X,X
IJOZLST,X,X,O,X,X
IJOZSTL,X,X,X,X,X
IJOZSLT,X,X,X,X,X
ISTLJZO,X,X,X,X,X
ISTLJOZ,X,X,X,O,X
ISTLZJO,X,X,X,X,X
ISTLZOJ,X,X,X,X,X
ISTLOJZ,X,X,X,O,X
ISTLOZJ,X,X,X,X,X
ISTJLZO,X,X,X,X,X
ISTJLOZ,O,X,X,O,X
ISTJZLO,X,O,X,X,X
ISTJZOL,X,X,X,X,X
ISTJOLZ,O,X,X,X,X
ISTJOZL,X,X,X,X,X
ISTZLJO,X,O,X,X,X
ISTZLOJ,X,O,X,X,X
ISTZJLO,X,O,X,X,X
ISTZJOL,X,X,X,X,O
ISTZOLJ,X,O,X,X,X
ISTZOJL,X,O,X,X,O
ISTOLJZ,X,X,X,X,X
ISTOLZJ,X,X,X,X,X
ISTOJLZ,O,X,X,X,X
ISTOJZL,X,O,X,X,X
ISTOZLJ,X,O,X,X,X
ISTOZJL,X,O,X,X,O
ISLTJZO,X,X,X,X,X
ISLTJOZ,O,X,X,O,X
ISLTZJO,X,X,X,X,X
ISLTZOJ,X,X,X,X,X
ISLTOJZ,O,X,X,O,X
ISLTOZJ,X,X,X,X,X
ISLJTZO,X,X,X,X,X
ISLJTOZ,O,X,X,O,X
ISLJZTO,X,X,X,O,X
ISLJZOT,X,X,X,O,X
ISLJOTZ,X,X,X,O,X
ISLJOZT,X,X,O,O,X
ISLZTJO,X,X,X,X,X
ISLZTOJ,X,X,X,X,X
ISLZJTO,X,X,X,X,X
ISLZJOT,X,X,O,X,X
ISLZOTJ,X,X,X,X,X
ISLZOJT,X,X,O,X,X
ISLOTJZ,O,X,X,O,X
ISLOTZJ,X,X,X,X,X
ISLOJTZ,O,X,X,O,X
ISLOJZT,X,X,O,O,X
ISLOZTJ,X,X,X,X,X
ISLOZJT,X,X,O,X,X
ISJTLZO,X,X,X,X,X
ISJTLOZ,O,X,X,O,X
ISJTZLO,X,O,X,X,X
ISJTZOL,X,X,X,X,X
ISJTOLZ,O,X,X,X,X
ISJTOZL,X,X,X,X,X
ISJLTZO,X,X,X,X,X
ISJLTOZ,O,X,X,O,X
ISJLZTO,X,X,X,O,X
ISJLZOT,X,X,X,O,X
ISJLOTZ,X,X,X,O,X
ISJLOZT,X,X,O,O,X
ISJZTLO,X,X,X,X,X
ISJZTOL,X,X,X,X,X
ISJZLTO,X,X,X,X,X
ISJZLOT,X,X,X,X,X
ISJZOTL,X,X,X,X,X
ISJZOLT,X,X,X,X,X
ISJOTLZ,X,X,X,X,X
ISJOTZL,X,X,X,X,X
ISJOLTZ,X,X,X,O,X
ISJOLZT,X,X,X,O,X
ISJOZTL,X,X,X,X,X
ISJOZLT,X,X,X,X,X
ISZTLJO,X,X,X,X,X
ISZTLOJ,X,X,X,X,X
ISZTJLO,X,X,X,X,X
ISZTJOL,X,X,X,X,O
ISZTOLJ,X,X,X,X,X
ISZTOJL,X,X,X,X,O
ISZLTJO,X,X,X,X,X
ISZLTOJ,X,X,X,X,X
ISZLJTO,X,X,X,X,X
ISZLJOT,X,X,O,X,X
ISZLOTJ,X,X,X,X,X
ISZLOJT,X,X,O,X,X
ISZJTLO,X,X,X,X,X
ISZJTOL,X,X,X,X,O
ISZJLTO,X,X,X,X,X
ISZJLOT,X,X,O,X,X
ISZJOTL,X,X,X,X,X
ISZJOLT,X,X,X,X,X
ISZOTLJ,X,X,X,X,X
ISZOTJL,X,X,X,X,X
ISZOLTJ,X,X,X,X,X
ISZOLJT,X,X,X,X,X
ISZOJTL,X,X,X,X,X
ISZOJLT,X,X,X,X,X
ISOTLJZ,X,X,X,X,X
ISOTLZJ,X,X,X,X,X
ISOTJLZ,O,X,X,X,X
ISOTJZL,X,O,X,X,X
ISOTZLJ,X,O,X,X,X
ISOTZJL,X,O,X,X,X
ISOLTJZ,O,X,X,O,X
ISOLTZJ,X,X,X,X,X
ISOLJTZ,O,X,X,O,X
ISOLJZT,X,X,X,O,X
ISOLZTJ,X,X,X,X,X
ISOLZJT,X,X,X,X,X
ISOJTLZ,O,X,X,X,X
ISOJTZL,X,O,X,X,X
ISOJLTZ,O,X,X,O,X
ISOJLZT,X,X,X,O,X
ISOJZTL,X,X,X,X,X
ISOJZLT,X,X,X,X,X
ISOZTLJ,X,X,X,X,X
ISOZTJL,X,X,X,X,X
ISOZLTJ,X,X,X,X,X
ISOZLJT,X,X,X,X,X
ISOZJTL,X,X,X,X,X
ISOZJLT,X,X,X,X,X
IZTLJSO,X,X,X,X,X
IZTLJOS,X,X,X,X,X
IZTLSJO,X,X,X,X,X
IZTLSOJ,X,X,X,X,X
IZTLOJS,X,X,X,X,X
IZTLOSJ,X,X,X,X,X
IZTJLSO,X,X,X,X,X
IZTJLOS,X,X,X,X,X
IZTJSLO,X,X,X,X,X
IZTJSOL,X,X,X,X,O
IZTJOLS,X,X,X,X,X
IZTJOSL,X,X,X,X,O
IZTSLJO,X,X,X,X,X
IZTSLOJ,X,X,X,X,X
IZTSJLO,X,X,X,X,X
IZTSJOL,X,X,X,X,O
IZTSOLJ,X,X,X,X,X
IZTSOJL,X,X,X,X,O
IZTOLJS,X,X,X,X,X
IZTOLSJ,X,X,X,X,X
IZTOJLS,X,X,X,X,X
IZTOJSL,X,X,X,X,O
IZTOSLJ,X,X,X,X,X
IZTOSJL,X,X,X,X,O
IZLTJSO,X,X,X,X,X
IZLTJOS,X,X,X,X,X
IZLTSJO,X,X,X,X,X
IZLTSOJ,X,X,X,X,X
IZLTOJS,X,X,X,X,X
IZLTOSJ,X,X,X,X,X
IZLJTSO,X,X,X,X,X
IZLJTOS,X,X,X,X,X
IZLJSTO,X,X,X,X,X
IZLJSOT,X,X,O,X,X
IZLJOTS,X,X,X,X,X
IZLJOST,X,X,O,X,X
IZLSTJO,X,X,X,X,X
IZLSTOJ,X,X,X,X,X
IZLSJTO,X,X,X,X,X
IZLSJOT,X,X,O,X,X
IZLSOTJ,X,X,X,X,X
IZLSOJT,X,X,O,X,X
IZLOTJS,X,X,X,X,X
IZLOTSJ,X,X,X,X,X
IZLOJTS,X,X,X,X,X
IZLOJST,X,X,O,X,X
IZLOSTJ,X,X,X,X,X
IZLOSJT,X,X,O,X,X
IZJTLSO,X,X,X,X,X
IZJTLOS,X,X,X,X,X
IZJTSLO,X,X,X,X,X
IZJTSOL,X,X,X,X,O
IZJTOLS,X,X,X,X,X
IZJTOSL,X,X,X,X,O
IZJLTSO,X,X,X,X,X
IZJLTOS,X,X,X,X,X
IZJLSTO,X,X,X,X,X
IZJLSOT,X,X,O,X,X
IZJLOTS,X,X,X,X,X
IZJLOST,X,X,O,X,X
IZJSTLO,X,X,X,X,X
IZJSTOL,X,X,X,X,O
IZJSLTO,X,X,X,X,X
IZJSLOT,X,X,O,X,X
IZJSOTL,X,X,X,X,X
IZJSOLT,X,X,X,X,X
IZJOTLS,X,X,X,X,X
IZJOTSL,X,X,X,X,X
IZJOLTS,X,X,X,X,X
IZJOLST,X,X,O,X,X
IZJOSTL,X,X,X,X,X
IZJOSLT,X,X,X,X,X
IZSTLJO,X,X,X,X,X
IZSTLOJ,X,X,X,X,X
IZSTJLO,X,X,X,X,X
IZSTJOL,X,X,X,X,O
IZSTOLJ,X,X,X,X,X
IZSTOJL,X,X,X,X,O
IZSLTJO,X,X,X,X,X
IZSLTOJ,X,X,X,X,X
IZSLJTO,X,X,X,X,X
IZSLJOT,X,X,O,X,X
IZSLOTJ,X,X,X,X,X
IZSLOJT,X,X,O,X,X
IZSJTLO,X,X,X,X,X
IZSJTOL,X,X,X,X,O
IZSJLTO,X,X,X,X,X
IZSJLOT,X,X,O,X,X
IZSJOTL,X,X,X,X,X
IZSJOLT,X,X,X,X,X
IZSOTLJ,X,X,X,X,X
IZSOTJL,X,X,X,X,X
IZSOLTJ,X,X,X,X,X
IZSOLJT,X,X,X,X,X
IZSOJTL,X,X,X,X,X
IZSOJLT,X,X,X,X,X
IZOTLJS,X,X,X,X,X
IZOTLSJ,X,X,X,X,X
IZOTJLS,X,X,X,X,X
IZOTJSL,X,X,X,X,X
IZOTSLJ,X,X,X,X,X
IZOTSJL,X,X,X,X,X
IZOLTJS,X,X,X,X,X
IZOLTSJ,X,X,X,X,X
IZOLJTS,X,X,X,X,X
IZOLJST,X,X,O,X,X
IZOLSTJ,X,X,X,X,X
IZOLSJT,X,X,O,X,X
IZOJTLS,X,X,X,X,X
IZOJTSL,X,X,X,X,X
IZOJLTS,X,X,X,X,X
IZOJLST,X,X,O,X,X
IZOJSTL,X,X,X,X,X
IZOJSLT,X,X,X,X,X
IZOSTLJ,X,X,X,X,X
IZOSTJL,X,X,X,X,X
IZOSLTJ,X,X,X,X,X
IZOSLJT,X,X,X,X,X
IZOSJTL,X,X,X,X,X
IZOSJLT,X,X,X,X,X
IOTLJSZ,X,X,X,X,X
IOTLJZS,X,X,X,X,X
IOTLSJZ,X,X,X,X,X
IOTLSZJ,X,X,X,X,X
IOTLZJS,X,X,X,X,X
IOTLZSJ,X,X,X,X,X
IOTJLSZ,X,X,X,X,X
IOTJLZS,X,X,X,X,X
IOTJSLZ,X,X,X,X,X
IOTJSZL,X,O,X,X,X
IOTJZLS,X,O,X,X,X
IOTJZSL,X,O,X,X,X
IOTSLJZ,X,X,X,X,X
IOTSLZJ,X,X,X,X,X
IOTSJLZ,X,X,X,X,X
IOTSJZL,X,O,X,X,X
IOTSZLJ,X,O,X,X,X
IOTSZJL,X,O,X,X,X
IOTZLJS,X,O,X,X,X
IOTZLSJ,X,O,X,X,X
IOTZJLS,X,O,X,X,X
IOTZJSL,X,O,X,X,X
IOTZSLJ,X,O,X,X,X
IOTZSJL,X,O,X,X,X
IOLTJSZ,O,X,X,X,X
IOLTJZS,X,X,X,X,X
IOLTSJZ,O,X,X,O,X
IOLTSZJ,X,X,X,X,X
IOLTZJS,X,X,X,X,X
IOLTZSJ,X,X,X,X,X
IOLJTSZ,O,X,X,X,X
IOLJTZS,X,X,X,X,X
IOLJSTZ,O,X,X,X,X
IOLJSZT,X,X,O,X,X
IOLJZTS,O,X,X,X,X
IOLJZST,O,X,O,X,X
IOLSTJZ,O,X,X,O,X
IOLSTZJ,X,X,X,X,X
IOLSJTZ,O,X,X,O,X
IOLSJZT,X,X,O,O,X
IOLSZTJ,X,X,X,X,X
IOLSZJT,X,X,O,X,X
IOLZTJS,O,X,X,X,X
IOLZTSJ,O,X,X,X,X
IOLZJTS,O,X,X,X,X
IOLZJST,O,X,O,X,X
IOLZSTJ,O,X,X,X,X
IOLZSJT,O,X,O,X,X
IOJTLSZ,X,X,X,X,X
IOJTLZS,X,X,X,X,X
IOJTSLZ,X,X,X,X,X
IOJTSZL,X,O,X,X,X
IOJTZLS,X,O,X,X,X
IOJTZSL,X,O,X,X,X
IOJLTSZ,O,X,X,X,X
IOJLTZS,X,X,X,X,X
IOJLSTZ,O,X,X,X,X
IOJLSZT,X,X,O,X,X
IOJLZTS,O,X,X,X,X
IOJLZST,O,X,O,X,X
IOJSTLZ,O,X,X,X,X
IOJSTZL,X,O,X,X,X
IOJSLTZ,O,X,X,X,X
IOJSLZT,X,X,X,X,X
IOJSZTL,X,X,X,X,X
IOJSZLT,X,X,X,X,X
IOJZTLS,X,X,X,X,X
IOJZTSL,X,X,X,X,X
IOJZLTS,X,X,X,X,X
IOJZLST,X,X,O,X,X
IOJZSTL,X,X,X,X,X
IOJZSLT,X,X,X,X,X
IOSTLJZ,X,X,X,X,X
IOSTLZJ,X,X,X,X,X
IOSTJLZ,O,X,X,X,X
IOSTJZL,X,O,X,X,X
IOSTZLJ,X,O,X,X,X
IOSTZJL,X,O,X,X,X
IOSLTJZ,O,X,X,O,X
IOSLTZJ,X,X,X,X,X
IOSLJTZ,O,X,X,O,X
IOSLJZT,X,X,X,O,X
IOSLZTJ,X,X,X,X,X
IOSLZJT,X,X,X,X,X
IOSJTLZ,O,X,X,X,X
IOSJTZL,X,O,X,X,X
IOSJLTZ,O,X,X,O,X
IOSJLZT,X,X,X,O,X
IOSJZTL,X,X,X,X,X
IOSJZLT,X,X,X,X,X
IOSZTLJ,X,X,X,X,X
IOSZTJL,X,X,X,X,X
IOSZLTJ,X,X,X,X,X
IOSZLJT,X,X,X,X,X
IOSZJTL,X,X,X,X,X
IOSZJLT,X,X,X,X,X
IOZTLJS,X,X,X,X,X
IOZTLSJ,X,X,X,X,X
IOZTJLS,X,X,X,X,X
IOZTJSL,X,X,X,X,X
IOZTSLJ,X,X,X,X,X
IOZTSJL,X,X,X,X,X
IOZLTJS,X,X,X,X,X
IOZLTSJ,X,X,X,X,X
IOZLJTS,X,X,X,X,X
IOZLJST,X,X,O,X,X
IOZLSTJ,X,X,X,X,X
IOZLSJT,X,X,O,X,X
IOZJTLS,X,X,X,X,X
IOZJTSL,X,X,X,X,X
IOZJLTS,X,X,X,X,X
IOZJLST,X,X,O,X,X
IOZJSTL,X,X,X,X,X
IOZJSLT,X,X,X,X,X
IOZSTLJ,X,X,X,X,X
IOZSTJL,X,X,X,X,X
IOZSLTJ,X,X,X,X,X
IOZSLJT,X,X,X,X,X
IOZSJTL,X,X,X,X,X
IOZSJLT,X,X,X,X,X
LTIJSZO,X,X,X,X,X
LTIJSOZ,O,X,X,X,X
LTIJZSO,X,X,X,X,X
LTIJZOS,X,X,X,X,X
LTIJOSZ,X,X,X,X,X
LTIJOZS,X,X,X,X,X
LTISJZO,X,X,X,X,X
LTISJOZ,O,X,X,O,X
LTISZJO,X,X,X,X,X
LTISZOJ,X,X,X,X,X
LTISOJZ,O,X,X,O,X
LTISOZJ,X,X,X,X,X
LTIZJSO,X,X,X,X,X
LTIZJOS,X,X,X,X,X
LTIZSJO,X,X,X,X,X
LTIZSOJ,X,X,X,X,X
LTIZOJS,X,X,X,X,X
LTIZOSJ,X,X,X,X,X
LTIOJSZ,O,X,X,X,X
LTIOJZS,X,X,X,X,X
LTIOSJZ,O,X,X,O,X
LTIOSZJ,X,X,X,X,X
LTIOZJS,X,X,X,X,X
LTIOZSJ,X,X,X,X,X
LTJISZO,X,X,X,X,X
LTJISOZ,O,X,X,X,X
LTJIZSO,X,X,X,X,X
LTJIZOS,X,X,X,X,X
LTJIOSZ,X,X,X,X,X
LTJIOZS,X,X,X,X,X
LTJSIZO,X,X,X,X,X
LTJSIOZ,O,X,X,X,X
LTJSZIO,X,X,X,X,X
LTJSZOI,X,X,X,X,X
LTJSOIZ,X,X,X,X,X
LTJSOZI,X,X,X,X,X
LTJZISO,X,X,X,X,X
LTJZIOS,X,X,X,X,X
LTJZSIO,X,X,X,X,X
LTJZSOI,X,X,X,X,X
LTJZOIS,X,X,X,X,X
LTJZOSI,X,X,X,X,X
LTJOISZ,X,X,X,X,X
LTJOIZS,X,X,X,X,X
LTJOSIZ,X,X,X,X,X
LTJOSZI,X,X,X,X,X
LTJOZIS,X,X,X,X,X
