sequence,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhFxgBTiBClB0mBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8JeKEJvhFWlBxgBTiB0mBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jei/IvhFzgBGiB3kBlqBRs?BUsB,v115@FhB8HeB8IeD8AeB8BeB8JeKEJvhFzfBRhBcnBGmBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jex/IvhFmhBqnBTkB/qBFm?BUsB,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhF0gBxhBzkBFnBCr?B3sB,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhF8kBzgBlqBRsBfs?B6sB,v115@FhB8HeB8IeD8AeB8BeB8JexAJvhFTiBikBuqB1rB0k?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jei/IvhF3gBWnB1pB8qBRs?BTsB,v115@FhB8HeB8IeD8AeB8BeB8Jel/IvhF3gBCiB2pB8qBRs?BTsB
TSOLIJZ,O,O,O,O,O,O,X,O,X,X
TSOLIZJ,O,X,O,O,O,O,X,X,X,X
TSOLJIZ,O,O,O,O,O,O,X,O,X,X
TSOLJZI,O,O,X,O,O,O,X,O,X,X
TSOLZIJ,O,O,O,O,O,O,X,X,X,X
TSOLZJI,O,O,X,O,O,O,X,O,X,X
TSOJILZ,O,X,O,X,O,O,X,O,X,X
TSOJIZL,X,X,O,X,O,O,X,O,X,X
TSOJLIZ,O,O,O,O,O,O,X,O,X,X
TSOJLZI,O,O,X,O,O,O,X,O,X,X
TSOJZIL,O,X,X,O,O,O,X,O,X,X
TSOJZLI,O,X,X,O,O,O,X,O,X,X
TSOZILJ,O,O,O,O,O,O,X,X,X,X
TSOZIJL,O,O,O,O,O,O,O,X,X,X
TSOZLIJ,O,O,O,O,O,O,X,X,X,X
TSOZLJI,O,O,X,O,O,O,X,O,X,X
TSOZJIL,O,O,X,O,O,O,O,O,X,X
TSOZJLI,O,O,X,O,O,O,X,O,X,X
TZILJSO,O,O,X,X,O,X,O,X,O,O
TZILJOS,O,O,X,X,O,X,O,X,O,O
TZILSJO,O,O,X,X,X,X,X,X,O,O
TZILSOJ,O,O,X,X,X,X,X,X,O,O
TZILOJS,O,O,X,X,O,X,O,X,O,X
TZILOSJ,O,O,X,X,X,X,X,X,O,X
TZIJLSO,O,O,X,X,X,X,O,X,O,O
TZIJLOS,O,O,X,X,X,X,O,X,O,O
TZIJSLO,O,O,O,X,X,X,O,X,O,O
TZIJSOL,O,O,O,X,X,X,O,X,O,O
TZIJOLS,O,O,X,X,X,X,O,X,O,O
TZIJOSL,O,X,O,X,X,X,O,X,O,O
TZISLJO,O,O,O,X,X,X,X,X,O,O
TZISLOJ,O,O,O,X,X,X,X,X,O,O
TZISJLO,O,O,O,X,X,X,O,X,O,O
TZISJOL,O,O,O,X,X,X,O,X,O,O
TZISOLJ,O,O,O,X,X,X,X,X,O,O
TZISOJL,O,O,O,X,X,X,O,X,O,X
TZIOLJS,O,O,X,X,O,X,O,X,O,X
TZIOLSJ,O,O,X,X,X,X,X,X,O,X
TZIOJLS,O,O,X,X,X,X,O,X,O,X
TZIOJSL,O,X,O,X,X,X,O,X,O,X
TZIOSLJ,O,O,O,X,X,X,X,X,O,X
TZIOSJL,O,O,O,X,X,X,O,X,O,X
TZLIJSO,O,O,X,X,O,X,O,X,O,X
TZLIJOS,O,O,X,X,O,X,O,X,O,X
TZLISJO,O,O,X,X,X,X,X,X,O,X
TZLISOJ,O,O,X,X,X,X,X,X,O,X
TZLIOJS,O,O,X,X,O,X,O,X,O,X
TZLIOSJ,O,O,X,X,X,X,X,X,O,X
TZLJISO,O,O,X,X,O,X,O,O,O,X
TZLJIOS,O,O,X,X,O,X,O,O,O,X
TZLJSIO,O,O,X,O,O,X,X,O,O,X
TZLJSOI,O,O,X,O,O,X,X,O,X,X
TZLJOIS,O,O,X,X,O,X,O,O,X,X
TZLJOSI,O,O,X,O,O,X,X,O,X,X
TZLSIJO,O,O,X,O,O,X,X,X,O,X
TZLSIOJ,O,O,X,O,O,X,X,X,O,X
TZLSJIO,O,O,X,O,O,X,X,O,O,X
TZLSJOI,O,O,X,O,O,X,X,O,X,X
TZLSOIJ,O,O,X,O,O,X,X,X,O,X
TZLSOJI,O,O,X,O,O,X,X,O,X,X
TZLOIJS,O,O,X,X,O,X,O,X,O,X
TZLOISJ,O,O,X,X,O,X,X,X,O,X
TZLOJIS,O,O,X,X,O,X,O,O,X,X
TZLOJSI,O,O,X,O,O,X,X,O,X,X
TZLOSIJ,O,O,X,O,O,X,X,X,O,X
TZLOSJI,O,O,X,O,O,X,X,X,X,X
TZJILSO,O,O,X,X,X,X,O,O,O,O
TZJILOS,O,O,X,X,X,X,O,O,O,O
TZJISLO,O,O,X,X,X,X,O,O,O,O
TZJISOL,O,O,X,X,X,X,O,O,O,O
TZJIOLS,O,O,X,X,X,X,O,O,O,O
TZJIOSL,O,X,X,X,X,X,O,X,O,O
TZJLISO,O,O,X,X,O,X,O,O,O,O
TZJLIOS,O,O,X,X,O,X,O,O,O,O
TZJLSIO,O,O,X,O,O,X,X,O,O,O
TZJLSOI,O,O,X,O,O,X,X,O,X,X
TZJLOIS,O,O,X,X,O,X,O,O,X,X
TZJLOSI,O,O,X,O,O,X,X,O,X,X
TZJSILO,O,O,X,O,X,X,O,O,O,O
TZJSIOL,O,O,X,O,X,X,O,O,O,O
TZJSLIO,O,O,X,O,X,X,X,O,O,O
TZJSLOI,O,O,X,O,X,X,X,O,X,X
TZJSOIL,O,O,X,O,X,X,O,O,X,O
TZJSOLI,O,O,X,O,X,X,X,O,X,X
TZJOILS,O,O,X,X,X,X,O,O,X,O
TZJOISL,O,X,X,X,X,X,O,X,X,O
TZJOLIS,O,O,X,X,O,X,O,O,X,X
TZJOLSI,O,O,X,X,O,X,X,O,X,X
TZJOSIL,O,X,X,X,X,X,O,X,X,O
TZJOSLI,O,X,X,X,X,X,X,X,X,X
TZSILJO,O,O,O,O,O,X,X,X,O,O
TZSILOJ,O,O,O,O,O,X,X,X,O,O
TZSIJLO,O,O,O,O,O,X,O,X,O,O
TZSIJOL,O,O,O,O,X,X,O,X,O,O
TZSIOLJ,O,O,O,O,O,X,X,X,O,O
TZSIOJL,O,O,O,O,O,X,O,X,O,X
TZSLIJO,O,O,O,O,O,X,X,X,O,O
TZSLIOJ,O,O,O,O,O,X,X,X,O,O
TZSLJIO,O,O,X,O,O,X,X,O,O,X
TZSLJOI,O,O,X,O,O,X,X,O,X,X
TZSLOIJ,O,O,O,O,O,X,X,X,O,X
TZSLOJI,O,O,X,O,O,X,X,O,X,X
TZSJILO,O,O,X,O,O,X,O,O,O,O
TZSJIOL,O,O,X,O,X,X,O,O,O,O
TZSJLIO,O,O,X,O,O,X,X,O,O,O
TZSJLOI,O,O,X,O,O,X,X,O,X,X
TZSJOIL,O,O,X,O,O,X,O,O,X,O
TZSJOLI,O,O,X,O,O,X,X,O,X,X
TZSOILJ,O,O,O,O,O,X,X,X,O,O
TZSOIJL,O,O,O,O,O,X,O,X,O,X
TZSOLIJ,O,O,O,O,O,X,X,X,O,X
TZSOLJI,O,O,X,O,O,X,X,O,X,X
TZSOJIL,O,O,X,O,O,X,O,O,X,X
TZSOJLI,O,O,X,O,O,X,X,O,X,X
TZOILJS,O,O,X,X,O,X,O,X,O,X
TZOILSJ,O,O,X,X,O,X,X,X,O,X
TZOIJLS,O,O,X,X,X,X,O,X,O,X
TZOIJSL,O,X,O,X,X,X,O,X,O,X
TZOISLJ,O,O,O,X,O,X,X,X,O,X
TZOISJL,O,O,O,X,O,X,O,X,O,X
TZOLIJS,O,O,X,X,O,X,O,X,O,X
TZOLISJ,O,O,X,X,O,X,X,X,O,X
TZOLJIS,O,O,X,X,O,X,O,O,X,X
TZOLJSI,O,O,X,X,O,X,X,O,X,X
TZOLSIJ,O,O,X,X,O,X,X,X,O,X
TZOLSJI,O,O,X,X,O,X,X,X,X,X
TZOJILS,O,O,X,X,X,X,O,O,X,X
TZOJISL,O,X,X,X,X,X,O,X,X,X
TZOJLIS,O,O,X,X,O,X,O,O,X,X
TZOJLSI,O,O,X,X,O,X,X,O,X,X
TZOJSIL,O,X,X,X,X,X,O,X,X,X
TZOJSLI,O,X,X,X,X,X,X,X,X,X
TZOSILJ,O,O,O,X,O,X,X,X,O,X
TZOSIJL,O,O,O,X,O,X,O,X,O,X
TZOSLIJ,O,O,O,X,O,X,X,X,O,X
TZOSLJI,O,O,X,X,O,X,X,X,X,X
TZOSJIL,O,O,X,X,O,X,O,X,X,X
TZOSJLI,O,O,X,X,O,X,X,X,X,X
TOILJSZ,X,X,O,X,O,X,X,O,X,X
TOILJZS,X,X,X,X,X,X,X,O,O,X
TOILSJZ,X,X,O,X,O,X,X,X,X,X
TOILSZJ,X,X,O,X,O,X,X,X,X,X
TOILZJS,X,X,X,X,X,X,O,X,O,X
TOILZSJ,X,X,X,X,X,X,X,X,O,X
TOIJLSZ,X,X,O,X,X,X,X,O,X,X
TOIJLZS,X,X,X,X,X,X,X,O,O,X
TOIJSLZ,X,X,O,X,X,X,X,O,X,X
TOIJSZL,X,X,O,X,X,X,X,X,X,X
TOIJZLS,X,X,X,X,X,X,O,O,O,X
TOIJZSL,X,X,O,X,X,X,O,X,O,X
TOISLJZ,X,X,O,X,O,X,X,X,X,X
TOISLZJ,X,X,O,X,O,X,X,X,X,X
TOISJLZ,X,X,O,X,O,X,X,X,X,X
TOISJZL,X,X,O,X,O,X,X,X,X,X
TOISZLJ,X,X,O,X,O,X,X,X,X,X
TOISZJL,X,X,O,X,O,X,O,X,X,X
TOIZLJS,X,X,X,X,O,X,O,X,O,X
TOIZLSJ,X,X,X,X,O,X,X,X,O,X
TOIZJLS,X,X,X,X,X,X,O,X,O,X
TOIZJSL,X,X,O,X,X,X,O,X,O,X
TOIZSLJ,X,X,O,X,O,X,X,X,O,X
TOIZSJL,X,X,O,X,O,X,O,X,O,X
TOLIJSZ,O,X,O,O,O,O,X,O,X,X
TOLIJZS,O,X,X,X,X,O,X,O,O,X
TOLISJZ,O,X,O,O,O,O,X,X,X,X
TOLISZJ,O,X,O,O,O,O,X,X,X,X
TOLIZJS,O,X,X,X,X,O,O,X,O,X
TOLIZSJ,O,X,X,X,X,O,X,X,O,X
TOLJISZ,O,O,X,O,O,O,X,O,X,X
TOLJIZS,O,O,X,X,X,O,X,O,X,X
TOLJSIZ,O,O,X,O,O,O,X,O,X,X
TOLJSZI,O,O,X,O,O,O,X,O,X,X
TOLJZIS,O,O,X,X,X,O,X,O,X,X
TOLJZSI,O,O,X,O,O,O,X,O,X,X
TOLSIJZ,O,O,O,O,O,O,X,O,X,X
TOLSIZJ,O,X,O,O,O,O,X,X,X,X
TOLSJIZ,O,O,O,O,O,O,X,O,X,X
TOLSJZI,O,O,X,O,O,O,X,O,X,X
TOLSZIJ,O,O,O,O,O,O,X,X,X,X
TOLSZJI,O,O,X,O,O,O,X,O,X,X
TOLZIJS,O,O,X,X,O,O,O,X,O,X
TOLZISJ,O,O,X,X,X,O,X,X,O,X
TOLZJIS,O,O,X,X,O,O,O,O,X,X
TOLZJSI,O,O,X,O,O,O,X,O,X,X
TOLZSIJ,O,O,X,O,X,O,X,X,O,X
TOLZSJI,O,O,X,O,O,O,X,X,X,X
TOJILSZ,X,X,O,X,X,X,X,O,X,X
TOJILZS,X,X,X,X,X,X,X,O,X,X
TOJISLZ,X,X,O,X,X,X,X,O,X,X
TOJISZL,X,X,O,X,X,X,X,O,X,X
TOJIZLS,X,X,X,X,X,X,O,O,X,X
TOJIZSL,X,X,O,X,X,X,O,X,X,X
TOJLISZ,O,X,X,O,O,O,X,O,X,X
TOJLIZS,O,X,X,X,X,O,X,O,X,X
TOJLSIZ,O,X,X,O,O,O,X,O,X,X
TOJLSZI,O,X,X,O,O,O,X,O,X,X
TOJLZIS,O,X,X,X,X,O,X,O,X,X
TOJLZSI,O,X,X,O,O,O,X,O,X,X
TOJSILZ,O,X,O,X,X,O,X,O,X,X
TOJSIZL,X,X,O,X,X,O,X,O,X,X
TOJSLIZ,O,X,O,O,X,O,X,O,X,X
TOJSLZI,O,X,X,O,X,O,X,O,X,X
TOJSZIL,O,X,X,O,X,O,X,O,X,X
TOJSZLI,O,X,X,O,X,O,X,O,X,X
TOJZILS,O,X,X,X,X,O,O,O,X,X
TOJZISL,O,X,X,X,X,O,O,X,X,X
TOJZLIS,O,X,X,X,O,O,O,O,X,X
TOJZLSI,X,X,X,X,O,O,X,O,X,X
TOJZSIL,O,X,X,X,X,O,O,X,X,X
TOJZSLI,O,X,X,X,X,O,X,X,X,X
TOSILJZ,O,O,O,X,O,O,X,O,X,X
TOSILZJ,O,X,O,X,O,O,X,X,X,X
TOSIJLZ,O,X,O,X,O,O,X,O,X,X
TOSIJZL,X,X,O,X,O,O,X,O,X,X
TOSIZLJ,X,X,O,X,O,O,X,X,X,X
TOSIZJL,X,X,O,X,O,O,O,X,X,X
TOSLIJZ,O,O,O,O,O,O,X,O,X,X
TOSLIZJ,O,X,O,O,O,O,X,X,X,X
TOSLJIZ,O,O,O,O,O,O,X,O,X,X
TOSLJZI,O,O,X,O,O,O,X,O,X,X
TOSLZIJ,O,O,O,O,O,O,X,X,X,X
TOSLZJI,O,O,X,O,O,O,X,O,X,X
TOSJILZ,O,X,O,X,O,O,X,O,X,X
TOSJIZL,X,X,O,X,O,O,X,O,X,X
TOSJLIZ,O,O,O,O,O,O,X,O,X,X
TOSJLZI,O,O,X,O,O,O,X,O,X,X
TOSJZIL,O,X,X,O,O,O,X,O,X,X
TOSJZLI,O,X,X,O,O,O,X,O,X,X
TOSZILJ,O,O,O,O,O,O,X,X,X,X
TOSZIJL,O,O,O,O,O,O,O,X,X,X
TOSZLIJ,O,O,O,O,O,O,X,X,X,X
TOSZLJI,O,O,X,O,O,O,X,O,X,X
TOSZJIL,O,O,X,O,O,O,O,O,X,X
TOSZJLI,O,O,X,O,O,O,X,O,X,X
TOZILJS,O,O,X,X,O,X,O,X,O,X
TOZILSJ,O,O,X,X,O,X,X,X,O,X
TOZIJLS,O,O,X,X,X,O,O,X,O,X
TOZIJSL,O,X,O,X,X,O,O,X,O,X
TOZISLJ,O,O,O,X,O,X,X,X,O,X
TOZISJL,O,O,O,X,O,X,O,X,O,X
TOZLIJS,O,O,X,X,O,O,O,X,O,X
TOZLISJ,O,O,X,X,O,O,X,X,O,X
TOZLJIS,O,O,X,X,O,O,O,O,X,X
TOZLJSI,O,O,X,X,O,O,X,O,X,X
TOZLSIJ,O,O,X,X,O,O,X,X,O,X
TOZLSJI,O,O,X,X,O,O,X,X,X,X
TOZJILS,O,O,X,X,X,O,O,O,X,X
TOZJISL,O,X,X,X,X,O,O,X,X,X
TOZJLIS,O,O,X,X,O,O,O,O,X,X
TOZJLSI,O,O,X,X,O,O,X,O,X,X
TOZJSIL,O,X,X,X,X,O,O,X,X,X
TOZJSLI,O,X,X,X,X,O,X,X,X,X
TOZSILJ,O,O,O,X,O,O,X,X,O,X
TOZSIJL,O,O,O,X,O,O,O,X,O,X
TOZSLIJ,O,O,O,X,O,O,X,X,O,X
TOZSLJI,O,O,X,X,O,O,X,X,X,X
TOZSJIL,O,O,X,X,O,O,O,X,X,X
TOZSJLI,O,O,X,X,O,O,X,X,X,X
ITLJSZO,O,O,O,O,O,X,X,O,O,O
ITLJSOZ,O,O,O,O,O,X,X,O,X,X
ITLJZSO,O,O,X,X,X,X,X,O,O,O
ITLJZOS,O,O,X,X,X,X,X,O,O,O
ITLJOSZ,O,O,O,O,O,X,X,O,X,X
ITLJOZS,O,O,X,X,X,X,X,O,O,O
ITLSJZO,O,O,O,O,X,X,X,O,O,X
ITLSJOZ,O,O,O,O,X,X,X,O,X,X
ITLSZJO,O,O,O,O,X,X,X,X,O,X
ITLSZOJ,O,O,O,O,X,X,X,X,O,X
ITLSOJZ,O,O,O,O,X,X,X,O,X,X
ITLSOZJ,O,X,O,O,X,X,X,X,X,X
ITLZJSO,O,O,X,X,X,X,O,X,O,O
ITLZJOS,O,O,X,X,X,X,O,X,O,O
ITLZSJO,O,O,X,X,X,X,X,X,O,O
ITLZSOJ,O,O,X,X,X,X,X,X,O,O
ITLZOJS,O,O,X,X,X,X,O,X,O,X
ITLZOSJ,O,O,X,X,X,X,X,X,O,X
ITLOJSZ,O,X,O,O,O,X,X,O,X,X
ITLOJZS,O,X,X,X,X,X,X,O,O,X
ITLOSJZ,O,X,O,O,X,X,X,X,X,X
ITLOSZJ,O,X,O,O,X,X,X,X,X,X
ITLOZJS,O,X,X,X,X,X,O,X,O,X
ITLOZSJ,O,X,X,X,X,X,X,X,O,X
ITJLSZO,O,X,O,O,X,X,X,O,O,O
ITJLSOZ,O,X,O,O,X,X,X,O,X,X
ITJLZSO,O,X,X,X,X,X,X,O,O,O
ITJLZOS,O,X,X,X,X,X,X,O,O,O
ITJLOSZ,O,X,O,O,X,X,X,O,X,X
ITJLOZS,O,X,X,X,X,X,X,O,O,O
ITJSLZO,O,X,O,O,X,X,X,O,O,O
ITJSLOZ,O,X,O,O,X,X,X,O,X,X
ITJSZLO,O,X,O,O,X,X,X,O,O,O
ITJSZOL,O,X,O,O,X,X,X,O,O,O
ITJSOLZ,O,X,O,X,X,X,X,O,X,X
ITJSOZL,X,X,O,X,X,X,X,O,X,X
ITJZLSO,O,X,X,X,X,X,O,O,O,O
ITJZLOS,O,X,X,X,X,X,O,O,O,O
ITJZSLO,O,X,O,X,X,X,O,O,O,O
ITJZSOL,O,X,O,X,X,X,O,O,O,O
ITJZOLS,O,X,X,X,X,X,O,O,O,O
ITJZOSL,O,X,O,X,X,X,O,X,O,O
ITJOLSZ,X,X,O,X,X,X,X,O,X,X
ITJOLZS,X,X,X,X,X,X,X,O,O,O
ITJOSLZ,X,X,O,X,X,X,X,O,X,X
ITJOSZL,X,X,O,X,X,X,X,O,X,X
ITJOZLS,X,X,X,X,X,X,O,O,O,O
ITJOZSL,X,X,O,X,X,X,O,X,O,O
ITSLJZO,O,O,O,O,X,X,X,O,O,X
ITSLJOZ,O,O,O,O,X,X,X,O,X,X
ITSLZJO,O,O,O,O,X,X,X,X,O,X
ITSLZOJ,O,O,O,O,X,X,X,X,O,X
ITSLOJZ,O,O,O,O,X,X,X,O,X,X
ITSLOZJ,O,X,O,O,X,X,X,X,X,X
ITSJLZO,O,X,O,O,X,X,X,O,O,X
ITSJLOZ,O,X,O,O,X,X,X,O,X,X
ITSJZLO,O,X,O,O,X,X,X,O,O,X
ITSJZOL,O,X,O,O,X,X,X,O,O,X
ITSJOLZ,O,X,O,X,X,X,X,O,X,X
ITSJOZL,X,X,O,X,X,X,X,O,X,X
ITSZLJO,O,O,O,O,X,X,X,X,O,X
ITSZLOJ,O,O,O,O,X,X,X,X,O,X
ITSZJLO,O,O,O,O,X,X,O,X,O,X
ITSZJOL,O,O,O,O,X,X,O,X,O,X
ITSZOLJ,O,O,O,O,X,X,X,X,O,X
ITSZOJL,O,O,O,O,X,X,O,X,O,X
ITSOLJZ,O,O,O,X,X,X,X,O,X,X
ITSOLZJ,O,X,O,X,X,X,X,X,X,X
ITSOJLZ,O,X,O,X,X,X,X,O,X,X
ITSOJZL,X,X,O,X,X,X,X,O,X,X
ITSOZLJ,X,X,O,X,X,X,X,X,X,X
ITSOZJL,X,X,O,X,X,X,O,X,X,X
ITZLJSO,O,O,X,X,O,X,O,X,O,O
ITZLJOS,O,O,X,X,O,X,O,X,O,O
ITZLSJO,O,O,X,X,X,X,X,X,O,O
ITZLSOJ,O,O,X,X,X,X,X,X,O,O
ITZLOJS,O,O,X,X,O,X,O,X,O,X
ITZLOSJ,O,O,X,X,X,X,X,X,O,X
ITZJLSO,O,O,X,X,X,X,O,X,O,O
ITZJLOS,O,O,X,X,X,X,O,X,O,O
ITZJSLO,O,O,O,X,X,X,O,X,O,O
ITZJSOL,O,O,O,X,X,X,O,X,O,O
ITZJOLS,O,O,X,X,X,X,O,X,O,O
ITZJOSL,O,X,O,X,X,X,O,X,O,O
ITZSLJO,O,O,O,X,X,X,X,X,O,O
ITZSLOJ,O,O,O,X,X,X,X,X,O,O
ITZSJLO,O,O,O,X,X,X,O,X,O,O
ITZSJOL,O,O,O,X,X,X,O,X,O,O
ITZSOLJ,O,O,O,X,X,X,X,X,O,O
ITZSOJL,O,O,O,X,X,X,O,X,O,X
ITZOLJS,O,O,X,X,O,X,O,X,O,X
ITZOLSJ,O,O,X,X,X,X,X,X,O,X
ITZOJLS,O,O,X,X,X,X,O,X,O,X
ITZOJSL,O,X,O,X,X,X,O,X,O,X
ITZOSLJ,O,O,O,X,X,X,X,X,O,X
ITZOSJL,O,O,O,X,X,X,O,X,O,X
ITOLJSZ,X,X,O,X,O,X,X,O,X,X
ITOLJZS,X,X,X,X,X,X,X,O,O,X
ITOLSJZ,X,X,O,X,X,X,X,X,X,X
ITOLSZJ,X,X,O,X,X,X,X,X,X,X
ITOLZJS,X,X,X,X,X,X,O,X,O,X
ITOLZSJ,X,X,X,X,X,X,X,X,O,X
ITOJLSZ,X,X,O,X,X,X,X,O,X,X
ITOJLZS,X,X,X,X,X,X,X,O,O,X
ITOJSLZ,X,X,O,X,X,X,X,O,X,X
ITOJSZL,X,X,O,X,X,X,X,X,X,X
ITOJZLS,X,X,X,X,X,X,O,O,O,X
ITOJZSL,X,X,O,X,X,X,O,X,O,X
ITOSLJZ,X,X,O,X,X,X,X,X,X,X
ITOSLZJ,X,X,O,X,X,X,X,X,X,X
ITOSJLZ,X,X,O,X,X,X,X,X,X,X
ITOSJZL,X,X,O,X,X,X,X,X,X,X
ITOSZLJ,X,X,O,X,X,X,X,X,X,X
ITOSZJL,X,X,O,X,X,X,O,X,X,X
ITOZLJS,X,X,X,X,O,X,O,X,O,X
ITOZLSJ,X,X,X,X,X,X,X,X,O,X
ITOZJLS,X,X,X,X,X,X,O,X,O,X
ITOZJSL,X,X,O,X,X,X,O,X,O,X
ITOZSLJ,X,X,O,X,X,X,X,X,O,X
ITOZSJL,X,X,O,X,X,X,O,X,O,X
ILTJSZO,O,O,O,O,O,O,X,O,O,O
ILTJSOZ,O,O,O,O,O,X,X,O,X,X
ILTJZSO,O,O,X,X,X,O,X,O,O,O
ILTJZOS,O,O,X,X,X,O,X,O,O,O
ILTJOSZ,X,O,O,O,O,O,X,O,X,X
ILTJOZS,X,O,X,X,X,O,X,O,O,O
ILTSJZO,O,O,O,O,X,O,X,O,O,X
ILTSJOZ,O,O,O,O,X,X,X,O,X,X
ILTSZJO,O,O,O,O,X,O,X,X,O,X
ILTSZOJ,O,O,O,O,X,O,X,X,O,X
ILTSOJZ,O,O,O,O,X,O,X,O,X,X
ILTSOZJ,X,X,O,O,X,O,X,X,X,X
ILTZJSO,O,O,X,X,X,O,O,X,O,O
ILTZJOS,O,O,X,X,X,O,O,X,O,O
ILTZSJO,O,O,X,X,X,O,X,X,O,O
ILTZSOJ,O,O,X,X,X,O,X,X,O,O
ILTZOJS,O,O,X,X,X,O,O,X,O,X
ILTZOSJ,X,O,X,X,X,O,X,X,O,X
ILTOJSZ,X,X,O,O,O,O,X,O,X,X
ILTOJZS,X,X,X,X,X,O,X,O,O,X
ILTOSJZ,X,X,O,O,X,O,X,X,X,X
ILTOSZJ,X,X,O,O,X,O,X,X,X,X
ILTOZJS,X,X,X,X,X,O,O,X,O,X
ILTOZSJ,X,X,X,X,X,O,X,X,O,X
ILJTSZO,O,O,O,X,X,O,X,O,O,O
ILJTSOZ,O,O,O,X,X,X,X,O,X,X
ILJTZSO,O,O,X,X,X,O,X,O,O,O
ILJTZOS,O,O,X,X,X,O,X,O,O,O
ILJTOSZ,X,X,O,X,X,X,X,O,X,X
ILJTOZS,X,X,X,X,X,O,X,O,O,O
ILJSTZO,O,O,O,X,X,O,X,O,X,O
ILJSTOZ,O,O,O,X,X,O,X,O,X,X
ILJSZTO,O,O,O,O,X,O,X,X,X,O
ILJSZOT,O,O,X,O,X,O,X,X,X,O
ILJSOTZ,O,O,O,X,X,X,X,X,X,X
ILJSOZT,O,O,X,O,X,X,X,X,X,X
ILJZTSO,O,O,X,X,X,O,O,O,O,O
ILJZTOS,O,O,X,X,X,O,O,O,O,O
ILJZSTO,O,O,X,X,X,O,X,X,O,O
ILJZSOT,O,O,X,X,X,O,X,X,X,O
ILJZOTS,O,O,X,X,X,O,X,X,X,O
ILJZOST,O,O,X,X,X,O,X,X,X,O
ILJOTSZ,X,X,X,X,X,X,X,O,X,X
ILJOTZS,X,X,X,X,X,X,X,O,X,O
ILJOSTZ,O,O,X,X,X,X,X,X,X,X
ILJOSZT,O,O,X,O,X,X,X,X,X,X
ILJOZTS,O,O,X,X,X,X,X,X,X,O
ILJOZST,O,O,X,X,X,X,X,X,X,O
ILSTJZO,O,O,O,O,O,O,X,O,X,X
ILSTJOZ,O,O,O,O,O,O,X,O,X,X
ILSTZJO,O,O,O,O,O,O,X,X,X,X
ILSTZOJ,O,O,O,O,X,O,X,X,X,X
ILSTOJZ,O,O,O,O,O,O,X,O,X,X
ILSTOZJ,X,X,O,O,O,O,X,X,X,X
ILSJTZO,O,O,O,X,O,O,X,O,X,O
ILSJTOZ,O,O,O,X,O,O,X,O,X,X
ILSJZTO,O,O,O,O,X,O,X,X,X,O
ILSJZOT,O,O,X,O,X,O,X,X,X,O
ILSJOTZ,O,O,O,X,X,X,X,X,X,X
ILSJOZT,O,O,X,O,X,X,X,X,X,X
ILSZTJO,O,O,O,O,O,O,X,X,X,O
ILSZTOJ,O,O,O,O,X,O,X,X,X,O
ILSZJTO,O,O,O,O,X,O,X,X,X,O
ILSZJOT,O,O,X,O,X,O,X,X,X,O
ILSZOTJ,O,O,X,O,X,O,X,X,X,O
ILSZOJT,O,O,X,O,X,O,X,X,X,O
ILSOTJZ,O,O,O,O,O,O,X,O,X,X
ILSOTZJ,O,X,O,O,O,O,X,X,X,X
ILSOJTZ,O,O,O,X,O,O,X,X,X,X
ILSOJZT,O,O,X,O,X,O,X,X,X,X
ILSOZTJ,O,O,X,O,O,O,X,X,X,X
ILSOZJT,O,O,X,O,X,O,X,X,X,X
ILZTJSO,O,O,X,X,X,O,O,X,O,O
ILZTJOS,O,O,X,X,X,O,O,X,O,O
ILZTSJO,O,O,X,X,X,O,X,X,O,O
ILZTSOJ,O,O,X,X,X,O,X,X,O,O
ILZTOJS,O,O,X,X,X,O,O,X,O,X
ILZTOSJ,X,O,X,X,X,O,X,X,O,X
ILZJTSO,O,O,X,X,X,O,O,O,O,O
ILZJTOS,O,O,X,X,X,O,O,O,O,O
ILZJSTO,O,O,X,X,X,O,X,X,O,O
ILZJSOT,O,O,X,X,X,O,X,X,X,O
ILZJOTS,O,O,X,X,X,O,X,X,X,O
ILZJOST,O,O,X,X,X,O,X,X,X,O
ILZSTJO,O,O,X,X,X,O,X,X,O,O
ILZSTOJ,O,O,X,X,X,O,X,X,O,O
ILZSJTO,O,O,X,X,X,O,X,X,O,O
ILZSJOT,O,O,X,X,X,O,X,X,X,O
ILZSOTJ,O,O,X,X,X,O,X,X,X,O
ILZSOJT,O,O,X,X,X,O,X,X,X,O
ILZOTJS,O,O,X,X,X,O,X,X,X,X
ILZOTSJ,X,O,X,X,X,O,X,X,X,X
ILZOJTS,O,O,X,X,X,O,X,X,X,O
ILZOJST,O,O,X,X,X,O,X,X,X,O
ILZOSTJ,O,O,X,X,X,O,X,X,X,O
ILZOSJT,O,O,X,X,X,O,X,X,X,O
ILOTJSZ,X,X,X,O,O,O,X,X,X,X
ILOTJZS,X,X,X,X,X,O,X,X,X,X
ILOTSJZ,X,X,X,O,O,O,X,X,X,X
ILOTSZJ,X,X,X,O,O,O,X,X,X,X
