sequence,v115@NhA8IeC8AeC8AeE8Ke0/IvhFlgB3hBziB5oB2pBCrB,v115@NhA8IeC8AeC8AeE8Kei/IvhF3gBumBziB5oB1pB8qB,v115@NhA8IeC8AeC8AeE8KeKEJvhFflBlgBumBziB5oB8qB
IJTSOLZ,X,X,X
IJTSOZL,X,X,X
IJTZLSO,X,O,X
IJTZLOS,X,O,X
IJTZSLO,X,O,X
IJTZSOL,X,O,X
IJTZOLS,X,O,X
IJTZOSL,X,O,X
IJTOLSZ,X,X,X
IJTOLZS,X,O,X
IJTOSLZ,X,X,X
IJTOSZL,X,X,X
IJTOZLS,X,O,X
IJTOZSL,X,O,X
IJLTSZO,O,X,X
IJLTSOZ,O,X,X
IJLTZSO,O,X,X
IJLTZOS,O,X,X
IJLTOSZ,O,X,X
IJLTOZS,O,X,X
IJLSTZO,O,X,X
IJLSTOZ,O,X,X
IJLSZTO,O,X,O
IJLSZOT,O,X,O
IJLSOTZ,O,X,X
IJLSOZT,O,X,O
IJLZTSO,O,X,X
IJLZTOS,O,X,X
IJLZSTO,O,X,O
IJLZSOT,O,X,O
IJLZOTS,O,X,X
IJLZOST,O,X,O
IJLOTSZ,O,X,X
IJLOTZS,O,X,X
IJLOSTZ,O,X,X
IJLOSZT,O,X,O
IJLOZTS,O,X,X
IJLOZST,O,X,O
IJSTLZO,X,X,X
IJSTLOZ,X,X,X
IJSTZLO,X,X,X
IJSTZOL,O,X,X
IJSTOLZ,X,X,X
IJSTOZL,O,X,X
IJSLTZO,O,X,X
IJSLTOZ,O,X,X
IJSLZTO,O,X,X
IJSLZOT,O,X,X
IJSLOTZ,O,X,X
IJSLOZT,O,X,X
IJSZTLO,X,X,X
IJSZTOL,O,X,X
IJSZLTO,O,X,X
IJSZLOT,O,X,X
IJSZOTL,O,X,X
IJSZOLT,O,X,X
IJSOTLZ,X,X,X
IJSOTZL,O,X,X
IJSOLTZ,O,X,X
IJSOLZT,O,X,X
IJSOZTL,O,X,X
IJSOZLT,O,X,X
IJZTLSO,X,O,X
IJZTLOS,X,O,X
IJZTSLO,X,O,X
IJZTSOL,O,O,X
IJZTOLS,X,O,X
IJZTOSL,O,O,X
IJZLTSO,O,X,X
IJZLTOS,O,X,X
IJZLSTO,O,X,O
IJZLSOT,O,X,O
IJZLOTS,O,X,X
IJZLOST,O,X,O
IJZSTLO,X,O,X
IJZSTOL,O,O,X
IJZSLTO,O,X,X
IJZSLOT,O,X,X
IJZSOTL,O,O,X
IJZSOLT,O,X,X
IJZOTLS,X,O,X
IJZOTSL,O,O,X
IJZOLTS,O,X,X
IJZOLST,O,X,O
IJZOSTL,O,O,X
IJZOSLT,O,X,X
IJOTLSZ,X,X,X
IJOTLZS,X,O,X
IJOTSLZ,X,X,X
IJOTSZL,X,X,X
IJOTZLS,X,O,X
IJOTZSL,X,O,X
IJOLTSZ,O,X,X
IJOLTZS,O,X,X
IJOLSTZ,O,X,X
IJOLSZT,O,X,O
IJOLZTS,O,X,X
IJOLZST,O,X,O
IJOSTLZ,X,X,X
IJOSTZL,O,X,X
IJOSLTZ,O,X,X
IJOSLZT,O,X,X
IJOSZTL,O,X,X
IJOSZLT,O,X,X
IJOZTLS,X,O,X
IJOZTSL,O,O,X
IJOZLTS,O,X,X
IJOZLST,O,X,O
IJOZSTL,O,O,X
IJOZSLT,O,X,X
ISTLJZO,X,X,X
ISTLJOZ,X,X,X
ISTLZJO,X,X,X
ISTLZOJ,X,X,X
ISTLOJZ,X,X,X
ISTLOZJ,X,X,X
ISTJLZO,X,X,X
ISTJLOZ,X,X,X
ISTJZLO,X,X,X
ISTJZOL,O,X,X
ISTJOLZ,X,X,X
ISTJOZL,O,X,X
ISTZLJO,X,X,X
ISTZLOJ,X,X,X
ISTZJLO,X,X,X
ISTZJOL,X,X,X
ISTZOLJ,X,X,X
ISTZOJL,X,X,X
ISTOLJZ,X,X,X
ISTOLZJ,X,X,X
ISTOJLZ,X,X,X
ISTOJZL,O,X,X
ISTOZLJ,X,X,X
ISTOZJL,X,X,X
ISLTJZO,O,X,X
ISLTJOZ,O,X,X
ISLTZJO,X,X,X
ISLTZOJ,X,X,X
ISLTOJZ,O,X,X
ISLTOZJ,X,X,X
ISLJTZO,O,X,X
ISLJTOZ,O,X,X
ISLJZTO,O,X,X
ISLJZOT,O,X,X
ISLJOTZ,O,X,X
ISLJOZT,O,X,X
ISLZTJO,X,X,X
ISLZTOJ,X,X,X
ISLZJTO,X,X,X
ISLZJOT,X,X,X
ISLZOTJ,X,X,X
ISLZOJT,X,X,X
ISLOTJZ,O,X,X
ISLOTZJ,X,X,X
ISLOJTZ,O,X,X
ISLOJZT,O,X,X
ISLOZTJ,X,X,X
ISLOZJT,X,X,X
ISJTLZO,X,X,X
ISJTLOZ,X,X,X
ISJTZLO,X,X,X
ISJTZOL,O,X,X
ISJTOLZ,X,X,X
ISJTOZL,O,X,X
ISJLTZO,O,X,X
ISJLTOZ,O,X,X
ISJLZTO,O,X,X
ISJLZOT,O,X,X
ISJLOTZ,O,X,X
ISJLOZT,O,X,X
ISJZTLO,X,X,X
ISJZTOL,O,X,X
ISJZLTO,O,X,X
ISJZLOT,O,X,X
ISJZOTL,O,X,X
ISJZOLT,O,X,X
ISJOTLZ,X,X,X
ISJOTZL,O,X,X
ISJOLTZ,O,X,X
ISJOLZT,O,X,X
ISJOZTL,O,X,X
ISJOZLT,O,X,X
ISZTLJO,X,X,X
ISZTLOJ,X,X,X
ISZTJLO,X,X,X
ISZTJOL,X,X,X
ISZTOLJ,X,X,X
ISZTOJL,X,X,X
ISZLTJO,X,X,X
ISZLTOJ,X,X,X
ISZLJTO,X,X,X
ISZLJOT,X,X,X
ISZLOTJ,X,X,X
ISZLOJT,X,X,X
ISZJTLO,X,X,X
ISZJTOL,X,X,X
ISZJLTO,X,X,X
ISZJLOT,X,X,X
ISZJOTL,X,X,X
ISZJOLT,X,X,X
ISZOTLJ,X,X,X
ISZOTJL,X,X,X
ISZOLTJ,X,X,X
ISZOLJT,X,X,X
ISZOJTL,X,X,X
ISZOJLT,X,X,X
ISOTLJZ,X,X,X
ISOTLZJ,X,X,X
ISOTJLZ,X,X,X
ISOTJZL,O,X,X
ISOTZLJ,X,X,X
ISOTZJL,X,X,X
ISOLTJZ,O,X,X
ISOLTZJ,X,X,X
ISOLJTZ,O,X,X
ISOLJZT,O,X,X
ISOLZTJ,X,X,X
ISOLZJT,X,X,X
ISOJTLZ,X,X,X
ISOJTZL,O,X,X
ISOJLTZ,O,X,X
ISOJLZT,O,X,X
ISOJZTL,O,X,X
ISOJZLT,O,X,X
ISOZTLJ,X,X,X
ISOZTJL,X,X,X
ISOZLTJ,X,X,X
ISOZLJT,X,X,X
ISOZJTL,X,X,X
ISOZJLT,X,X,X
IZTLJSO,X,O,X
IZTLJOS,X,O,X
IZTLSJO,X,O,X
IZTLSOJ,X,O,X
IZTLOJS,X,O,X
IZTLOSJ,X,O,X
IZTJLSO,X,O,X
IZTJLOS,X,O,X
IZTJSLO,X,O,X
IZTJSOL,X,O,X
IZTJOLS,X,O,X
IZTJOSL,X,O,X
IZTSLJO,X,O,X
IZTSLOJ,X,O,X
IZTSJLO,X,O,X
IZTSJOL,X,O,X
IZTSOLJ,X,O,X
IZTSOJL,X,O,X
IZTOLJS,X,O,X
IZTOLSJ,X,O,X
IZTOJLS,X,O,X
IZTOJSL,X,O,X
IZTOSLJ,X,O,X
IZTOSJL,X,O,X
IZLTJSO,X,X,X
IZLTJOS,X,X,X
IZLTSJO,X,X,X
IZLTSOJ,X,X,X
IZLTOJS,X,X,X
IZLTOSJ,X,X,X
IZLJTSO,X,X,X
IZLJTOS,X,X,X
IZLJSTO,X,X,O
IZLJSOT,X,X,O
IZLJOTS,X,X,X
IZLJOST,X,X,O
IZLSTJO,X,X,O
IZLSTOJ,X,X,O
IZLSJTO,X,X,O
IZLSJOT,X,X,O
IZLSOTJ,X,X,O
IZLSOJT,X,X,O
IZLOTJS,X,X,X
IZLOTSJ,X,X,X
IZLOJTS,X,X,X
IZLOJST,X,X,O
IZLOSTJ,X,X,O
IZLOSJT,X,X,O
IZJTLSO,X,O,X
IZJTLOS,X,O,X
IZJTSLO,X,O,X
IZJTSOL,X,O,X
IZJTOLS,X,O,X
IZJTOSL,X,O,X
IZJLTSO,X,X,X
IZJLTOS,X,X,X
IZJLSTO,X,X,O
IZJLSOT,X,X,O
IZJLOTS,X,X,X
IZJLOST,X,X,O
IZJSTLO,X,O,X
IZJSTOL,X,O,X
IZJSLTO,X,X,X
IZJSLOT,X,X,X
IZJSOTL,X,O,X
IZJSOLT,X,X,X
IZJOTLS,X,O,X
IZJOTSL,X,O,X
IZJOLTS,X,X,X
IZJOLST,X,X,O
IZJOSTL,X,O,X
IZJOSLT,X,X,X
IZSTLJO,X,O,X
IZSTLOJ,X,O,X
IZSTJLO,X,O,X
IZSTJOL,X,O,X
IZSTOLJ,X,O,X
IZSTOJL,X,O,X
IZSLTJO,X,X,X
IZSLTOJ,X,X,X
IZSLJTO,X,X,X
IZSLJOT,X,X,X
IZSLOTJ,X,X,X
IZSLOJT,X,X,X
IZSJTLO,X,O,X
IZSJTOL,X,O,X
IZSJLTO,X,X,X
IZSJLOT,X,X,X
IZSJOTL,X,O,X
IZSJOLT,X,X,X
IZSOTLJ,X,O,X
IZSOTJL,X,O,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,X
IZSOJTL,X,O,X
IZSOJLT,X,X,X
IZOTLJS,X,O,X
IZOTLSJ,X,O,X
IZOTJLS,X,O,X
IZOTJSL,X,O,X
IZOTSLJ,X,O,X
IZOTSJL,X,O,X
IZOLTJS,X,X,X
IZOLTSJ,X,X,X
IZOLJTS,X,X,X
IZOLJST,X,X,O
IZOLSTJ,X,X,O
IZOLSJT,X,X,O
IZOJTLS,X,O,X
IZOJTSL,X,O,X
IZOJLTS,X,X,X
IZOJLST,X,X,O
IZOJSTL,X,O,X
IZOJSLT,X,X,X
IZOSTLJ,X,O,X
IZOSTJL,X,O,X
IZOSLTJ,X,X,X
IZOSLJT,X,X,X
IZOSJTL,X,O,X
IZOSJLT,X,X,X
IOTLJSZ,X,X,X
IOTLJZS,X,O,X
IOTLSJZ,X,X,X
IOTLSZJ,X,X,X
IOTLZJS,X,O,X
IOTLZSJ,X,O,X
IOTJLSZ,X,X,X
IOTJLZS,X,O,X
IOTJSLZ,X,X,X
IOTJSZL,X,X,X
IOTJZLS,X,O,X
IOTJZSL,X,O,X
IOTSLJZ,X,X,X
IOTSLZJ,X,X,X
IOTSJLZ,X,X,X
IOTSJZL,X,X,X
IOTSZLJ,X,X,X
IOTSZJL,X,X,X
IOTZLJS,X,O,X
IOTZLSJ,X,O,X
IOTZJLS,X,O,X
IOTZJSL,X,O,X
IOTZSLJ,X,O,X
IOTZSJL,X,O,X
IOLTJSZ,O,X,X
IOLTJZS,O,X,X
IOLTSJZ,O,X,X
IOLTSZJ,X,X,X
IOLTZJS,X,X,X
IOLTZSJ,X,X,X
IOLJTSZ,O,X,X
IOLJTZS,O,X,X
IOLJSTZ,O,X,X
IOLJSZT,O,X,O
IOLJZTS,O,X,X
IOLJZST,O,X,O
IOLSTJZ,O,X,X
IOLSTZJ,X,X,X
IOLSJTZ,O,X,X
IOLSJZT,O,X,O
IOLSZTJ,X,X,O
IOLSZJT,X,X,O
IOLZTJS,X,X,X
IOLZTSJ,X,X,X
IOLZJTS,X,X,X
IOLZJST,X,X,O
IOLZSTJ,X,X,O
IOLZSJT,X,X,O
IOJTLSZ,X,X,X
IOJTLZS,X,O,X
IOJTSLZ,X,X,X
IOJTSZL,X,X,X
IOJTZLS,X,O,X
IOJTZSL,X,O,X
IOJLTSZ,O,X,X
IOJLTZS,O,X,X
IOJLSTZ,O,X,X
IOJLSZT,O,X,O
IOJLZTS,O,X,X
IOJLZST,O,X,O
IOJSTLZ,X,X,X
IOJSTZL,O,X,X
IOJSLTZ,O,X,X
IOJSLZT,O,X,X
IOJSZTL,O,X,X
IOJSZLT,O,X,X
IOJZTLS,X,O,X
IOJZTSL,O,O,X
IOJZLTS,O,X,X
IOJZLST,O,X,O
IOJZSTL,O,O,X
IOJZSLT,O,X,X
IOSTLJZ,X,X,X
IOSTLZJ,X,X,X
IOSTJLZ,X,X,X
IOSTJZL,O,X,X
IOSTZLJ,X,X,X
IOSTZJL,X,X,X
IOSLTJZ,O,X,X
IOSLTZJ,X,X,X
IOSLJTZ,O,X,X
IOSLJZT,O,X,X
IOSLZTJ,X,X,X
IOSLZJT,X,X,X
IOSJTLZ,X,X,X
IOSJTZL,O,X,X
IOSJLTZ,O,X,X
IOSJLZT,O,X,X
IOSJZTL,O,X,X
IOSJZLT,O,X,X
IOSZTLJ,X,X,X
IOSZTJL,X,X,X
IOSZLTJ,X,X,X
IOSZLJT,X,X,X
IOSZJTL,X,X,X
IOSZJLT,X,X,X
IOZTLJS,X,O,X
IOZTLSJ,X,O,X
IOZTJLS,X,O,X
IOZTJSL,X,O,X
IOZTSLJ,X,O,X
IOZTSJL,X,O,X
IOZLTJS,X,X,X
IOZLTSJ,X,X,X
IOZLJTS,X,X,X
IOZLJST,X,X,O
IOZLSTJ,X,X,O
IOZLSJT,X,X,O
IOZJTLS,X,O,X
IOZJTSL,X,O,X
IOZJLTS,X,X,X
IOZJLST,X,X,O
IOZJSTL,X,O,X
IOZJSLT,X,X,X
IOZSTLJ,X,O,X
IOZSTJL,X,O,X
IOZSLTJ,X,X,X
IOZSLJT,X,X,X
IOZSJTL,X,O,X
IOZSJLT,X,X,X
LTIJSZO,O,X,X
LTIJSOZ,O,X,X
LTIJZSO,O,X,X
LTIJZOS,O,X,X
LTIJOSZ,O,X,X
LTIJOZS,O,X,X
LTISJZO,O,X,X
LTISJOZ,O,X,X
LTISZJO,X,X,X
LTISZOJ,X,X,X
LTISOJZ,O,X,X
LTISOZJ,X,X,X
LTIZJSO,X,X,X
LTIZJOS,X,X,X
LTIZSJO,X,X,X
LTIZSOJ,X,X,X
LTIZOJS,X,X,X
LTIZOSJ,X,X,X
LTIOJSZ,O,X,X
LTIOJZS,O,X,X
LTIOSJZ,O,X,X
LTIOSZJ,X,X,X
LTIOZJS,X,X,X
LTIOZSJ,X,X,X
LTJISZO,O,X,X
LTJISOZ,O,X,X
LTJIZSO,O,X,X
LTJIZOS,O,X,X
LTJIOSZ,O,X,X
LTJIOZS,O,X,X
LTJSIZO,O,X,X
LTJSIOZ,O,X,X
LTJSZIO,O,X,X
LTJSZOI,O,X,X
LTJSOIZ,O,X,X
LTJSOZI,O,X,X
LTJZISO,O,X,X
LTJZIOS,O,X,X
LTJZSIO,O,X,X
LTJZSOI,O,X,X
LTJZOIS,O,X,X
LTJZOSI,O,X,X
LTJOISZ,O,X,X
LTJOIZS,O,X,X
LTJOSIZ,O,X,X
LTJOSZI,O,X,X
LTJOZIS,O,X,X
LTJOZSI,O,X,X
LTSIJZO,O,X,X
LTSIJOZ,O,X,X
LTSIZJO,X,X,X
LTSIZOJ,X,X,X
LTSIOJZ,O,X,X
LTSIOZJ,X,X,X
LTSJIZO,O,X,X
LTSJIOZ,O,X,X
LTSJZIO,O,X,X
LTSJZOI,O,X,X
LTSJOIZ,O,X,X
LTSJOZI,O,X,X
LTSZIJO,X,X,X
LTSZIOJ,X,X,X
LTSZJIO,X,X,X
LTSZJOI,X,X,X
LTSZOIJ,X,X,X
LTSZOJI,X,X,X
LTSOIJZ,O,X,X
LTSOIZJ,X,X,X
LTSOJIZ,O,X,X
LTSOJZI,O,X,X
LTSOZIJ,X,X,X
LTSOZJI,X,X,X
LTZIJSO,X,X,X
LTZIJOS,X,X,X
LTZISJO,X,X,X
LTZISOJ,X,X,X
LTZIOJS,X,X,X
LTZIOSJ,X,X,X
LTZJISO,X,X,X
LTZJIOS,X,X,X
LTZJSIO,X,X,X
LTZJSOI,X,X,X
LTZJOIS,X,X,X
LTZJOSI,X,X,X
LTZSIJO,X,X,X
LTZSIOJ,X,X,X
LTZSJIO,X,X,X
LTZSJOI,X,X,X
LTZSOIJ,X,X,X
LTZSOJI,X,X,X
LTZOIJS,X,X,X
LTZOISJ,X,X,X
LTZOJIS,X,X,X
LTZOJSI,X,X,X
LTZOSIJ,X,X,X
LTZOSJI,X,X,X
LTOIJSZ,O,X,X
LTOIJZS,O,X,X
LTOISJZ,O,X,X
LTOISZJ,X,X,X
LTOIZJS,X,X,X
LTOIZSJ,X,X,X
LTOJISZ,O,X,X
LTOJIZS,O,X,X
LTOJSIZ,O,X,X
LTOJSZI,O,X,X
LTOJZIS,O,X,X
LTOJZSI,O,X,X
LTOSIJZ,O,X,X
LTOSIZJ,X,X,X
LTOSJIZ,O,X,X
LTOSJZI,O,X,X
LTOSZIJ,X,X,X
LTOSZJI,X,X,X
LTOZIJS,X,X,X
LTOZISJ,X,X,X
LTOZJIS,X,X,X
LTOZJSI,X,X,X
LTOZSIJ,X,X,X
LTOZSJI,X,X,X
LITJSZO,O,X,X
LITJSOZ,O,X,X
LITJZSO,O,X,X
LITJZOS,O,X,X
LITJOSZ,O,X,X
LITJOZS,O,X,X
LITSJZO,O,X,X
LITSJOZ,O,X,X
LITSZJO,X,X,X
LITSZOJ,X,X,X
LITSOJZ,O,X,X
LITSOZJ,X,X,X
LITZJSO,X,X,X
LITZJOS,X,X,X
LITZSJO,X,X,X
LITZSOJ,X,X,X
LITZOJS,X,X,X
LITZOSJ,X,X,X
LITOJSZ,O,X,X
LITOJZS,O,X,X
LITOSJZ,O,X,X
LITOSZJ,X,X,X
LITOZJS,X,X,X
LITOZSJ,X,X,X
LIJTSZO,O,X,X
LIJTSOZ,O,X,X
LIJTZSO,O,X,X
LIJTZOS,O,X,X
LIJTOSZ,O,X,X
LIJTOZS,O,X,X
LIJSTZO,O,X,X
LIJSTOZ,O,X,X
LIJSZTO,O,X,O
LIJSZOT,O,X,O
LIJSOTZ,O,X,X
LIJSOZT,O,X,O
LIJZTSO,O,X,X
LIJZTOS,O,X,X
LIJZSTO,O,X,O
LIJZSOT,O,X,O
LIJZOTS,O,X,X
LIJZOST,O,X,O
LIJOTSZ,O,X,X
LIJOTZS,O,X,X
LIJOSTZ,O,X,X
LIJOSZT,O,X,O
LIJOZTS,O,X,X
LIJOZST,O,X,O
LISTJZO,O,X,X
LISTJOZ,O,X,X
LISTZJO,X,X,X
LISTZOJ,X,X,X
LISTOJZ,O,X,X
LISTOZJ,X,X,X
LISJTZO,O,X,X
LISJTOZ,O,X,X
LISJZTO,O,X,O
LISJZOT,O,X,O
LISJOTZ,O,X,X
LISJOZT,O,X,O
LISZTJO,X,X,O
LISZTOJ,X,X,O
LISZJTO,X,X,O
LISZJOT,X,X,O
LISZOTJ,X,X,O
LISZOJT,X,X,O
LISOTJZ,O,X,X
LISOTZJ,X,X,X
LISOJTZ,O,X,X
LISOJZT,O,X,O
LISOZTJ,X,X,O
LISOZJT,X,X,O
LIZTJSO,X,X,X
LIZTJOS,X,X,X
LIZTSJO,X,X,X
LIZTSOJ,X,X,X
LIZTOJS,X,X,X
LIZTOSJ,X,X,X
LIZJTSO,X,X,X
LIZJTOS,X,X,X
LIZJSTO,X,X,O
LIZJSOT,X,X,O
LIZJOTS,X,X,X
LIZJOST,X,X,O
LIZSTJO,X,X,O
LIZSTOJ,X,X,O
LIZSJTO,X,X,O
LIZSJOT,X,X,O
LIZSOTJ,X,X,O
LIZSOJT,X,X,O
LIZOTJS,X,X,X
LIZOTSJ,X,X,X
LIZOJTS,X,X,X
LIZOJST,X,X,O
LIZOSTJ,X,X,O
LIZOSJT,X,X,O
LIOTJSZ,O,X,X
LIOTJZS,O,X,X
LIOTSJZ,O,X,X
LIOTSZJ,X,X,X
LIOTZJS,X,X,X
LIOTZSJ,X,X,X
LIOJTSZ,O,X,X
LIOJTZS,O,X,X
LIOJSTZ,O,X,X
LIOJSZT,O,X,O
LIOJZTS,O,X,X
LIOJZST,O,X,O
LIOSTJZ,O,X,X
LIOSTZJ,X,X,X
LIOSJTZ,O,X,X
LIOSJZT,O,X,O
LIOSZTJ,X,X,O
LIOSZJT,X,X,O
LIOZTJS,X,X,X
LIOZTSJ,X,X,X
LIOZJTS,X,X,X
LIOZJST,X,X,O
LIOZSTJ,X,X,O
LIOZSJT,X,X,O
LJTISZO,O,X,X
LJTISOZ,O,X,X
LJTIZSO,O,X,X
LJTIZOS,O,X,X
LJTIOSZ,O,X,X
LJTIOZS,O,X,X
LJTSIZO,O,X,X
LJTSIOZ,O,X,X
LJTSZIO,O,X,X
LJTSZOI,O,X,X
LJTSOIZ,O,X,X
LJTSOZI,O,X,X
LJTZISO,O,X,X
LJTZIOS,O,X,X
LJTZSIO,O,X,X
LJTZSOI,O,X,X
LJTZOIS,O,X,X
LJTZOSI,O,X,X
LJTOISZ,O,X,X
LJTOIZS,O,X,X
LJTOSIZ,O,X,X
LJTOSZI,O,X,X
LJTOZIS,O,X,X
LJTOZSI,O,X,X
LJITSZO,O,X,X
LJITSOZ,O,X,X
LJITZSO,O,X,X
LJITZOS,O,X,X
LJITOSZ,O,X,X
LJITOZS,O,X,X
LJISTZO,O,X,X
LJISTOZ,O,X,X
LJISZTO,O,X,O
LJISZOT,O,X,O
LJISOTZ,O,X,X
LJISOZT,O,X,O
LJIZTSO,O,X,X
LJIZTOS,O,X,X
LJIZSTO,O,X,O
LJIZSOT,O,X,O
LJIZOTS,O,X,X
LJIZOST,O,X,O
LJIOTSZ,O,X,X
LJIOTZS,O,X,X
LJIOSTZ,O,X,X
LJIOSZT,O,X,O
LJIOZTS,O,X,X
LJIOZST,O,X,O
LJSTIZO,O,X,X
LJSTIOZ,O,X,X
LJSTZIO,O,X,X
LJSTZOI,O,X,X
LJSTOIZ,O,X,X
LJSTOZI,O,X,X
LJSITZO,O,X,X
LJSITOZ,O,X,X
LJSIZTO,O,X,O
LJSIZOT,O,X,O
LJSIOTZ,O,X,X
LJSIOZT,O,X,O
LJSZTIO,O,X,O
LJSZTOI,O,X,O
LJSZITO,O,X,O
LJSZIOT,O,X,O
LJSZOTI,O,X,O
LJSZOIT,O,X,O
LJSOTIZ,O,X,X
LJSOTZI,O,X,X
LJSOITZ,O,X,X
LJSOIZT,O,X,O
LJSOZTI,O,X,O
LJSOZIT,O,X,O
LJZTISO,O,X,X
LJZTIOS,O,X,X
LJZTSIO,O,X,X
LJZTSOI,O,X,X
LJZTOIS,O,X,X
LJZTOSI,O,X,X
LJZITSO,O,X,X
LJZITOS,O,X,X
LJZISTO,O,X,O
LJZISOT,O,X,O
LJZIOTS,O,X,X
LJZIOST,O,X,O
LJZSTIO,O,X,O
LJZSTOI,O,X,O
LJZSITO,O,X,O
LJZSIOT,O,X,O
LJZSOTI,O,X,O
LJZSOIT,O,X,O
LJZOTIS,O,X,X
LJZOTSI,O,X,X
LJZOITS,O,X,X
LJZOIST,O,X,O
LJZOSTI,O,X,O
LJZOSIT,O,X,O
LJOTISZ,O,X,X
LJOTIZS,O,X,X
LJOTSIZ,O,X,X
LJOTSZI,O,X,X
LJOTZIS,O,X,X
LJOTZSI,O,X,X
LJOITSZ,O,X,X
LJOITZS,O,X,X
LJOISTZ,O,X,X
LJOISZT,O,X,O
LJOIZTS,O,X,X
LJOIZST,O,X,O
LJOSTIZ,O,X,X
LJOSTZI,O,X,X
LJOSITZ,O,X,X
LJOSIZT,O,X,O
LJOSZTI,O,X,O
LJOSZIT,O,X,O
LJOZTIS,O,X,X
LJOZTSI,O,X,X
LJOZITS,O,X,X
LJOZIST,O,X,O
LJOZSTI,O,X,O
LJOZSIT,O,X,O
LSTIJZO,O,X,X
LSTIJOZ,O,X,X
LSTIZJO,X,X,X
LSTIZOJ,X,X,X
LSTIOJZ,O,X,X
LSTIOZJ,X,X,X
LSTJIZO,O,X,X
LSTJIOZ,O,X,X
LSTJZIO,O,X,X
LSTJZOI,O,X,X
LSTJOIZ,O,X,X
LSTJOZI,O,X,X
LSTZIJO,X,X,X
LSTZIOJ,X,X,X
LSTZJIO,X,X,X
LSTZJOI,X,X,X
LSTZOIJ,X,X,X
LSTZOJI,X,X,X
LSTOIJZ,O,X,X
LSTOIZJ,X,X,X
LSTOJIZ,O,X,X
LSTOJZI,O,X,X
LSTOZIJ,X,X,X
LSTOZJI,X,X,X
LSITJZO,O,X,X
LSITJOZ,O,X,X
LSITZJO,X,X,X
LSITZOJ,X,X,X
LSITOJZ,O,X,X
LSITOZJ,X,X,X
LSIJTZO,O,X,X
LSIJTOZ,O,X,X
LSIJZTO,O,X,O
LSIJZOT,O,X,O
LSIJOTZ,O,X,X
LSIJOZT,O,X,O
LSIZTJO,X,X,O
LSIZTOJ,X,X,O
LSIZJTO,X,X,O
LSIZJOT,X,X,O
LSIZOTJ,X,X,O
LSIZOJT,X,X,O
LSIOTJZ,O,X,X
LSIOTZJ,X,X,X
LSIOJTZ,O,X,X
LSIOJZT,O,X,O
LSIOZTJ,X,X,O
LSIOZJT,X,X,O
LSJTIZO,O,X,X
LSJTIOZ,O,X,X
LSJTZIO,O,X,X
LSJTZOI,O,X,X
LSJTOIZ,O,X,X
LSJTOZI,O,X,X
LSJITZO,O,X,X
LSJITOZ,O,X,X
LSJIZTO,O,X,O
LSJIZOT,O,X,O
LSJIOTZ,O,X,X
LSJIOZT,O,X,O
LSJZTIO,O,X,O
LSJZTOI,O,X,O
LSJZITO,O,X,O
LSJZIOT,O,X,O
LSJZOTI,O,X,O
LSJZOIT,O,X,O
LSJOTIZ,O,X,X
LSJOTZI,O,X,X
LSJOITZ,O,X,X
LSJOIZT,O,X,O
LSJOZTI,O,X,O
LSJOZIT,O,X,O
LSZTIJO,X,X,O
LSZTIOJ,X,X,O
LSZTJIO,X,X,O
LSZTJOI,X,X,O
LSZTOIJ,X,X,O
LSZTOJI,X,X,O
LSZITJO,X,X,O
LSZITOJ,X,X,O
LSZIJTO,X,X,O
LSZIJOT,X,X,O
LSZIOTJ,X,X,O
LSZIOJT,X,X,O
LSZJTIO,X,X,O
LSZJTOI,X,X,O
LSZJITO,X,X,O
LSZJIOT,X,X,O
LSZJOTI,X,X,O
LSZJOIT,X,X,O
LSZOTIJ,X,X,O
LSZOTJI,X,X,O
LSZOITJ,X,X,O
LSZOIJT,X,X,O
LSZOJTI,X,X,O
LSZOJIT,X,X,O
LSOTIJZ,O,X,X
LSOTIZJ,X,X,X
LSOTJIZ,O,X,X
LSOTJZI,O,X,X
LSOTZIJ,X,X,X
LSOTZJI,X,X,X
LSOITJZ,O,X,X
LSOITZJ,X,X,X
LSOIJTZ,O,X,X
LSOIJZT,O,X,O
LSOIZTJ,X,X,O
LSOIZJT,X,X,O
LSOJTIZ,O,X,X
LSOJTZI,O,X,X
LSOJITZ,O,X,X
LSOJIZT,O,X,O
LSOJZTI,O,X,O
LSOJZIT,O,X,O
LSOZTIJ,X,X,O
LSOZTJI,X,X,O
LSOZITJ,X,X,O
LSOZIJT,X,X,O
LSOZJTI,X,X,O
LSOZJIT,X,X,O
LZTIJSO,X,X,X
LZTIJOS,X,X,X
LZTISJO,X,X,X
LZTISOJ,X,X,X
LZTIOJS,X,X,X
LZTIOSJ,X,X,X
LZTJISO,X,X,X
LZTJIOS,X,X,X
LZTJSIO,X,X,X
LZTJSOI,X,X,X
LZTJOIS,X,X,X
LZTJOSI,X,X,X
LZTSIJO,X,X,X
LZTSIOJ,X,X,X
LZTSJIO,X,X,X
LZTSJOI,X,X,X
LZTSOIJ,X,X,X
LZTSOJI,X,X,X
LZTOIJS,X,X,X
LZTOISJ,X,X,X
LZTOJIS,X,X,X
LZTOJSI,X,X,X
LZTOSIJ,X,X,X
LZTOSJI,X,X,X
LZITJSO,X,X,X
LZITJOS,X,X,X
LZITSJO,X,X,X
LZITSOJ,X,X,X
