sequence,v115@OhA8GeE8CeA8AeE8JeZEJvhFUgBFhBXiBTjBqpBmqB,v115@OhA8GeE8CeA8AeE8JeOEJvhFxgBXiBTjBUlBarB1uB,v115@OhA8GeE8CeA8AeE8JeFBJvhFXiBTjBxkB0pBmqBipB,v115@OhA8GeE8CeA8AeE8JeXAJvhFxhBTjB1qB0pBOpBirB
ILTJOZS,X,X,X,X
ILTSJZO,X,X,X,X
ILTSJOZ,X,X,X,X
ILTSZJO,X,X,X,X
ILTSZOJ,X,X,X,X
ILTSOJZ,X,X,X,X
ILTSOZJ,X,X,X,X
ILTZJSO,X,X,X,X
ILTZJOS,X,X,X,X
ILTZSJO,X,X,X,X
ILTZSOJ,X,X,X,X
ILTZOJS,X,X,X,X
ILTZOSJ,X,X,X,X
ILTOJSZ,X,X,X,X
ILTOJZS,X,X,X,X
ILTOSJZ,X,X,X,X
ILTOSZJ,X,X,X,X
ILTOZJS,X,X,X,X
ILTOZSJ,X,X,X,X
ILJTSZO,O,X,X,X
ILJTSOZ,O,X,X,X
ILJTZSO,O,X,X,X
ILJTZOS,O,X,X,X
ILJTOSZ,O,X,X,X
ILJTOZS,O,X,X,X
ILJSTZO,O,X,X,X
ILJSTOZ,O,X,X,X
ILJSZTO,O,X,X,X
ILJSZOT,O,X,X,X
ILJSOTZ,O,X,X,X
ILJSOZT,O,X,X,X
ILJZTSO,O,X,X,X
ILJZTOS,O,X,X,X
ILJZSTO,O,X,X,X
ILJZSOT,O,X,X,X
ILJZOTS,O,X,X,X
ILJZOST,O,X,X,X
ILJOTSZ,O,X,X,X
ILJOTZS,O,X,X,X
ILJOSTZ,O,X,X,X
ILJOSZT,O,X,X,X
ILJOZTS,O,X,X,X
ILJOZST,O,X,X,X
ILSTJZO,X,X,X,X
ILSTJOZ,X,X,X,X
ILSTZJO,X,X,X,X
ILSTZOJ,O,X,X,X
ILSTOJZ,X,X,X,X
ILSTOZJ,O,X,X,X
ILSJTZO,O,X,X,X
ILSJTOZ,O,X,X,X
ILSJZTO,O,X,X,X
ILSJZOT,O,X,X,X
ILSJOTZ,O,X,X,X
ILSJOZT,O,X,X,X
ILSZTJO,X,X,X,X
ILSZTOJ,O,X,X,X
ILSZJTO,O,X,X,X
ILSZJOT,O,X,X,X
ILSZOTJ,O,X,X,X
ILSZOJT,O,X,X,X
ILSOTJZ,X,X,X,X
ILSOTZJ,O,X,X,X
ILSOJTZ,O,X,X,X
ILSOJZT,O,X,X,X
ILSOZTJ,O,X,X,X
ILSOZJT,O,X,X,X
ILZTJSO,X,X,X,X
ILZTJOS,X,X,X,X
ILZTSJO,X,X,X,X
ILZTSOJ,O,X,X,X
ILZTOJS,X,X,X,X
ILZTOSJ,O,X,X,X
ILZJTSO,O,X,X,X
ILZJTOS,O,X,X,X
ILZJSTO,O,X,X,X
ILZJSOT,O,X,X,X
ILZJOTS,O,X,X,X
ILZJOST,O,X,X,X
ILZSTJO,X,X,X,X
ILZSTOJ,O,X,X,X
ILZSJTO,O,X,X,X
ILZSJOT,O,X,X,X
ILZSOTJ,O,X,X,X
ILZSOJT,O,X,X,X
ILZOTJS,X,X,X,X
ILZOTSJ,O,X,X,X
ILZOJTS,O,X,X,X
ILZOJST,O,X,X,X
ILZOSTJ,O,X,X,X
ILZOSJT,O,X,X,X
ILOTJSZ,X,X,X,X
ILOTJZS,X,X,X,X
ILOTSJZ,X,X,X,X
ILOTSZJ,X,X,X,X
ILOTZJS,X,X,X,X
ILOTZSJ,X,X,X,X
ILOJTSZ,O,X,X,X
ILOJTZS,O,X,X,X
ILOJSTZ,O,X,X,X
ILOJSZT,O,X,X,X
ILOJZTS,O,X,X,X
ILOJZST,O,X,X,X
ILOSTJZ,X,X,X,X
ILOSTZJ,O,X,X,X
ILOSJTZ,O,X,X,X
ILOSJZT,O,X,X,X
ILOSZTJ,O,X,X,X
ILOSZJT,O,X,X,X
ILOZTJS,X,X,X,X
ILOZTSJ,O,X,X,X
ILOZJTS,O,X,X,X
ILOZJST,O,X,X,X
ILOZSTJ,O,X,X,X
ILOZSJT,O,X,X,X
IJTLSZO,X,X,X,X
IJTLSOZ,X,X,X,X
IJTLZSO,X,X,X,X
IJTLZOS,X,X,X,X
IJTLOSZ,X,X,X,X
IJTLOZS,X,X,X,X
IJTSLZO,X,X,X,X
IJTSLOZ,X,X,X,X
IJTSZLO,X,X,X,X
IJTSZOL,X,X,X,X
IJTSOLZ,X,X,X,X
IJTSOZL,X,X,X,X
IJTZLSO,X,X,X,X
IJTZLOS,X,X,X,X
IJTZSLO,X,X,X,X
IJTZSOL,X,X,X,X
IJTZOLS,X,X,X,X
IJTZOSL,X,X,X,X
IJTOLSZ,X,X,X,X
IJTOLZS,X,X,X,X
IJTOSLZ,X,X,X,X
IJTOSZL,X,X,X,X
IJTOZLS,X,X,X,X
IJTOZSL,X,X,X,X
IJLTSZO,X,X,X,X
IJLTSOZ,X,X,X,X
IJLTZSO,X,X,X,X
IJLTZOS,X,X,X,X
IJLTOSZ,X,X,X,X
IJLTOZS,X,X,X,X
IJLSTZO,X,X,X,X
IJLSTOZ,X,X,X,X
IJLSZTO,X,X,X,X
IJLSZOT,X,X,X,X
IJLSOTZ,X,X,X,X
IJLSOZT,X,X,X,X
IJLZTSO,X,X,X,X
IJLZTOS,X,X,X,X
IJLZSTO,X,X,X,X
IJLZSOT,X,X,X,X
IJLZOTS,X,X,X,X
IJLZOST,X,X,X,X
IJLOTSZ,X,X,X,X
IJLOTZS,X,X,X,X
IJLOSTZ,X,X,X,X
IJLOSZT,X,X,X,X
IJLOZTS,X,X,X,X
IJLOZST,X,X,X,X
IJSTLZO,X,X,X,X
IJSTLOZ,X,X,X,X
IJSTZLO,X,X,X,X
IJSTZOL,X,X,X,X
IJSTOLZ,X,X,X,X
IJSTOZL,X,X,X,X
IJSLTZO,X,X,X,X
IJSLTOZ,X,X,X,X
IJSLZTO,X,X,X,X
IJSLZOT,X,X,X,X
IJSLOTZ,X,X,X,X
IJSLOZT,X,X,X,X
IJSZTLO,X,X,X,X
IJSZTOL,X,X,X,X
IJSZLTO,X,X,X,X
IJSZLOT,X,X,X,X
IJSZOTL,X,X,X,X
IJSZOLT,X,X,X,X
IJSOTLZ,X,X,X,X
IJSOTZL,X,X,X,X
IJSOLTZ,X,X,X,X
IJSOLZT,X,X,X,X
IJSOZTL,X,X,X,X
IJSOZLT,X,X,X,X
IJZTLSO,X,X,X,X
IJZTLOS,X,X,X,X
IJZTSLO,X,X,X,X
IJZTSOL,X,X,X,X
IJZTOLS,X,X,X,X
IJZTOSL,X,X,X,X
IJZLTSO,X,X,X,X
IJZLTOS,X,X,X,X
IJZLSTO,X,X,X,X
IJZLSOT,X,X,X,X
IJZLOTS,X,X,X,X
IJZLOST,X,X,X,X
IJZSTLO,X,X,X,X
IJZSTOL,X,X,X,X
IJZSLTO,X,X,X,X
IJZSLOT,X,X,X,X
IJZSOTL,X,X,X,X
IJZSOLT,X,X,X,X
IJZOTLS,X,X,X,X
IJZOTSL,X,X,X,X
IJZOLTS,X,X,X,X
IJZOLST,X,X,X,X
IJZOSTL,X,X,X,X
IJZOSLT,X,X,X,X
IJOTLSZ,X,X,X,X
IJOTLZS,X,X,X,X
IJOTSLZ,X,X,X,X
IJOTSZL,X,X,X,X
IJOTZLS,X,X,X,X
IJOTZSL,X,X,X,X
IJOLTSZ,X,X,X,X
IJOLTZS,X,X,X,X
IJOLSTZ,X,X,X,X
IJOLSZT,X,X,X,X
IJOLZTS,X,X,X,X
IJOLZST,X,X,X,X
IJOSTLZ,X,X,X,X
IJOSTZL,X,X,X,X
IJOSLTZ,X,X,X,X
IJOSLZT,X,X,X,X
IJOSZTL,X,X,X,X
IJOSZLT,X,X,X,X
IJOZTLS,X,X,X,X
IJOZTSL,X,X,X,X
IJOZLTS,X,X,X,X
IJOZLST,X,X,X,X
IJOZSTL,X,X,X,X
IJOZSLT,X,X,X,X
ISTLJZO,X,X,X,X
ISTLJOZ,X,X,X,X
ISTLZJO,X,X,X,X
ISTLZOJ,O,X,X,X
ISTLOJZ,X,X,X,X
ISTLOZJ,O,X,X,X
ISTJLZO,X,X,X,X
ISTJLOZ,X,X,X,X
ISTJZLO,X,X,X,X
ISTJZOL,X,X,X,X
ISTJOLZ,X,X,X,X
ISTJOZL,X,X,X,X
ISTZLJO,X,X,X,X
ISTZLOJ,X,X,X,X
ISTZJLO,X,X,X,X
ISTZJOL,X,X,X,X
ISTZOLJ,X,X,X,X
ISTZOJL,X,X,X,X
ISTOLJZ,X,X,X,X
ISTOLZJ,O,X,X,X
ISTOJLZ,X,X,X,X
ISTOJZL,X,X,X,X
ISTOZLJ,X,X,X,X
ISTOZJL,X,X,X,X
ISLTJZO,X,X,X,X
ISLTJOZ,X,X,X,X
ISLTZJO,X,X,X,X
ISLTZOJ,O,X,X,X
ISLTOJZ,X,X,X,X
ISLTOZJ,O,X,X,X
ISLJTZO,O,X,X,X
ISLJTOZ,O,X,X,X
ISLJZTO,O,X,X,X
ISLJZOT,O,X,X,X
ISLJOTZ,O,X,X,X
ISLJOZT,O,X,X,X
ISLZTJO,X,X,X,X
ISLZTOJ,O,X,X,X
ISLZJTO,O,X,X,X
ISLZJOT,O,X,X,X
ISLZOTJ,O,X,X,X
ISLZOJT,O,X,X,X
ISLOTJZ,X,X,X,X
ISLOTZJ,O,X,X,X
ISLOJTZ,O,X,X,X
ISLOJZT,O,X,X,X
ISLOZTJ,O,X,X,X
ISLOZJT,O,X,X,X
ISJTLZO,X,X,X,X
ISJTLOZ,X,X,X,X
ISJTZLO,X,X,X,X
ISJTZOL,X,X,X,X
ISJTOLZ,X,X,X,X
ISJTOZL,X,X,X,X
ISJLTZO,X,X,X,X
ISJLTOZ,X,X,X,X
ISJLZTO,X,X,X,X
ISJLZOT,X,X,X,X
ISJLOTZ,X,X,X,X
ISJLOZT,X,X,X,X
ISJZTLO,X,X,X,X
ISJZTOL,X,X,X,X
ISJZLTO,X,X,X,X
ISJZLOT,X,X,X,X
ISJZOTL,X,X,X,X
ISJZOLT,X,X,X,X
ISJOTLZ,X,X,X,X
ISJOTZL,X,X,X,X
ISJOLTZ,X,X,X,X
ISJOLZT,X,X,X,X
ISJOZTL,X,X,X,X
ISJOZLT,X,X,X,X
ISZTLJO,X,X,X,X
ISZTLOJ,X,X,X,X
ISZTJLO,X,X,X,X
ISZTJOL,X,X,X,X
ISZTOLJ,X,X,X,X
ISZTOJL,X,X,X,X
ISZLTJO,X,X,X,X
ISZLTOJ,X,X,X,X
ISZLJTO,X,X,X,X
ISZLJOT,X,X,X,X
ISZLOTJ,X,X,X,X
ISZLOJT,X,X,X,X
ISZJTLO,X,X,X,X
ISZJTOL,X,X,X,X
ISZJLTO,X,X,X,X
ISZJLOT,X,X,X,X
ISZJOTL,X,X,X,X
ISZJOLT,X,X,X,X
ISZOTLJ,X,X,X,X
ISZOTJL,X,X,X,X
ISZOLTJ,X,X,X,X
ISZOLJT,X,X,X,X
ISZOJTL,X,X,X,X
ISZOJLT,X,X,X,X
ISOTLJZ,X,X,X,X
ISOTLZJ,O,X,X,X
ISOTJLZ,X,X,X,X
ISOTJZL,X,X,X,X
ISOTZLJ,X,X,X,X
ISOTZJL,X,X,X,X
ISOLTJZ,X,X,X,X
ISOLTZJ,O,X,X,X
ISOLJTZ,O,X,X,X
ISOLJZT,O,X,X,X
ISOLZTJ,O,X,X,X
ISOLZJT,O,X,X,X
ISOJTLZ,X,X,X,X
ISOJTZL,X,X,X,X
ISOJLTZ,X,X,X,X
ISOJLZT,X,X,X,X
ISOJZTL,X,X,X,X
ISOJZLT,X,X,X,X
ISOZTLJ,X,X,X,X
ISOZTJL,X,X,X,X
ISOZLTJ,X,X,X,X
ISOZLJT,X,X,X,X
ISOZJTL,X,X,X,X
ISOZJLT,X,X,X,X
IZTLJSO,X,X,X,X
IZTLJOS,X,X,X,X
IZTLSJO,X,X,X,X
IZTLSOJ,X,X,X,X
IZTLOJS,X,X,X,X
IZTLOSJ,X,X,X,X
IZTJLSO,X,X,X,X
IZTJLOS,X,X,X,X
IZTJSLO,X,X,X,X
IZTJSOL,X,X,X,O
IZTJOLS,X,X,X,X
IZTJOSL,X,X,X,O
IZTSLJO,X,X,X,X
IZTSLOJ,X,X,X,X
IZTSJLO,X,X,X,X
IZTSJOL,X,X,X,O
IZTSOLJ,X,X,X,X
IZTSOJL,X,X,X,O
IZTOLJS,X,X,X,X
IZTOLSJ,X,X,X,X
IZTOJLS,X,X,X,X
IZTOJSL,X,X,X,O
IZTOSLJ,X,X,X,X
IZTOSJL,X,X,X,O
IZLTJSO,X,X,X,X
IZLTJOS,X,X,X,X
IZLTSJO,X,X,X,X
IZLTSOJ,X,X,X,X
IZLTOJS,X,X,X,X
IZLTOSJ,X,X,X,X
IZLJTSO,X,X,X,X
IZLJTOS,X,X,X,X
IZLJSTO,X,X,X,X
IZLJSOT,X,X,X,X
IZLJOTS,X,X,X,X
IZLJOST,X,X,X,X
IZLSTJO,X,X,X,X
IZLSTOJ,X,X,X,X
IZLSJTO,X,X,X,X
IZLSJOT,X,X,X,X
IZLSOTJ,X,X,X,X
IZLSOJT,X,X,X,X
IZLOTJS,X,X,X,X
IZLOTSJ,X,X,X,X
IZLOJTS,X,X,X,X
IZLOJST,X,X,X,X
IZLOSTJ,X,X,X,X
IZLOSJT,X,X,X,X
IZJTLSO,X,X,X,X
IZJTLOS,X,X,X,X
IZJTSLO,X,X,X,X
IZJTSOL,X,X,X,X
IZJTOLS,X,X,X,X
IZJTOSL,X,X,X,X
IZJLTSO,X,X,X,X
IZJLTOS,X,X,X,X
IZJLSTO,X,X,X,X
IZJLSOT,X,X,X,X
IZJLOTS,X,X,X,X
IZJLOST,X,X,X,X
IZJSTLO,X,X,X,X
IZJSTOL,X,X,X,X
IZJSLTO,X,X,X,X
IZJSLOT,X,X,X,X
IZJSOTL,X,X,X,X
IZJSOLT,X,X,X,X
IZJOTLS,X,X,X,X
IZJOTSL,X,X,X,X
IZJOLTS,X,X,X,X
IZJOLST,X,X,X,X
IZJOSTL,X,X,X,X
IZJOSLT,X,X,X,X
IZSTLJO,X,X,X,X
IZSTLOJ,X,X,X,X
IZSTJLO,X,X,X,X
IZSTJOL,X,X,X,X
IZSTOLJ,X,X,X,X
IZSTOJL,X,X,X,X
IZSLTJO,X,X,X,X
IZSLTOJ,X,X,X,X
IZSLJTO,X,X,X,X
IZSLJOT,X,X,X,X
IZSLOTJ,X,X,X,X
IZSLOJT,X,X,X,X
IZSJTLO,X,X,X,X
IZSJTOL,X,X,X,X
IZSJLTO,X,X,X,X
IZSJLOT,X,X,X,X
IZSJOTL,X,X,X,X
IZSJOLT,X,X,X,X
IZSOTLJ,X,X,X,X
IZSOTJL,X,X,X,X
IZSOLTJ,X,X,X,X
IZSOLJT,X,X,X,X
IZSOJTL,X,X,X,X
IZSOJLT,X,X,X,X
IZOTLJS,X,X,X,X
IZOTLSJ,X,X,X,X
IZOTJLS,X,X,X,X
IZOTJSL,X,X,X,O
IZOTSLJ,X,X,X,X
IZOTSJL,X,X,X,O
IZOLTJS,X,X,X,X
IZOLTSJ,X,X,X,X
IZOLJTS,X,X,X,X
IZOLJST,X,X,X,X
IZOLSTJ,X,X,X,X
IZOLSJT,X,X,X,X
IZOJTLS,X,X,X,X
IZOJTSL,X,X,X,X
IZOJLTS,X,X,X,X
IZOJLST,X,X,X,X
IZOJSTL,X,X,X,X
IZOJSLT,X,X,X,X
IZOSTLJ,X,X,X,X
IZOSTJL,X,X,X,X
IZOSLTJ,X,X,X,X
IZOSLJT,X,X,X,X
IZOSJTL,X,X,X,X
IZOSJLT,X,X,X,X
IOTLJSZ,X,X,X,X
IOTLJZS,X,X,X,X
IOTLSJZ,X,X,X,X
IOTLSZJ,X,X,X,X
IOTLZJS,X,X,X,X
IOTLZSJ,X,X,X,X
IOTJLSZ,X,X,X,X
IOTJLZS,X,X,X,X
IOTJSLZ,X,X,X,X
IOTJSZL,X,X,X,X
IOTJZLS,X,X,X,X
IOTJZSL,X,X,X,X
IOTSLJZ,X,X,X,X
IOTSLZJ,X,X,X,X
IOTSJLZ,X,X,X,X
IOTSJZL,X,X,X,X
IOTSZLJ,X,X,X,X
IOTSZJL,X,X,X,X
IOTZLJS,X,X,X,X
IOTZLSJ,X,X,X,X
IOTZJLS,X,X,X,X
IOTZJSL,X,X,X,O
IOTZSLJ,X,X,X,X
IOTZSJL,X,X,X,O
IOLTJSZ,X,X,X,X
IOLTJZS,X,X,X,X
IOLTSJZ,X,X,X,X
IOLTSZJ,X,X,X,X
IOLTZJS,X,X,X,X
IOLTZSJ,X,X,X,X
IOLJTSZ,O,X,X,X
IOLJTZS,O,X,X,X
IOLJSTZ,O,X,X,X
IOLJSZT,O,X,X,X
IOLJZTS,O,X,X,X
IOLJZST,O,X,X,X
IOLSTJZ,X,X,X,X
IOLSTZJ,O,X,X,X
IOLSJTZ,O,X,X,X
IOLSJZT,O,X,X,X
IOLSZTJ,O,X,X,X
IOLSZJT,O,X,X,X
IOLZTJS,X,X,X,X
IOLZTSJ,O,X,X,X
IOLZJTS,O,X,X,X
IOLZJST,O,X,X,X
IOLZSTJ,O,X,X,X
IOLZSJT,O,X,X,X
IOJTLSZ,X,X,X,X
IOJTLZS,X,X,X,X
IOJTSLZ,X,X,X,X
IOJTSZL,X,X,X,X
IOJTZLS,X,X,X,X
IOJTZSL,X,X,X,X
IOJLTSZ,X,X,X,X
IOJLTZS,X,X,X,X
IOJLSTZ,X,X,X,X
IOJLSZT,X,X,X,X
IOJLZTS,X,X,X,X
IOJLZST,X,X,X,X
IOJSTLZ,X,X,X,X
IOJSTZL,X,X,X,X
IOJSLTZ,X,X,X,X
IOJSLZT,X,X,X,X
IOJSZTL,X,X,X,X
IOJSZLT,X,X,X,X
IOJZTLS,X,X,X,X
IOJZTSL,X,X,X,X
IOJZLTS,X,X,X,X
IOJZLST,X,X,X,X
IOJZSTL,X,X,X,X
IOJZSLT,X,X,X,X
IOSTLJZ,X,X,X,X
IOSTLZJ,O,X,X,X
IOSTJLZ,X,X,X,X
IOSTJZL,X,X,X,X
IOSTZLJ,X,X,X,X
IOSTZJL,X,X,X,X
IOSLTJZ,X,X,X,X
IOSLTZJ,O,X,X,X
IOSLJTZ,O,X,X,X
IOSLJZT,O,X,X,X
IOSLZTJ,O,X,X,X
IOSLZJT,O,X,X,X
IOSJTLZ,X,X,X,X
IOSJTZL,X,X,X,X
IOSJLTZ,X,X,X,X
IOSJLZT,X,X,X,X
IOSJZTL,X,X,X,X
IOSJZLT,X,X,X,X
IOSZTLJ,X,X,X,X
IOSZTJL,X,X,X,X
IOSZLTJ,X,X,X,X
IOSZLJT,X,X,X,X
IOSZJTL,X,X,X,X
IOSZJLT,X,X,X,X
IOZTLJS,X,X,X,X
IOZTLSJ,X,X,X,X
IOZTJLS,X,X,X,X
IOZTJSL,X,X,X,O
IOZTSLJ,X,X,X,X
IOZTSJL,X,X,X,O
IOZLTJS,X,X,X,X
IOZLTSJ,X,X,X,X
IOZLJTS,X,X,X,X
IOZLJST,X,X,X,X
IOZLSTJ,X,X,X,X
IOZLSJT,X,X,X,X
IOZJTLS,X,X,X,X
IOZJTSL,X,X,X,X
IOZJLTS,X,X,X,X
IOZJLST,X,X,X,X
IOZJSTL,X,X,X,X
IOZJSLT,X,X,X,X
IOZSTLJ,X,X,X,X
IOZSTJL,X,X,X,X
IOZSLTJ,X,X,X,X
IOZSLJT,X,X,X,X
IOZSJTL,X,X,X,X
IOZSJLT,X,X,X,X
LTIJSZO,X,X,X,X
LTIJSOZ,X,O,X,X
LTIJZSO,X,X,X,X
LTIJZOS,X,X,X,X
LTIJOSZ,X,O,X,X
LTIJOZS,X,X,X,X
LTISJZO,X,X,X,X
LTISJOZ,X,O,X,X
LTISZJO,X,X,X,X
LTISZOJ,X,X,X,X
LTISOJZ,X,O,X,X
LTISOZJ,X,X,X,X
LTIZJSO,X,X,X,X
LTIZJOS,X,X,X,X
LTIZSJO,X,X,X,X
LTIZSOJ,X,X,X,X
LTIZOJS,X,X,X,X
LTIZOSJ,X,X,X,X
LTIOJSZ,X,O,X,X
LTIOJZS,X,X,X,X
LTIOSJZ,X,O,X,X
LTIOSZJ,X,X,X,X
LTIOZJS,X,X,X,X
LTIOZSJ,X,X,X,X
LTJISZO,X,X,X,X
LTJISOZ,X,O,X,X
LTJIZSO,X,X,X,X
LTJIZOS,X,X,X,X
LTJIOSZ,X,O,X,X
LTJIOZS,X,X,X,X
LTJSIZO,X,X,X,X
LTJSIOZ,X,O,X,X
LTJSZIO,X,O,X,X
LTJSZOI,X,O,X,X
LTJSOIZ,X,O,X,X
LTJSOZI,X,O,X,X
LTJZISO,X,O,X,X
LTJZIOS,X,O,X,X
LTJZSIO,X,O,X,X
LTJZSOI,X,O,X,X
LTJZOIS,X,O,X,X
LTJZOSI,X,O,X,X
LTJOISZ,X,O,X,X
LTJOIZS,X,X,X,X
LTJOSIZ,X,O,X,X
LTJOSZI,X,O,X,X
LTJOZIS,X,O,X,X
LTJOZSI,X,O,X,X
LTSIJZO,X,X,X,X
LTSIJOZ,X,O,X,X
LTSIZJO,X,X,X,X
LTSIZOJ,X,X,X,X
LTSIOJZ,X,O,X,X
LTSIOZJ,X,X,X,X
LTSJIZO,X,X,X,X
LTSJIOZ,X,O,X,X
LTSJZIO,X,O,X,X
LTSJZOI,X,O,X,X
LTSJOIZ,X,O,X,X
LTSJOZI,X,O,X,X
LTSZIJO,X,O,X,X
LTSZIOJ,X,O,X,X
LTSZJIO,X,O,X,X
LTSZJOI,X,O,X,X
LTSZOIJ,X,O,X,X
LTSZOJI,X,O,X,X
LTSOIJZ,X,O,X,X
LTSOIZJ,X,X,X,X
LTSOJIZ,X,O,X,X
LTSOJZI,X,O,X,X
LTSOZIJ,X,O,X,X
LTSOZJI,X,O,X,X
LTZIJSO,X,O,X,X
LTZIJOS,X,O,X,X
LTZISJO,X,O,X,X
LTZISOJ,X,O,X,X
LTZIOJS,X,O,X,X
LTZIOSJ,X,O,X,X
LTZJISO,X,O,X,X
LTZJIOS,X,O,X,X
LTZJSIO,X,O,X,X
LTZJSOI,X,O,X,X
LTZJOIS,X,O,X,X
LTZJOSI,X,O,X,X
LTZSIJO,X,O,X,X
LTZSIOJ,X,O,X,X
LTZSJIO,X,O,X,X
LTZSJOI,X,O,X,X
LTZSOIJ,X,O,X,X
LTZSOJI,X,O,X,X
LTZOIJS,X,O,X,X
LTZOISJ,X,O,X,X
LTZOJIS,X,O,X,X
LTZOJSI,X,O,X,X
LTZOSIJ,X,O,X,X
LTZOSJI,X,O,X,X
LTOIJSZ,X,O,X,X
LTOIJZS,X,X,X,X
LTOISJZ,X,O,X,X
LTOISZJ,X,X,X,X
LTOIZJS,X,X,X,X
LTOIZSJ,X,X,X,X
LTOJISZ,X,O,X,X
LTOJIZS,X,X,X,X
LTOJSIZ,X,O,X,X
LTOJSZI,X,O,X,X
LTOJZIS,X,O,X,X
LTOJZSI,X,O,X,X
LTOSIJZ,X,O,X,X
LTOSIZJ,X,X,X,X
LTOSJIZ,X,O,X,X
LTOSJZI,X,O,X,X
LTOSZIJ,X,O,X,X
LTOSZJI,X,O,X,X
LTOZIJS,X,O,X,X
LTOZISJ,X,O,X,X
LTOZJIS,X,O,X,X
LTOZJSI,X,O,X,X
LTOZSIJ,X,O,X,X
LTOZSJI,X,O,X,X
LITJSZO,X,X,X,X
LITJSOZ,X,O,X,X
LITJZSO,X,X,X,X
LITJZOS,X,X,X,X
LITJOSZ,X,O,X,X
LITJOZS,X,X,X,X
LITSJZO,X,X,X,X
LITSJOZ,X,O,X,X
LITSZJO,X,X,X,X
LITSZOJ,X,X,X,X
LITSOJZ,X,O,X,X
LITSOZJ,X,X,X,X
LITZJSO,X,X,X,X
LITZJOS,X,X,X,X
LITZSJO,X,X,X,X
LITZSOJ,X,X,X,X
LITZOJS,X,X,X,X
LITZOSJ,X,X,X,X
LITOJSZ,X,O,X,X
LITOJZS,X,X,X,X
LITOSJZ,X,O,X,X
LITOSZJ,X,X,X,X
LITOZJS,X,X,X,X
LITOZSJ,X,X,X,X
LIJTSZO,O,X,X,X
LIJTSOZ,O,X,X,X
LIJTZSO,O,X,X,X
LIJTZOS,O,X,X,X
LIJTOSZ,O,X,X,X
LIJTOZS,O,X,X,X
LIJSTZO,O,X,X,X
LIJSTOZ,O,X,X,X
LIJSZTO,O,X,X,X
LIJSZOT,O,X,X,X
LIJSOTZ,O,X,X,X
LIJSOZT,O,X,X,X
LIJZTSO,O,X,X,X
LIJZTOS,O,X,X,X
LIJZSTO,O,X,X,X
LIJZSOT,O,X,X,X
LIJZOTS,O,X,X,X
LIJZOST,O,X,X,X
LIJOTSZ,O,X,X,X
LIJOTZS,O,X,X,X
LIJOSTZ,O,X,X,X
LIJOSZT,O,X,X,X
LIJOZTS,O,X,X,X
LIJOZST,O,X,X,X
LISTJZO,X,X,X,X
LISTJOZ,X,O,X,X
LISTZJO,X,X,X,X
LISTZOJ,O,X,X,X
LISTOJZ,X,O,X,X
LISTOZJ,O,X,X,X
LISJTZO,O,X,X,X
LISJTOZ,O,X,X,X
LISJZTO,O,X,X,X
LISJZOT,O,X,X,X
LISJOTZ,O,X,X,X
LISJOZT,O,X,X,X
LISZTJO,X,X,X,X
LISZTOJ,O,X,X,X
LISZJTO,O,X,X,X
LISZJOT,O,X,X,X
LISZOTJ,O,X,X,X
LISZOJT,O,X,X,X
LISOTJZ,X,O,X,X
LISOTZJ,O,X,X,X
LISOJTZ,O,X,X,X
LISOJZT,O,X,X,X
LISOZTJ,O,X,X,X
LISOZJT,O,X,X,X
LIZTJSO,X,X,X,X
LIZTJOS,X,X,X,X
LIZTSJO,X,X,X,X
LIZTSOJ,O,X,X,X
LIZTOJS,X,X,X,X
LIZTOSJ,O,X,X,X
LIZJTSO,O,X,X,X
LIZJTOS,O,X,X,X
LIZJSTO,O,X,X,X
LIZJSOT,O,X,X,X
LIZJOTS,O,X,X,X
LIZJOST,O,X,X,X
LIZSTJO,X,X,X,X
LIZSTOJ,O,X,X,X
LIZSJTO,O,X,X,X
LIZSJOT,O,X,X,X
LIZSOTJ,O,X,X,X
LIZSOJT,O,X,X,X
LIZOTJS,X,X,X,X
LIZOTSJ,O,X,X,X
LIZOJTS,O,X,X,X
LIZOJST,O,X,X,X
LIZOSTJ,O,X,X,X
LIZOSJT,O,X,X,X
LIOTJSZ,X,O,X,X
LIOTJZS,X,X,X,X
LIOTSJZ,X,O,X,X
LIOTSZJ,X,X,X,X
LIOTZJS,X,X,X,X
LIOTZSJ,X,X,X,X
LIOJTSZ,O,X,X,X
LIOJTZS,O,X,X,X
LIOJSTZ,O,X,X,X
LIOJSZT,O,X,X,X
LIOJZTS,O,X,X,X
LIOJZST,O,X,X,X
LIOSTJZ,X,O,X,X
LIOSTZJ,O,X,X,X
LIOSJTZ,O,X,X,X
LIOSJZT,O,X,X,X
LIOSZTJ,O,X,X,X
LIOSZJT,O,X,X,X
LIOZTJS,X,X,X,X
LIOZTSJ,O,X,X,X
LIOZJTS,O,X,X,X
LIOZJST,O,X,X,X
LIOZSTJ,O,X,X,X
LIOZSJT,O,X,X,X
LJTISZO,O,X,X,X
LJTISOZ,O,X,X,X
LJTIZSO,O,X,X,X
LJTIZOS,O,X,X,X
LJTIOSZ,O,X,X,X
LJTIOZS,O,X,X,X
LJTSIZO,O,X,X,X
LJTSIOZ,O,X,X,X
LJTSZIO,O,X,X,X
LJTSZOI,O,X,X,X
LJTSOIZ,O,X,X,X
LJTSOZI,O,X,X,X
LJTZISO,O,X,X,X
LJTZIOS,O,X,X,X
LJTZSIO,O,X,X,X
LJTZSOI,O,X,X,X
