sequence,v115@IhA8IeA8CeB8DeA8AeG8JeZEJvhFUgBFhBXiBTjBWt?BiqB,v115@IhA8IeA8CeB8DeA8AeG8JeZEJvhFFgBOmBXiB6oBcq?BzsB
JITLZSO,X,X
JITLZOS,X,X
JITLOSZ,X,X
JITLOZS,X,X
JITSLZO,X,X
JITSLOZ,X,X
JITSZLO,X,X
JITSZOL,X,X
JITSOLZ,X,X
JITSOZL,X,X
JITZLSO,X,X
JITZLOS,X,X
JITZSLO,X,X
JITZSOL,X,X
JITZOLS,X,X
JITZOSL,X,X
JITOLSZ,X,X
JITOLZS,X,X
JITOSLZ,X,X
JITOSZL,X,X
JITOZLS,X,X
JITOZSL,X,X
JILTSZO,O,X
JILTSOZ,O,X
JILTZSO,O,X
JILTZOS,O,X
JILTOSZ,O,X
JILTOZS,O,X
JILSTZO,O,X
JILSTOZ,O,X
JILSZTO,O,O
JILSZOT,O,X
JILSOTZ,O,X
JILSOZT,O,X
JILZTSO,O,O
JILZTOS,O,X
JILZSTO,O,O
JILZSOT,O,X
JILZOTS,O,X
JILZOST,O,X
JILOTSZ,O,X
JILOTZS,O,X
JILOSTZ,O,X
JILOSZT,O,X
JILOZTS,O,X
JILOZST,O,X
JISTLZO,O,X
JISTLOZ,O,X
JISTZLO,X,X
JISTZOL,O,X
JISTOLZ,O,X
JISTOZL,O,X
JISLTZO,O,X
JISLTOZ,O,X
JISLZTO,O,O
JISLZOT,O,X
JISLOTZ,O,X
JISLOZT,O,X
JISZTLO,X,O
JISZTOL,O,O
JISZLTO,O,O
JISZLOT,O,X
JISZOTL,O,O
JISZOLT,O,O
JISOTLZ,O,X
JISOTZL,O,X
JISOLTZ,O,X
JISOLZT,O,O
JISOZTL,O,O
JISOZLT,O,O
JIZTLSO,X,O
JIZTLOS,X,X
JIZTSLO,X,O
JIZTSOL,O,O
JIZTOLS,X,O
JIZTOSL,O,O
JIZLTSO,O,O
JIZLTOS,O,X
JIZLSTO,O,O
JIZLSOT,O,X
JIZLOTS,O,X
JIZLOST,O,X
JIZSTLO,X,O
JIZSTOL,O,O
JIZSLTO,O,O
JIZSLOT,O,X
JIZSOTL,O,O
JIZSOLT,O,O
JIZOTLS,X,O
JIZOTSL,O,O
JIZOLTS,O,O
JIZOLST,O,O
JIZOSTL,O,O
JIZOSLT,O,O
JIOTLSZ,X,X
JIOTLZS,X,X
JIOTSLZ,X,X
JIOTSZL,X,X
JIOTZLS,X,X
JIOTZSL,X,X
JIOLTSZ,O,X
JIOLTZS,O,X
JIOLSTZ,O,X
JIOLSZT,O,O
JIOLZTS,O,O
JIOLZST,O,O
JIOSTLZ,O,X
JIOSTZL,O,X
JIOSLTZ,O,X
JIOSLZT,O,O
JIOSZTL,O,O
JIOSZLT,O,O
JIOZTLS,X,O
JIOZTSL,O,O
JIOZLTS,O,O
JIOZLST,O,O
JIOZSTL,O,O
JIOZSLT,O,O
JLTISZO,O,X
JLTISOZ,O,X
JLTIZSO,O,X
JLTIZOS,O,X
JLTIOSZ,O,X
JLTIOZS,O,X
JLTSIZO,O,X
JLTSIOZ,O,X
JLTSZIO,O,X
JLTSZOI,O,X
JLTSOIZ,O,X
JLTSOZI,O,X
JLTZISO,O,X
JLTZIOS,O,X
JLTZSIO,O,X
JLTZSOI,O,X
JLTZOIS,O,X
JLTZOSI,O,X
JLTOISZ,O,X
JLTOIZS,O,X
JLTOSIZ,O,X
JLTOSZI,O,X
JLTOZIS,O,X
JLTOZSI,O,X
JLITSZO,O,X
JLITSOZ,O,X
JLITZSO,O,X
JLITZOS,O,X
JLITOSZ,O,X
JLITOZS,O,X
JLISTZO,O,X
JLISTOZ,O,X
JLISZTO,O,O
JLISZOT,O,X
JLISOTZ,O,X
JLISOZT,O,X
JLIZTSO,O,O
JLIZTOS,O,X
JLIZSTO,O,O
JLIZSOT,O,X
JLIZOTS,O,X
JLIZOST,O,X
JLIOTSZ,O,X
JLIOTZS,O,X
JLIOSTZ,O,X
JLIOSZT,O,X
JLIOZTS,O,X
JLIOZST,O,X
JLSTIZO,O,X
JLSTIOZ,O,X
JLSTZIO,O,X
JLSTZOI,O,X
JLSTOIZ,O,X
JLSTOZI,O,X
JLSITZO,O,X
JLSITOZ,O,X
JLSIZTO,O,O
JLSIZOT,O,X
JLSIOTZ,O,X
JLSIOZT,O,X
JLSZTIO,O,O
JLSZTOI,O,X
JLSZITO,O,O
JLSZIOT,O,X
JLSZOTI,O,X
JLSZOIT,O,X
JLSOTIZ,O,X
JLSOTZI,O,X
JLSOITZ,O,X
JLSOIZT,O,X
JLSOZTI,O,X
JLSOZIT,O,X
JLZTISO,O,O
JLZTIOS,O,X
JLZTSIO,O,O
JLZTSOI,O,X
JLZTOIS,O,X
JLZTOSI,O,X
JLZITSO,O,O
JLZITOS,O,X
JLZISTO,O,O
JLZISOT,O,X
JLZIOTS,O,X
JLZIOST,O,X
JLZSTIO,O,O
JLZSTOI,O,X
JLZSITO,O,O
JLZSIOT,O,X
JLZSOTI,O,X
JLZSOIT,O,X
JLZOTIS,O,X
JLZOTSI,O,X
JLZOITS,O,X
JLZOIST,O,X
JLZOSTI,O,X
JLZOSIT,O,X
JLOTISZ,O,X
JLOTIZS,O,X
JLOTSIZ,O,X
JLOTSZI,O,X
JLOTZIS,O,X
JLOTZSI,O,X
JLOITSZ,O,X
JLOITZS,O,X
JLOISTZ,O,X
JLOISZT,O,X
JLOIZTS,O,X
JLOIZST,O,X
JLOSTIZ,O,X
JLOSTZI,O,X
JLOSITZ,O,X
JLOSIZT,O,X
JLOSZTI,O,X
JLOSZIT,O,X
JLOZTIS,O,X
JLOZTSI,O,X
JLOZITS,O,X
JLOZIST,O,X
JLOZSTI,O,X
JLOZSIT,O,X
JSTILZO,O,X
JSTILOZ,O,X
JSTIZLO,X,X
JSTIZOL,O,X
JSTIOLZ,O,X
JSTIOZL,O,X
JSTLIZO,O,X
JSTLIOZ,O,X
JSTLZIO,O,X
JSTLZOI,O,X
JSTLOIZ,O,X
JSTLOZI,O,X
JSTZILO,X,X
JSTZIOL,O,X
JSTZLIO,X,X
JSTZLOI,X,X
JSTZOIL,O,X
JSTZOLI,X,X
JSTOILZ,O,X
JSTOIZL,O,X
JSTOLIZ,O,X
JSTOLZI,O,X
JSTOZIL,O,X
JSTOZLI,X,X
JSITLZO,O,X
JSITLOZ,O,X
JSITZLO,X,X
JSITZOL,O,X
JSITOLZ,O,X
JSITOZL,O,X
JSILTZO,O,X
JSILTOZ,O,X
JSILZTO,O,O
JSILZOT,O,X
JSILOTZ,O,X
JSILOZT,O,X
JSIZTLO,X,O
JSIZTOL,O,O
JSIZLTO,O,O
JSIZLOT,O,X
JSIZOTL,O,O
JSIZOLT,O,O
JSIOTLZ,O,X
JSIOTZL,O,X
JSIOLTZ,O,X
JSIOLZT,O,O
JSIOZTL,O,O
JSIOZLT,O,O
JSLTIZO,O,X
JSLTIOZ,O,X
JSLTZIO,O,X
JSLTZOI,O,X
JSLTOIZ,O,X
JSLTOZI,O,X
JSLITZO,O,X
JSLITOZ,O,X
JSLIZTO,O,O
JSLIZOT,O,X
JSLIOTZ,O,X
JSLIOZT,O,X
JSLZTIO,O,O
JSLZTOI,O,X
JSLZITO,O,O
JSLZIOT,O,X
JSLZOTI,O,X
JSLZOIT,O,X
JSLOTIZ,O,X
JSLOTZI,O,X
JSLOITZ,O,X
JSLOIZT,O,X
JSLOZTI,O,X
JSLOZIT,O,X
JSZTILO,X,O
JSZTIOL,O,O
JSZTLIO,X,O
JSZTLOI,X,X
JSZTOIL,O,O
JSZTOLI,X,O
JSZITLO,X,O
JSZITOL,O,O
JSZILTO,O,O
JSZILOT,O,X
JSZIOTL,O,O
JSZIOLT,O,O
JSZLTIO,O,O
JSZLTOI,O,X
JSZLITO,O,O
JSZLIOT,O,X
JSZLOTI,O,X
JSZLOIT,O,X
JSZOTIL,O,O
JSZOTLI,X,O
JSZOITL,O,O
JSZOILT,O,O
JSZOLTI,O,O
JSZOLIT,O,O
JSOTILZ,O,X
JSOTIZL,O,X
JSOTLIZ,O,X
JSOTLZI,O,X
JSOTZIL,O,X
JSOTZLI,X,X
JSOITLZ,O,X
JSOITZL,O,X
JSOILTZ,O,X
JSOILZT,O,O
JSOIZTL,O,O
JSOIZLT,O,O
JSOLTIZ,O,X
JSOLTZI,O,X
JSOLITZ,O,X
JSOLIZT,O,O
JSOLZTI,O,O
JSOLZIT,O,O
JSOZTIL,O,O
JSOZTLI,X,O
JSOZITL,O,O
JSOZILT,O,O
JSOZLTI,O,O
JSOZLIT,O,O
JZTILSO,X,O
JZTILOS,X,X
JZTISLO,X,O
JZTISOL,O,O
JZTIOLS,X,O
JZTIOSL,O,O
JZTLISO,X,O
JZTLIOS,X,X
JZTLSIO,X,O
JZTLSOI,X,X
JZTLOIS,X,X
JZTLOSI,X,X
JZTSILO,X,O
JZTSIOL,O,O
JZTSLIO,X,O
JZTSLOI,X,X
JZTSOIL,O,O
JZTSOLI,X,O
JZTOILS,X,O
JZTOISL,O,O
JZTOLIS,X,O
JZTOLSI,X,O
JZTOSIL,O,O
JZTOSLI,X,O
JZITLSO,X,O
JZITLOS,X,X
JZITSLO,X,O
JZITSOL,O,O
JZITOLS,X,O
JZITOSL,O,O
JZILTSO,O,O
JZILTOS,O,X
JZILSTO,O,O
JZILSOT,O,X
JZILOTS,O,X
JZILOST,O,X
JZISTLO,X,O
JZISTOL,O,O
JZISLTO,O,O
JZISLOT,O,X
JZISOTL,O,O
JZISOLT,O,O
JZIOTLS,X,O
JZIOTSL,O,O
JZIOLTS,O,O
JZIOLST,O,O
JZIOSTL,O,O
JZIOSLT,O,O
JZLTISO,O,O
JZLTIOS,O,X
JZLTSIO,O,O
JZLTSOI,O,X
JZLTOIS,O,X
JZLTOSI,O,X
JZLITSO,O,O
JZLITOS,O,X
JZLISTO,O,O
JZLISOT,O,X
JZLIOTS,O,X
JZLIOST,O,X
JZLSTIO,O,O
JZLSTOI,O,X
JZLSITO,O,O
JZLSIOT,O,X
JZLSOTI,O,X
JZLSOIT,O,X
JZLOTIS,O,X
JZLOTSI,O,X
JZLOITS,O,X
JZLOIST,O,X
JZLOSTI,O,X
JZLOSIT,O,X
JZSTILO,X,O
JZSTIOL,O,O
JZSTLIO,X,O
JZSTLOI,X,X
JZSTOIL,O,O
JZSTOLI,X,O
JZSITLO,X,O
JZSITOL,O,O
JZSILTO,O,O
JZSILOT,O,X
JZSIOTL,O,O
JZSIOLT,O,O
JZSLTIO,O,O
JZSLTOI,O,X
JZSLITO,O,O
JZSLIOT,O,X
JZSLOTI,O,X
JZSLOIT,O,X
JZSOTIL,O,O
JZSOTLI,X,O
JZSOITL,O,O
JZSOILT,O,O
JZSOLTI,O,O
JZSOLIT,O,O
JZOTILS,X,O
JZOTISL,O,O
JZOTLIS,X,O
JZOTLSI,X,O
JZOTSIL,O,O
JZOTSLI,X,O
JZOITLS,X,O
JZOITSL,O,O
JZOILTS,O,O
JZOILST,O,O
JZOISTL,O,O
JZOISLT,O,O
JZOLTIS,O,O
JZOLTSI,O,O
JZOLITS,O,O
JZOLIST,O,O
JZOLSTI,O,O
JZOLSIT,O,O
JZOSTIL,O,O
JZOSTLI,X,O
JZOSITL,O,O
JZOSILT,O,O
JZOSLTI,O,O
JZOSLIT,O,O
JOTILSZ,X,X
JOTILZS,X,X
JOTISLZ,X,X
JOTISZL,X,X
JOTIZLS,X,X
JOTIZSL,X,X
JOTLISZ,X,X
JOTLIZS,X,X
JOTLSIZ,X,X
JOTLSZI,X,X
JOTLZIS,X,X
JOTLZSI,X,X
JOTSILZ,X,X
JOTSIZL,X,X
JOTSLIZ,X,X
JOTSLZI,X,X
JOTSZIL,X,X
JOTSZLI,X,X
JOTZILS,X,X
JOTZISL,X,X
JOTZLIS,X,X
JOTZLSI,X,X
JOTZSIL,X,X
JOTZSLI,X,X
JOITLSZ,X,X
JOITLZS,X,X
JOITSLZ,X,X
JOITSZL,X,X
JOITZLS,X,X
JOITZSL,X,X
JOILTSZ,O,X
JOILTZS,O,X
JOILSTZ,O,X
JOILSZT,O,O
JOILZTS,O,O
JOILZST,O,O
JOISTLZ,O,X
JOISTZL,O,X
JOISLTZ,O,X
JOISLZT,O,O
JOISZTL,O,O
JOISZLT,O,O
JOIZTLS,X,O
JOIZTSL,O,O
JOIZLTS,O,O
JOIZLST,O,O
JOIZSTL,O,O
JOIZSLT,O,O
JOLTISZ,O,X
JOLTIZS,O,X
JOLTSIZ,O,X
JOLTSZI,O,X
JOLTZIS,O,X
JOLTZSI,O,X
JOLITSZ,O,X
JOLITZS,O,X
JOLISTZ,O,X
JOLISZT,O,O
JOLIZTS,O,O
JOLIZST,O,O
JOLSTIZ,O,X
JOLSTZI,O,X
JOLSITZ,O,X
JOLSIZT,O,O
JOLSZTI,O,O
JOLSZIT,O,O
JOLZTIS,O,O
JOLZTSI,O,O
JOLZITS,O,O
JOLZIST,O,O
JOLZSTI,O,O
JOLZSIT,O,O
JOSTILZ,O,X
JOSTIZL,O,X
JOSTLIZ,O,X
JOSTLZI,O,X
JOSTZIL,O,X
JOSTZLI,X,X
JOSITLZ,O,X
JOSITZL,O,X
JOSILTZ,O,X
JOSILZT,O,O
JOSIZTL,O,O
JOSIZLT,O,O
JOSLTIZ,O,X
JOSLTZI,O,X
JOSLITZ,O,X
JOSLIZT,O,O
JOSLZTI,O,O
JOSLZIT,O,O
JOSZTIL,O,O
JOSZTLI,X,O
JOSZITL,O,O
JOSZILT,O,O
JOSZLTI,O,O
JOSZLIT,O,O
JOZTILS,X,O
JOZTISL,O,O
JOZTLIS,X,O
JOZTLSI,X,O
JOZTSIL,O,O
JOZTSLI,X,O
JOZITLS,X,O
JOZITSL,O,O
JOZILTS,O,O
JOZILST,O,O
JOZISTL,O,O
JOZISLT,O,O
JOZLTIS,O,O
JOZLTSI,O,O
JOZLITS,O,O
JOZLIST,O,O
JOZLSTI,O,O
JOZLSIT,O,O
JOZSTIL,O,O
JOZSTLI,X,O
JOZSITL,O,O
JOZSILT,O,O
JOZSLTI,O,O
JOZSLIT,O,O
STILJZO,O,X
STILJOZ,O,X
STILZJO,O,X
STILZOJ,X,X
STILOJZ,X,X
STILOZJ,X,X
STIJLZO,O,X
STIJLOZ,O,X
STIJZLO,X,X
STIJZOL,O,X
STIJOLZ,O,X
STIJOZL,O,X
STIZLJO,X,X
STIZLOJ,X,X
STIZJLO,X,X
STIZJOL,O,X
STIZOLJ,X,X
STIZOJL,X,X
STIOLJZ,X,X
STIOLZJ,X,X
STIOJLZ,X,X
STIOJZL,X,X
STIOZLJ,X,X
STIOZJL,X,X
STLIJZO,O,X
STLIJOZ,O,X
STLIZJO,O,X
STLIZOJ,X,X
STLIOJZ,X,X
STLIOZJ,X,X
STLJIZO,O,X
STLJIOZ,O,X
STLJZIO,O,X
STLJZOI,O,X
STLJOIZ,O,X
STLJOZI,O,X
STLZIJO,O,X
STLZIOJ,X,X
STLZJIO,O,X
STLZJOI,O,X
STLZOIJ,X,X
STLZOJI,X,X
STLOIJZ,X,X
STLOIZJ,X,X
STLOJIZ,X,X
STLOJZI,X,X
STLOZIJ,X,X
STLOZJI,X,X
STJILZO,O,X
STJILOZ,O,X
STJIZLO,X,X
STJIZOL,O,X
STJIOLZ,O,X
STJIOZL,O,X
STJLIZO,O,X
STJLIOZ,O,X
STJLZIO,O,X
STJLZOI,O,X
STJLOIZ,O,X
STJLOZI,O,X
STJZILO,X,X
STJZIOL,O,X
STJZLIO,X,X
STJZLOI,X,X
STJZOIL,O,X
STJZOLI,X,X
STJOILZ,O,X
STJOIZL,O,X
STJOLIZ,O,X
STJOLZI,O,X
STJOZIL,O,X
STJOZLI,X,X
STZILJO,X,X
STZILOJ,X,X
STZIJLO,X,X
STZIJOL,O,X
STZIOLJ,X,X
STZIOJL,X,X
STZLIJO,X,X
STZLIOJ,X,X
STZLJIO,X,X
STZLJOI,X,X
STZLOIJ,X,X
STZLOJI,X,X
STZJILO,X,X
STZJIOL,O,X
STZJLIO,X,X
STZJLOI,X,X
STZJOIL,O,X
STZJOLI,X,X
STZOILJ,X,X
STZOIJL,X,X
STZOLIJ,X,X
STZOLJI,X,X
STZOJIL,X,X
STZOJLI,X,X
STOILJZ,X,X
STOILZJ,X,X
STOIJLZ,X,X
STOIJZL,X,X
STOIZLJ,X,X
STOIZJL,X,X
STOLIJZ,X,X
STOLIZJ,X,X
STOLJIZ,X,X
STOLJZI,X,X
STOLZIJ,X,X
STOLZJI,X,X
STOJILZ,X,X
STOJIZL,X,X
STOJLIZ,X,X
STOJLZI,X,X
STOJZIL,X,X
STOJZLI,X,X
STOZILJ,X,X
STOZIJL,X,X
STOZLIJ,X,X
STOZLJI,X,X
STOZJIL,X,X
STOZJLI,X,X
SITLJZO,O,X
SITLJOZ,O,X
SITLZJO,O,X
SITLZOJ,X,X
SITLOJZ,X,X
SITLOZJ,X,X
SITJLZO,O,X
SITJLOZ,O,X
SITJZLO,X,X
SITJZOL,O,X
SITJOLZ,O,X
SITJOZL,O,X
SITZLJO,X,X
SITZLOJ,X,X
SITZJLO,X,X
SITZJOL,O,X
SITZOLJ,X,X
SITZOJL,X,X
SITOLJZ,X,X
SITOLZJ,X,X
SITOJLZ,X,X
SITOJZL,X,X
SITOZLJ,X,X
SITOZJL,X,X
SILTJZO,O,X
SILTJOZ,O,X
SILTZJO,O,X
SILTZOJ,X,X
SILTOJZ,X,X
SILTOZJ,X,X
SILJTZO,O,X
SILJTOZ,O,X
SILJZTO,O,O
SILJZOT,O,X
SILJOTZ,O,X
SILJOZT,O,X
SILZTJO,O,O
SILZTOJ,X,X
SILZJTO,O,O
SILZJOT,O,X
SILZOTJ,X,X
SILZOJT,X,X
SILOTJZ,X,X
SILOTZJ,X,X
SILOJTZ,X,X
SILOJZT,X,X
SILOZTJ,X,X
SILOZJT,X,X
SIJTLZO,O,X
SIJTLOZ,O,X
SIJTZLO,X,X
SIJTZOL,O,X
SIJTOLZ,O,X
SIJTOZL,O,X
SIJLTZO,O,X
SIJLTOZ,O,X
SIJLZTO,O,O
SIJLZOT,O,X
SIJLOTZ,O,X
SIJLOZT,O,X
SIJZTLO,X,O
SIJZTOL,O,O
SIJZLTO,O,O
SIJZLOT,O,X
SIJZOTL,O,O
SIJZOLT,O,O
SIJOTLZ,O,X
SIJOTZL,O,X
SIJOLTZ,O,X
SIJOLZT,O,O
SIJOZTL,O,O
SIJOZLT,O,O
SIZTLJO,X,O
SIZTLOJ,X,X
SIZTJLO,X,O
SIZTJOL,O,O
SIZTOLJ,X,O
SIZTOJL,X,O
SIZLTJO,O,O
SIZLTOJ,X,X
SIZLJTO,O,O
SIZLJOT,O,X
SIZLOTJ,X,X
SIZLOJT,X,X
SIZJTLO,X,O
SIZJTOL,O,O
SIZJLTO,O,O
SIZJLOT,O,X
SIZJOTL,O,O
SIZJOLT,O,O
SIZOTLJ,X,O
SIZOTJL,X,O
SIZOLTJ,X,O
SIZOLJT,X,O
SIZOJTL,X,O
SIZOJLT,X,O
SIOTLJZ,X,X
SIOTLZJ,X,X
SIOTJLZ,X,X
SIOTJZL,X,X
SIOTZLJ,X,X
SIOTZJL,X,X
SIOLTJZ,X,X
SIOLTZJ,X,X
SIOLJTZ,X,X
SIOLJZT,X,O
SIOLZTJ,X,O
SIOLZJT,X,O
SIOJTLZ,X,X
SIOJTZL,X,X
SIOJLTZ,X,X
SIOJLZT,X,O
SIOJZTL,X,O
SIOJZLT,X,O
SIOZTLJ,X,O
SIOZTJL,X,O
SIOZLTJ,X,O
SIOZLJT,X,O
SIOZJTL,X,O
SIOZJLT,X,O
SLTIJZO,O,X
SLTIJOZ,O,X
SLTIZJO,O,X
SLTIZOJ,X,X
SLTIOJZ,X,X
SLTIOZJ,X,X
SLTJIZO,O,X
SLTJIOZ,O,X
SLTJZIO,O,X
SLTJZOI,O,X
SLTJOIZ,O,X
SLTJOZI,O,X
SLTZIJO,O,X
SLTZIOJ,X,X
SLTZJIO,O,X
SLTZJOI,O,X
SLTZOIJ,X,X
SLTZOJI,X,X
SLTOIJZ,X,X
SLTOIZJ,X,X
SLTOJIZ,X,X
SLTOJZI,X,X
SLTOZIJ,X,X
SLTOZJI,X,X
SLITJZO,O,X
SLITJOZ,O,X
SLITZJO,O,X
SLITZOJ,X,X
SLITOJZ,X,X
SLITOZJ,X,X
SLIJTZO,O,X
SLIJTOZ,O,X
SLIJZTO,O,O
SLIJZOT,O,X
SLIJOTZ,O,X
SLIJOZT,O,X
SLIZTJO,O,O
SLIZTOJ,X,X
SLIZJTO,O,O
SLIZJOT,O,X
SLIZOTJ,X,X
SLIZOJT,X,X
SLIOTJZ,X,X
SLIOTZJ,X,X
SLIOJTZ,X,X
SLIOJZT,X,X
SLIOZTJ,X,X
SLIOZJT,X,X
SLJTIZO,O,X
SLJTIOZ,O,X
SLJTZIO,O,X
SLJTZOI,O,X
SLJTOIZ,O,X
SLJTOZI,O,X
SLJITZO,O,X
SLJITOZ,O,X
SLJIZTO,O,O
SLJIZOT,O,X
SLJIOTZ,O,X
SLJIOZT,O,X
SLJZTIO,O,O
SLJZTOI,O,X
SLJZITO,O,O
SLJZIOT,O,X
SLJZOTI,O,X
SLJZOIT,O,X
SLJOTIZ,O,X
SLJOTZI,O,X
SLJOITZ,O,X
SLJOIZT,O,X
SLJOZTI,O,X
SLJOZIT,O,X
SLZTIJO,O,O
SLZTIOJ,X,X
SLZTJIO,O,O
SLZTJOI,O,X
SLZTOIJ,X,X
SLZTOJI,X,X
SLZITJO,O,O
SLZITOJ,X,X
SLZIJTO,O,O
SLZIJOT,O,X
SLZIOTJ,X,X
SLZIOJT,X,X
SLZJTIO,O,O
SLZJTOI,O,X
SLZJITO,O,O
SLZJIOT,O,X
SLZJOTI,O,X
SLZJOIT,O,X
SLZOTIJ,X,X
SLZOTJI,X,X
SLZOITJ,X,X
SLZOIJT,X,X
SLZOJTI,X,X
SLZOJIT,X,X
SLOTIJZ,X,X
SLOTIZJ,X,X
SLOTJIZ,X,X
SLOTJZI,X,X
SLOTZIJ,X,X
SLOTZJI,X,X
SLOITJZ,X,X
SLOITZJ,X,X
SLOIJTZ,X,X
SLOIJZT,X,X
SLOIZTJ,X,X
SLOIZJT,X,X
SLOJTIZ,X,X
SLOJTZI,X,X
SLOJITZ,X,X
SLOJIZT,X,X
SLOJZTI,X,X
SLOJZIT,X,X
SLOZTIJ,X,X
SLOZTJI,X,X
SLOZITJ,X,X
SLOZIJT,X,X
SLOZJTI,X,X
SLOZJIT,X,X
SJTILZO,O,X
SJTILOZ,O,X
SJTIZLO,X,X
SJTIZOL,O,X
SJTIOLZ,O,X
SJTIOZL,O,X
SJTLIZO,O,X
SJTLIOZ,O,X
SJTLZIO,O,X
SJTLZOI,O,X
SJTLOIZ,O,X
SJTLOZI,O,X
SJTZILO,X,X
SJTZIOL,O,X
SJTZLIO,X,X
SJTZLOI,X,X
SJTZOIL,O,X
SJTZOLI,X,X
SJTOILZ,O,X
SJTOIZL,O,X
SJTOLIZ,O,X
SJTOLZI,O,X
SJTOZIL,O,X
SJTOZLI,X,X
SJITLZO,O,X
SJITLOZ,O,X
SJITZLO,X,X
SJITZOL,O,X
SJITOLZ,O,X
SJITOZL,O,X
SJILTZO,O,X
SJILTOZ,O,X
SJILZTO,O,O
SJILZOT,O,X
SJILOTZ,O,X
SJILOZT,O,X
SJIZTLO,X,O
SJIZTOL,O,O
SJIZLTO,O,O
SJIZLOT,O,X
SJIZOTL,O,O
SJIZOLT,O,O
SJIOTLZ,O,X
SJIOTZL,O,X
SJIOLTZ,O,X
SJIOLZT,O,O
SJIOZTL,O,O
SJIOZLT,O,O
SJLTIZO,O,X
SJLTIOZ,O,X
SJLTZIO,O,X
SJLTZOI,O,X
SJLTOIZ,O,X
SJLTOZI,O,X
SJLITZO,O,X
SJLITOZ,O,X
SJLIZTO,O,O
SJLIZOT,O,X
SJLIOTZ,O,X
SJLIOZT,O,X
SJLZTIO,O,O
SJLZTOI,O,X
SJLZITO,O,O
SJLZIOT,O,X
SJLZOTI,O,X
SJLZOIT,O,X
SJLOTIZ,O,X
SJLOTZI,O,X
SJLOITZ,O,X
SJLOIZT,O,X
SJLOZTI,O,X
SJLOZIT,O,X
SJZTILO,X,O
SJZTIOL,O,O
SJZTLIO,X,O
SJZTLOI,X,X
SJZTOIL,O,O
SJZTOLI,X,O
SJZITLO,X,O
SJZITOL,O,O
SJZILTO,O,O
SJZILOT,O,X
SJZIOTL,O,O
SJZIOLT,O,O
SJZLTIO,O,O
SJZLTOI,O,X
SJZLITO,O,O
SJZLIOT,O,X
SJZLOTI,O,X
SJZLOIT,O,X
SJZOTIL,O,O
SJZOTLI,X,O
SJZOITL,O,O
SJZOILT,O,O
SJZOLTI,O,O
SJZOLIT,O,O
SJOTILZ,O,X
SJOTIZL,O,X
SJOTLIZ,O,X
SJOTLZI,O,X
SJOTZIL,O,X
SJOTZLI,X,X
SJOITLZ,O,X
SJOITZL,O,X
SJOILTZ,O,X
SJOILZT,O,O
SJOIZTL,O,O
SJOIZLT,O,O
SJOLTIZ,O,X
SJOLTZI,O,X
SJOLITZ,O,X
SJOLIZT,O,O
SJOLZTI,O,O
SJOLZIT,O,O
SJOZTIL,O,O
SJOZTLI,X,O
SJOZITL,O,O
SJOZILT,O,O
SJOZLTI,O,O
SJOZLIT,O,O
SZTILJO,X,O
SZTILOJ,X,X
SZTIJLO,X,O
SZTIJOL,O,O
SZTIOLJ,X,O
SZTIOJL,X,O
SZTLIJO,X,O
SZTLIOJ,X,X
SZTLJIO,X,O
SZTLJOI,X,X
SZTLOIJ,X,X
SZTLOJI,X,X
SZTJILO,X,O
SZTJIOL,O,O
SZTJLIO,X,O
SZTJLOI,X,X
SZTJOIL,O,O
SZTJOLI,X,O
SZTOILJ,X,O
SZTOIJL,X,O
SZTOLIJ,X,O
SZTOLJI,X,O
SZTOJIL,X,O
SZTOJLI,X,O
SZITLJO,X,O
SZITLOJ,X,X
SZITJLO,X,O
SZITJOL,O,O
SZITOLJ,X,O
SZITOJL,X,O
SZILTJO,O,O
SZILTOJ,X,X
SZILJTO,O,O
SZILJOT,O,X
SZILOTJ,X,X
SZILOJT,X,X
SZIJTLO,X,O
SZIJTOL,O,O
SZIJLTO,O,O
SZIJLOT,O,X
SZIJOTL,O,O
SZIJOLT,O,O
SZIOTLJ,X,O
SZIOTJL,X,O
SZIOLTJ,X,O
SZIOLJT,X,O
SZIOJTL,X,O
SZIOJLT,X,O
SZLTIJO,O,O
SZLTIOJ,X,X
SZLTJIO,O,O
SZLTJOI,O,X
SZLTOIJ,X,X
SZLTOJI,X,X
SZLITJO,O,O
SZLITOJ,X,X
SZLIJTO,O,O
SZLIJOT,O,X
SZLIOTJ,X,X
SZLIOJT,X,X
SZLJTIO,O,O
SZLJTOI,O,X
SZLJITO,O,O
SZLJIOT,O,X
SZLJOTI,O,X
SZLJOIT,O,X
SZLOTIJ,X,X
SZLOTJI,X,X
SZLOITJ,X,X
SZLOIJT,X,X
SZLOJTI,X,X
SZLOJIT,X,X
SZJTILO,X,O
SZJTIOL,O,O
SZJTLIO,X,O
SZJTLOI,X,X
SZJTOIL,O,O
SZJTOLI,X,O
SZJITLO,X,O
SZJITOL,O,O
SZJILTO,O,O
SZJILOT,O,X
SZJIOTL,O,O
SZJIOLT,O,O
SZJLTIO,O,O
SZJLTOI,O,X
SZJLITO,O,O
SZJLIOT,O,X
SZJLOTI,O,X
SZJLOIT,O,X
SZJOTIL,O,O
SZJOTLI,X,O
SZJOITL,O,O
SZJOILT,O,O
SZJOLTI,O,O
SZJOLIT,O,O
SZOTILJ,X,O
SZOTIJL,X,O
SZOTLIJ,X,O
SZOTLJI,X,O
SZOTJIL,X,O
