sequence,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFThB/nBGjBClB0q?BlrB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFlhBGjBClB/rBTn?B0qB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhF/nBGjBzkBCmB0m?BVwB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhF8lBqmB/nBGjBzk?BVwB
ILTJZOS,X,X,X,X
ILTJOSZ,X,X,X,X
ILTJOZS,X,X,X,X
ILTSJZO,X,X,X,X
ILTSJOZ,O,X,X,X
ILTSZJO,X,X,X,X
ILTSZOJ,X,X,X,X
ILTSOJZ,O,X,X,X
ILTSOZJ,X,X,X,X
ILTZJSO,X,X,X,X
ILTZJOS,X,X,X,X
ILTZSJO,X,X,X,X
ILTZSOJ,X,X,X,X
ILTZOJS,X,X,X,X
ILTZOSJ,X,X,X,X
ILTOJSZ,X,X,X,X
ILTOJZS,X,X,X,X
ILTOSJZ,O,X,X,X
ILTOSZJ,X,X,X,X
ILTOZJS,X,X,X,X
ILTOZSJ,X,X,X,X
ILJTSZO,X,X,X,X
ILJTSOZ,X,X,X,X
ILJTZSO,X,X,X,X
ILJTZOS,X,X,X,X
ILJTOSZ,X,X,X,X
ILJTOZS,X,X,X,X
ILJSTZO,X,X,X,X
ILJSTOZ,O,O,X,X
ILJSZTO,O,X,X,X
ILJSZOT,X,X,X,X
ILJSOTZ,X,X,X,X
ILJSOZT,X,X,X,X
ILJZTSO,X,X,X,X
ILJZTOS,X,X,X,X
ILJZSTO,O,O,X,X
ILJZSOT,X,X,X,X
ILJZOTS,X,X,X,X
ILJZOST,X,O,X,X
ILJOTSZ,X,X,X,X
ILJOTZS,X,X,X,X
ILJOSTZ,X,O,X,X
ILJOSZT,X,X,X,X
ILJOZTS,X,X,X,X
ILJOZST,X,O,X,X
ILSTJZO,X,X,X,X
ILSTJOZ,O,O,X,X
ILSTZJO,X,X,X,X
ILSTZOJ,X,X,X,X
ILSTOJZ,O,X,X,X
ILSTOZJ,X,X,X,X
ILSJTZO,X,X,X,X
ILSJTOZ,O,O,X,X
ILSJZTO,O,X,X,X
ILSJZOT,X,X,X,X
ILSJOTZ,X,X,X,X
ILSJOZT,X,X,X,X
ILSZTJO,O,X,X,X
ILSZTOJ,O,X,X,X
ILSZJTO,O,X,X,X
ILSZJOT,X,X,X,X
ILSZOTJ,X,X,X,X
ILSZOJT,X,X,X,X
ILSOTJZ,X,O,X,X
ILSOTZJ,X,X,X,X
ILSOJTZ,X,O,X,X
ILSOJZT,X,X,X,X
ILSOZTJ,X,X,X,X
ILSOZJT,X,X,X,X
ILZTJSO,X,X,X,X
ILZTJOS,X,X,X,X
ILZTSJO,O,X,X,X
ILZTSOJ,O,X,X,X
ILZTOJS,X,X,X,X
ILZTOSJ,O,X,X,X
ILZJTSO,X,X,X,X
ILZJTOS,X,X,X,X
ILZJSTO,O,O,X,X
ILZJSOT,X,X,X,X
ILZJOTS,X,X,X,X
ILZJOST,X,O,X,X
ILZSTJO,O,O,X,X
ILZSTOJ,O,X,X,X
ILZSJTO,O,O,X,X
ILZSJOT,X,X,X,X
ILZSOTJ,X,O,X,X
ILZSOJT,X,O,X,X
ILZOTJS,X,X,X,X
ILZOTSJ,X,X,X,X
ILZOJTS,X,X,X,X
ILZOJST,X,O,X,X
ILZOSTJ,X,O,X,X
ILZOSJT,X,O,X,X
ILOTJSZ,X,X,X,X
ILOTJZS,X,X,X,X
ILOTSJZ,X,X,X,X
ILOTSZJ,X,X,X,X
ILOTZJS,X,X,X,X
ILOTZSJ,X,X,X,X
ILOJTSZ,X,X,X,X
ILOJTZS,X,X,X,X
ILOJSTZ,X,O,X,X
ILOJSZT,X,X,X,X
ILOJZTS,X,X,X,X
ILOJZST,X,O,X,X
ILOSTJZ,X,O,X,X
ILOSTZJ,X,X,X,X
ILOSJTZ,X,O,X,X
ILOSJZT,X,X,X,X
ILOSZTJ,X,X,X,X
ILOSZJT,X,X,X,X
ILOZTJS,X,X,X,X
ILOZTSJ,X,X,X,X
ILOZJTS,X,X,X,X
ILOZJST,X,O,X,X
ILOZSTJ,X,O,X,X
ILOZSJT,X,O,X,X
IJTLSZO,X,X,X,X
IJTLSOZ,X,X,X,X
IJTLZSO,X,X,X,X
IJTLZOS,X,X,X,X
IJTLOSZ,X,X,X,X
IJTLOZS,X,X,X,X
IJTSLZO,X,X,X,X
IJTSLOZ,X,X,X,X
IJTSZLO,X,X,X,X
IJTSZOL,X,X,X,X
IJTSOLZ,X,X,X,X
IJTSOZL,X,X,X,X
IJTZLSO,X,X,X,X
IJTZLOS,X,X,X,X
IJTZSLO,X,X,X,X
IJTZSOL,X,X,X,X
IJTZOLS,X,X,X,X
IJTZOSL,X,X,X,X
IJTOLSZ,X,X,X,X
IJTOLZS,X,X,X,X
IJTOSLZ,X,X,X,X
IJTOSZL,X,X,X,X
IJTOZLS,X,X,X,X
IJTOZSL,X,X,X,X
IJLTSZO,X,X,X,X
IJLTSOZ,X,X,X,X
IJLTZSO,X,X,X,X
IJLTZOS,X,X,X,X
IJLTOSZ,X,X,X,X
IJLTOZS,X,X,X,X
IJLSTZO,X,X,X,X
IJLSTOZ,O,O,X,X
IJLSZTO,O,X,X,X
IJLSZOT,X,X,X,X
IJLSOTZ,X,X,X,X
IJLSOZT,X,X,X,X
IJLZTSO,X,X,X,X
IJLZTOS,X,X,X,X
IJLZSTO,O,O,X,X
IJLZSOT,X,X,X,X
IJLZOTS,X,X,X,X
IJLZOST,X,O,X,X
IJLOTSZ,X,X,X,X
IJLOTZS,X,X,X,X
IJLOSTZ,X,O,X,X
IJLOSZT,X,X,X,X
IJLOZTS,X,X,X,X
IJLOZST,X,O,X,X
IJSTLZO,X,X,X,X
IJSTLOZ,O,O,X,X
IJSTZLO,X,X,X,X
IJSTZOL,X,X,X,X
IJSTOLZ,O,O,X,X
IJSTOZL,X,X,X,X
IJSLTZO,X,X,X,X
IJSLTOZ,O,X,X,X
IJSLZTO,O,X,X,X
IJSLZOT,X,X,X,X
IJSLOTZ,X,X,X,X
IJSLOZT,X,X,X,X
IJSZTLO,O,X,X,X
IJSZTOL,O,X,X,X
IJSZLTO,O,X,X,X
IJSZLOT,X,X,X,X
IJSZOTL,X,X,X,X
IJSZOLT,X,X,X,X
IJSOTLZ,X,X,O,X
IJSOTZL,X,X,X,X
IJSOLTZ,X,X,X,X
IJSOLZT,X,X,X,X
IJSOZTL,X,X,X,X
IJSOZLT,X,X,X,X
IJZTLSO,X,X,X,X
IJZTLOS,X,X,X,X
IJZTSLO,X,X,X,X
IJZTSOL,X,X,X,X
IJZTOLS,X,X,X,X
IJZTOSL,X,X,X,X
IJZLTSO,X,X,X,X
IJZLTOS,X,X,X,X
IJZLSTO,O,O,X,X
IJZLSOT,X,X,X,X
IJZLOTS,X,X,X,X
IJZLOST,X,O,X,X
IJZSTLO,O,O,X,X
IJZSTOL,O,O,X,X
IJZSLTO,O,X,X,X
IJZSLOT,X,X,X,X
IJZSOTL,X,X,X,X
IJZSOLT,X,X,X,X
IJZOTLS,X,X,X,X
IJZOTSL,X,X,X,X
IJZOLTS,X,X,X,X
IJZOLST,X,O,X,X
IJZOSTL,X,O,X,X
IJZOSLT,X,X,X,X
IJOTLSZ,X,X,O,X
IJOTLZS,X,X,X,X
IJOTSLZ,X,O,O,X
IJOTSZL,X,X,X,X
IJOTZLS,X,X,X,X
IJOTZSL,X,X,X,X
IJOLTSZ,X,X,X,X
IJOLTZS,X,X,X,X
IJOLSTZ,X,O,X,X
IJOLSZT,X,X,X,X
IJOLZTS,X,X,X,X
IJOLZST,X,O,X,X
IJOSTLZ,X,O,O,X
IJOSTZL,X,X,X,X
IJOSLTZ,X,X,X,X
IJOSLZT,X,X,X,X
IJOSZTL,X,X,X,X
IJOSZLT,X,X,X,X
IJOZTLS,X,X,X,X
IJOZTSL,X,X,X,X
IJOZLTS,X,X,X,X
IJOZLST,X,O,X,X
IJOZSTL,X,O,X,X
IJOZSLT,X,X,X,X
ISTLJZO,X,X,X,X
ISTLJOZ,O,X,X,X
ISTLZJO,X,X,X,X
ISTLZOJ,X,X,X,X
ISTLOJZ,O,X,X,X
ISTLOZJ,X,X,X,X
ISTJLZO,X,X,X,X
ISTJLOZ,O,O,X,X
ISTJZLO,X,X,X,X
ISTJZOL,X,X,X,X
ISTJOLZ,O,O,X,X
ISTJOZL,X,X,X,X
ISTZLJO,X,X,X,X
ISTZLOJ,X,X,X,X
ISTZJLO,X,X,X,X
ISTZJOL,X,X,X,X
ISTZOLJ,X,X,X,X
ISTZOJL,X,X,X,X
ISTOLJZ,X,X,X,X
ISTOLZJ,X,X,X,X
ISTOJLZ,O,X,X,X
ISTOJZL,X,X,X,X
ISTOZLJ,X,X,X,X
ISTOZJL,X,X,X,X
ISLTJZO,X,X,X,X
ISLTJOZ,O,X,X,X
ISLTZJO,X,X,X,X
ISLTZOJ,X,X,X,X
ISLTOJZ,O,X,X,X
ISLTOZJ,X,X,X,X
ISLJTZO,X,X,X,X
ISLJTOZ,O,X,X,X
ISLJZTO,O,X,X,X
ISLJZOT,X,X,X,X
ISLJOTZ,X,X,X,X
ISLJOZT,X,X,X,X
ISLZTJO,O,X,X,X
ISLZTOJ,O,X,X,X
ISLZJTO,O,X,X,X
ISLZJOT,X,X,X,X
ISLZOTJ,X,X,X,X
ISLZOJT,X,X,X,X
ISLOTJZ,X,X,X,X
ISLOTZJ,X,X,X,X
ISLOJTZ,X,X,X,X
ISLOJZT,X,X,X,X
ISLOZTJ,X,X,X,X
ISLOZJT,X,X,X,X
ISJTLZO,X,X,X,X
ISJTLOZ,O,O,X,X
ISJTZLO,X,X,X,X
ISJTZOL,X,X,X,X
ISJTOLZ,O,O,X,X
ISJTOZL,X,X,X,X
ISJLTZO,X,X,X,X
ISJLTOZ,O,X,X,X
ISJLZTO,O,X,X,X
ISJLZOT,X,X,X,X
ISJLOTZ,X,X,X,X
ISJLOZT,X,X,X,X
ISJZTLO,O,X,X,X
ISJZTOL,O,X,X,X
ISJZLTO,O,X,X,X
ISJZLOT,X,X,X,X
ISJZOTL,X,X,X,X
ISJZOLT,X,X,X,X
ISJOTLZ,X,X,O,X
ISJOTZL,X,X,X,X
ISJOLTZ,X,X,X,X
ISJOLZT,X,X,X,X
ISJOZTL,X,X,X,X
ISJOZLT,X,X,X,X
ISZTLJO,O,X,X,X
ISZTLOJ,O,X,X,X
ISZTJLO,O,X,X,X
ISZTJOL,O,X,X,X
ISZTOLJ,X,X,X,X
ISZTOJL,O,X,X,X
ISZLTJO,O,X,X,X
ISZLTOJ,O,X,X,X
ISZLJTO,O,X,X,X
ISZLJOT,X,X,X,X
ISZLOTJ,X,X,X,X
ISZLOJT,X,X,X,X
ISZJTLO,O,X,X,X
ISZJTOL,O,X,X,X
ISZJLTO,O,X,X,X
ISZJLOT,X,X,X,X
ISZJOTL,X,X,X,X
ISZJOLT,X,X,X,X
ISZOTLJ,X,X,X,X
ISZOTJL,X,X,X,X
ISZOLTJ,X,X,X,X
ISZOLJT,X,X,X,X
ISZOJTL,X,X,X,X
ISZOJLT,X,X,X,X
ISOTLJZ,X,X,O,X
ISOTLZJ,X,X,X,X
ISOTJLZ,X,O,O,X
ISOTJZL,X,X,X,X
ISOTZLJ,X,X,X,X
ISOTZJL,X,X,X,X
ISOLTJZ,X,X,X,X
ISOLTZJ,X,X,X,X
ISOLJTZ,X,X,X,X
ISOLJZT,X,X,X,X
ISOLZTJ,X,X,X,X
ISOLZJT,X,X,X,X
ISOJTLZ,X,O,O,X
ISOJTZL,X,X,X,X
ISOJLTZ,X,X,X,X
ISOJLZT,X,X,X,X
ISOJZTL,X,X,X,X
ISOJZLT,X,X,X,X
ISOZTLJ,X,X,X,X
ISOZTJL,X,X,X,X
ISOZLTJ,X,X,X,X
ISOZLJT,X,X,X,X
ISOZJTL,X,X,X,X
ISOZJLT,X,X,X,X
IZTLJSO,X,X,X,X
IZTLJOS,X,X,X,X
IZTLSJO,O,X,X,X
IZTLSOJ,O,X,X,X
IZTLOJS,X,X,X,X
IZTLOSJ,O,X,X,X
IZTJLSO,X,X,X,X
IZTJLOS,X,X,X,X
IZTJSLO,X,X,X,X
IZTJSOL,X,X,X,X
IZTJOLS,X,X,X,X
IZTJOSL,X,X,X,X
IZTSLJO,O,X,X,X
IZTSLOJ,O,X,X,X
IZTSJLO,O,X,X,X
IZTSJOL,O,X,X,X
IZTSOLJ,X,X,X,X
IZTSOJL,O,X,X,X
IZTOLJS,X,X,X,X
IZTOLSJ,X,X,X,X
IZTOJLS,X,X,X,X
IZTOJSL,X,X,X,X
IZTOSLJ,X,X,X,X
IZTOSJL,O,X,X,X
IZLTJSO,X,X,X,X
IZLTJOS,X,X,X,X
IZLTSJO,O,X,X,X
IZLTSOJ,O,X,X,X
IZLTOJS,X,X,X,X
IZLTOSJ,O,X,X,X
IZLJTSO,X,X,X,X
IZLJTOS,X,X,X,X
IZLJSTO,O,O,X,X
IZLJSOT,X,X,X,X
IZLJOTS,X,X,X,X
IZLJOST,X,O,X,X
IZLSTJO,O,O,X,X
IZLSTOJ,O,X,X,X
IZLSJTO,O,O,X,X
IZLSJOT,X,X,X,X
IZLSOTJ,X,O,X,X
IZLSOJT,X,O,X,X
IZLOTJS,X,X,X,X
IZLOTSJ,X,X,X,X
IZLOJTS,X,X,X,X
IZLOJST,X,O,X,X
IZLOSTJ,X,O,X,X
IZLOSJT,X,O,X,X
IZJTLSO,X,X,X,X
IZJTLOS,X,X,X,X
IZJTSLO,X,X,X,X
IZJTSOL,X,X,X,X
IZJTOLS,X,X,X,X
IZJTOSL,X,X,X,X
IZJLTSO,X,X,X,X
IZJLTOS,X,X,X,X
IZJLSTO,O,O,X,X
IZJLSOT,X,X,X,X
IZJLOTS,X,X,X,X
IZJLOST,X,O,X,X
IZJSTLO,O,O,X,X
IZJSTOL,O,O,X,X
IZJSLTO,O,X,X,X
IZJSLOT,X,X,X,X
IZJSOTL,X,X,X,X
IZJSOLT,X,X,X,X
IZJOTLS,X,X,X,X
IZJOTSL,X,X,X,X
IZJOLTS,X,X,X,X
IZJOLST,X,O,X,X
IZJOSTL,X,O,X,X
IZJOSLT,X,X,X,X
IZSTLJO,O,X,X,X
IZSTLOJ,O,X,X,X
IZSTJLO,O,O,X,X
IZSTJOL,O,O,X,X
IZSTOLJ,X,X,X,X
IZSTOJL,O,X,X,X
IZSLTJO,O,X,X,X
IZSLTOJ,O,X,X,X
IZSLJTO,O,X,X,X
IZSLJOT,X,X,X,X
IZSLOTJ,X,X,X,X
IZSLOJT,X,X,X,X
IZSJTLO,O,O,X,X
IZSJTOL,O,O,X,X
IZSJLTO,O,X,X,X
IZSJLOT,X,X,X,X
IZSJOTL,X,X,X,X
IZSJOLT,X,X,X,X
IZSOTLJ,X,X,X,X
IZSOTJL,X,O,X,X
IZSOLTJ,X,X,X,X
IZSOLJT,X,X,X,X
IZSOJTL,X,O,X,X
IZSOJLT,X,X,X,X
IZOTLJS,X,X,X,X
IZOTLSJ,X,X,X,X
IZOTJLS,X,X,X,X
IZOTJSL,X,X,X,X
IZOTSLJ,X,X,X,X
IZOTSJL,X,X,X,X
IZOLTJS,X,X,X,X
IZOLTSJ,X,X,X,X
IZOLJTS,X,X,X,X
IZOLJST,X,O,X,X
IZOLSTJ,X,O,X,X
IZOLSJT,X,O,X,X
IZOJTLS,X,X,X,X
IZOJTSL,X,X,X,X
IZOJLTS,X,X,X,X
IZOJLST,X,O,X,X
IZOJSTL,X,O,X,X
IZOJSLT,X,X,X,X
IZOSTLJ,X,X,X,X
IZOSTJL,X,O,X,X
IZOSLTJ,X,X,X,X
IZOSLJT,X,X,X,X
IZOSJTL,X,O,X,X
IZOSJLT,X,X,X,X
IOTLJSZ,X,X,O,X
IOTLJZS,X,X,X,X
IOTLSJZ,X,X,O,X
IOTLSZJ,X,X,X,X
IOTLZJS,X,X,X,X
IOTLZSJ,X,X,X,X
IOTJLSZ,X,X,O,X
IOTJLZS,X,X,X,X
IOTJSLZ,X,O,O,X
IOTJSZL,X,X,X,X
IOTJZLS,X,X,X,X
IOTJZSL,X,X,X,X
IOTSLJZ,X,X,O,X
IOTSLZJ,X,X,X,X
IOTSJLZ,X,X,O,X
IOTSJZL,X,X,X,X
IOTSZLJ,X,X,X,X
IOTSZJL,X,X,X,X
IOTZLJS,X,X,X,X
IOTZLSJ,X,X,X,X
IOTZJLS,X,X,X,X
IOTZJSL,X,X,X,X
IOTZSLJ,X,X,X,X
IOTZSJL,X,X,X,X
IOLTJSZ,X,X,X,X
IOLTJZS,X,X,X,X
IOLTSJZ,X,X,X,X
IOLTSZJ,X,X,X,X
IOLTZJS,X,X,X,X
IOLTZSJ,X,X,X,X
IOLJTSZ,X,X,X,X
IOLJTZS,X,X,X,X
IOLJSTZ,X,O,X,X
IOLJSZT,X,X,X,X
IOLJZTS,X,X,X,X
IOLJZST,X,O,X,X
IOLSTJZ,X,O,X,X
IOLSTZJ,X,X,X,X
IOLSJTZ,X,O,X,X
IOLSJZT,X,X,X,X
IOLSZTJ,X,X,X,X
IOLSZJT,X,X,X,X
IOLZTJS,X,X,X,X
IOLZTSJ,X,X,X,X
IOLZJTS,X,X,X,X
IOLZJST,X,O,X,X
IOLZSTJ,X,O,X,X
IOLZSJT,X,O,X,X
IOJTLSZ,X,X,O,X
IOJTLZS,X,X,X,X
IOJTSLZ,X,O,O,X
IOJTSZL,X,X,X,X
IOJTZLS,X,X,X,X
IOJTZSL,X,X,X,X
IOJLTSZ,X,X,X,X
IOJLTZS,X,X,X,X
IOJLSTZ,X,O,X,X
IOJLSZT,X,X,X,X
IOJLZTS,X,X,X,X
IOJLZST,X,O,X,X
IOJSTLZ,X,O,O,X
IOJSTZL,X,X,X,X
IOJSLTZ,X,X,X,X
IOJSLZT,X,X,X,X
IOJSZTL,X,X,X,X
IOJSZLT,X,X,X,X
IOJZTLS,X,X,X,X
IOJZTSL,X,X,X,X
IOJZLTS,X,X,X,X
IOJZLST,X,O,X,X
IOJZSTL,X,O,X,X
IOJZSLT,X,X,X,X
IOSTLJZ,X,X,O,X
IOSTLZJ,X,X,X,X
IOSTJLZ,X,O,O,X
IOSTJZL,X,X,X,X
IOSTZLJ,X,X,X,X
IOSTZJL,X,X,X,X
IOSLTJZ,X,X,X,X
IOSLTZJ,X,X,X,X
IOSLJTZ,X,X,X,X
IOSLJZT,X,X,X,X
IOSLZTJ,X,X,X,X
IOSLZJT,X,X,X,X
IOSJTLZ,X,O,O,X
IOSJTZL,X,X,X,X
IOSJLTZ,X,X,X,X
IOSJLZT,X,X,X,X
IOSJZTL,X,X,X,X
IOSJZLT,X,X,X,X
IOSZTLJ,X,X,X,X
IOSZTJL,X,X,X,X
IOSZLTJ,X,X,X,X
IOSZLJT,X,X,X,X
IOSZJTL,X,X,X,X
IOSZJLT,X,X,X,X
IOZTLJS,X,X,X,X
IOZTLSJ,X,X,X,X
IOZTJLS,X,X,X,X
IOZTJSL,X,X,X,X
IOZTSLJ,X,X,X,X
IOZTSJL,X,X,X,X
IOZLTJS,X,X,X,X
IOZLTSJ,X,X,X,X
IOZLJTS,X,X,X,X
IOZLJST,X,O,X,X
IOZLSTJ,X,O,X,X
IOZLSJT,X,O,X,X
IOZJTLS,X,X,X,X
IOZJTSL,X,X,X,X
IOZJLTS,X,X,X,X
IOZJLST,X,O,X,X
IOZJSTL,X,O,X,X
IOZJSLT,X,X,X,X
IOZSTLJ,X,X,X,X
IOZSTJL,X,O,X,X
IOZSLTJ,X,X,X,X
IOZSLJT,X,X,X,X
IOZSJTL,X,O,X,X
IOZSJLT,X,X,X,X
LTIJSZO,X,X,X,X
LTIJSOZ,X,X,X,X
LTIJZSO,X,X,X,X
LTIJZOS,X,X,X,X
LTIJOSZ,X,X,X,X
LTIJOZS,X,X,X,X
LTISJZO,X,X,X,X
LTISJOZ,O,X,X,X
LTISZJO,X,X,X,X
LTISZOJ,X,X,X,X
LTISOJZ,O,X,X,X
LTISOZJ,X,X,X,X
LTIZJSO,X,X,X,X
LTIZJOS,X,X,X,X
LTIZSJO,X,X,X,X
LTIZSOJ,X,X,X,X
LTIZOJS,X,X,X,X
LTIZOSJ,X,X,X,X
LTIOJSZ,X,X,X,X
LTIOJZS,X,X,X,X
LTIOSJZ,O,X,X,X
LTIOSZJ,X,X,X,X
LTIOZJS,X,X,X,X
LTIOZSJ,X,X,X,X
LTJISZO,X,X,X,X
LTJISOZ,X,X,X,X
LTJIZSO,X,X,X,X
LTJIZOS,X,X,X,X
LTJIOSZ,X,X,X,X
LTJIOZS,X,X,X,X
LTJSIZO,X,X,X,X
LTJSIOZ,X,X,X,X
LTJSZIO,X,X,X,X
LTJSZOI,X,X,X,X
LTJSOIZ,X,X,X,X
LTJSOZI,X,X,X,X
LTJZISO,X,X,X,X
LTJZIOS,X,X,X,X
LTJZSIO,X,X,X,X
LTJZSOI,X,X,X,X
LTJZOIS,X,X,X,X
LTJZOSI,X,X,X,X
LTJOISZ,X,X,X,X
LTJOIZS,X,X,X,X
LTJOSIZ,X,X,X,X
LTJOSZI,X,X,X,X
LTJOZIS,X,X,X,X
LTJOZSI,X,X,X,X
LTSIJZO,X,X,X,X
LTSIJOZ,O,X,X,X
LTSIZJO,X,X,X,X
LTSIZOJ,X,X,X,X
LTSIOJZ,O,X,X,X
LTSIOZJ,X,X,X,X
LTSJIZO,X,X,X,X
LTSJIOZ,O,X,X,X
LTSJZIO,X,X,X,X
LTSJZOI,X,X,X,X
LTSJOIZ,O,X,X,X
LTSJOZI,X,X,X,X
LTSZIJO,X,X,X,X
LTSZIOJ,X,X,X,X
LTSZJIO,X,X,X,X
LTSZJOI,X,X,X,X
LTSZOIJ,X,X,X,X
LTSZOJI,X,X,X,X
LTSOIJZ,O,X,X,X
LTSOIZJ,X,X,X,X
LTSOJIZ,O,X,X,X
LTSOJZI,X,X,X,X
LTSOZIJ,X,X,X,X
LTSOZJI,X,X,X,X
LTZIJSO,X,X,X,X
LTZIJOS,X,X,X,X
LTZISJO,X,X,X,X
LTZISOJ,X,X,X,X
LTZIOJS,X,X,X,X
LTZIOSJ,X,X,X,X
LTZJISO,X,X,X,X
LTZJIOS,X,X,X,X
LTZJSIO,X,X,X,X
LTZJSOI,X,X,X,X
LTZJOIS,X,X,X,X
LTZJOSI,X,X,X,X
LTZSIJO,X,X,X,X
LTZSIOJ,X,X,X,X
LTZSJIO,X,X,X,X
LTZSJOI,X,X,X,X
LTZSOIJ,X,X,X,X
LTZSOJI,X,X,X,X
LTZOIJS,X,X,X,X
LTZOISJ,X,X,X,X
LTZOJIS,X,X,X,X
LTZOJSI,X,X,X,X
LTZOSIJ,X,X,X,X
LTZOSJI,X,X,X,X
LTOIJSZ,X,X,X,X
LTOIJZS,X,X,X,X
LTOISJZ,O,X,X,X
LTOISZJ,X,X,X,X
LTOIZJS,X,X,X,X
LTOIZSJ,X,X,X,X
LTOJISZ,X,X,X,X
LTOJIZS,X,X,X,X
LTOJSIZ,X,X,X,X
LTOJSZI,X,X,X,X
LTOJZIS,X,X,X,X
LTOJZSI,X,X,X,X
LTOSIJZ,O,X,X,X
LTOSIZJ,X,X,X,X
LTOSJIZ,O,X,X,X
LTOSJZI,X,X,X,X
LTOSZIJ,X,X,X,X
LTOSZJI,X,X,X,X
LTOZIJS,X,X,X,X
LTOZISJ,X,X,X,X
LTOZJIS,X,X,X,X
LTOZJSI,X,X,X,X
LTOZSIJ,X,X,X,X
LTOZSJI,X,X,X,X
LITJSZO,X,X,X,X
LITJSOZ,X,X,X,X
LITJZSO,X,X,X,X
LITJZOS,X,X,X,X
LITJOSZ,X,X,X,X
LITJOZS,X,X,X,X
LITSJZO,X,X,X,X
LITSJOZ,O,X,X,X
LITSZJO,X,X,X,X
LITSZOJ,X,X,X,X
LITSOJZ,O,X,X,X
LITSOZJ,X,X,X,X
LITZJSO,X,X,X,X
LITZJOS,X,X,X,X
LITZSJO,X,X,X,X
LITZSOJ,X,X,X,X
LITZOJS,X,X,X,X
LITZOSJ,X,X,X,X
LITOJSZ,X,X,X,X
LITOJZS,X,X,X,X
LITOSJZ,O,X,X,X
LITOSZJ,X,X,X,X
LITOZJS,X,X,X,X
LITOZSJ,X,X,X,X
LIJTSZO,X,X,X,X
LIJTSOZ,X,X,X,X
LIJTZSO,X,X,X,X
LIJTZOS,X,X,X,X
LIJTOSZ,X,X,X,X
LIJTOZS,X,X,X,X
LIJSTZO,X,X,X,X
LIJSTOZ,O,O,X,X
LIJSZTO,O,X,X,X
LIJSZOT,X,X,X,X
LIJSOTZ,X,X,X,X
LIJSOZT,X,X,X,X
LIJZTSO,X,X,X,X
LIJZTOS,X,X,X,X
LIJZSTO,O,O,X,X
LIJZSOT,X,X,X,X
LIJZOTS,X,X,X,X
LIJZOST,X,O,X,X
LIJOTSZ,X,X,X,X
LIJOTZS,X,X,X,X
LIJOSTZ,X,O,X,X
LIJOSZT,X,X,X,X
LIJOZTS,X,X,X,X
LIJOZST,X,O,X,X
LISTJZO,X,X,X,X
LISTJOZ,O,O,X,X
LISTZJO,X,X,X,X
LISTZOJ,X,X,X,X
LISTOJZ,O,X,X,X
LISTOZJ,X,X,X,X
LISJTZO,X,X,X,X
LISJTOZ,O,O,X,X
LISJZTO,O,X,X,X
LISJZOT,X,X,X,X
LISJOTZ,X,X,X,X
LISJOZT,X,X,X,X
LISZTJO,O,X,X,X
LISZTOJ,O,X,X,X
LISZJTO,O,X,X,X
LISZJOT,X,X,X,X
LISZOTJ,X,X,X,X
LISZOJT,X,X,X,X
LISOTJZ,X,O,X,X
LISOTZJ,X,X,X,X
LISOJTZ,X,O,X,X
LISOJZT,X,X,X,X
LISOZTJ,X,X,X,X
LISOZJT,X,X,X,X
LIZTJSO,X,X,X,X
LIZTJOS,X,X,X,X
LIZTSJO,O,X,X,X
LIZTSOJ,O,X,X,X
LIZTOJS,X,X,X,X
LIZTOSJ,O,X,X,X
LIZJTSO,X,X,X,X
LIZJTOS,X,X,X,X
LIZJSTO,O,O,X,X
LIZJSOT,X,X,X,X
LIZJOTS,X,X,X,X
LIZJOST,X,O,X,X
LIZSTJO,O,O,X,X
LIZSTOJ,O,X,X,X
LIZSJTO,O,O,X,X
LIZSJOT,X,X,X,X
LIZSOTJ,X,O,X,X
LIZSOJT,X,O,X,X
LIZOTJS,X,X,X,X
LIZOTSJ,X,X,X,X
LIZOJTS,X,X,X,X
LIZOJST,X,O,X,X
LIZOSTJ,X,O,X,X
LIZOSJT,X,O,X,X
LIOTJSZ,X,X,X,X
LIOTJZS,X,X,X,X
LIOTSJZ,X,X,X,X
LIOTSZJ,X,X,X,X
LIOTZJS,X,X,X,X
LIOTZSJ,X,X,X,X
LIOJTSZ,X,X,X,X
LIOJTZS,X,X,X,X
LIOJSTZ,X,O,X,X
LIOJSZT,X,X,X,X
LIOJZTS,X,X,X,X
LIOJZST,X,O,X,X
LIOSTJZ,X,O,X,X
LIOSTZJ,X,X,X,X
LIOSJTZ,X,O,X,X
LIOSJZT,X,X,X,X
LIOSZTJ,X,X,X,X
LIOSZJT,X,X,X,X
LIOZTJS,X,X,X,X
LIOZTSJ,X,X,X,X
LIOZJTS,X,X,X,X
LIOZJST,X,O,X,X
LIOZSTJ,X,O,X,X
LIOZSJT,X,O,X,X
LJTISZO,X,X,X,X
LJTISOZ,X,X,X,X
LJTIZSO,X,X,X,X
LJTIZOS,X,X,X,X
LJTIOSZ,X,X,X,X
LJTIOZS,X,X,X,X
LJTSIZO,X,X,X,X
LJTSIOZ,X,X,X,X
LJTSZIO,X,X,X,X
LJTSZOI,X,X,X,X
LJTSOIZ,X,X,X,X
LJTSOZI,X,X,X,X
LJTZISO,X,X,X,X
