sequence,v115@PhA8GeC8AeC8AeE8KeOEJvhF0gBlhB3iB5oBzkBCrB,v115@PhA8GeC8AeC8AeE8KeT/IvhFlgBumB3iB5oBypB8qB
JITLOZS,X,X
JITSLZO,X,X
JITSLOZ,X,X
JITSZLO,X,X
JITSZOL,X,X
JITSOLZ,X,X
JITSOZL,X,X
JITZLSO,X,X
JITZLOS,X,X
JITZSLO,X,X
JITZSOL,X,X
JITZOLS,X,X
JITZOSL,X,X
JITOLSZ,X,X
JITOLZS,X,X
JITOSLZ,X,X
JITOSZL,X,X
JITOZLS,X,X
JITOZSL,X,X
JILTSZO,O,X
JILTSOZ,X,X
JILTZSO,O,X
JILTZOS,X,X
JILTOSZ,X,X
JILTOZS,X,X
JILSTZO,O,X
JILSTOZ,X,X
JILSZTO,O,O
JILSZOT,X,O
JILSOTZ,X,X
JILSOZT,X,O
JILZTSO,O,O
JILZTOS,X,O
JILZSTO,O,O
JILZSOT,X,O
JILZOTS,X,O
JILZOST,X,O
JILOTSZ,X,X
JILOTZS,X,X
JILOSTZ,X,X
JILOSZT,X,O
JILOZTS,X,O
JILOZST,X,O
JISTLZO,X,X
JISTLOZ,X,X
JISTZLO,X,X
JISTZOL,X,X
JISTOLZ,O,X
JISTOZL,O,X
JISLTZO,O,X
JISLTOZ,X,X
JISLZTO,O,O
JISLZOT,X,O
JISLOTZ,X,X
JISLOZT,X,O
JISZTLO,X,O
JISZTOL,X,X
JISZLTO,X,O
JISZLOT,X,O
JISZOTL,X,X
JISZOLT,X,X
JISOTLZ,O,X
JISOTZL,O,X
JISOLTZ,O,X
JISOLZT,O,X
JISOZTL,O,X
JISOZLT,O,X
JIZTLSO,X,O
JIZTLOS,X,O
JIZTSLO,X,O
JIZTSOL,X,X
JIZTOLS,X,X
JIZTOSL,X,X
JIZLTSO,X,O
JIZLTOS,X,O
JIZLSTO,X,O
JIZLSOT,X,O
JIZLOTS,X,O
JIZLOST,X,O
JIZSTLO,X,O
JIZSTOL,X,X
JIZSLTO,X,O
JIZSLOT,X,O
JIZSOTL,X,X
JIZSOLT,X,X
JIZOTLS,X,X
JIZOTSL,X,X
JIZOLTS,X,X
JIZOLST,X,X
JIZOSTL,X,X
JIZOSLT,X,X
JIOTLSZ,X,X
JIOTLZS,X,X
JIOTSLZ,X,X
JIOTSZL,X,X
JIOTZLS,X,X
JIOTZSL,X,X
JIOLTSZ,O,X
JIOLTZS,O,X
JIOLSTZ,O,X
JIOLSZT,O,X
JIOLZTS,O,X
JIOLZST,O,X
JIOSTLZ,O,X
JIOSTZL,O,X
JIOSLTZ,O,X
JIOSLZT,O,X
JIOSZTL,O,X
JIOSZLT,O,X
JIOZTLS,X,X
JIOZTSL,O,X
JIOZLTS,O,X
JIOZLST,O,X
JIOZSTL,O,X
JIOZSLT,O,X
JLTISZO,O,X
JLTISOZ,X,X
JLTIZSO,O,X
JLTIZOS,X,X
JLTIOSZ,X,X
JLTIOZS,X,X
JLTSIZO,O,X
JLTSIOZ,X,X
JLTSZIO,O,X
JLTSZOI,X,X
JLTSOIZ,X,X
JLTSOZI,X,X
JLTZISO,O,X
JLTZIOS,X,X
JLTZSIO,O,X
JLTZSOI,X,X
JLTZOIS,X,X
JLTZOSI,X,X
JLTOISZ,X,X
JLTOIZS,X,X
JLTOSIZ,X,X
JLTOSZI,X,X
JLTOZIS,X,X
JLTOZSI,X,X
JLITSZO,O,X
JLITSOZ,X,X
JLITZSO,O,X
JLITZOS,X,X
JLITOSZ,X,X
JLITOZS,X,X
JLISTZO,O,X
JLISTOZ,X,X
JLISZTO,O,O
JLISZOT,X,O
JLISOTZ,X,X
JLISOZT,X,O
JLIZTSO,O,O
JLIZTOS,X,O
JLIZSTO,O,O
JLIZSOT,X,O
JLIZOTS,X,O
JLIZOST,X,O
JLIOTSZ,X,X
JLIOTZS,X,X
JLIOSTZ,X,X
JLIOSZT,X,O
JLIOZTS,X,O
JLIOZST,X,O
JLSTIZO,O,X
JLSTIOZ,X,X
JLSTZIO,O,X
JLSTZOI,X,X
JLSTOIZ,X,X
JLSTOZI,X,X
JLSITZO,O,X
JLSITOZ,X,X
JLSIZTO,O,O
JLSIZOT,X,O
JLSIOTZ,X,X
JLSIOZT,X,O
JLSZTIO,O,O
JLSZTOI,X,O
JLSZITO,O,O
JLSZIOT,X,O
JLSZOTI,X,O
JLSZOIT,X,O
JLSOTIZ,X,X
JLSOTZI,X,X
JLSOITZ,X,X
JLSOIZT,X,O
JLSOZTI,X,O
JLSOZIT,X,O
JLZTISO,O,O
JLZTIOS,X,O
JLZTSIO,O,O
JLZTSOI,X,O
JLZTOIS,X,O
JLZTOSI,X,O
JLZITSO,O,O
JLZITOS,X,O
JLZISTO,O,O
JLZISOT,X,O
JLZIOTS,X,O
JLZIOST,X,O
JLZSTIO,O,O
JLZSTOI,X,O
JLZSITO,O,O
JLZSIOT,X,O
JLZSOTI,X,O
JLZSOIT,X,O
JLZOTIS,X,O
JLZOTSI,X,O
JLZOITS,X,O
JLZOIST,X,O
JLZOSTI,X,O
JLZOSIT,X,O
JLOTISZ,X,X
JLOTIZS,X,X
JLOTSIZ,X,X
JLOTSZI,X,X
JLOTZIS,X,X
JLOTZSI,X,X
JLOITSZ,X,X
JLOITZS,X,X
JLOISTZ,X,X
JLOISZT,X,O
JLOIZTS,X,O
JLOIZST,X,O
JLOSTIZ,X,X
JLOSTZI,X,X
JLOSITZ,X,X
JLOSIZT,X,O
JLOSZTI,X,O
JLOSZIT,X,O
JLOZTIS,X,O
JLOZTSI,X,O
JLOZITS,X,O
JLOZIST,X,O
JLOZSTI,X,O
JLOZSIT,X,O
JSTILZO,X,X
JSTILOZ,X,X
JSTIZLO,X,X
JSTIZOL,X,X
JSTIOLZ,O,X
JSTIOZL,O,X
JSTLIZO,X,X
JSTLIOZ,X,X
JSTLZIO,X,X
JSTLZOI,X,X
JSTLOIZ,X,X
JSTLOZI,X,X
JSTZILO,X,X
JSTZIOL,X,X
JSTZLIO,X,X
JSTZLOI,X,X
JSTZOIL,X,X
JSTZOLI,X,X
JSTOILZ,O,X
JSTOIZL,O,X
JSTOLIZ,O,X
JSTOLZI,O,X
JSTOZIL,O,X
JSTOZLI,X,X
JSITLZO,X,X
JSITLOZ,X,X
JSITZLO,X,X
JSITZOL,X,X
JSITOLZ,O,X
JSITOZL,O,X
JSILTZO,O,X
JSILTOZ,X,X
JSILZTO,O,O
JSILZOT,X,O
JSILOTZ,X,X
JSILOZT,X,O
JSIZTLO,X,O
JSIZTOL,X,X
JSIZLTO,X,O
JSIZLOT,X,O
JSIZOTL,X,X
JSIZOLT,X,X
JSIOTLZ,O,X
JSIOTZL,O,X
JSIOLTZ,O,X
JSIOLZT,O,X
JSIOZTL,O,X
JSIOZLT,O,X
JSLTIZO,O,X
JSLTIOZ,X,X
JSLTZIO,O,X
JSLTZOI,X,X
JSLTOIZ,X,X
JSLTOZI,X,X
JSLITZO,O,X
JSLITOZ,X,X
JSLIZTO,O,O
JSLIZOT,X,O
JSLIOTZ,X,X
JSLIOZT,X,O
JSLZTIO,O,O
JSLZTOI,X,O
JSLZITO,O,O
JSLZIOT,X,O
JSLZOTI,X,O
JSLZOIT,X,O
JSLOTIZ,X,X
JSLOTZI,X,X
JSLOITZ,X,X
JSLOIZT,X,O
JSLOZTI,X,O
JSLOZIT,X,O
JSZTILO,X,O
JSZTIOL,X,X
JSZTLIO,X,O
JSZTLOI,X,O
JSZTOIL,X,X
JSZTOLI,X,X
JSZITLO,X,O
JSZITOL,X,X
JSZILTO,X,O
JSZILOT,X,O
JSZIOTL,X,X
JSZIOLT,X,X
JSZLTIO,X,O
JSZLTOI,X,O
JSZLITO,X,O
JSZLIOT,X,O
JSZLOTI,X,O
JSZLOIT,X,O
JSZOTIL,X,X
JSZOTLI,X,X
JSZOITL,X,X
JSZOILT,X,X
JSZOLTI,X,X
JSZOLIT,X,X
JSOTILZ,O,X
JSOTIZL,O,X
JSOTLIZ,O,X
JSOTLZI,O,X
JSOTZIL,O,X
JSOTZLI,X,X
JSOITLZ,O,X
JSOITZL,O,X
JSOILTZ,O,X
JSOILZT,O,X
JSOIZTL,O,X
JSOIZLT,O,X
JSOLTIZ,O,X
JSOLTZI,O,X
JSOLITZ,O,X
JSOLIZT,O,X
JSOLZTI,O,X
JSOLZIT,O,X
JSOZTIL,O,X
JSOZTLI,X,X
JSOZITL,O,X
JSOZILT,O,X
JSOZLTI,O,X
JSOZLIT,O,X
JZTILSO,X,O
JZTILOS,X,O
JZTISLO,X,O
JZTISOL,X,X
JZTIOLS,X,X
JZTIOSL,X,X
JZTLISO,X,O
JZTLIOS,X,O
JZTLSIO,X,O
JZTLSOI,X,O
JZTLOIS,X,O
JZTLOSI,X,O
JZTSILO,X,O
JZTSIOL,X,X
JZTSLIO,X,O
JZTSLOI,X,O
JZTSOIL,X,X
JZTSOLI,X,X
JZTOILS,X,X
JZTOISL,X,X
JZTOLIS,X,X
JZTOLSI,X,X
JZTOSIL,X,X
JZTOSLI,X,X
JZITLSO,X,O
JZITLOS,X,O
JZITSLO,X,O
JZITSOL,X,X
JZITOLS,X,X
JZITOSL,X,X
JZILTSO,X,O
JZILTOS,X,O
JZILSTO,X,O
JZILSOT,X,O
JZILOTS,X,O
JZILOST,X,O
JZISTLO,X,O
JZISTOL,X,X
JZISLTO,X,O
JZISLOT,X,O
JZISOTL,X,X
JZISOLT,X,X
JZIOTLS,X,X
JZIOTSL,X,X
JZIOLTS,X,X
JZIOLST,X,X
JZIOSTL,X,X
JZIOSLT,X,X
JZLTISO,X,O
JZLTIOS,X,O
JZLTSIO,X,O
JZLTSOI,X,O
JZLTOIS,X,O
JZLTOSI,X,O
JZLITSO,X,O
JZLITOS,X,O
JZLISTO,X,O
JZLISOT,X,O
JZLIOTS,X,O
JZLIOST,X,O
JZLSTIO,X,O
JZLSTOI,X,O
JZLSITO,X,O
JZLSIOT,X,O
JZLSOTI,X,O
JZLSOIT,X,O
JZLOTIS,X,O
JZLOTSI,X,O
JZLOITS,X,O
JZLOIST,X,O
JZLOSTI,X,O
JZLOSIT,X,O
JZSTILO,X,O
JZSTIOL,X,X
JZSTLIO,X,O
JZSTLOI,X,O
JZSTOIL,X,X
JZSTOLI,X,X
JZSITLO,X,O
JZSITOL,X,X
JZSILTO,X,O
JZSILOT,X,O
JZSIOTL,X,X
JZSIOLT,X,X
JZSLTIO,X,O
JZSLTOI,X,O
JZSLITO,X,O
JZSLIOT,X,O
JZSLOTI,X,O
JZSLOIT,X,O
JZSOTIL,X,X
JZSOTLI,X,X
JZSOITL,X,X
JZSOILT,X,X
JZSOLTI,X,X
JZSOLIT,X,X
JZOTILS,X,X
JZOTISL,X,X
JZOTLIS,X,X
JZOTLSI,X,X
JZOTSIL,X,X
JZOTSLI,X,X
JZOITLS,X,X
JZOITSL,X,X
JZOILTS,X,X
JZOILST,X,X
JZOISTL,X,X
JZOISLT,X,X
JZOLTIS,X,X
JZOLTSI,X,X
JZOLITS,X,X
JZOLIST,X,X
JZOLSTI,X,X
JZOLSIT,X,X
JZOSTIL,X,X
JZOSTLI,X,X
JZOSITL,X,X
JZOSILT,X,X
JZOSLTI,X,X
JZOSLIT,X,X
JOTILSZ,X,X
JOTILZS,X,X
JOTISLZ,X,X
JOTISZL,X,X
JOTIZLS,X,X
JOTIZSL,X,X
JOTLISZ,X,X
JOTLIZS,X,X
JOTLSIZ,X,X
JOTLSZI,X,X
JOTLZIS,X,X
JOTLZSI,X,X
JOTSILZ,X,X
JOTSIZL,X,X
JOTSLIZ,X,X
JOTSLZI,X,X
JOTSZIL,X,X
JOTSZLI,X,X
JOTZILS,X,X
JOTZISL,X,X
JOTZLIS,X,X
JOTZLSI,X,X
JOTZSIL,X,X
JOTZSLI,X,X
JOITLSZ,X,X
JOITLZS,X,X
JOITSLZ,X,X
JOITSZL,X,X
JOITZLS,X,X
JOITZSL,X,X
JOILTSZ,O,X
JOILTZS,O,X
JOILSTZ,O,X
JOILSZT,O,X
JOILZTS,O,X
JOILZST,O,X
JOISTLZ,O,X
JOISTZL,O,X
JOISLTZ,O,X
JOISLZT,O,X
JOISZTL,O,X
JOISZLT,O,X
JOIZTLS,X,X
JOIZTSL,O,X
JOIZLTS,O,X
JOIZLST,O,X
JOIZSTL,O,X
JOIZSLT,O,X
JOLTISZ,O,X
JOLTIZS,O,X
JOLTSIZ,O,X
JOLTSZI,O,X
JOLTZIS,O,X
JOLTZSI,O,X
JOLITSZ,O,X
JOLITZS,O,X
JOLISTZ,O,X
JOLISZT,O,X
JOLIZTS,O,X
JOLIZST,O,X
JOLSTIZ,O,X
JOLSTZI,O,X
JOLSITZ,O,X
JOLSIZT,O,X
JOLSZTI,O,X
JOLSZIT,O,X
JOLZTIS,O,X
JOLZTSI,O,X
JOLZITS,O,X
JOLZIST,O,X
JOLZSTI,O,X
JOLZSIT,O,X
JOSTILZ,O,X
JOSTIZL,O,X
JOSTLIZ,O,X
JOSTLZI,O,X
JOSTZIL,O,X
JOSTZLI,X,X
JOSITLZ,O,X
JOSITZL,O,X
JOSILTZ,O,X
JOSILZT,O,X
JOSIZTL,O,X
JOSIZLT,O,X
JOSLTIZ,O,X
JOSLTZI,O,X
JOSLITZ,O,X
JOSLIZT,O,X
JOSLZTI,O,X
JOSLZIT,O,X
JOSZTIL,O,X
JOSZTLI,X,X
JOSZITL,O,X
JOSZILT,O,X
JOSZLTI,O,X
JOSZLIT,O,X
JOZTILS,X,X
JOZTISL,O,X
JOZTLIS,X,X
JOZTLSI,X,X
JOZTSIL,O,X
JOZTSLI,X,X
JOZITLS,X,X
JOZITSL,O,X
JOZILTS,O,X
JOZILST,O,X
JOZISTL,O,X
JOZISLT,O,X
JOZLTIS,O,X
JOZLTSI,O,X
JOZLITS,O,X
JOZLIST,O,X
JOZLSTI,O,X
JOZLSIT,O,X
JOZSTIL,O,X
JOZSTLI,X,X
JOZSITL,O,X
JOZSILT,O,X
JOZSLTI,O,X
JOZSLIT,O,X
STILJZO,X,X
STILJOZ,X,X
STILZJO,X,X
STILZOJ,X,X
STILOJZ,X,X
STILOZJ,X,X
STIJLZO,X,X
STIJLOZ,X,X
STIJZLO,X,X
STIJZOL,X,X
STIJOLZ,O,X
STIJOZL,O,X
STIZLJO,X,X
STIZLOJ,X,X
STIZJLO,X,X
STIZJOL,X,X
STIZOLJ,X,X
STIZOJL,X,X
STIOLJZ,O,X
STIOLZJ,O,X
STIOJLZ,O,X
STIOJZL,O,X
STIOZLJ,X,X
STIOZJL,O,X
STLIJZO,X,X
STLIJOZ,X,X
STLIZJO,X,X
STLIZOJ,X,X
STLIOJZ,X,X
STLIOZJ,X,X
STLJIZO,X,X
STLJIOZ,X,X
STLJZIO,X,X
STLJZOI,X,X
STLJOIZ,X,X
STLJOZI,X,X
STLZIJO,X,X
STLZIOJ,X,X
STLZJIO,X,X
STLZJOI,X,X
STLZOIJ,X,X
STLZOJI,X,X
STLOIJZ,X,X
STLOIZJ,X,X
STLOJIZ,X,X
STLOJZI,X,X
STLOZIJ,X,X
STLOZJI,X,X
STJILZO,X,X
STJILOZ,X,X
STJIZLO,X,X
STJIZOL,X,X
STJIOLZ,O,X
STJIOZL,O,X
STJLIZO,X,X
STJLIOZ,X,X
STJLZIO,X,X
STJLZOI,X,X
STJLOIZ,X,X
STJLOZI,X,X
STJZILO,X,X
STJZIOL,X,X
STJZLIO,X,X
STJZLOI,X,X
STJZOIL,X,X
STJZOLI,X,X
STJOILZ,O,X
STJOIZL,O,X
STJOLIZ,O,X
STJOLZI,O,X
STJOZIL,O,X
STJOZLI,X,X
STZILJO,X,X
STZILOJ,X,X
STZIJLO,X,X
STZIJOL,X,X
STZIOLJ,X,X
STZIOJL,X,X
STZLIJO,X,X
STZLIOJ,X,X
STZLJIO,X,X
STZLJOI,X,X
STZLOIJ,X,X
STZLOJI,X,X
STZJILO,X,X
STZJIOL,X,X
STZJLIO,X,X
STZJLOI,X,X
STZJOIL,X,X
STZJOLI,X,X
STZOILJ,X,X
STZOIJL,X,X
STZOLIJ,X,X
STZOLJI,X,X
STZOJIL,X,X
STZOJLI,X,X
STOILJZ,O,X
STOILZJ,O,X
STOIJLZ,O,X
STOIJZL,O,X
STOIZLJ,X,X
STOIZJL,O,X
STOLIJZ,O,X
STOLIZJ,O,X
STOLJIZ,O,X
STOLJZI,O,X
STOLZIJ,O,X
STOLZJI,O,X
STOJILZ,O,X
STOJIZL,O,X
STOJLIZ,O,X
STOJLZI,O,X
STOJZIL,O,X
STOJZLI,X,X
STOZILJ,X,X
STOZIJL,O,X
STOZLIJ,X,X
STOZLJI,X,X
STOZJIL,O,X
STOZJLI,X,X
SITLJZO,X,X
SITLJOZ,X,X
SITLZJO,X,X
SITLZOJ,X,X
SITLOJZ,X,X
SITLOZJ,X,X
SITJLZO,X,X
SITJLOZ,X,X
SITJZLO,X,X
SITJZOL,X,X
SITJOLZ,O,X
SITJOZL,O,X
SITZLJO,X,X
SITZLOJ,X,X
SITZJLO,X,X
SITZJOL,X,X
SITZOLJ,X,X
SITZOJL,X,X
SITOLJZ,O,X
SITOLZJ,O,X
SITOJLZ,O,X
SITOJZL,O,X
SITOZLJ,X,X
SITOZJL,O,X
SILTJZO,O,X
SILTJOZ,X,X
SILTZJO,O,X
SILTZOJ,O,X
SILTOJZ,O,X
SILTOZJ,O,X
SILJTZO,O,X
SILJTOZ,X,X
SILJZTO,O,O
SILJZOT,X,O
SILJOTZ,X,X
SILJOZT,X,O
SILZTJO,O,O
SILZTOJ,O,O
SILZJTO,O,O
SILZJOT,X,O
SILZOTJ,O,O
SILZOJT,O,O
SILOTJZ,O,X
SILOTZJ,O,X
SILOJTZ,O,X
SILOJZT,O,O
SILOZTJ,O,O
SILOZJT,O,O
SIJTLZO,X,X
SIJTLOZ,X,X
SIJTZLO,X,X
SIJTZOL,X,X
SIJTOLZ,O,X
SIJTOZL,O,X
SIJLTZO,O,X
SIJLTOZ,X,X
SIJLZTO,O,O
SIJLZOT,X,O
SIJLOTZ,X,X
SIJLOZT,X,O
SIJZTLO,X,O
SIJZTOL,X,X
SIJZLTO,X,O
SIJZLOT,X,O
SIJZOTL,X,X
SIJZOLT,X,X
SIJOTLZ,O,X
SIJOTZL,O,X
SIJOLTZ,O,X
SIJOLZT,O,X
SIJOZTL,O,X
SIJOZLT,O,X
SIZTLJO,X,O
SIZTLOJ,X,O
SIZTJLO,X,O
SIZTJOL,X,X
SIZTOLJ,X,X
SIZTOJL,X,X
SIZLTJO,X,O
SIZLTOJ,X,O
SIZLJTO,X,O
SIZLJOT,X,O
SIZLOTJ,X,O
SIZLOJT,X,O
SIZJTLO,X,O
SIZJTOL,X,X
SIZJLTO,X,O
SIZJLOT,X,O
SIZJOTL,X,X
SIZJOLT,X,X
SIZOTLJ,X,X
SIZOTJL,X,X
SIZOLTJ,X,X
SIZOLJT,X,X
SIZOJTL,X,X
SIZOJLT,X,X
SIOTLJZ,O,X
SIOTLZJ,O,X
SIOTJLZ,O,X
SIOTJZL,O,X
SIOTZLJ,X,X
SIOTZJL,O,X
SIOLTJZ,O,X
SIOLTZJ,O,X
SIOLJTZ,O,X
SIOLJZT,O,X
SIOLZTJ,O,X
SIOLZJT,O,X
SIOJTLZ,O,X
SIOJTZL,O,X
SIOJLTZ,O,X
SIOJLZT,O,X
SIOJZTL,O,X
SIOJZLT,O,X
SIOZTLJ,X,X
SIOZTJL,O,X
SIOZLTJ,O,X
SIOZLJT,O,X
SIOZJTL,O,X
SIOZJLT,O,X
SLTIJZO,O,X
SLTIJOZ,X,X
SLTIZJO,O,X
SLTIZOJ,O,X
SLTIOJZ,O,X
SLTIOZJ,O,X
SLTJIZO,O,X
SLTJIOZ,X,X
SLTJZIO,O,X
SLTJZOI,X,X
SLTJOIZ,X,X
SLTJOZI,X,X
SLTZIJO,O,X
SLTZIOJ,O,X
SLTZJIO,O,X
SLTZJOI,X,X
SLTZOIJ,O,X
SLTZOJI,O,X
SLTOIJZ,O,X
SLTOIZJ,O,X
SLTOJIZ,O,X
SLTOJZI,O,X
SLTOZIJ,O,X
SLTOZJI,O,X
SLITJZO,O,X
SLITJOZ,X,X
SLITZJO,O,X
SLITZOJ,O,X
SLITOJZ,O,X
SLITOZJ,O,X
SLIJTZO,O,X
SLIJTOZ,X,X
SLIJZTO,O,O
SLIJZOT,X,O
SLIJOTZ,X,X
SLIJOZT,X,O
SLIZTJO,O,O
SLIZTOJ,O,O
SLIZJTO,O,O
SLIZJOT,X,O
SLIZOTJ,O,O
SLIZOJT,O,O
SLIOTJZ,O,X
SLIOTZJ,O,X
SLIOJTZ,O,X
SLIOJZT,O,O
SLIOZTJ,O,O
SLIOZJT,O,O
SLJTIZO,O,X
SLJTIOZ,X,X
SLJTZIO,O,X
SLJTZOI,X,X
SLJTOIZ,X,X
SLJTOZI,X,X
SLJITZO,O,X
SLJITOZ,X,X
SLJIZTO,O,O
SLJIZOT,X,O
SLJIOTZ,X,X
SLJIOZT,X,O
SLJZTIO,O,O
SLJZTOI,X,O
SLJZITO,O,O
SLJZIOT,X,O
SLJZOTI,X,O
SLJZOIT,X,O
SLJOTIZ,X,X
SLJOTZI,X,X
SLJOITZ,X,X
SLJOIZT,X,O
SLJOZTI,X,O
SLJOZIT,X,O
SLZTIJO,O,O
SLZTIOJ,O,O
SLZTJIO,O,O
SLZTJOI,X,O
SLZTOIJ,O,O
SLZTOJI,O,O
SLZITJO,O,O
SLZITOJ,O,O
SLZIJTO,O,O
SLZIJOT,X,O
SLZIOTJ,O,O
SLZIOJT,O,O
SLZJTIO,O,O
SLZJTOI,X,O
SLZJITO,O,O
SLZJIOT,X,O
SLZJOTI,X,O
SLZJOIT,X,O
SLZOTIJ,O,O
SLZOTJI,O,O
SLZOITJ,O,O
SLZOIJT,O,O
SLZOJTI,O,O
SLZOJIT,O,O
SLOTIJZ,O,X
SLOTIZJ,O,X
SLOTJIZ,O,X
SLOTJZI,O,X
SLOTZIJ,O,X
SLOTZJI,O,X
SLOITJZ,O,X
SLOITZJ,O,X
SLOIJTZ,O,X
SLOIJZT,O,O
SLOIZTJ,O,O
SLOIZJT,O,O
SLOJTIZ,O,X
SLOJTZI,O,X
SLOJITZ,O,X
SLOJIZT,O,O
SLOJZTI,O,O
SLOJZIT,O,O
SLOZTIJ,O,O
SLOZTJI,O,O
SLOZITJ,O,O
SLOZIJT,O,O
SLOZJTI,O,O
SLOZJIT,O,O
SJTILZO,X,X
SJTILOZ,X,X
SJTIZLO,X,X
SJTIZOL,X,X
SJTIOLZ,O,X
SJTIOZL,O,X
SJTLIZO,X,X
SJTLIOZ,X,X
SJTLZIO,X,X
SJTLZOI,X,X
SJTLOIZ,X,X
SJTLOZI,X,X
SJTZILO,X,X
SJTZIOL,X,X
SJTZLIO,X,X
SJTZLOI,X,X
SJTZOIL,X,X
SJTZOLI,X,X
SJTOILZ,O,X
SJTOIZL,O,X
SJTOLIZ,O,X
SJTOLZI,O,X
SJTOZIL,O,X
SJTOZLI,X,X
SJITLZO,X,X
SJITLOZ,X,X
SJITZLO,X,X
SJITZOL,X,X
SJITOLZ,O,X
SJITOZL,O,X
SJILTZO,O,X
SJILTOZ,X,X
SJILZTO,O,O
SJILZOT,X,O
SJILOTZ,X,X
SJILOZT,X,O
SJIZTLO,X,O
SJIZTOL,X,X
SJIZLTO,X,O
SJIZLOT,X,O
SJIZOTL,X,X
SJIZOLT,X,X
SJIOTLZ,O,X
SJIOTZL,O,X
SJIOLTZ,O,X
SJIOLZT,O,X
SJIOZTL,O,X
SJIOZLT,O,X
SJLTIZO,O,X
SJLTIOZ,X,X
SJLTZIO,O,X
SJLTZOI,X,X
SJLTOIZ,X,X
SJLTOZI,X,X
SJLITZO,O,X
SJLITOZ,X,X
SJLIZTO,O,O
SJLIZOT,X,O
SJLIOTZ,X,X
SJLIOZT,X,O
SJLZTIO,O,O
SJLZTOI,X,O
SJLZITO,O,O
SJLZIOT,X,O
SJLZOTI,X,O
SJLZOIT,X,O
SJLOTIZ,X,X
SJLOTZI,X,X
SJLOITZ,X,X
SJLOIZT,X,O
SJLOZTI,X,O
SJLOZIT,X,O
SJZTILO,X,O
SJZTIOL,X,X
SJZTLIO,X,O
SJZTLOI,X,O
SJZTOIL,X,X
SJZTOLI,X,X
SJZITLO,X,O
SJZITOL,X,X
SJZILTO,X,O
SJZILOT,X,O
SJZIOTL,X,X
SJZIOLT,X,X
SJZLTIO,X,O
SJZLTOI,X,O
SJZLITO,X,O
SJZLIOT,X,O
SJZLOTI,X,O
SJZLOIT,X,O
SJZOTIL,X,X
SJZOTLI,X,X
SJZOITL,X,X
SJZOILT,X,X
SJZOLTI,X,X
SJZOLIT,X,X
SJOTILZ,O,X
SJOTIZL,O,X
SJOTLIZ,O,X
SJOTLZI,O,X
SJOTZIL,O,X
SJOTZLI,X,X
SJOITLZ,O,X
SJOITZL,O,X
SJOILTZ,O,X
SJOILZT,O,X
SJOIZTL,O,X
SJOIZLT,O,X
SJOLTIZ,O,X
SJOLTZI,O,X
SJOLITZ,O,X
SJOLIZT,O,X
SJOLZTI,O,X
SJOLZIT,O,X
SJOZTIL,O,X
SJOZTLI,X,X
SJOZITL,O,X
SJOZILT,O,X
SJOZLTI,O,X
SJOZLIT,O,X
SZTILJO,X,O
SZTILOJ,X,O
SZTIJLO,X,O
SZTIJOL,X,X
SZTIOLJ,X,X
SZTIOJL,X,X
SZTLIJO,X,O
SZTLIOJ,X,O
SZTLJIO,X,O
SZTLJOI,X,O
SZTLOIJ,X,O
SZTLOJI,X,O
SZTJILO,X,O
SZTJIOL,X,X
SZTJLIO,X,O
SZTJLOI,X,O
SZTJOIL,X,X
SZTJOLI,X,X
SZTOILJ,X,X
SZTOIJL,X,X
SZTOLIJ,X,X
SZTOLJI,X,X
SZTOJIL,X,X
SZTOJLI,X,X
SZITLJO,X,O
SZITLOJ,X,O
SZITJLO,X,O
SZITJOL,X,X
SZITOLJ,X,X
SZITOJL,X,X
SZILTJO,X,O
SZILTOJ,X,O
SZILJTO,X,O
SZILJOT,X,O
SZILOTJ,X,O
SZILOJT,X,O
SZIJTLO,X,O
SZIJTOL,X,X
SZIJLTO,X,O
SZIJLOT,X,O
SZIJOTL,X,X
SZIJOLT,X,X
SZIOTLJ,X,X
SZIOTJL,X,X
SZIOLTJ,X,X
SZIOLJT,X,X
SZIOJTL,X,X
SZIOJLT,X,X
SZLTIJO,X,O
SZLTIOJ,X,O
SZLTJIO,X,O
SZLTJOI,X,O
SZLTOIJ,X,O
SZLTOJI,X,O
SZLITJO,X,O
SZLITOJ,X,O
SZLIJTO,X,O
SZLIJOT,X,O
SZLIOTJ,X,O
SZLIOJT,X,O
SZLJTIO,X,O
SZLJTOI,X,O
SZLJITO,X,O
SZLJIOT,X,O
SZLJOTI,X,O
SZLJOIT,X,O
SZLOTIJ,X,O
SZLOTJI,X,O
SZLOITJ,X,O
SZLOIJT,X,O
SZLOJTI,X,O
SZLOJIT,X,O
SZJTILO,X,O
SZJTIOL,X,X
SZJTLIO,X,O
SZJTLOI,X,O
SZJTOIL,X,X
SZJTOLI,X,X
SZJITLO,X,O
SZJITOL,X,X
SZJILTO,X,O
SZJILOT,X,O
SZJIOTL,X,X
SZJIOLT,X,X
SZJLTIO,X,O
SZJLTOI,X,O
SZJLITO,X,O
SZJLIOT,X,O
SZJLOTI,X,O
SZJLOIT,X,O
SZJOTIL,X,X
SZJOTLI,X,X
SZJOITL,X,X
SZJOILT,X,X
SZJOLTI,X,X
SZJOLIT,X,X
SZOTILJ,X,X
SZOTIJL,X,X
SZOTLIJ,X,X
SZOTLJI,X,X
SZOTJIL,X,X
SZOTJLI,X,X
SZOITLJ,X,X
SZOITJL,X,X
