sequence,v115@RhB8BeA8CeA8AeB8AeB8AeD8JeT/IvhFZlBulB3hBt?nB6oB8rB,v115@RhB8BeA8CeA8AeB8AeB8AeD8JeT/IvhF0gBxhB6oBN?qBurB3sB,v115@RhB8BeA8CeA8AeB8AeB8AeD8JeT/IvhFZlBulBUiB9?oB6rB3sB
IJTSLZO,O,O,X
IJTSLOZ,O,O,X
IJTSZLO,O,O,X
IJTSZOL,O,O,X
IJTSOLZ,O,O,X
IJTSOZL,O,O,X
IJTZLSO,O,O,X
IJTZLOS,O,O,X
IJTZSLO,O,O,X
IJTZSOL,O,O,X
IJTZOLS,O,O,X
IJTZOSL,O,O,X
IJTOLSZ,O,O,O
IJTOLZS,O,O,O
IJTOSLZ,O,O,X
IJTOSZL,O,O,X
IJTOZLS,O,O,X
IJTOZSL,O,O,X
IJLTSZO,O,O,O
IJLTSOZ,O,O,O
IJLTZSO,O,O,O
IJLTZOS,O,O,O
IJLTOSZ,O,O,O
IJLTOZS,O,O,O
IJLSTZO,O,O,O
IJLSTOZ,O,O,O
IJLSZTO,X,O,O
IJLSZOT,X,O,O
IJLSOTZ,O,O,O
IJLSOZT,X,O,O
IJLZTSO,O,O,O
IJLZTOS,O,O,O
IJLZSTO,O,X,O
IJLZSOT,O,X,O
IJLZOTS,O,O,O
IJLZOST,O,X,O
IJLOTSZ,O,O,O
IJLOTZS,O,O,O
IJLOSTZ,O,O,O
IJLOSZT,X,O,O
IJLOZTS,O,O,O
IJLOZST,O,X,O
IJSTLZO,O,O,X
IJSTLOZ,O,O,X
IJSTZLO,O,O,X
IJSTZOL,O,O,X
IJSTOLZ,O,O,X
IJSTOZL,O,O,X
IJSLTZO,O,O,X
IJSLTOZ,O,O,X
IJSLZTO,X,O,X
IJSLZOT,X,O,X
IJSLOTZ,O,O,X
IJSLOZT,X,O,X
IJSZTLO,O,O,X
IJSZTOL,O,O,X
IJSZLTO,O,O,X
IJSZLOT,O,O,X
IJSZOTL,O,O,X
IJSZOLT,O,O,X
IJSOTLZ,O,O,X
IJSOTZL,O,O,X
IJSOLTZ,O,O,X
IJSOLZT,X,O,X
IJSOZTL,O,O,X
IJSOZLT,O,O,X
IJZTLSO,O,O,X
IJZTLOS,O,O,X
IJZTSLO,O,O,X
IJZTSOL,O,O,X
IJZTOLS,O,O,X
IJZTOSL,O,O,X
IJZLTSO,O,O,X
IJZLTOS,O,O,X
IJZLSTO,O,X,X
IJZLSOT,O,X,X
IJZLOTS,O,O,X
IJZLOST,O,X,X
IJZSTLO,O,X,X
IJZSTOL,O,X,X
IJZSLTO,O,X,X
IJZSLOT,O,X,X
IJZSOTL,O,X,X
IJZSOLT,O,X,X
IJZOTLS,O,O,X
IJZOTSL,O,O,X
IJZOLTS,O,O,X
IJZOLST,O,X,X
IJZOSTL,O,X,X
IJZOSLT,O,X,X
IJOTLSZ,O,O,O
IJOTLZS,O,O,O
IJOTSLZ,O,O,X
IJOTSZL,O,O,X
IJOTZLS,O,O,X
IJOTZSL,O,O,X
IJOLTSZ,O,O,O
IJOLTZS,O,O,O
IJOLSTZ,O,O,O
IJOLSZT,X,O,O
IJOLZTS,O,O,O
IJOLZST,O,X,O
IJOSTLZ,O,O,X
IJOSTZL,O,O,X
IJOSLTZ,O,O,X
IJOSLZT,X,O,X
IJOSZTL,O,O,X
IJOSZLT,O,O,X
IJOZTLS,O,O,X
IJOZTSL,O,O,X
IJOZLTS,O,O,X
IJOZLST,O,X,X
IJOZSTL,O,X,X
IJOZSLT,O,X,X
ISTLJZO,O,O,O
ISTLJOZ,O,O,O
ISTLZJO,O,O,O
ISTLZOJ,O,O,O
ISTLOJZ,O,O,O
ISTLOZJ,O,O,O
ISTJLZO,O,O,X
ISTJLOZ,O,O,X
ISTJZLO,O,O,X
ISTJZOL,O,O,X
ISTJOLZ,O,O,X
ISTJOZL,O,O,X
ISTZLJO,O,O,X
ISTZLOJ,O,O,X
ISTZJLO,O,O,X
ISTZJOL,O,O,X
ISTZOLJ,O,O,X
ISTZOJL,O,O,X
ISTOLJZ,O,O,O
ISTOLZJ,O,O,O
ISTOJLZ,O,O,X
ISTOJZL,O,O,X
ISTOZLJ,O,O,X
ISTOZJL,O,O,X
ISLTJZO,O,O,O
ISLTJOZ,O,O,O
ISLTZJO,O,O,O
ISLTZOJ,O,O,O
ISLTOJZ,O,O,O
ISLTOZJ,O,O,O
ISLJTZO,O,O,O
ISLJTOZ,O,O,O
ISLJZTO,X,O,O
ISLJZOT,X,O,O
ISLJOTZ,O,O,O
ISLJOZT,X,O,O
ISLZTJO,X,O,O
ISLZTOJ,X,O,O
ISLZJTO,X,X,O
ISLZJOT,X,X,O
ISLZOTJ,X,O,O
ISLZOJT,X,X,O
ISLOTJZ,O,O,O
ISLOTZJ,O,O,O
ISLOJTZ,O,O,O
ISLOJZT,X,O,O
ISLOZTJ,X,O,O
ISLOZJT,X,X,O
ISJTLZO,O,O,X
ISJTLOZ,O,O,X
ISJTZLO,O,O,X
ISJTZOL,O,O,X
ISJTOLZ,O,O,X
ISJTOZL,O,O,X
ISJLTZO,O,O,X
ISJLTOZ,O,O,X
ISJLZTO,X,O,X
ISJLZOT,X,O,X
ISJLOTZ,O,O,X
ISJLOZT,X,O,X
ISJZTLO,O,O,X
ISJZTOL,O,O,X
ISJZLTO,O,O,X
ISJZLOT,O,O,X
ISJZOTL,O,O,X
ISJZOLT,O,O,X
ISJOTLZ,O,O,X
ISJOTZL,O,O,X
ISJOLTZ,O,O,X
ISJOLZT,X,O,X
ISJOZTL,O,O,X
ISJOZLT,O,O,X
ISZTLJO,O,O,X
ISZTLOJ,O,O,X
ISZTJLO,O,O,X
ISZTJOL,O,O,X
ISZTOLJ,O,O,X
ISZTOJL,O,O,X
ISZLTJO,O,O,X
ISZLTOJ,O,O,X
ISZLJTO,O,X,X
ISZLJOT,O,X,X
ISZLOTJ,O,O,X
ISZLOJT,O,X,X
ISZJTLO,O,X,X
ISZJTOL,O,X,X
ISZJLTO,O,X,X
ISZJLOT,O,X,X
ISZJOTL,O,X,X
ISZJOLT,O,X,X
ISZOTLJ,O,O,X
ISZOTJL,O,O,X
ISZOLTJ,O,O,X
ISZOLJT,O,X,X
ISZOJTL,O,X,X
ISZOJLT,O,X,X
ISOTLJZ,O,O,O
ISOTLZJ,O,O,O
ISOTJLZ,O,O,X
ISOTJZL,O,O,X
ISOTZLJ,O,O,X
ISOTZJL,O,O,X
ISOLTJZ,O,O,O
ISOLTZJ,O,O,O
ISOLJTZ,O,O,O
ISOLJZT,X,O,O
ISOLZTJ,X,O,O
ISOLZJT,X,X,O
ISOJTLZ,O,O,X
ISOJTZL,O,O,X
ISOJLTZ,O,O,X
ISOJLZT,X,O,X
ISOJZTL,O,O,X
ISOJZLT,O,O,X
ISOZTLJ,O,O,X
ISOZTJL,O,O,X
ISOZLTJ,O,O,X
ISOZLJT,O,X,X
ISOZJTL,O,X,X
ISOZJLT,O,X,X
IZTLJSO,O,X,O
IZTLJOS,O,X,O
IZTLSJO,O,X,O
IZTLSOJ,O,X,O
IZTLOJS,O,X,O
IZTLOSJ,O,X,O
IZTJLSO,O,X,X
IZTJLOS,O,X,X
IZTJSLO,O,X,X
IZTJSOL,O,X,X
IZTJOLS,O,X,X
IZTJOSL,O,X,X
IZTSLJO,O,X,X
IZTSLOJ,O,X,X
IZTSJLO,O,X,X
IZTSJOL,O,X,X
IZTSOLJ,O,X,X
IZTSOJL,O,X,X
IZTOLJS,O,X,O
IZTOLSJ,O,X,O
IZTOJLS,O,X,X
IZTOJSL,O,X,X
IZTOSLJ,O,X,X
IZTOSJL,O,X,X
IZLTJSO,O,X,O
IZLTJOS,O,X,O
IZLTSJO,O,X,O
IZLTSOJ,O,X,O
IZLTOJS,O,X,O
IZLTOSJ,O,X,O
IZLJTSO,O,X,O
IZLJTOS,O,X,O
IZLJSTO,O,X,O
IZLJSOT,O,X,O
IZLJOTS,O,X,O
IZLJOST,O,X,O
IZLSTJO,O,X,O
IZLSTOJ,O,X,O
IZLSJTO,O,X,O
IZLSJOT,O,X,O
IZLSOTJ,O,X,O
IZLSOJT,O,X,O
IZLOTJS,O,X,O
IZLOTSJ,O,X,O
IZLOJTS,O,X,O
IZLOJST,O,X,O
IZLOSTJ,O,X,O
IZLOSJT,O,X,O
IZJTLSO,O,X,X
IZJTLOS,O,X,X
IZJTSLO,O,X,X
IZJTSOL,O,X,X
IZJTOLS,O,X,X
IZJTOSL,O,X,X
IZJLTSO,O,X,X
IZJLTOS,O,X,X
IZJLSTO,O,X,X
IZJLSOT,O,X,X
IZJLOTS,O,X,X
IZJLOST,O,X,X
IZJSTLO,O,X,X
IZJSTOL,O,X,X
IZJSLTO,O,X,X
IZJSLOT,O,X,X
IZJSOTL,O,X,X
IZJSOLT,O,X,X
IZJOTLS,O,X,X
IZJOTSL,O,X,X
IZJOLTS,O,X,X
IZJOLST,O,X,X
IZJOSTL,O,X,X
IZJOSLT,O,X,X
IZSTLJO,O,X,X
IZSTLOJ,O,X,X
IZSTJLO,O,X,X
IZSTJOL,O,X,X
IZSTOLJ,O,X,X
IZSTOJL,O,X,X
IZSLTJO,O,X,X
IZSLTOJ,O,X,X
IZSLJTO,O,X,X
IZSLJOT,O,X,X
IZSLOTJ,O,X,X
IZSLOJT,O,X,X
IZSJTLO,O,X,X
IZSJTOL,O,X,X
IZSJLTO,O,X,X
IZSJLOT,O,X,X
IZSJOTL,O,X,X
IZSJOLT,O,X,X
IZSOTLJ,O,X,X
IZSOTJL,O,X,X
IZSOLTJ,O,X,X
IZSOLJT,O,X,X
IZSOJTL,O,X,X
IZSOJLT,O,X,X
IZOTLJS,O,X,O
IZOTLSJ,O,X,O
IZOTJLS,O,X,X
IZOTJSL,O,X,X
IZOTSLJ,O,X,X
IZOTSJL,O,X,X
IZOLTJS,O,X,O
IZOLTSJ,O,X,O
IZOLJTS,O,X,O
IZOLJST,O,X,O
IZOLSTJ,O,X,O
IZOLSJT,O,X,O
IZOJTLS,O,X,X
IZOJTSL,O,X,X
IZOJLTS,O,X,X
IZOJLST,O,X,X
IZOJSTL,O,X,X
IZOJSLT,O,X,X
IZOSTLJ,O,X,X
IZOSTJL,O,X,X
IZOSLTJ,O,X,X
IZOSLJT,O,X,X
IZOSJTL,O,X,X
IZOSJLT,O,X,X
IOTLJSZ,O,O,O
IOTLJZS,O,O,O
IOTLSJZ,O,O,O
IOTLSZJ,O,O,O
IOTLZJS,O,O,O
IOTLZSJ,O,O,O
IOTJLSZ,O,O,O
IOTJLZS,O,O,O
IOTJSLZ,O,O,X
IOTJSZL,O,O,X
IOTJZLS,O,O,X
IOTJZSL,O,O,X
IOTSLJZ,O,O,O
IOTSLZJ,O,O,O
IOTSJLZ,O,O,X
IOTSJZL,O,O,X
IOTSZLJ,O,O,X
IOTSZJL,O,O,X
IOTZLJS,O,O,O
IOTZLSJ,O,O,O
IOTZJLS,O,O,X
IOTZJSL,O,O,X
IOTZSLJ,O,O,X
IOTZSJL,O,O,X
IOLTJSZ,O,O,O
IOLTJZS,O,O,O
IOLTSJZ,O,O,O
IOLTSZJ,O,O,O
IOLTZJS,O,O,O
IOLTZSJ,O,O,O
IOLJTSZ,O,O,O
IOLJTZS,O,O,O
IOLJSTZ,O,O,O
IOLJSZT,X,O,O
IOLJZTS,O,O,O
IOLJZST,O,X,O
IOLSTJZ,O,O,O
IOLSTZJ,O,O,O
IOLSJTZ,O,O,O
IOLSJZT,X,O,O
IOLSZTJ,X,O,O
IOLSZJT,X,X,O
IOLZTJS,O,X,O
IOLZTSJ,O,X,O
IOLZJTS,O,X,O
IOLZJST,O,X,O
IOLZSTJ,O,X,O
IOLZSJT,O,X,O
IOJTLSZ,O,O,O
IOJTLZS,O,O,O
IOJTSLZ,O,O,X
IOJTSZL,O,O,X
IOJTZLS,O,O,X
IOJTZSL,O,O,X
IOJLTSZ,O,O,O
IOJLTZS,O,O,O
IOJLSTZ,O,O,O
IOJLSZT,X,O,O
IOJLZTS,O,O,O
IOJLZST,O,X,O
IOJSTLZ,O,O,X
IOJSTZL,O,O,X
IOJSLTZ,O,O,X
IOJSLZT,X,O,X
IOJSZTL,O,O,X
IOJSZLT,O,O,X
IOJZTLS,O,O,X
IOJZTSL,O,O,X
IOJZLTS,O,O,X
IOJZLST,O,X,X
IOJZSTL,O,X,X
IOJZSLT,O,X,X
IOSTLJZ,O,O,O
IOSTLZJ,O,O,O
IOSTJLZ,O,O,X
IOSTJZL,O,O,X
IOSTZLJ,O,O,X
IOSTZJL,O,O,X
IOSLTJZ,O,O,O
IOSLTZJ,O,O,O
IOSLJTZ,O,O,O
IOSLJZT,X,O,O
IOSLZTJ,X,O,O
IOSLZJT,X,X,O
IOSJTLZ,O,O,X
IOSJTZL,O,O,X
IOSJLTZ,O,O,X
IOSJLZT,X,O,X
IOSJZTL,O,O,X
IOSJZLT,O,O,X
IOSZTLJ,O,O,X
IOSZTJL,O,O,X
IOSZLTJ,O,O,X
IOSZLJT,O,X,X
IOSZJTL,O,X,X
IOSZJLT,O,X,X
IOZTLJS,O,X,O
IOZTLSJ,O,X,O
IOZTJLS,O,X,X
IOZTJSL,O,X,X
IOZTSLJ,O,X,X
IOZTSJL,O,X,X
IOZLTJS,O,X,O
IOZLTSJ,O,X,O
IOZLJTS,O,X,O
IOZLJST,O,X,O
IOZLSTJ,O,X,O
IOZLSJT,O,X,O
IOZJTLS,O,X,X
IOZJTSL,O,X,X
IOZJLTS,O,X,X
IOZJLST,O,X,X
IOZJSTL,O,X,X
IOZJSLT,O,X,X
IOZSTLJ,O,X,X
IOZSTJL,O,X,X
IOZSLTJ,O,X,X
IOZSLJT,O,X,X
IOZSJTL,O,X,X
IOZSJLT,O,X,X
LTIJSZO,O,O,O
LTIJSOZ,O,O,O
LTIJZSO,O,O,O
LTIJZOS,O,O,O
LTIJOSZ,O,O,O
LTIJOZS,O,O,O
LTISJZO,O,O,O
LTISJOZ,O,O,O
LTISZJO,O,O,O
LTISZOJ,O,O,O
LTISOJZ,O,O,O
LTISOZJ,O,O,O
LTIZJSO,O,O,O
LTIZJOS,O,O,O
LTIZSJO,O,O,O
LTIZSOJ,O,O,O
LTIZOJS,O,O,O
LTIZOSJ,O,O,O
LTIOJSZ,O,O,O
LTIOJZS,O,O,O
LTIOSJZ,O,O,O
LTIOSZJ,O,O,O
LTIOZJS,O,O,O
LTIOZSJ,O,O,O
LTJISZO,O,O,O
LTJISOZ,O,O,O
LTJIZSO,O,O,O
LTJIZOS,O,O,O
LTJIOSZ,O,O,O
LTJIOZS,O,O,O
LTJSIZO,O,O,O
LTJSIOZ,O,O,O
LTJSZIO,O,O,O
LTJSZOI,O,O,O
LTJSOIZ,O,O,O
LTJSOZI,O,O,O
LTJZISO,O,O,O
LTJZIOS,O,O,O
LTJZSIO,O,O,O
LTJZSOI,O,O,O
LTJZOIS,O,O,O
LTJZOSI,O,O,O
LTJOISZ,O,O,O
LTJOIZS,O,O,O
LTJOSIZ,O,O,O
LTJOSZI,O,O,O
LTJOZIS,O,O,O
LTJOZSI,O,O,O
LTSIJZO,O,O,O
LTSIJOZ,O,O,O
LTSIZJO,O,O,O
LTSIZOJ,O,O,O
LTSIOJZ,O,O,O
LTSIOZJ,O,O,O
LTSJIZO,O,O,O
LTSJIOZ,O,O,O
LTSJZIO,O,O,O
LTSJZOI,O,O,O
LTSJOIZ,O,O,O
LTSJOZI,O,O,O
LTSZIJO,O,O,O
LTSZIOJ,O,O,O
LTSZJIO,O,O,O
LTSZJOI,O,O,O
LTSZOIJ,O,O,O
LTSZOJI,O,O,O
LTSOIJZ,O,O,O
LTSOIZJ,O,O,O
LTSOJIZ,O,O,O
LTSOJZI,O,O,O
LTSOZIJ,O,O,O
LTSOZJI,O,O,O
LTZIJSO,O,O,O
LTZIJOS,O,O,O
LTZISJO,O,O,O
LTZISOJ,O,O,O
LTZIOJS,O,O,O
LTZIOSJ,O,O,O
LTZJISO,O,O,O
LTZJIOS,O,O,O
LTZJSIO,O,O,O
LTZJSOI,O,O,O
LTZJOIS,O,O,O
LTZJOSI,O,O,O
LTZSIJO,O,O,O
LTZSIOJ,O,O,O
LTZSJIO,O,O,O
LTZSJOI,O,O,O
LTZSOIJ,O,O,O
LTZSOJI,O,O,O
LTZOIJS,O,O,O
LTZOISJ,O,O,O
LTZOJIS,O,O,O
LTZOJSI,O,O,O
LTZOSIJ,O,O,O
LTZOSJI,O,O,O
LTOIJSZ,O,O,O
LTOIJZS,O,O,O
LTOISJZ,O,O,O
LTOISZJ,O,O,O
LTOIZJS,O,O,O
LTOIZSJ,O,O,O
LTOJISZ,O,O,O
LTOJIZS,O,O,O
LTOJSIZ,O,O,O
LTOJSZI,O,O,O
LTOJZIS,O,O,O
LTOJZSI,O,O,O
LTOSIJZ,O,O,O
LTOSIZJ,O,O,O
LTOSJIZ,O,O,O
LTOSJZI,O,O,O
LTOSZIJ,O,O,O
LTOSZJI,O,O,O
LTOZIJS,O,O,O
LTOZISJ,O,O,O
LTOZJIS,O,O,O
LTOZJSI,O,O,O
LTOZSIJ,O,O,O
LTOZSJI,O,O,O
LITJSZO,O,O,O
LITJSOZ,O,O,O
LITJZSO,O,O,O
LITJZOS,O,O,O
LITJOSZ,O,O,O
LITJOZS,O,O,O
LITSJZO,O,O,O
LITSJOZ,O,O,O
LITSZJO,O,O,O
LITSZOJ,O,O,O
LITSOJZ,O,O,O
LITSOZJ,O,O,O
LITZJSO,O,O,O
LITZJOS,O,O,O
LITZSJO,O,O,O
LITZSOJ,O,O,O
LITZOJS,O,O,O
LITZOSJ,O,O,O
LITOJSZ,O,O,O
LITOJZS,O,O,O
LITOSJZ,O,O,O
LITOSZJ,O,O,O
LITOZJS,O,O,O
LITOZSJ,O,O,O
LIJTSZO,O,O,O
LIJTSOZ,O,O,O
LIJTZSO,O,O,O
LIJTZOS,O,O,O
LIJTOSZ,O,O,O
LIJTOZS,O,O,O
LIJSTZO,O,O,O
LIJSTOZ,O,O,O
LIJSZTO,X,O,O
LIJSZOT,X,O,O
LIJSOTZ,O,O,O
LIJSOZT,X,O,O
LIJZTSO,O,O,O
LIJZTOS,O,O,O
LIJZSTO,O,X,O
LIJZSOT,O,X,O
LIJZOTS,O,O,O
LIJZOST,O,X,O
LIJOTSZ,O,O,O
LIJOTZS,O,O,O
LIJOSTZ,O,O,O
LIJOSZT,X,O,O
LIJOZTS,O,O,O
LIJOZST,O,X,O
LISTJZO,O,O,O
LISTJOZ,O,O,O
LISTZJO,O,O,O
LISTZOJ,O,O,O
LISTOJZ,O,O,O
LISTOZJ,O,O,O
LISJTZO,O,O,O
LISJTOZ,O,O,O
LISJZTO,X,O,O
LISJZOT,X,O,O
LISJOTZ,O,O,O
LISJOZT,X,O,O
LISZTJO,X,O,O
LISZTOJ,X,O,O
LISZJTO,X,X,O
LISZJOT,X,X,O
LISZOTJ,X,O,O
LISZOJT,X,X,O
LISOTJZ,O,O,O
LISOTZJ,O,O,O
LISOJTZ,O,O,O
LISOJZT,X,O,O
LISOZTJ,X,O,O
LISOZJT,X,X,O
LIZTJSO,O,X,O
LIZTJOS,O,X,O
LIZTSJO,O,X,O
LIZTSOJ,O,X,O
LIZTOJS,O,X,O
LIZTOSJ,O,X,O
LIZJTSO,O,X,O
LIZJTOS,O,X,O
LIZJSTO,O,X,O
LIZJSOT,O,X,O
LIZJOTS,O,X,O
LIZJOST,O,X,O
LIZSTJO,O,X,O
LIZSTOJ,O,X,O
LIZSJTO,O,X,O
LIZSJOT,O,X,O
LIZSOTJ,O,X,O
LIZSOJT,O,X,O
LIZOTJS,O,X,O
LIZOTSJ,O,X,O
LIZOJTS,O,X,O
LIZOJST,O,X,O
LIZOSTJ,O,X,O
LIZOSJT,O,X,O
LIOTJSZ,O,O,O
LIOTJZS,O,O,O
LIOTSJZ,O,O,O
LIOTSZJ,O,O,O
LIOTZJS,O,O,O
LIOTZSJ,O,O,O
LIOJTSZ,O,O,O
LIOJTZS,O,O,O
LIOJSTZ,O,O,O
LIOJSZT,X,O,O
LIOJZTS,O,O,O
LIOJZST,O,X,O
LIOSTJZ,O,O,O
LIOSTZJ,O,O,O
LIOSJTZ,O,O,O
LIOSJZT,X,O,O
LIOSZTJ,X,O,O
LIOSZJT,X,X,O
LIOZTJS,O,X,O
LIOZTSJ,O,X,O
LIOZJTS,O,X,O
LIOZJST,O,X,O
LIOZSTJ,O,X,O
LIOZSJT,O,X,O
LJTISZO,O,O,O
LJTISOZ,O,O,O
LJTIZSO,O,O,O
LJTIZOS,O,O,O
LJTIOSZ,O,O,O
LJTIOZS,O,O,O
LJTSIZO,O,O,O
LJTSIOZ,O,O,O
LJTSZIO,O,O,O
LJTSZOI,O,O,O
LJTSOIZ,O,O,O
LJTSOZI,O,O,O
LJTZISO,O,O,O
LJTZIOS,O,O,O
LJTZSIO,O,O,O
LJTZSOI,O,O,O
LJTZOIS,O,O,O
LJTZOSI,O,O,O
LJTOISZ,O,O,O
LJTOIZS,O,O,O
LJTOSIZ,O,O,O
LJTOSZI,O,O,O
LJTOZIS,O,O,O
LJTOZSI,O,O,O
LJITSZO,O,O,O
LJITSOZ,O,O,O
LJITZSO,O,O,O
LJITZOS,O,O,O
LJITOSZ,O,O,O
LJITOZS,O,O,O
LJISTZO,O,O,O
LJISTOZ,O,O,O
LJISZTO,X,O,O
LJISZOT,X,O,O
LJISOTZ,O,O,O
LJISOZT,X,O,O
LJIZTSO,O,O,O
LJIZTOS,O,O,O
LJIZSTO,O,X,O
LJIZSOT,O,X,O
LJIZOTS,O,O,O
LJIZOST,O,X,O
LJIOTSZ,O,O,O
LJIOTZS,O,O,O
LJIOSTZ,O,O,O
LJIOSZT,X,O,O
LJIOZTS,O,O,O
LJIOZST,O,X,O
LJSTIZO,O,O,O
LJSTIOZ,O,O,O
LJSTZIO,O,O,O
LJSTZOI,O,O,O
LJSTOIZ,O,O,O
LJSTOZI,O,O,O
LJSITZO,O,O,O
LJSITOZ,O,O,O
LJSIZTO,X,O,O
LJSIZOT,X,O,O
LJSIOTZ,O,O,O
LJSIOZT,X,O,O
LJSZTIO,X,O,O
LJSZTOI,X,O,O
LJSZITO,X,O,O
LJSZIOT,X,O,O
LJSZOTI,X,O,O
LJSZOIT,X,O,O
LJSOTIZ,O,O,O
LJSOTZI,O,O,O
LJSOITZ,O,O,O
LJSOIZT,X,O,O
LJSOZTI,X,O,O
LJSOZIT,X,O,O
LJZTISO,O,O,O
LJZTIOS,O,O,O
LJZTSIO,O,O,O
LJZTSOI,O,O,O
LJZTOIS,O,O,O
LJZTOSI,O,O,O
LJZITSO,O,O,O
LJZITOS,O,O,O
LJZISTO,O,X,O
LJZISOT,O,X,O
LJZIOTS,O,O,O
LJZIOST,O,X,O
LJZSTIO,O,O,O
LJZSTOI,O,O,O
LJZSITO,O,O,O
LJZSIOT,O,O,O
LJZSOTI,O,O,O
LJZSOIT,O,O,O
LJZOTIS,O,O,O
LJZOTSI,O,O,O
LJZOITS,O,O,O
LJZOIST,O,X,O
LJZOSTI,O,O,O
LJZOSIT,O,O,O
LJOTISZ,O,O,O
LJOTIZS,O,O,O
LJOTSIZ,O,O,O
LJOTSZI,O,O,O
LJOTZIS,O,O,O
LJOTZSI,O,O,O
LJOITSZ,O,O,O
LJOITZS,O,O,O
LJOISTZ,O,O,O
LJOISZT,X,O,O
LJOIZTS,O,O,O
LJOIZST,O,X,O
LJOSTIZ,O,O,O
LJOSTZI,O,O,O
LJOSITZ,O,O,O
LJOSIZT,X,O,O
LJOSZTI,X,O,O
LJOSZIT,X,O,O
LJOZTIS,O,O,O
LJOZTSI,O,O,O
LJOZITS,O,O,O
LJOZIST,O,X,O
LJOZSTI,O,O,O
LJOZSIT,O,O,O
LSTIJZO,O,O,O
LSTIJOZ,O,O,O
LSTIZJO,O,O,O
LSTIZOJ,O,O,O
LSTIOJZ,O,O,O
LSTIOZJ,O,O,O
LSTJIZO,O,O,O
LSTJIOZ,O,O,O
LSTJZIO,O,O,O
LSTJZOI,O,O,O
LSTJOIZ,O,O,O
LSTJOZI,O,O,O
LSTZIJO,O,O,O
LSTZIOJ,O,O,O
LSTZJIO,O,O,O
LSTZJOI,O,O,O
LSTZOIJ,O,O,O
LSTZOJI,O,O,O
LSTOIJZ,O,O,O
LSTOIZJ,O,O,O
LSTOJIZ,O,O,O
LSTOJZI,O,O,O
LSTOZIJ,O,O,O
LSTOZJI,O,O,O
LSITJZO,O,O,O
LSITJOZ,O,O,O
LSITZJO,O,O,O
LSITZOJ,O,O,O
LSITOJZ,O,O,O
LSITOZJ,O,O,O
LSIJTZO,O,O,O
LSIJTOZ,O,O,O
LSIJZTO,X,O,O
LSIJZOT,X,O,O
LSIJOTZ,O,O,O
LSIJOZT,X,O,O
LSIZTJO,X,O,O
LSIZTOJ,X,O,O
LSIZJTO,X,X,O
LSIZJOT,X,X,O
LSIZOTJ,X,O,O
LSIZOJT,X,X,O
LSIOTJZ,O,O,O
LSIOTZJ,O,O,O
LSIOJTZ,O,O,O
LSIOJZT,X,O,O
LSIOZTJ,X,O,O
LSIOZJT,X,X,O
LSJTIZO,O,O,O
LSJTIOZ,O,O,O
LSJTZIO,O,O,O
LSJTZOI,O,O,O
LSJTOIZ,O,O,O
LSJTOZI,O,O,O
LSJITZO,O,O,O
LSJITOZ,O,O,O
LSJIZTO,X,O,O
LSJIZOT,X,O,O
LSJIOTZ,O,O,O
LSJIOZT,X,O,O
LSJZTIO,X,O,O
LSJZTOI,X,O,O
LSJZITO,X,O,O
LSJZIOT,X,O,O
LSJZOTI,X,O,O
LSJZOIT,X,O,O
LSJOTIZ,O,O,O
LSJOTZI,O,O,O
LSJOITZ,O,O,O
LSJOIZT,X,O,O
LSJOZTI,X,O,O
LSJOZIT,X,O,O
LSZTIJO,X,O,O
LSZTIOJ,X,O,O
LSZTJIO,X,O,O
LSZTJOI,X,O,O
LSZTOIJ,X,O,O
LSZTOJI,X,O,O
LSZITJO,X,O,O
LSZITOJ,X,O,O
LSZIJTO,X,X,O
LSZIJOT,X,X,O
LSZIOTJ,X,O,O
LSZIOJT,X,X,O
LSZJTIO,X,O,O
LSZJTOI,X,O,O
LSZJITO,X,O,O
LSZJIOT,X,O,O
LSZJOTI,X,O,O
LSZJOIT,X,O,O
LSZOTIJ,X,O,O
LSZOTJI,X,O,O
LSZOITJ,X,O,O
LSZOIJT,X,X,O
LSZOJTI,X,O,O
LSZOJIT,X,O,O
LSOTIJZ,O,O,O
LSOTIZJ,O,O,O
LSOTJIZ,O,O,O
LSOTJZI,O,O,O
LSOTZIJ,O,O,O
LSOTZJI,O,O,O
LSOITJZ,O,O,O
LSOITZJ,O,O,O
LSOIJTZ,O,O,O
LSOIJZT,X,O,O
LSOIZTJ,X,O,O
LSOIZJT,X,X,O
LSOJTIZ,O,O,O
LSOJTZI,O,O,O
LSOJITZ,O,O,O
LSOJIZT,X,O,O
LSOJZTI,X,O,O
LSOJZIT,X,O,O
LSOZTIJ,X,O,O
LSOZTJI,X,O,O
LSOZITJ,X,O,O
LSOZIJT,X,X,O
LSOZJTI,X,O,O
LSOZJIT,X,O,O
LZTIJSO,O,O,O
LZTIJOS,O,O,O
LZTISJO,O,O,O
LZTISOJ,O,O,O
LZTIOJS,O,O,O
LZTIOSJ,O,O,O
LZTJISO,O,O,O
LZTJIOS,O,O,O
LZTJSIO,O,O,O
LZTJSOI,O,O,O
LZTJOIS,O,O,O
LZTJOSI,O,O,O
LZTSIJO,O,O,O
LZTSIOJ,O,O,O
LZTSJIO,O,O,O
LZTSJOI,O,O,O
LZTSOIJ,O,O,O
LZTSOJI,O,O,O
LZTOIJS,O,O,O
LZTOISJ,O,O,O
LZTOJIS,O,O,O
LZTOJSI,O,O,O
