sequence,v115@JhA8GeD8CeA8BeD8CeB8KeT/IvhF0gBlhBaoB5oBXn?B2wB,v115@JhA8GeD8CeA8BeD8CeB8KeT/IvhFxgBGjBUmBFnB/t?BywB
JITLZOS,X,X
JITLOSZ,X,X
JITLOZS,X,X
JITSLZO,X,X
JITSLOZ,X,X
JITSZLO,X,X
JITSZOL,X,X
JITSOLZ,X,X
JITSOZL,X,X
JITZLSO,X,X
JITZLOS,X,X
JITZSLO,X,X
JITZSOL,X,X
JITZOLS,X,X
JITZOSL,X,X
JITOLSZ,X,X
JITOLZS,X,X
JITOSLZ,X,X
JITOSZL,X,X
JITOZLS,X,X
JITOZSL,X,X
JILTSZO,X,X
JILTSOZ,X,X
JILTZSO,X,X
JILTZOS,X,X
JILTOSZ,X,X
JILTOZS,X,X
JILSTZO,O,X
JILSTOZ,O,X
JILSZTO,O,X
JILSZOT,O,X
JILSOTZ,O,X
JILSOZT,O,X
JILZTSO,X,X
JILZTOS,O,X
JILZSTO,O,X
JILZSOT,O,X
JILZOTS,O,X
JILZOST,O,X
JILOTSZ,X,X
JILOTZS,X,X
JILOSTZ,O,X
JILOSZT,O,X
JILOZTS,O,X
JILOZST,O,X
JISTLZO,O,X
JISTLOZ,O,X
JISTZLO,O,X
JISTZOL,O,X
JISTOLZ,O,X
JISTOZL,O,X
JISLTZO,O,X
JISLTOZ,O,X
JISLZTO,O,X
JISLZOT,O,X
JISLOTZ,O,X
JISLOZT,O,X
JISZTLO,O,X
JISZTOL,O,X
JISZLTO,O,X
JISZLOT,O,X
JISZOTL,O,X
JISZOLT,O,X
JISOTLZ,O,X
JISOTZL,O,X
JISOLTZ,O,X
JISOLZT,O,X
JISOZTL,O,X
JISOZLT,O,X
JIZTLSO,X,X
JIZTLOS,O,X
JIZTSLO,X,X
JIZTSOL,X,X
JIZTOLS,O,X
JIZTOSL,X,X
JIZLTSO,X,X
JIZLTOS,O,X
JIZLSTO,O,X
JIZLSOT,O,X
JIZLOTS,O,X
JIZLOST,O,X
JIZSTLO,O,X
JIZSTOL,O,X
JIZSLTO,O,X
JIZSLOT,O,X
JIZSOTL,O,X
JIZSOLT,O,X
JIZOTLS,O,X
JIZOTSL,X,X
JIZOLTS,O,X
JIZOLST,O,X
JIZOSTL,O,X
JIZOSLT,O,X
JIOTLSZ,X,X
JIOTLZS,X,X
JIOTSLZ,X,X
JIOTSZL,X,X
JIOTZLS,X,X
JIOTZSL,X,X
JIOLTSZ,X,X
JIOLTZS,X,X
JIOLSTZ,O,X
JIOLSZT,O,X
JIOLZTS,O,X
JIOLZST,O,X
JIOSTLZ,O,X
JIOSTZL,O,X
JIOSLTZ,O,X
JIOSLZT,O,X
JIOSZTL,O,X
JIOSZLT,O,X
JIOZTLS,O,X
JIOZTSL,X,X
JIOZLTS,O,X
JIOZLST,O,X
JIOZSTL,O,X
JIOZSLT,O,X
JLTISZO,X,X
JLTISOZ,X,X
JLTIZSO,X,X
JLTIZOS,X,X
JLTIOSZ,X,X
JLTIOZS,X,X
JLTSIZO,X,X
JLTSIOZ,X,X
JLTSZIO,X,X
JLTSZOI,X,X
JLTSOIZ,X,X
JLTSOZI,X,X
JLTZISO,X,X
JLTZIOS,X,X
JLTZSIO,X,X
JLTZSOI,X,X
JLTZOIS,X,X
JLTZOSI,X,X
JLTOISZ,X,X
JLTOIZS,X,X
JLTOSIZ,X,X
JLTOSZI,X,X
JLTOZIS,X,X
JLTOZSI,X,X
JLITSZO,X,X
JLITSOZ,X,X
JLITZSO,X,X
JLITZOS,X,X
JLITOSZ,X,X
JLITOZS,X,X
JLISTZO,O,X
JLISTOZ,O,X
JLISZTO,O,X
JLISZOT,O,X
JLISOTZ,O,X
JLISOZT,O,X
JLIZTSO,X,X
JLIZTOS,O,X
JLIZSTO,O,X
JLIZSOT,O,X
JLIZOTS,O,X
JLIZOST,O,X
JLIOTSZ,X,X
JLIOTZS,X,X
JLIOSTZ,O,X
JLIOSZT,O,X
JLIOZTS,O,X
JLIOZST,O,X
JLSTIZO,O,X
JLSTIOZ,O,X
JLSTZIO,O,X
JLSTZOI,O,X
JLSTOIZ,O,X
JLSTOZI,O,X
JLSITZO,O,X
JLSITOZ,O,X
JLSIZTO,O,X
JLSIZOT,O,X
JLSIOTZ,O,X
JLSIOZT,O,X
JLSZTIO,O,X
JLSZTOI,O,X
JLSZITO,O,X
JLSZIOT,O,X
JLSZOTI,O,X
JLSZOIT,O,X
JLSOTIZ,O,X
JLSOTZI,O,X
JLSOITZ,O,X
JLSOIZT,O,X
JLSOZTI,O,X
JLSOZIT,O,X
JLZTISO,X,X
JLZTIOS,O,X
JLZTSIO,X,X
JLZTSOI,X,X
JLZTOIS,O,X
JLZTOSI,X,X
JLZITSO,X,X
JLZITOS,O,X
JLZISTO,O,X
JLZISOT,O,X
JLZIOTS,O,X
JLZIOST,O,X
JLZSTIO,O,X
JLZSTOI,O,X
JLZSITO,O,X
JLZSIOT,O,X
JLZSOTI,O,X
JLZSOIT,O,X
JLZOTIS,O,X
JLZOTSI,X,X
JLZOITS,O,X
JLZOIST,O,X
JLZOSTI,O,X
JLZOSIT,O,X
JLOTISZ,X,X
JLOTIZS,X,X
JLOTSIZ,X,X
JLOTSZI,X,X
JLOTZIS,X,X
JLOTZSI,X,X
JLOITSZ,X,X
JLOITZS,X,X
JLOISTZ,O,X
JLOISZT,O,X
JLOIZTS,O,X
JLOIZST,O,X
JLOSTIZ,O,X
JLOSTZI,O,X
JLOSITZ,O,X
JLOSIZT,O,X
JLOSZTI,O,X
JLOSZIT,O,X
JLOZTIS,O,X
JLOZTSI,X,X
JLOZITS,O,X
JLOZIST,O,X
JLOZSTI,O,X
JLOZSIT,O,X
JSTILZO,O,X
JSTILOZ,O,X
JSTIZLO,O,X
JSTIZOL,O,X
JSTIOLZ,O,X
JSTIOZL,O,X
JSTLIZO,O,X
JSTLIOZ,O,X
JSTLZIO,O,X
JSTLZOI,O,X
JSTLOIZ,O,X
JSTLOZI,O,X
JSTZILO,O,X
JSTZIOL,O,X
JSTZLIO,O,X
JSTZLOI,O,X
JSTZOIL,O,X
JSTZOLI,O,X
JSTOILZ,O,X
JSTOIZL,O,X
JSTOLIZ,O,X
JSTOLZI,O,X
JSTOZIL,O,X
JSTOZLI,O,X
JSITLZO,O,X
JSITLOZ,O,X
JSITZLO,O,X
JSITZOL,O,X
JSITOLZ,O,X
JSITOZL,O,X
JSILTZO,O,X
JSILTOZ,O,X
JSILZTO,O,X
JSILZOT,O,X
JSILOTZ,O,X
JSILOZT,O,X
JSIZTLO,O,X
JSIZTOL,O,X
JSIZLTO,O,X
JSIZLOT,O,X
JSIZOTL,O,X
JSIZOLT,O,X
JSIOTLZ,O,X
JSIOTZL,O,X
JSIOLTZ,O,X
JSIOLZT,O,X
JSIOZTL,O,X
JSIOZLT,O,X
JSLTIZO,O,X
JSLTIOZ,O,X
JSLTZIO,O,X
JSLTZOI,O,X
JSLTOIZ,O,X
JSLTOZI,O,X
JSLITZO,O,X
JSLITOZ,O,X
JSLIZTO,O,X
JSLIZOT,O,X
JSLIOTZ,O,X
JSLIOZT,O,X
JSLZTIO,O,X
JSLZTOI,O,X
JSLZITO,O,X
JSLZIOT,O,X
JSLZOTI,O,X
JSLZOIT,O,X
JSLOTIZ,O,X
JSLOTZI,O,X
JSLOITZ,O,X
JSLOIZT,O,X
JSLOZTI,O,X
JSLOZIT,O,X
JSZTILO,O,X
JSZTIOL,O,X
JSZTLIO,O,X
JSZTLOI,O,X
JSZTOIL,O,X
JSZTOLI,O,X
JSZITLO,O,X
JSZITOL,O,X
JSZILTO,O,X
JSZILOT,O,X
JSZIOTL,O,X
JSZIOLT,O,X
JSZLTIO,O,X
JSZLTOI,O,X
JSZLITO,O,X
JSZLIOT,O,X
JSZLOTI,O,X
JSZLOIT,O,X
JSZOTIL,O,X
JSZOTLI,O,X
JSZOITL,O,X
JSZOILT,O,X
JSZOLTI,O,X
JSZOLIT,O,X
JSOTILZ,O,X
JSOTIZL,O,X
JSOTLIZ,O,X
JSOTLZI,O,X
JSOTZIL,O,X
JSOTZLI,O,X
JSOITLZ,O,X
JSOITZL,O,X
JSOILTZ,O,X
JSOILZT,O,X
JSOIZTL,O,X
JSOIZLT,O,X
JSOLTIZ,O,X
JSOLTZI,O,X
JSOLITZ,O,X
JSOLIZT,O,X
JSOLZTI,O,X
JSOLZIT,O,X
JSOZTIL,O,X
JSOZTLI,O,X
JSOZITL,O,X
JSOZILT,O,X
JSOZLTI,O,X
JSOZLIT,O,X
JZTILSO,X,X
JZTILOS,O,X
JZTISLO,X,X
JZTISOL,X,X
JZTIOLS,O,X
JZTIOSL,X,X
JZTLISO,X,X
JZTLIOS,O,X
JZTLSIO,X,X
JZTLSOI,X,X
JZTLOIS,O,X
JZTLOSI,X,X
JZTSILO,X,X
JZTSIOL,X,X
JZTSLIO,X,X
JZTSLOI,X,X
JZTSOIL,X,X
JZTSOLI,X,X
JZTOILS,O,X
JZTOISL,X,X
JZTOLIS,O,X
JZTOLSI,X,X
JZTOSIL,X,X
JZTOSLI,X,X
JZITLSO,X,X
JZITLOS,O,X
JZITSLO,X,X
JZITSOL,X,X
JZITOLS,O,X
JZITOSL,X,X
JZILTSO,X,X
JZILTOS,O,X
JZILSTO,O,X
JZILSOT,O,X
JZILOTS,O,X
JZILOST,O,X
JZISTLO,O,X
JZISTOL,O,X
JZISLTO,O,X
JZISLOT,O,X
JZISOTL,O,X
JZISOLT,O,X
JZIOTLS,O,X
JZIOTSL,X,X
JZIOLTS,O,X
JZIOLST,O,X
JZIOSTL,O,X
JZIOSLT,O,X
JZLTISO,X,X
JZLTIOS,O,X
JZLTSIO,X,X
JZLTSOI,X,X
JZLTOIS,O,X
JZLTOSI,X,X
JZLITSO,X,X
JZLITOS,O,X
JZLISTO,O,X
JZLISOT,O,X
JZLIOTS,O,X
JZLIOST,O,X
JZLSTIO,O,X
JZLSTOI,O,X
JZLSITO,O,X
JZLSIOT,O,X
JZLSOTI,O,X
JZLSOIT,O,X
JZLOTIS,O,X
JZLOTSI,X,X
JZLOITS,O,X
JZLOIST,O,X
JZLOSTI,O,X
JZLOSIT,O,X
JZSTILO,O,X
JZSTIOL,O,X
JZSTLIO,O,X
JZSTLOI,O,X
JZSTOIL,O,X
JZSTOLI,O,X
JZSITLO,O,X
JZSITOL,O,X
JZSILTO,O,X
JZSILOT,O,X
JZSIOTL,O,X
JZSIOLT,O,X
JZSLTIO,O,X
JZSLTOI,O,X
JZSLITO,O,X
JZSLIOT,O,X
JZSLOTI,O,X
JZSLOIT,O,X
JZSOTIL,O,X
JZSOTLI,O,X
JZSOITL,O,X
JZSOILT,O,X
JZSOLTI,O,X
JZSOLIT,O,X
JZOTILS,O,X
JZOTISL,X,X
JZOTLIS,O,X
JZOTLSI,X,X
JZOTSIL,X,X
JZOTSLI,X,X
JZOITLS,O,X
JZOITSL,X,X
JZOILTS,O,X
JZOILST,O,X
JZOISTL,O,X
JZOISLT,O,X
JZOLTIS,O,X
JZOLTSI,X,X
JZOLITS,O,X
JZOLIST,O,X
JZOLSTI,O,X
JZOLSIT,O,X
JZOSTIL,O,X
JZOSTLI,O,X
JZOSITL,O,X
JZOSILT,O,X
JZOSLTI,O,X
JZOSLIT,O,X
JOTILSZ,X,X
JOTILZS,X,X
JOTISLZ,X,X
JOTISZL,X,X
JOTIZLS,X,X
JOTIZSL,X,X
JOTLISZ,X,X
JOTLIZS,X,X
JOTLSIZ,X,X
JOTLSZI,X,X
JOTLZIS,X,X
JOTLZSI,X,X
JOTSILZ,X,X
JOTSIZL,X,X
JOTSLIZ,X,X
JOTSLZI,X,X
JOTSZIL,X,X
JOTSZLI,X,X
JOTZILS,X,X
JOTZISL,X,X
JOTZLIS,X,X
JOTZLSI,X,X
JOTZSIL,X,X
JOTZSLI,X,X
JOITLSZ,X,X
JOITLZS,X,X
JOITSLZ,X,X
JOITSZL,X,X
JOITZLS,X,X
JOITZSL,X,X
JOILTSZ,X,X
JOILTZS,X,X
JOILSTZ,O,X
JOILSZT,O,X
JOILZTS,O,X
JOILZST,O,X
JOISTLZ,O,X
JOISTZL,O,X
JOISLTZ,O,X
JOISLZT,O,X
JOISZTL,O,X
JOISZLT,O,X
JOIZTLS,O,X
JOIZTSL,X,X
JOIZLTS,O,X
JOIZLST,O,X
JOIZSTL,O,X
JOIZSLT,O,X
JOLTISZ,X,X
JOLTIZS,X,X
JOLTSIZ,X,X
JOLTSZI,X,X
JOLTZIS,X,X
JOLTZSI,X,X
JOLITSZ,X,X
JOLITZS,X,X
JOLISTZ,O,X
JOLISZT,O,X
JOLIZTS,O,X
JOLIZST,O,X
JOLSTIZ,O,X
JOLSTZI,O,X
JOLSITZ,O,X
JOLSIZT,O,X
JOLSZTI,O,X
JOLSZIT,O,X
JOLZTIS,O,X
JOLZTSI,X,X
JOLZITS,O,X
JOLZIST,O,X
JOLZSTI,O,X
JOLZSIT,O,X
JOSTILZ,O,X
JOSTIZL,O,X
JOSTLIZ,O,X
JOSTLZI,O,X
JOSTZIL,O,X
JOSTZLI,O,X
JOSITLZ,O,X
JOSITZL,O,X
JOSILTZ,O,X
JOSILZT,O,X
JOSIZTL,O,X
JOSIZLT,O,X
JOSLTIZ,O,X
JOSLTZI,O,X
JOSLITZ,O,X
JOSLIZT,O,X
JOSLZTI,O,X
JOSLZIT,O,X
JOSZTIL,O,X
JOSZTLI,O,X
JOSZITL,O,X
JOSZILT,O,X
JOSZLTI,O,X
JOSZLIT,O,X
JOZTILS,O,X
JOZTISL,X,X
JOZTLIS,O,X
JOZTLSI,X,X
JOZTSIL,X,X
JOZTSLI,X,X
JOZITLS,O,X
JOZITSL,X,X
JOZILTS,O,X
JOZILST,O,X
JOZISTL,O,X
JOZISLT,O,X
JOZLTIS,O,X
JOZLTSI,X,X
JOZLITS,O,X
JOZLIST,O,X
JOZLSTI,O,X
JOZLSIT,O,X
JOZSTIL,O,X
JOZSTLI,O,X
JOZSITL,O,X
JOZSILT,O,X
JOZSLTI,O,X
JOZSLIT,O,X
STILJZO,X,X
STILJOZ,X,X
STILZJO,X,X
STILZOJ,O,X
STILOJZ,X,X
STILOZJ,O,X
STIJLZO,X,X
STIJLOZ,X,X
STIJZLO,X,X
STIJZOL,X,X
STIJOLZ,X,X
STIJOZL,X,X
STIZLJO,X,X
STIZLOJ,O,X
STIZJLO,X,X
STIZJOL,X,X
STIZOLJ,O,X
STIZOJL,X,X
STIOLJZ,X,X
STIOLZJ,O,X
STIOJLZ,X,X
STIOJZL,X,X
STIOZLJ,O,X
STIOZJL,X,X
STLIJZO,X,X
STLIJOZ,X,X
STLIZJO,X,X
STLIZOJ,O,X
STLIOJZ,X,X
STLIOZJ,O,X
STLJIZO,X,X
STLJIOZ,X,X
STLJZIO,X,X
STLJZOI,X,X
STLJOIZ,X,X
STLJOZI,X,X
STLZIJO,X,X
STLZIOJ,O,X
STLZJIO,X,X
STLZJOI,X,X
STLZOIJ,O,X
STLZOJI,X,X
STLOIJZ,X,X
STLOIZJ,O,X
STLOJIZ,X,X
STLOJZI,X,X
STLOZIJ,O,X
STLOZJI,X,X
STJILZO,X,X
STJILOZ,X,X
STJIZLO,X,X
STJIZOL,X,X
STJIOLZ,X,X
STJIOZL,X,X
STJLIZO,X,X
STJLIOZ,X,X
STJLZIO,X,X
STJLZOI,X,X
STJLOIZ,X,X
STJLOZI,X,X
STJZILO,X,X
STJZIOL,X,O
STJZLIO,X,X
STJZLOI,X,X
STJZOIL,X,O
STJZOLI,X,O
STJOILZ,X,X
STJOIZL,X,X
STJOLIZ,X,X
STJOLZI,X,X
STJOZIL,X,O
STJOZLI,X,O
STZILJO,X,X
STZILOJ,O,X
STZIJLO,X,X
STZIJOL,X,O
STZIOLJ,O,X
STZIOJL,X,O
STZLIJO,X,X
STZLIOJ,O,X
STZLJIO,X,X
STZLJOI,X,X
STZLOIJ,O,X
STZLOJI,X,X
STZJILO,X,X
STZJIOL,X,O
STZJLIO,X,X
STZJLOI,X,X
STZJOIL,X,O
STZJOLI,X,O
STZOILJ,O,X
STZOIJL,X,O
STZOLIJ,O,X
STZOLJI,X,X
STZOJIL,X,O
STZOJLI,X,O
STOILJZ,X,X
STOILZJ,O,X
STOIJLZ,X,X
STOIJZL,X,X
STOIZLJ,O,X
STOIZJL,X,X
STOLIJZ,X,X
STOLIZJ,O,X
STOLJIZ,X,X
STOLJZI,X,X
STOLZIJ,O,X
STOLZJI,X,X
STOJILZ,X,X
STOJIZL,X,X
STOJLIZ,X,X
STOJLZI,X,X
STOJZIL,X,O
STOJZLI,X,O
STOZILJ,O,X
STOZIJL,X,O
STOZLIJ,O,X
STOZLJI,X,X
STOZJIL,X,O
STOZJLI,X,O
SITLJZO,X,X
SITLJOZ,X,X
SITLZJO,X,X
SITLZOJ,O,X
SITLOJZ,X,X
SITLOZJ,O,X
SITJLZO,X,X
SITJLOZ,X,X
SITJZLO,X,X
SITJZOL,X,X
SITJOLZ,X,X
SITJOZL,X,X
SITZLJO,X,X
SITZLOJ,O,X
SITZJLO,X,X
SITZJOL,X,X
SITZOLJ,O,X
SITZOJL,X,X
SITOLJZ,X,X
SITOLZJ,O,X
SITOJLZ,X,X
SITOJZL,X,X
SITOZLJ,O,X
SITOZJL,X,X
SILTJZO,X,X
SILTJOZ,X,X
SILTZJO,X,X
SILTZOJ,O,X
SILTOJZ,X,X
SILTOZJ,O,X
SILJTZO,O,X
SILJTOZ,O,X
SILJZTO,O,X
SILJZOT,O,X
SILJOTZ,O,X
SILJOZT,O,X
SILZTJO,X,X
SILZTOJ,O,X
SILZJTO,X,X
SILZJOT,X,X
SILZOTJ,O,X
SILZOJT,X,X
SILOTJZ,X,X
SILOTZJ,O,X
SILOJTZ,O,X
SILOJZT,O,X
SILOZTJ,O,X
SILOZJT,X,X
SIJTLZO,O,X
SIJTLOZ,O,X
SIJTZLO,O,X
SIJTZOL,O,X
SIJTOLZ,O,X
SIJTOZL,O,X
SIJLTZO,O,X
SIJLTOZ,O,X
SIJLZTO,O,X
SIJLZOT,O,X
SIJLOTZ,O,X
SIJLOZT,O,X
SIJZTLO,O,X
SIJZTOL,O,X
SIJZLTO,O,X
SIJZLOT,O,X
SIJZOTL,O,X
SIJZOLT,O,X
SIJOTLZ,O,X
SIJOTZL,O,X
SIJOLTZ,O,X
SIJOLZT,O,X
SIJOZTL,O,X
SIJOZLT,O,X
SIZTLJO,X,X
SIZTLOJ,O,X
SIZTJLO,X,X
SIZTJOL,X,O
SIZTOLJ,O,X
SIZTOJL,X,O
SIZLTJO,X,X
SIZLTOJ,O,X
SIZLJTO,X,X
SIZLJOT,X,X
SIZLOTJ,O,X
SIZLOJT,X,X
SIZJTLO,X,X
SIZJTOL,X,X
SIZJLTO,X,X
SIZJLOT,X,X
SIZJOTL,X,X
SIZJOLT,X,X
SIZOTLJ,O,X
SIZOTJL,X,O
SIZOLTJ,O,X
SIZOLJT,X,X
SIZOJTL,X,X
SIZOJLT,X,X
SIOTLJZ,X,X
SIOTLZJ,O,X
SIOTJLZ,X,X
SIOTJZL,X,X
SIOTZLJ,O,X
SIOTZJL,X,X
SIOLTJZ,X,X
SIOLTZJ,O,X
SIOLJTZ,O,X
SIOLJZT,O,X
SIOLZTJ,O,X
SIOLZJT,X,X
SIOJTLZ,O,X
SIOJTZL,O,X
SIOJLTZ,O,X
SIOJLZT,O,X
SIOJZTL,O,X
SIOJZLT,O,X
SIOZTLJ,O,X
SIOZTJL,X,O
SIOZLTJ,O,X
SIOZLJT,X,X
SIOZJTL,X,X
SIOZJLT,X,X
SLTIJZO,X,X
SLTIJOZ,X,X
SLTIZJO,X,X
SLTIZOJ,O,X
SLTIOJZ,X,X
SLTIOZJ,O,X
SLTJIZO,X,X
SLTJIOZ,X,X
SLTJZIO,X,X
SLTJZOI,X,X
SLTJOIZ,X,X
SLTJOZI,X,X
SLTZIJO,X,X
SLTZIOJ,O,X
SLTZJIO,X,X
SLTZJOI,X,X
SLTZOIJ,O,X
SLTZOJI,X,X
SLTOIJZ,X,X
SLTOIZJ,O,X
SLTOJIZ,X,X
SLTOJZI,X,X
SLTOZIJ,O,X
SLTOZJI,X,X
SLITJZO,X,X
SLITJOZ,X,X
SLITZJO,X,X
SLITZOJ,O,X
SLITOJZ,X,X
SLITOZJ,O,X
SLIJTZO,O,X
SLIJTOZ,O,X
SLIJZTO,O,X
SLIJZOT,O,X
SLIJOTZ,O,X
SLIJOZT,O,X
SLIZTJO,X,X
SLIZTOJ,O,X
SLIZJTO,X,X
SLIZJOT,X,X
SLIZOTJ,O,X
SLIZOJT,X,X
SLIOTJZ,X,X
SLIOTZJ,O,X
SLIOJTZ,O,X
SLIOJZT,O,X
SLIOZTJ,O,X
SLIOZJT,X,X
SLJTIZO,O,X
SLJTIOZ,O,X
SLJTZIO,O,X
SLJTZOI,O,X
SLJTOIZ,O,X
SLJTOZI,O,X
SLJITZO,O,X
SLJITOZ,O,X
SLJIZTO,O,X
SLJIZOT,O,X
SLJIOTZ,O,X
SLJIOZT,O,X
SLJZTIO,O,X
SLJZTOI,O,X
SLJZITO,O,X
SLJZIOT,O,X
SLJZOTI,O,X
SLJZOIT,O,X
SLJOTIZ,O,X
SLJOTZI,O,X
SLJOITZ,O,X
SLJOIZT,O,X
SLJOZTI,O,X
SLJOZIT,O,X
SLZTIJO,X,X
SLZTIOJ,O,X
SLZTJIO,X,X
SLZTJOI,X,X
SLZTOIJ,O,X
SLZTOJI,X,X
SLZITJO,X,X
SLZITOJ,O,X
SLZIJTO,X,X
SLZIJOT,X,X
SLZIOTJ,O,X
SLZIOJT,X,X
SLZJTIO,X,X
SLZJTOI,X,X
SLZJITO,X,X
SLZJIOT,X,X
SLZJOTI,X,X
SLZJOIT,X,X
SLZOTIJ,O,X
SLZOTJI,X,X
SLZOITJ,O,X
SLZOIJT,X,X
SLZOJTI,X,X
SLZOJIT,X,X
SLOTIJZ,X,X
SLOTIZJ,O,X
SLOTJIZ,X,X
SLOTJZI,X,X
SLOTZIJ,O,X
SLOTZJI,X,X
SLOITJZ,X,X
SLOITZJ,O,X
SLOIJTZ,O,X
SLOIJZT,O,X
SLOIZTJ,O,X
SLOIZJT,X,X
SLOJTIZ,O,X
SLOJTZI,O,X
SLOJITZ,O,X
SLOJIZT,O,X
SLOJZTI,O,X
SLOJZIT,O,X
SLOZTIJ,O,X
SLOZTJI,X,X
SLOZITJ,O,X
SLOZIJT,X,X
SLOZJTI,X,X
SLOZJIT,X,X
SJTILZO,O,X
SJTILOZ,O,X
SJTIZLO,O,X
SJTIZOL,O,X
SJTIOLZ,O,X
SJTIOZL,O,X
SJTLIZO,O,X
SJTLIOZ,O,X
SJTLZIO,O,X
SJTLZOI,O,X
SJTLOIZ,O,X
SJTLOZI,O,X
SJTZILO,O,X
SJTZIOL,O,O
SJTZLIO,O,X
SJTZLOI,O,X
SJTZOIL,O,O
SJTZOLI,O,O
SJTOILZ,O,X
SJTOIZL,O,X
SJTOLIZ,O,X
SJTOLZI,O,X
SJTOZIL,O,O
SJTOZLI,O,O
SJITLZO,O,X
SJITLOZ,O,X
SJITZLO,O,X
SJITZOL,O,X
SJITOLZ,O,X
SJITOZL,O,X
SJILTZO,O,X
SJILTOZ,O,X
SJILZTO,O,X
SJILZOT,O,X
SJILOTZ,O,X
SJILOZT,O,X
SJIZTLO,O,X
SJIZTOL,O,X
SJIZLTO,O,X
SJIZLOT,O,X
SJIZOTL,O,X
SJIZOLT,O,X
SJIOTLZ,O,X
SJIOTZL,O,X
SJIOLTZ,O,X
SJIOLZT,O,X
SJIOZTL,O,X
SJIOZLT,O,X
SJLTIZO,O,X
SJLTIOZ,O,X
SJLTZIO,O,X
SJLTZOI,O,X
SJLTOIZ,O,X
SJLTOZI,O,X
SJLITZO,O,X
SJLITOZ,O,X
SJLIZTO,O,X
SJLIZOT,O,X
SJLIOTZ,O,X
SJLIOZT,O,X
SJLZTIO,O,X
SJLZTOI,O,X
SJLZITO,O,X
SJLZIOT,O,X
SJLZOTI,O,X
SJLZOIT,O,X
SJLOTIZ,O,X
SJLOTZI,O,X
SJLOITZ,O,X
SJLOIZT,O,X
SJLOZTI,O,X
SJLOZIT,O,X
SJZTILO,O,X
SJZTIOL,O,O
SJZTLIO,O,X
SJZTLOI,O,X
SJZTOIL,O,O
SJZTOLI,O,O
SJZITLO,O,X
SJZITOL,O,X
SJZILTO,O,X
SJZILOT,O,X
SJZIOTL,O,X
SJZIOLT,O,X
SJZLTIO,O,X
SJZLTOI,O,X
SJZLITO,O,X
SJZLIOT,O,X
SJZLOTI,O,X
SJZLOIT,O,X
SJZOTIL,O,O
SJZOTLI,O,O
SJZOITL,O,X
SJZOILT,O,X
SJZOLTI,O,X
SJZOLIT,O,X
SJOTILZ,O,X
SJOTIZL,O,X
SJOTLIZ,O,X
SJOTLZI,O,X
SJOTZIL,O,O
SJOTZLI,O,O
SJOITLZ,O,X
SJOITZL,O,X
SJOILTZ,O,X
SJOILZT,O,X
SJOIZTL,O,X
SJOIZLT,O,X
SJOLTIZ,O,X
SJOLTZI,O,X
SJOLITZ,O,X
SJOLIZT,O,X
SJOLZTI,O,X
SJOLZIT,O,X
SJOZTIL,O,O
SJOZTLI,O,O
SJOZITL,O,X
SJOZILT,O,X
SJOZLTI,O,X
SJOZLIT,O,X
SZTILJO,X,X
SZTILOJ,O,X
SZTIJLO,X,X
SZTIJOL,X,O
SZTIOLJ,O,X
SZTIOJL,X,O
SZTLIJO,X,X
SZTLIOJ,O,X
SZTLJIO,X,X
SZTLJOI,X,X
SZTLOIJ,O,X
SZTLOJI,X,X
SZTJILO,X,X
SZTJIOL,X,O
SZTJLIO,X,X
SZTJLOI,X,X
SZTJOIL,X,O
SZTJOLI,X,O
SZTOILJ,O,X
SZTOIJL,X,O
SZTOLIJ,O,X
SZTOLJI,X,X
SZTOJIL,X,O
SZTOJLI,X,O
SZITLJO,X,X
SZITLOJ,O,X
SZITJLO,X,X
SZITJOL,X,O
SZITOLJ,O,X
SZITOJL,X,O
SZILTJO,X,X
SZILTOJ,O,X
SZILJTO,X,X
SZILJOT,X,X
SZILOTJ,O,X
SZILOJT,X,X
SZIJTLO,X,X
SZIJTOL,X,X
SZIJLTO,X,X
SZIJLOT,X,X
SZIJOTL,X,X
SZIJOLT,X,X
SZIOTLJ,O,X
SZIOTJL,X,O
SZIOLTJ,O,X
SZIOLJT,X,X
SZIOJTL,X,X
SZIOJLT,X,X
SZLTIJO,X,X
SZLTIOJ,O,X
SZLTJIO,X,X
SZLTJOI,X,X
SZLTOIJ,O,X
SZLTOJI,X,X
SZLITJO,X,X
SZLITOJ,O,X
SZLIJTO,X,X
SZLIJOT,X,X
SZLIOTJ,O,X
SZLIOJT,X,X
SZLJTIO,X,X
SZLJTOI,X,X
SZLJITO,X,X
SZLJIOT,X,X
SZLJOTI,X,X
SZLJOIT,X,X
SZLOTIJ,O,X
SZLOTJI,X,X
SZLOITJ,O,X
SZLOIJT,X,X
SZLOJTI,X,X
SZLOJIT,X,X
SZJTILO,X,X
SZJTIOL,X,O
SZJTLIO,X,X
SZJTLOI,X,X
SZJTOIL,X,O
SZJTOLI,X,O
SZJITLO,X,X
SZJITOL,X,X
SZJILTO,X,X
SZJILOT,X,X
SZJIOTL,X,X
SZJIOLT,X,X
SZJLTIO,X,X
SZJLTOI,X,X
SZJLITO,X,X
SZJLIOT,X,X
SZJLOTI,X,X
SZJLOIT,X,X
SZJOTIL,X,O
SZJOTLI,X,O
SZJOITL,X,X
SZJOILT,X,X
SZJOLTI,X,X
SZJOLIT,X,X
SZOTILJ,O,X
SZOTIJL,X,O
SZOTLIJ,O,X
SZOTLJI,X,X
SZOTJIL,X,O
SZOTJLI,X,O
