sequence,v115@ThA8CeA8AeB8AeB8AeF8JeZEJvhFukB3gBtmB6nBTj?B8qB,v115@ThA8CeA8AeB8AeB8AeF8Je0/IvhFxgB6nBTjBNpBuq?B3rB,v115@ThA8CeA8AeB8AeB8AeF8JeZEJvhFukBUhB9nBTjB6q?B3rB
IJTSLOZ,X,X,X
IJTSZLO,X,X,X
IJTSZOL,X,X,X
IJTSOLZ,X,X,X
IJTSOZL,X,X,X
IJTZLSO,O,X,X
IJTZLOS,O,X,X
IJTZSLO,O,X,X
IJTZSOL,O,X,X
IJTZOLS,O,X,X
IJTZOSL,O,X,X
IJTOLSZ,X,X,X
IJTOLZS,O,X,X
IJTOSLZ,X,X,X
IJTOSZL,X,X,X
IJTOZLS,O,X,X
IJTOZSL,O,X,X
IJLTSZO,X,X,X
IJLTSOZ,X,X,X
IJLTZSO,O,X,X
IJLTZOS,O,X,X
IJLTOSZ,X,X,X
IJLTOZS,O,X,X
IJLSTZO,X,X,X
IJLSTOZ,X,X,X
IJLSZTO,X,X,X
IJLSZOT,X,X,X
IJLSOTZ,X,X,X
IJLSOZT,X,X,X
IJLZTSO,X,X,X
IJLZTOS,X,X,X
IJLZSTO,X,X,X
IJLZSOT,X,X,X
IJLZOTS,X,X,X
IJLZOST,X,X,X
IJLOTSZ,X,X,X
IJLOTZS,O,X,X
IJLOSTZ,X,X,X
IJLOSZT,X,X,X
IJLOZTS,X,X,X
IJLOZST,X,X,X
IJSTLZO,X,X,X
IJSTLOZ,X,X,X
IJSTZLO,X,X,X
IJSTZOL,X,X,X
IJSTOLZ,X,X,X
IJSTOZL,X,X,X
IJSLTZO,X,X,X
IJSLTOZ,X,X,X
IJSLZTO,X,X,X
IJSLZOT,X,X,X
IJSLOTZ,X,X,X
IJSLOZT,X,X,X
IJSZTLO,X,X,X
IJSZTOL,X,X,X
IJSZLTO,X,X,X
IJSZLOT,X,X,X
IJSZOTL,X,X,X
IJSZOLT,X,X,X
IJSOTLZ,X,X,X
IJSOTZL,X,X,X
IJSOLTZ,X,X,X
IJSOLZT,X,X,X
IJSOZTL,X,X,X
IJSOZLT,X,X,X
IJZTLSO,O,X,X
IJZTLOS,O,X,X
IJZTSLO,O,X,X
IJZTSOL,O,X,X
IJZTOLS,O,X,X
IJZTOSL,O,X,X
IJZLTSO,X,X,X
IJZLTOS,X,X,X
IJZLSTO,X,X,X
IJZLSOT,X,X,X
IJZLOTS,X,X,X
IJZLOST,X,X,X
IJZSTLO,O,X,X
IJZSTOL,O,X,X
IJZSLTO,X,X,X
IJZSLOT,X,X,X
IJZSOTL,O,X,X
IJZSOLT,X,X,X
IJZOTLS,O,X,X
IJZOTSL,O,X,X
IJZOLTS,X,X,X
IJZOLST,X,X,X
IJZOSTL,O,X,X
IJZOSLT,X,X,X
IJOTLSZ,X,X,X
IJOTLZS,O,X,X
IJOTSLZ,X,X,X
IJOTSZL,X,X,X
IJOTZLS,O,X,X
IJOTZSL,O,X,X
IJOLTSZ,X,X,X
IJOLTZS,O,X,X
IJOLSTZ,X,X,X
IJOLSZT,X,X,X
IJOLZTS,X,X,X
IJOLZST,X,X,X
IJOSTLZ,X,X,X
IJOSTZL,X,X,X
IJOSLTZ,X,X,X
IJOSLZT,X,X,X
IJOSZTL,X,X,X
IJOSZLT,X,X,X
IJOZTLS,O,X,X
IJOZTSL,O,X,X
IJOZLTS,X,X,X
IJOZLST,X,X,X
IJOZSTL,O,X,X
IJOZSLT,X,X,X
ISTLJZO,X,X,X
ISTLJOZ,X,X,X
ISTLZJO,X,X,X
ISTLZOJ,X,X,X
ISTLOJZ,X,X,X
ISTLOZJ,X,X,X
ISTJLZO,X,X,X
ISTJLOZ,X,X,X
ISTJZLO,X,X,X
ISTJZOL,X,X,X
ISTJOLZ,X,X,X
ISTJOZL,X,X,X
ISTZLJO,X,X,X
ISTZLOJ,X,X,X
ISTZJLO,X,X,X
ISTZJOL,X,X,X
ISTZOLJ,X,X,X
ISTZOJL,X,X,X
ISTOLJZ,X,X,X
ISTOLZJ,X,X,X
ISTOJLZ,X,X,X
ISTOJZL,X,X,X
ISTOZLJ,X,X,X
ISTOZJL,X,X,X
ISLTJZO,X,X,X
ISLTJOZ,X,X,X
ISLTZJO,X,X,X
ISLTZOJ,X,X,X
ISLTOJZ,X,X,X
ISLTOZJ,X,X,X
ISLJTZO,X,X,X
ISLJTOZ,X,X,X
ISLJZTO,X,X,X
ISLJZOT,X,X,X
ISLJOTZ,X,X,X
ISLJOZT,X,X,X
ISLZTJO,X,X,X
ISLZTOJ,X,X,X
ISLZJTO,X,X,X
ISLZJOT,X,X,X
ISLZOTJ,X,X,X
ISLZOJT,X,X,X
ISLOTJZ,X,X,X
ISLOTZJ,X,X,X
ISLOJTZ,X,X,X
ISLOJZT,X,X,X
ISLOZTJ,X,X,X
ISLOZJT,X,X,X
ISJTLZO,X,X,X
ISJTLOZ,X,X,X
ISJTZLO,X,X,X
ISJTZOL,X,X,X
ISJTOLZ,X,X,X
ISJTOZL,X,X,X
ISJLTZO,X,X,X
ISJLTOZ,X,X,X
ISJLZTO,X,X,X
ISJLZOT,X,X,X
ISJLOTZ,X,X,X
ISJLOZT,X,X,X
ISJZTLO,X,X,X
ISJZTOL,X,X,X
ISJZLTO,X,X,X
ISJZLOT,X,X,X
ISJZOTL,X,X,X
ISJZOLT,X,X,X
ISJOTLZ,X,X,X
ISJOTZL,X,X,X
ISJOLTZ,X,X,X
ISJOLZT,X,X,X
ISJOZTL,X,X,X
ISJOZLT,X,X,X
ISZTLJO,X,X,X
ISZTLOJ,X,X,X
ISZTJLO,X,X,X
ISZTJOL,X,X,X
ISZTOLJ,X,X,X
ISZTOJL,X,X,X
ISZLTJO,X,X,X
ISZLTOJ,X,X,X
ISZLJTO,X,X,X
ISZLJOT,X,X,X
ISZLOTJ,X,X,X
ISZLOJT,X,X,X
ISZJTLO,X,X,X
ISZJTOL,X,X,X
ISZJLTO,X,X,X
ISZJLOT,X,X,X
ISZJOTL,X,X,X
ISZJOLT,X,X,X
ISZOTLJ,X,X,X
ISZOTJL,X,X,X
ISZOLTJ,X,X,X
ISZOLJT,X,X,X
ISZOJTL,X,X,X
ISZOJLT,X,X,X
ISOTLJZ,X,X,X
ISOTLZJ,X,X,X
ISOTJLZ,X,X,X
ISOTJZL,X,X,X
ISOTZLJ,X,X,X
ISOTZJL,X,X,X
ISOLTJZ,X,X,X
ISOLTZJ,X,X,X
ISOLJTZ,X,X,X
ISOLJZT,X,X,X
ISOLZTJ,X,X,X
ISOLZJT,X,X,X
ISOJTLZ,X,X,X
ISOJTZL,X,X,X
ISOJLTZ,X,X,X
ISOJLZT,X,X,X
ISOJZTL,X,X,X
ISOJZLT,X,X,X
ISOZTLJ,X,X,X
ISOZTJL,X,X,X
ISOZLTJ,X,X,X
ISOZLJT,X,X,X
ISOZJTL,X,X,X
ISOZJLT,X,X,X
IZTLJSO,O,X,X
IZTLJOS,O,X,X
IZTLSJO,O,X,X
IZTLSOJ,O,X,X
IZTLOJS,O,X,X
IZTLOSJ,O,X,X
IZTJLSO,O,X,X
IZTJLOS,O,X,X
IZTJSLO,O,X,X
IZTJSOL,O,X,X
IZTJOLS,O,X,X
IZTJOSL,O,X,X
IZTSLJO,O,X,X
IZTSLOJ,O,X,X
IZTSJLO,O,X,X
IZTSJOL,O,X,X
IZTSOLJ,O,X,X
IZTSOJL,O,X,X
IZTOLJS,O,X,X
IZTOLSJ,O,X,X
IZTOJLS,O,X,X
IZTOJSL,O,X,X
IZTOSLJ,O,X,X
IZTOSJL,O,X,X
IZLTJSO,X,X,X
IZLTJOS,X,X,X
IZLTSJO,X,X,X
IZLTSOJ,X,X,X
IZLTOJS,X,X,X
IZLTOSJ,X,X,X
IZLJTSO,X,X,X
IZLJTOS,X,X,X
IZLJSTO,X,X,X
IZLJSOT,X,X,X
IZLJOTS,X,X,X
IZLJOST,X,X,X
IZLSTJO,X,X,X
IZLSTOJ,X,X,X
IZLSJTO,X,X,X
IZLSJOT,X,X,X
IZLSOTJ,X,X,X
IZLSOJT,X,X,X
IZLOTJS,X,X,X
IZLOTSJ,X,X,X
IZLOJTS,X,X,X
IZLOJST,X,X,X
IZLOSTJ,X,X,X
IZLOSJT,X,X,X
IZJTLSO,O,X,X
IZJTLOS,O,X,X
IZJTSLO,O,X,X
IZJTSOL,O,X,X
IZJTOLS,O,X,X
IZJTOSL,O,X,X
IZJLTSO,X,X,X
IZJLTOS,X,X,X
IZJLSTO,X,X,X
IZJLSOT,X,X,X
IZJLOTS,X,X,X
IZJLOST,X,X,X
IZJSTLO,O,X,X
IZJSTOL,O,X,X
IZJSLTO,X,X,X
IZJSLOT,X,X,X
IZJSOTL,O,X,X
IZJSOLT,X,X,X
IZJOTLS,O,X,X
IZJOTSL,O,X,X
IZJOLTS,X,X,X
IZJOLST,X,X,X
IZJOSTL,O,X,X
IZJOSLT,X,X,X
IZSTLJO,O,X,X
IZSTLOJ,O,X,X
IZSTJLO,O,X,X
IZSTJOL,O,X,X
IZSTOLJ,O,X,X
IZSTOJL,O,X,X
IZSLTJO,X,X,X
IZSLTOJ,X,X,X
IZSLJTO,X,X,X
IZSLJOT,X,X,X
IZSLOTJ,X,X,X
IZSLOJT,X,X,X
IZSJTLO,O,X,X
IZSJTOL,O,X,X
IZSJLTO,X,X,X
IZSJLOT,X,X,X
IZSJOTL,O,X,X
IZSJOLT,X,X,X
IZSOTLJ,O,X,X
IZSOTJL,O,X,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,X
IZSOJTL,O,X,X
IZSOJLT,X,X,X
IZOTLJS,O,X,X
IZOTLSJ,O,X,X
IZOTJLS,O,X,X
IZOTJSL,O,X,X
IZOTSLJ,O,X,X
IZOTSJL,O,X,X
IZOLTJS,X,X,X
IZOLTSJ,X,X,X
IZOLJTS,X,X,X
IZOLJST,X,X,X
IZOLSTJ,X,X,X
IZOLSJT,X,X,X
IZOJTLS,O,X,X
IZOJTSL,O,X,X
IZOJLTS,X,X,X
IZOJLST,X,X,X
IZOJSTL,O,X,X
IZOJSLT,X,X,X
IZOSTLJ,O,X,X
IZOSTJL,O,X,X
IZOSLTJ,X,X,X
IZOSLJT,X,X,X
IZOSJTL,O,X,X
IZOSJLT,X,X,X
IOTLJSZ,X,X,X
IOTLJZS,O,X,O
IOTLSJZ,X,X,X
IOTLSZJ,X,X,X
IOTLZJS,O,X,O
IOTLZSJ,O,X,X
IOTJLSZ,X,X,X
IOTJLZS,O,X,X
IOTJSLZ,X,X,X
IOTJSZL,X,X,X
IOTJZLS,O,X,X
IOTJZSL,O,X,X
IOTSLJZ,X,X,X
IOTSLZJ,X,X,X
IOTSJLZ,X,X,X
IOTSJZL,X,X,X
IOTSZLJ,X,X,X
IOTSZJL,X,X,X
IOTZLJS,O,X,X
IOTZLSJ,O,X,X
IOTZJLS,O,X,X
IOTZJSL,O,X,X
IOTZSLJ,O,X,X
IOTZSJL,O,X,X
IOLTJSZ,X,X,X
IOLTJZS,O,X,O
IOLTSJZ,X,X,X
IOLTSZJ,X,X,X
IOLTZJS,O,X,O
IOLTZSJ,O,X,X
IOLJTSZ,X,X,X
IOLJTZS,O,X,O
IOLJSTZ,X,X,X
IOLJSZT,X,X,X
IOLJZTS,X,X,O
IOLJZST,X,X,X
IOLSTJZ,X,X,X
IOLSTZJ,X,X,X
IOLSJTZ,X,X,X
IOLSJZT,X,X,X
IOLSZTJ,X,X,X
IOLSZJT,X,X,X
IOLZTJS,X,X,O
IOLZTSJ,X,X,X
IOLZJTS,X,X,O
IOLZJST,X,X,X
IOLZSTJ,X,X,X
IOLZSJT,X,X,X
IOJTLSZ,X,X,X
IOJTLZS,O,X,X
IOJTSLZ,X,X,X
IOJTSZL,X,X,X
IOJTZLS,O,X,X
IOJTZSL,O,X,X
IOJLTSZ,X,X,X
IOJLTZS,O,X,X
IOJLSTZ,X,X,X
IOJLSZT,X,X,X
IOJLZTS,X,X,X
IOJLZST,X,X,X
IOJSTLZ,X,X,X
IOJSTZL,X,X,X
IOJSLTZ,X,X,X
IOJSLZT,X,X,X
IOJSZTL,X,X,X
IOJSZLT,X,X,X
IOJZTLS,O,X,X
IOJZTSL,O,X,X
IOJZLTS,X,X,X
IOJZLST,X,X,X
IOJZSTL,O,X,X
IOJZSLT,X,X,X
IOSTLJZ,X,X,X
IOSTLZJ,X,X,X
IOSTJLZ,X,X,X
IOSTJZL,X,X,X
IOSTZLJ,X,X,X
IOSTZJL,X,X,X
IOSLTJZ,X,X,X
IOSLTZJ,X,X,X
IOSLJTZ,X,X,X
IOSLJZT,X,X,X
IOSLZTJ,X,X,X
IOSLZJT,X,X,X
IOSJTLZ,X,X,X
IOSJTZL,X,X,X
IOSJLTZ,X,X,X
IOSJLZT,X,X,X
IOSJZTL,X,X,X
IOSJZLT,X,X,X
IOSZTLJ,X,X,X
IOSZTJL,X,X,X
IOSZLTJ,X,X,X
IOSZLJT,X,X,X
IOSZJTL,X,X,X
IOSZJLT,X,X,X
IOZTLJS,O,X,X
IOZTLSJ,O,X,X
IOZTJLS,O,X,X
IOZTJSL,O,X,X
IOZTSLJ,O,X,X
IOZTSJL,O,X,X
IOZLTJS,X,X,X
IOZLTSJ,X,X,X
IOZLJTS,X,X,X
IOZLJST,X,X,X
IOZLSTJ,X,X,X
IOZLSJT,X,X,X
IOZJTLS,O,X,X
IOZJTSL,O,X,X
IOZJLTS,X,X,X
IOZJLST,X,X,X
IOZJSTL,O,X,X
IOZJSLT,X,X,X
IOZSTLJ,O,X,X
IOZSTJL,O,X,X
IOZSLTJ,X,X,X
IOZSLJT,X,X,X
IOZSJTL,O,X,X
IOZSJLT,X,X,X
LTIJSZO,X,X,X
LTIJSOZ,X,X,X
LTIJZSO,O,X,X
LTIJZOS,O,X,O
LTIJOSZ,X,X,X
LTIJOZS,O,X,O
LTISJZO,X,X,X
LTISJOZ,X,X,X
LTISZJO,X,X,X
LTISZOJ,X,X,X
LTISOJZ,X,X,X
LTISOZJ,X,X,X
LTIZJSO,O,X,X
LTIZJOS,O,X,O
LTIZSJO,O,X,X
LTIZSOJ,O,X,X
LTIZOJS,O,X,O
LTIZOSJ,O,X,X
LTIOJSZ,X,X,X
LTIOJZS,O,X,O
LTIOSJZ,X,X,X
LTIOSZJ,X,X,X
LTIOZJS,O,X,O
LTIOZSJ,O,X,X
LTJISZO,X,X,X
LTJISOZ,X,X,X
LTJIZSO,O,X,X
LTJIZOS,O,O,O
LTJIOSZ,X,X,X
LTJIOZS,O,O,O
LTJSIZO,X,O,X
LTJSIOZ,X,O,X
LTJSZIO,X,O,X
LTJSZOI,X,O,X
LTJSOIZ,X,O,X
LTJSOZI,X,O,X
LTJZISO,O,X,X
LTJZIOS,O,O,O
LTJZSIO,O,O,X
LTJZSOI,O,O,X
LTJZOIS,O,O,O
LTJZOSI,O,O,X
LTJOISZ,X,X,X
LTJOIZS,O,O,O
LTJOSIZ,X,O,X
LTJOSZI,X,O,X
LTJOZIS,O,O,O
LTJOZSI,O,O,X
LTSIJZO,X,X,X
LTSIJOZ,X,X,X
LTSIZJO,X,X,X
LTSIZOJ,X,O,X
LTSIOJZ,X,X,X
LTSIOZJ,X,O,X
LTSJIZO,X,O,X
LTSJIOZ,X,O,X
LTSJZIO,X,O,X
LTSJZOI,X,O,X
LTSJOIZ,X,O,X
LTSJOZI,X,O,X
LTSZIJO,X,X,X
LTSZIOJ,X,O,X
LTSZJIO,X,O,X
LTSZJOI,X,O,X
LTSZOIJ,X,O,X
LTSZOJI,X,O,X
LTSOIJZ,X,X,X
LTSOIZJ,X,O,X
LTSOJIZ,X,O,X
LTSOJZI,X,O,X
LTSOZIJ,X,O,X
LTSOZJI,X,O,X
LTZIJSO,O,X,X
LTZIJOS,O,X,O
LTZISJO,O,X,X
LTZISOJ,O,X,X
LTZIOJS,O,O,O
LTZIOSJ,O,O,X
LTZJISO,O,X,X
LTZJIOS,O,O,O
LTZJSIO,O,O,X
LTZJSOI,O,O,X
LTZJOIS,O,O,O
LTZJOSI,O,O,X
LTZSIJO,O,X,X
LTZSIOJ,O,O,X
LTZSJIO,O,O,X
LTZSJOI,O,O,X
LTZSOIJ,O,O,X
LTZSOJI,O,O,X
LTZOIJS,O,O,O
LTZOISJ,O,O,X
LTZOJIS,O,O,O
LTZOJSI,O,O,X
LTZOSIJ,O,O,X
LTZOSJI,O,O,X
LTOIJSZ,X,X,X
LTOIJZS,O,X,O
LTOISJZ,X,X,X
LTOISZJ,X,X,X
LTOIZJS,O,X,O
LTOIZSJ,O,X,X
LTOJISZ,X,X,X
LTOJIZS,O,O,O
LTOJSIZ,X,O,X
LTOJSZI,X,O,X
LTOJZIS,O,O,O
LTOJZSI,O,O,X
LTOSIJZ,X,X,X
LTOSIZJ,X,O,X
LTOSJIZ,X,O,X
LTOSJZI,X,O,X
LTOSZIJ,X,O,X
LTOSZJI,X,O,X
LTOZIJS,O,O,O
LTOZISJ,O,O,X
LTOZJIS,O,O,O
LTOZJSI,O,O,X
LTOZSIJ,O,O,X
LTOZSJI,O,O,X
LITJSZO,X,X,X
LITJSOZ,X,X,X
LITJZSO,O,X,X
LITJZOS,O,X,O
LITJOSZ,X,X,X
LITJOZS,O,X,O
LITSJZO,X,X,X
LITSJOZ,X,X,X
LITSZJO,X,X,X
LITSZOJ,X,X,X
LITSOJZ,X,X,X
LITSOZJ,X,X,X
LITZJSO,O,X,X
LITZJOS,O,X,O
LITZSJO,O,X,X
LITZSOJ,O,X,X
LITZOJS,O,X,O
LITZOSJ,O,X,X
LITOJSZ,X,X,X
LITOJZS,O,X,O
LITOSJZ,X,X,X
LITOSZJ,X,X,X
LITOZJS,O,X,O
LITOZSJ,O,X,X
LIJTSZO,X,X,X
LIJTSOZ,X,X,X
LIJTZSO,O,X,X
LIJTZOS,O,X,O
LIJTOSZ,X,X,X
LIJTOZS,O,X,O
LIJSTZO,X,X,X
LIJSTOZ,X,X,X
LIJSZTO,X,X,X
LIJSZOT,X,X,X
LIJSOTZ,X,X,X
LIJSOZT,X,X,X
LIJZTSO,X,X,X
LIJZTOS,X,X,O
LIJZSTO,X,X,X
LIJZSOT,X,X,X
LIJZOTS,X,X,O
LIJZOST,X,X,X
LIJOTSZ,X,X,X
LIJOTZS,O,X,O
LIJOSTZ,X,X,X
LIJOSZT,X,X,X
LIJOZTS,X,X,O
LIJOZST,X,X,X
LISTJZO,X,X,X
LISTJOZ,X,X,X
LISTZJO,X,X,X
LISTZOJ,X,X,X
LISTOJZ,X,X,X
LISTOZJ,X,X,X
LISJTZO,X,X,X
LISJTOZ,X,X,X
LISJZTO,X,X,X
LISJZOT,X,X,X
LISJOTZ,X,X,X
LISJOZT,X,X,X
LISZTJO,X,X,X
LISZTOJ,X,X,X
LISZJTO,X,X,X
LISZJOT,X,X,X
LISZOTJ,X,X,X
LISZOJT,X,X,X
LISOTJZ,X,X,X
LISOTZJ,X,X,X
LISOJTZ,X,X,X
LISOJZT,X,X,X
LISOZTJ,X,X,X
LISOZJT,X,X,X
LIZTJSO,X,X,X
LIZTJOS,X,X,O
LIZTSJO,X,X,X
LIZTSOJ,X,X,X
LIZTOJS,X,X,O
LIZTOSJ,X,X,X
LIZJTSO,X,X,X
LIZJTOS,X,X,O
LIZJSTO,X,X,X
LIZJSOT,X,X,X
LIZJOTS,X,X,O
LIZJOST,X,X,X
LIZSTJO,X,X,X
LIZSTOJ,X,X,X
LIZSJTO,X,X,X
LIZSJOT,X,X,X
LIZSOTJ,X,X,X
LIZSOJT,X,X,X
LIZOTJS,X,X,O
LIZOTSJ,X,X,X
LIZOJTS,X,X,O
LIZOJST,X,X,X
LIZOSTJ,X,X,X
LIZOSJT,X,X,X
LIOTJSZ,X,X,X
LIOTJZS,O,X,O
LIOTSJZ,X,X,X
LIOTSZJ,X,X,X
LIOTZJS,O,X,O
LIOTZSJ,O,X,X
LIOJTSZ,X,X,X
LIOJTZS,O,X,O
LIOJSTZ,X,X,X
LIOJSZT,X,X,X
LIOJZTS,X,X,O
LIOJZST,X,X,X
LIOSTJZ,X,X,X
LIOSTZJ,X,X,X
LIOSJTZ,X,X,X
LIOSJZT,X,X,X
LIOSZTJ,X,X,X
LIOSZJT,X,X,X
LIOZTJS,X,X,O
LIOZTSJ,X,X,X
LIOZJTS,X,X,O
LIOZJST,X,X,X
LIOZSTJ,X,X,X
LIOZSJT,X,X,X
LJTISZO,X,X,X
LJTISOZ,X,X,X
LJTIZSO,O,X,X
LJTIZOS,O,O,O
LJTIOSZ,X,X,X
LJTIOZS,O,O,O
LJTSIZO,X,O,X
LJTSIOZ,X,O,X
LJTSZIO,X,O,X
LJTSZOI,X,O,X
LJTSOIZ,X,O,X
LJTSOZI,X,O,X
LJTZISO,O,X,X
LJTZIOS,O,O,O
LJTZSIO,O,O,X
LJTZSOI,O,O,X
LJTZOIS,O,O,O
LJTZOSI,O,O,X
LJTOISZ,X,X,X
LJTOIZS,O,O,O
LJTOSIZ,X,O,X
LJTOSZI,X,O,X
LJTOZIS,O,O,O
LJTOZSI,O,O,X
LJITSZO,X,X,X
LJITSOZ,X,X,X
LJITZSO,O,X,X
LJITZOS,O,O,O
LJITOSZ,X,X,X
LJITOZS,O,O,O
LJISTZO,X,X,X
LJISTOZ,X,X,X
LJISZTO,X,X,X
LJISZOT,X,X,X
LJISOTZ,X,X,X
LJISOZT,X,X,X
LJIZTSO,X,X,X
LJIZTOS,X,X,O
LJIZSTO,X,X,X
LJIZSOT,X,X,X
LJIZOTS,X,X,O
LJIZOST,X,X,X
LJIOTSZ,X,X,X
LJIOTZS,O,O,O
LJIOSTZ,X,X,X
LJIOSZT,X,X,X
LJIOZTS,X,X,O
LJIOZST,X,X,X
LJSTIZO,X,O,X
LJSTIOZ,X,O,X
LJSTZIO,X,O,X
LJSTZOI,X,O,X
LJSTOIZ,X,O,X
LJSTOZI,X,O,X
LJSITZO,X,O,X
LJSITOZ,X,O,X
LJSIZTO,X,X,X
LJSIZOT,X,X,X
LJSIOTZ,X,O,X
LJSIOZT,X,X,X
LJSZTIO,X,X,X
LJSZTOI,X,X,X
LJSZITO,X,X,X
LJSZIOT,X,X,X
LJSZOTI,X,X,X
LJSZOIT,X,X,X
LJSOTIZ,X,O,X
LJSOTZI,X,O,X
LJSOITZ,X,O,X
LJSOIZT,X,X,X
LJSOZTI,X,X,X
LJSOZIT,X,X,X
LJZTISO,X,X,X
LJZTIOS,X,X,O
LJZTSIO,X,X,X
LJZTSOI,X,X,X
LJZTOIS,X,X,O
LJZTOSI,X,X,X
LJZITSO,X,X,X
LJZITOS,X,X,O
LJZISTO,X,X,X
LJZISOT,X,X,X
LJZIOTS,X,X,O
LJZIOST,X,X,X
LJZSTIO,X,X,X
LJZSTOI,X,X,X
LJZSITO,X,X,X
LJZSIOT,X,X,X
LJZSOTI,X,X,X
LJZSOIT,X,X,X
LJZOTIS,X,X,O
LJZOTSI,X,X,X
LJZOITS,X,X,O
LJZOIST,X,X,X
LJZOSTI,X,X,X
LJZOSIT,X,X,X
LJOTISZ,X,X,X
LJOTIZS,O,O,O
LJOTSIZ,X,O,X
LJOTSZI,X,O,X
LJOTZIS,O,O,O
LJOTZSI,O,O,X
LJOITSZ,X,X,X
LJOITZS,O,O,O
LJOISTZ,X,X,X
LJOISZT,X,X,X
LJOIZTS,X,X,O
LJOIZST,X,X,X
LJOSTIZ,X,O,X
LJOSTZI,X,O,X
LJOSITZ,X,O,X
LJOSIZT,X,X,X
LJOSZTI,X,X,X
LJOSZIT,X,X,X
LJOZTIS,X,X,O
LJOZTSI,X,X,X
LJOZITS,X,X,O
LJOZIST,X,X,X
LJOZSTI,X,X,X
LJOZSIT,X,X,X
LSTIJZO,X,X,X
LSTIJOZ,X,X,X
LSTIZJO,X,X,X
LSTIZOJ,X,O,X
LSTIOJZ,X,X,X
LSTIOZJ,X,O,X
LSTJIZO,X,O,X
LSTJIOZ,X,O,X
LSTJZIO,X,O,X
LSTJZOI,X,O,X
LSTJOIZ,X,O,X
LSTJOZI,X,O,X
LSTZIJO,X,X,X
LSTZIOJ,X,O,X
LSTZJIO,X,O,X
LSTZJOI,X,O,X
LSTZOIJ,X,O,X
LSTZOJI,X,O,X
LSTOIJZ,X,X,X
LSTOIZJ,X,O,X
LSTOJIZ,X,O,X
LSTOJZI,X,O,X
LSTOZIJ,X,O,X
LSTOZJI,X,O,X
LSITJZO,X,X,X
LSITJOZ,X,X,X
LSITZJO,X,X,X
LSITZOJ,X,O,X
LSITOJZ,X,X,X
LSITOZJ,X,O,X
LSIJTZO,X,X,X
LSIJTOZ,X,X,X
LSIJZTO,X,X,X
LSIJZOT,X,X,X
LSIJOTZ,X,X,X
LSIJOZT,X,X,X
LSIZTJO,X,X,X
LSIZTOJ,X,X,X
LSIZJTO,X,X,X
LSIZJOT,X,X,X
LSIZOTJ,X,X,X
LSIZOJT,X,X,X
LSIOTJZ,X,X,X
LSIOTZJ,X,O,X
LSIOJTZ,X,X,X
LSIOJZT,X,X,X
LSIOZTJ,X,X,X
LSIOZJT,X,X,X
LSJTIZO,X,O,X
LSJTIOZ,X,O,X
LSJTZIO,X,O,X
LSJTZOI,X,O,X
LSJTOIZ,X,O,X
LSJTOZI,X,O,X
LSJITZO,X,O,X
LSJITOZ,X,O,X
LSJIZTO,X,X,X
LSJIZOT,X,X,X
LSJIOTZ,X,O,X
LSJIOZT,X,X,X
LSJZTIO,X,X,X
LSJZTOI,X,X,X
LSJZITO,X,X,X
LSJZIOT,X,X,X
LSJZOTI,X,X,X
LSJZOIT,X,X,X
LSJOTIZ,X,O,X
LSJOTZI,X,O,X
LSJOITZ,X,O,X
LSJOIZT,X,X,X
LSJOZTI,X,X,X
LSJOZIT,X,X,X
LSZTIJO,X,X,X
LSZTIOJ,X,X,X
LSZTJIO,X,X,X
LSZTJOI,X,X,X
LSZTOIJ,X,X,X
LSZTOJI,X,X,X
LSZITJO,X,X,X
LSZITOJ,X,X,X
LSZIJTO,X,X,X
LSZIJOT,X,X,X
LSZIOTJ,X,X,X
LSZIOJT,X,X,X
LSZJTIO,X,X,X
LSZJTOI,X,X,X
LSZJITO,X,X,X
LSZJIOT,X,X,X
LSZJOTI,X,X,X
LSZJOIT,X,X,X
LSZOTIJ,X,X,X
LSZOTJI,X,X,X
LSZOITJ,X,X,X
LSZOIJT,X,X,X
LSZOJTI,X,X,X
LSZOJIT,X,X,X
LSOTIJZ,X,X,X
LSOTIZJ,X,O,X
LSOTJIZ,X,O,X
LSOTJZI,X,O,X
LSOTZIJ,X,O,X
LSOTZJI,X,O,X
LSOITJZ,X,X,X
LSOITZJ,X,O,X
LSOIJTZ,X,X,X
LSOIJZT,X,X,X
LSOIZTJ,X,X,X
LSOIZJT,X,X,X
LSOJTIZ,X,O,X
LSOJTZI,X,O,X
LSOJITZ,X,O,X
LSOJIZT,X,X,X
LSOJZTI,X,X,X
LSOJZIT,X,X,X
LSOZTIJ,X,X,X
LSOZTJI,X,X,X
LSOZITJ,X,X,X
LSOZIJT,X,X,X
LSOZJTI,X,X,X
LSOZJIT,X,X,X
LZTIJSO,X,X,X
LZTIJOS,X,X,O
LZTISJO,X,X,X
LZTISOJ,X,X,X
LZTIOJS,X,X,O
LZTIOSJ,X,X,X
LZTJISO,X,X,X
LZTJIOS,X,X,O
LZTJSIO,X,X,X
LZTJSOI,X,X,X
LZTJOIS,X,X,O
LZTJOSI,X,X,X
LZTSIJO,X,X,X
LZTSIOJ,X,X,X
LZTSJIO,X,X,X
LZTSJOI,X,X,X
LZTSOIJ,X,X,X
LZTSOJI,X,X,X
LZTOIJS,X,X,O
LZTOISJ,X,X,X
LZTOJIS,X,X,O
LZTOJSI,X,X,X
LZTOSIJ,X,X,X
LZTOSJI,X,X,X
