sequence,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lBlhBcnBeoB5oB/rB,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lB0hBmiB5oB/rB1xB,v115@JhA8GeC8GeE8AeC8KeT/IvhF0gBlhB3iB5oBysBGrB
IJTSZOL,X,X,X
IJTSOLZ,X,X,X
IJTSOZL,X,X,X
IJTZLSO,X,X,O
IJTZLOS,X,X,O
IJTZSLO,X,X,X
IJTZSOL,X,X,X
IJTZOLS,X,X,O
IJTZOSL,X,X,X
IJTOLSZ,X,X,O
IJTOLZS,X,X,O
IJTOSLZ,X,X,X
IJTOSZL,X,X,X
IJTOZLS,X,X,O
IJTOZSL,X,X,X
IJLTSZO,X,X,O
IJLTSOZ,X,X,O
IJLTZSO,X,X,O
IJLTZOS,X,X,O
IJLTOSZ,X,X,O
IJLTOZS,X,X,O
IJLSTZO,X,X,O
IJLSTOZ,X,X,O
IJLSZTO,O,X,O
IJLSZOT,O,X,O
IJLSOTZ,X,X,O
IJLSOZT,O,X,O
IJLZTSO,X,X,O
IJLZTOS,X,X,O
IJLZSTO,O,X,O
IJLZSOT,O,X,O
IJLZOTS,X,X,O
IJLZOST,O,X,O
IJLOTSZ,X,X,O
IJLOTZS,X,X,O
IJLOSTZ,X,X,O
IJLOSZT,O,X,O
IJLOZTS,X,X,O
IJLOZST,O,X,O
IJSTLZO,X,X,X
IJSTLOZ,X,X,X
IJSTZLO,X,X,X
IJSTZOL,X,X,X
IJSTOLZ,X,X,X
IJSTOZL,X,X,X
IJSLTZO,X,X,X
IJSLTOZ,X,X,X
IJSLZTO,O,X,X
IJSLZOT,O,X,X
IJSLOTZ,X,X,X
IJSLOZT,O,X,X
IJSZTLO,O,X,X
IJSZTOL,O,X,X
IJSZLTO,O,X,X
IJSZLOT,O,X,X
IJSZOTL,O,X,X
IJSZOLT,O,X,X
IJSOTLZ,X,X,X
IJSOTZL,X,X,X
IJSOLTZ,X,X,X
IJSOLZT,O,X,X
IJSOZTL,O,X,X
IJSOZLT,O,X,X
IJZTLSO,X,X,O
IJZTLOS,X,X,O
IJZTSLO,X,X,X
IJZTSOL,X,X,X
IJZTOLS,X,X,O
IJZTOSL,X,X,X
IJZLTSO,X,X,O
IJZLTOS,X,X,O
IJZLSTO,O,X,O
IJZLSOT,O,X,O
IJZLOTS,X,X,O
IJZLOST,O,X,O
IJZSTLO,O,X,X
IJZSTOL,O,X,X
IJZSLTO,O,X,X
IJZSLOT,O,X,X
IJZSOTL,O,X,X
IJZSOLT,O,X,X
IJZOTLS,X,X,O
IJZOTSL,X,X,X
IJZOLTS,X,X,O
IJZOLST,O,X,O
IJZOSTL,O,X,X
IJZOSLT,O,X,X
IJOTLSZ,X,X,O
IJOTLZS,X,X,O
IJOTSLZ,X,X,X
IJOTSZL,X,X,X
IJOTZLS,X,X,O
IJOTZSL,X,X,X
IJOLTSZ,X,X,O
IJOLTZS,X,X,O
IJOLSTZ,X,X,O
IJOLSZT,O,X,O
IJOLZTS,X,X,O
IJOLZST,O,X,O
IJOSTLZ,X,X,X
IJOSTZL,X,X,X
IJOSLTZ,X,X,X
IJOSLZT,O,X,X
IJOSZTL,O,X,X
IJOSZLT,O,X,X
IJOZTLS,X,X,O
IJOZTSL,X,X,X
IJOZLTS,X,X,O
IJOZLST,O,X,O
IJOZSTL,O,X,X
IJOZSLT,O,X,X
ISTLJZO,X,O,X
ISTLJOZ,X,O,X
ISTLZJO,X,O,X
ISTLZOJ,X,O,X
ISTLOJZ,X,O,X
ISTLOZJ,X,O,X
ISTJLZO,X,O,X
ISTJLOZ,X,O,X
ISTJZLO,X,O,X
ISTJZOL,X,O,X
ISTJOLZ,X,O,X
ISTJOZL,X,O,X
ISTZLJO,X,O,X
ISTZLOJ,X,O,X
ISTZJLO,X,O,X
ISTZJOL,X,O,X
ISTZOLJ,X,O,X
ISTZOJL,X,O,X
ISTOLJZ,X,O,X
ISTOLZJ,X,O,X
ISTOJLZ,X,O,X
ISTOJZL,X,O,X
ISTOZLJ,X,O,X
ISTOZJL,X,O,X
ISLTJZO,X,O,X
ISLTJOZ,X,O,X
ISLTZJO,X,O,X
ISLTZOJ,X,O,X
ISLTOJZ,X,O,X
ISLTOZJ,X,O,X
ISLJTZO,X,X,X
ISLJTOZ,X,X,X
ISLJZTO,O,X,X
ISLJZOT,O,X,X
ISLJOTZ,X,X,X
ISLJOZT,O,X,X
ISLZTJO,X,O,X
ISLZTOJ,X,O,X
ISLZJTO,X,X,X
ISLZJOT,X,X,X
ISLZOTJ,X,O,X
ISLZOJT,X,X,X
ISLOTJZ,X,O,X
ISLOTZJ,X,O,X
ISLOJTZ,X,X,X
ISLOJZT,O,X,X
ISLOZTJ,X,O,X
ISLOZJT,X,X,X
ISJTLZO,X,X,X
ISJTLOZ,X,X,X
ISJTZLO,X,X,X
ISJTZOL,X,X,X
ISJTOLZ,X,X,X
ISJTOZL,X,X,X
ISJLTZO,X,X,X
ISJLTOZ,X,X,X
ISJLZTO,O,X,X
ISJLZOT,O,X,X
ISJLOTZ,X,X,X
ISJLOZT,O,X,X
ISJZTLO,O,X,X
ISJZTOL,O,X,X
ISJZLTO,O,X,X
ISJZLOT,O,X,X
ISJZOTL,O,X,X
ISJZOLT,O,X,X
ISJOTLZ,X,X,X
ISJOTZL,X,X,X
ISJOLTZ,X,X,X
ISJOLZT,O,X,X
ISJOZTL,O,X,X
ISJOZLT,O,X,X
ISZTLJO,X,O,X
ISZTLOJ,X,O,X
ISZTJLO,X,O,X
ISZTJOL,X,O,X
ISZTOLJ,X,O,X
ISZTOJL,X,O,X
ISZLTJO,X,O,X
ISZLTOJ,X,O,X
ISZLJTO,X,X,X
ISZLJOT,X,X,X
ISZLOTJ,X,O,X
ISZLOJT,X,X,X
ISZJTLO,X,X,X
ISZJTOL,X,X,X
ISZJLTO,X,X,X
ISZJLOT,X,X,X
ISZJOTL,X,X,X
ISZJOLT,X,X,X
ISZOTLJ,X,O,X
ISZOTJL,X,O,X
ISZOLTJ,X,O,X
ISZOLJT,X,X,X
ISZOJTL,X,X,X
ISZOJLT,X,X,X
ISOTLJZ,X,O,X
ISOTLZJ,X,O,X
ISOTJLZ,X,O,X
ISOTJZL,X,O,X
ISOTZLJ,X,O,X
ISOTZJL,X,O,X
ISOLTJZ,X,O,X
ISOLTZJ,X,O,X
ISOLJTZ,X,X,X
ISOLJZT,O,X,X
ISOLZTJ,X,O,X
ISOLZJT,X,X,X
ISOJTLZ,X,X,X
ISOJTZL,X,X,X
ISOJLTZ,X,X,X
ISOJLZT,O,X,X
ISOJZTL,O,X,X
ISOJZLT,O,X,X
ISOZTLJ,X,O,X
ISOZTJL,X,O,X
ISOZLTJ,X,O,X
ISOZLJT,X,X,X
ISOZJTL,X,X,X
ISOZJLT,X,X,X
IZTLJSO,X,X,X
IZTLJOS,X,X,X
IZTLSJO,X,X,X
IZTLSOJ,X,X,O
IZTLOJS,X,X,X
IZTLOSJ,X,X,O
IZTJLSO,X,X,X
IZTJLOS,X,X,X
IZTJSLO,X,X,X
IZTJSOL,X,X,X
IZTJOLS,X,X,X
IZTJOSL,X,X,X
IZTSLJO,X,X,X
IZTSLOJ,X,X,X
IZTSJLO,X,X,X
IZTSJOL,X,X,X
IZTSOLJ,X,X,X
IZTSOJL,X,X,X
IZTOLJS,X,X,X
IZTOLSJ,X,X,O
IZTOJLS,X,X,X
IZTOJSL,X,X,X
IZTOSLJ,X,X,X
IZTOSJL,X,X,X
IZLTJSO,X,X,X
IZLTJOS,X,X,X
IZLTSJO,X,X,X
IZLTSOJ,X,X,O
IZLTOJS,X,X,X
IZLTOSJ,X,X,O
IZLJTSO,X,X,O
IZLJTOS,X,X,O
IZLJSTO,X,X,O
IZLJSOT,X,X,O
IZLJOTS,X,X,O
IZLJOST,X,X,O
IZLSTJO,X,X,X
IZLSTOJ,X,X,O
IZLSJTO,X,X,O
IZLSJOT,X,X,O
IZLSOTJ,X,X,O
IZLSOJT,X,X,O
IZLOTJS,X,X,X
IZLOTSJ,X,X,O
IZLOJTS,X,X,O
IZLOJST,X,X,O
IZLOSTJ,X,X,O
IZLOSJT,X,X,O
IZJTLSO,X,X,O
IZJTLOS,X,X,O
IZJTSLO,X,X,X
IZJTSOL,X,X,X
IZJTOLS,X,X,O
IZJTOSL,X,X,X
IZJLTSO,X,X,O
IZJLTOS,X,X,O
IZJLSTO,X,X,O
IZJLSOT,X,X,O
IZJLOTS,X,X,O
IZJLOST,X,X,O
IZJSTLO,X,X,X
IZJSTOL,X,X,X
IZJSLTO,X,X,X
IZJSLOT,X,X,X
IZJSOTL,X,X,X
IZJSOLT,X,X,X
IZJOTLS,X,X,O
IZJOTSL,X,X,X
IZJOLTS,X,X,O
IZJOLST,X,X,O
IZJOSTL,X,X,X
IZJOSLT,X,X,X
IZSTLJO,X,X,X
IZSTLOJ,X,X,X
IZSTJLO,X,X,X
IZSTJOL,X,X,X
IZSTOLJ,X,X,X
IZSTOJL,X,X,X
IZSLTJO,X,X,X
IZSLTOJ,X,X,X
IZSLJTO,X,X,X
IZSLJOT,X,X,X
IZSLOTJ,X,X,X
IZSLOJT,X,X,X
IZSJTLO,X,X,X
IZSJTOL,X,X,X
IZSJLTO,X,X,X
IZSJLOT,X,X,X
IZSJOTL,X,X,X
IZSJOLT,X,X,X
IZSOTLJ,X,X,X
IZSOTJL,X,X,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,X
IZSOJTL,X,X,X
IZSOJLT,X,X,X
IZOTLJS,X,X,X
IZOTLSJ,X,X,O
IZOTJLS,X,X,X
IZOTJSL,X,X,X
IZOTSLJ,X,X,X
IZOTSJL,X,X,X
IZOLTJS,X,X,X
IZOLTSJ,X,X,O
IZOLJTS,X,X,O
IZOLJST,X,X,O
IZOLSTJ,X,X,O
IZOLSJT,X,X,O
IZOJTLS,X,X,O
IZOJTSL,X,X,X
IZOJLTS,X,X,O
IZOJLST,X,X,O
IZOJSTL,X,X,X
IZOJSLT,X,X,X
IZOSTLJ,X,X,X
IZOSTJL,X,X,X
IZOSLTJ,X,X,X
IZOSLJT,X,X,X
IZOSJTL,X,X,X
IZOSJLT,X,X,X
IOTLJSZ,X,O,X
IOTLJZS,X,X,X
IOTLSJZ,X,O,X
IOTLSZJ,X,O,X
IOTLZJS,X,X,X
IOTLZSJ,X,X,X
IOTJLSZ,X,O,X
IOTJLZS,X,X,X
IOTJSLZ,X,O,X
IOTJSZL,X,O,X
IOTJZLS,X,X,X
IOTJZSL,X,X,X
IOTSLJZ,X,O,X
IOTSLZJ,X,O,X
IOTSJLZ,X,O,X
IOTSJZL,X,O,X
IOTSZLJ,X,O,X
IOTSZJL,X,O,X
IOTZLJS,X,X,X
IOTZLSJ,X,X,X
IOTZJLS,X,X,X
IOTZJSL,X,X,X
IOTZSLJ,X,X,X
IOTZSJL,X,X,X
IOLTJSZ,X,O,X
IOLTJZS,X,X,X
IOLTSJZ,X,O,X
IOLTSZJ,X,O,X
IOLTZJS,X,X,X
IOLTZSJ,X,X,X
IOLJTSZ,X,X,O
IOLJTZS,X,X,O
IOLJSTZ,X,X,O
IOLJSZT,O,X,O
IOLJZTS,X,X,O
IOLJZST,O,X,O
IOLSTJZ,X,O,X
IOLSTZJ,X,O,O
IOLSJTZ,X,X,O
IOLSJZT,O,X,O
IOLSZTJ,X,O,O
IOLSZJT,X,X,O
IOLZTJS,X,X,X
IOLZTSJ,X,X,O
IOLZJTS,X,X,O
IOLZJST,X,X,O
IOLZSTJ,X,X,O
IOLZSJT,X,X,O
IOJTLSZ,X,X,O
IOJTLZS,X,X,O
IOJTSLZ,X,X,X
IOJTSZL,X,X,X
IOJTZLS,X,X,O
IOJTZSL,X,X,X
IOJLTSZ,X,X,O
IOJLTZS,X,X,O
IOJLSTZ,X,X,O
IOJLSZT,O,X,O
IOJLZTS,X,X,O
IOJLZST,O,X,O
IOJSTLZ,X,X,X
IOJSTZL,X,X,X
IOJSLTZ,X,X,X
IOJSLZT,O,X,X
IOJSZTL,O,X,X
IOJSZLT,O,X,X
IOJZTLS,X,X,O
IOJZTSL,X,X,X
IOJZLTS,X,X,O
IOJZLST,O,X,O
IOJZSTL,O,X,X
IOJZSLT,O,X,X
IOSTLJZ,X,O,X
IOSTLZJ,X,O,X
IOSTJLZ,X,O,X
IOSTJZL,X,O,X
IOSTZLJ,X,O,X
IOSTZJL,X,O,X
IOSLTJZ,X,O,X
IOSLTZJ,X,O,X
IOSLJTZ,X,X,X
IOSLJZT,O,X,X
IOSLZTJ,X,O,X
IOSLZJT,X,X,X
IOSJTLZ,X,X,X
IOSJTZL,X,X,X
IOSJLTZ,X,X,X
IOSJLZT,O,X,X
IOSJZTL,O,X,X
IOSJZLT,O,X,X
IOSZTLJ,X,O,X
IOSZTJL,X,O,X
IOSZLTJ,X,O,X
IOSZLJT,X,X,X
IOSZJTL,X,X,X
IOSZJLT,X,X,X
IOZTLJS,X,X,X
IOZTLSJ,X,X,O
IOZTJLS,X,X,X
IOZTJSL,X,X,X
IOZTSLJ,X,X,X
IOZTSJL,X,X,X
IOZLTJS,X,X,X
IOZLTSJ,X,X,O
IOZLJTS,X,X,O
IOZLJST,X,X,O
IOZLSTJ,X,X,O
IOZLSJT,X,X,O
IOZJTLS,X,X,O
IOZJTSL,X,X,X
IOZJLTS,X,X,O
IOZJLST,X,X,O
IOZJSTL,X,X,X
IOZJSLT,X,X,X
IOZSTLJ,X,X,X
IOZSTJL,X,X,X
IOZSLTJ,X,X,X
IOZSLJT,X,X,X
IOZSJTL,X,X,X
IOZSJLT,X,X,X
LTIJSZO,X,O,X
LTIJSOZ,X,O,X
LTIJZSO,X,X,X
LTIJZOS,X,X,X
LTIJOSZ,X,O,X
LTIJOZS,X,X,X
LTISJZO,X,O,X
LTISJOZ,X,O,X
LTISZJO,X,O,X
LTISZOJ,X,O,X
LTISOJZ,X,O,X
LTISOZJ,X,O,X
LTIZJSO,X,X,X
LTIZJOS,X,X,X
LTIZSJO,X,X,X
LTIZSOJ,X,X,X
LTIZOJS,X,X,X
LTIZOSJ,X,X,X
LTIOJSZ,X,O,X
LTIOJZS,X,X,X
LTIOSJZ,X,O,X
LTIOSZJ,X,O,X
LTIOZJS,X,X,X
LTIOZSJ,X,X,X
LTJISZO,X,O,X
LTJISOZ,X,O,X
LTJIZSO,X,X,X
LTJIZOS,X,X,X
LTJIOSZ,X,O,X
LTJIOZS,X,X,X
LTJSIZO,X,O,X
LTJSIOZ,X,O,X
LTJSZIO,X,O,X
LTJSZOI,X,O,X
LTJSOIZ,X,O,X
LTJSOZI,X,O,X
LTJZISO,X,X,X
LTJZIOS,X,X,X
LTJZSIO,X,X,X
LTJZSOI,X,X,X
LTJZOIS,X,X,X
LTJZOSI,X,X,X
LTJOISZ,X,O,X
LTJOIZS,X,X,X
LTJOSIZ,X,O,X
LTJOSZI,X,O,X
LTJOZIS,X,X,X
LTJOZSI,X,X,X
LTSIJZO,X,O,X
LTSIJOZ,X,O,X
LTSIZJO,X,O,X
LTSIZOJ,X,O,X
LTSIOJZ,X,O,X
LTSIOZJ,X,O,X
LTSJIZO,X,O,X
LTSJIOZ,X,O,X
LTSJZIO,X,O,X
LTSJZOI,X,O,X
LTSJOIZ,X,O,X
LTSJOZI,X,O,X
LTSZIJO,X,O,X
LTSZIOJ,X,O,X
LTSZJIO,X,O,X
LTSZJOI,X,O,X
LTSZOIJ,X,O,X
LTSZOJI,X,O,X
LTSOIJZ,X,O,X
LTSOIZJ,X,O,X
LTSOJIZ,X,O,X
LTSOJZI,X,O,X
LTSOZIJ,X,O,X
LTSOZJI,X,O,X
LTZIJSO,X,X,X
LTZIJOS,X,X,X
LTZISJO,X,X,X
LTZISOJ,X,X,X
LTZIOJS,X,X,X
LTZIOSJ,X,X,X
LTZJISO,X,X,X
LTZJIOS,X,X,X
LTZJSIO,X,X,X
LTZJSOI,X,X,X
LTZJOIS,X,X,X
LTZJOSI,X,X,X
LTZSIJO,X,X,X
LTZSIOJ,X,X,X
LTZSJIO,X,X,X
LTZSJOI,X,X,X
LTZSOIJ,X,X,X
LTZSOJI,X,X,X
LTZOIJS,X,X,X
LTZOISJ,X,X,X
LTZOJIS,X,X,X
LTZOJSI,X,X,X
LTZOSIJ,X,X,X
LTZOSJI,X,X,X
LTOIJSZ,X,O,X
LTOIJZS,X,X,X
LTOISJZ,X,O,X
LTOISZJ,X,O,X
LTOIZJS,X,X,X
LTOIZSJ,X,X,X
LTOJISZ,X,O,X
LTOJIZS,X,X,X
LTOJSIZ,X,O,X
LTOJSZI,X,O,X
LTOJZIS,X,X,X
LTOJZSI,X,X,X
LTOSIJZ,X,O,X
LTOSIZJ,X,O,X
LTOSJIZ,X,O,X
LTOSJZI,X,O,X
LTOSZIJ,X,O,X
LTOSZJI,X,O,X
LTOZIJS,X,X,X
LTOZISJ,X,X,X
LTOZJIS,X,X,X
LTOZJSI,X,X,X
LTOZSIJ,X,X,X
LTOZSJI,X,X,X
LITJSZO,X,O,X
LITJSOZ,X,O,X
LITJZSO,X,X,X
LITJZOS,X,X,X
LITJOSZ,X,O,X
LITJOZS,X,X,X
LITSJZO,X,O,X
LITSJOZ,X,O,X
LITSZJO,X,O,X
LITSZOJ,X,O,X
LITSOJZ,X,O,X
LITSOZJ,X,O,X
LITZJSO,X,X,X
LITZJOS,X,X,X
LITZSJO,X,X,X
LITZSOJ,X,X,X
LITZOJS,X,X,X
LITZOSJ,X,X,X
LITOJSZ,X,O,X
LITOJZS,X,X,X
LITOSJZ,X,O,X
LITOSZJ,X,O,X
LITOZJS,X,X,X
LITOZSJ,X,X,X
LIJTSZO,X,X,O
LIJTSOZ,X,X,O
LIJTZSO,X,X,O
LIJTZOS,X,X,O
LIJTOSZ,X,X,O
LIJTOZS,X,X,O
LIJSTZO,X,X,O
LIJSTOZ,X,X,O
LIJSZTO,O,X,O
LIJSZOT,O,X,O
LIJSOTZ,X,X,O
LIJSOZT,O,X,O
LIJZTSO,X,X,O
LIJZTOS,X,X,O
LIJZSTO,O,X,O
LIJZSOT,O,X,O
LIJZOTS,X,X,O
LIJZOST,O,X,O
LIJOTSZ,X,X,O
LIJOTZS,X,X,O
LIJOSTZ,X,X,O
LIJOSZT,O,X,O
LIJOZTS,X,X,O
LIJOZST,O,X,O
LISTJZO,X,O,X
LISTJOZ,X,O,X
LISTZJO,X,O,X
LISTZOJ,X,O,O
LISTOJZ,X,O,X
LISTOZJ,X,O,O
LISJTZO,X,X,O
LISJTOZ,X,X,O
LISJZTO,O,X,O
LISJZOT,O,X,O
LISJOTZ,X,X,O
LISJOZT,O,X,O
LISZTJO,X,O,X
LISZTOJ,X,O,O
LISZJTO,X,X,O
LISZJOT,X,X,O
LISZOTJ,X,O,O
LISZOJT,X,X,O
LISOTJZ,X,O,X
LISOTZJ,X,O,O
LISOJTZ,X,X,O
LISOJZT,O,X,O
LISOZTJ,X,O,O
LISOZJT,X,X,O
LIZTJSO,X,X,X
LIZTJOS,X,X,X
LIZTSJO,X,X,X
LIZTSOJ,X,X,O
LIZTOJS,X,X,X
LIZTOSJ,X,X,O
LIZJTSO,X,X,O
LIZJTOS,X,X,O
LIZJSTO,X,X,O
LIZJSOT,X,X,O
LIZJOTS,X,X,O
LIZJOST,X,X,O
LIZSTJO,X,X,X
LIZSTOJ,X,X,O
LIZSJTO,X,X,O
LIZSJOT,X,X,O
LIZSOTJ,X,X,O
LIZSOJT,X,X,O
LIZOTJS,X,X,X
LIZOTSJ,X,X,O
LIZOJTS,X,X,O
LIZOJST,X,X,O
LIZOSTJ,X,X,O
LIZOSJT,X,X,O
LIOTJSZ,X,O,X
LIOTJZS,X,X,X
LIOTSJZ,X,O,X
LIOTSZJ,X,O,X
LIOTZJS,X,X,X
LIOTZSJ,X,X,X
LIOJTSZ,X,X,O
LIOJTZS,X,X,O
LIOJSTZ,X,X,O
LIOJSZT,O,X,O
LIOJZTS,X,X,O
LIOJZST,O,X,O
LIOSTJZ,X,O,X
LIOSTZJ,X,O,O
LIOSJTZ,X,X,O
LIOSJZT,O,X,O
LIOSZTJ,X,O,O
LIOSZJT,X,X,O
LIOZTJS,X,X,X
LIOZTSJ,X,X,O
LIOZJTS,X,X,O
LIOZJST,X,X,O
LIOZSTJ,X,X,O
LIOZSJT,X,X,O
LJTISZO,X,X,O
LJTISOZ,X,X,O
LJTIZSO,X,X,O
LJTIZOS,X,X,O
LJTIOSZ,X,X,O
LJTIOZS,X,X,O
LJTSIZO,X,X,O
LJTSIOZ,X,X,O
LJTSZIO,X,X,O
LJTSZOI,X,X,O
LJTSOIZ,X,X,O
LJTSOZI,X,X,O
LJTZISO,X,X,O
LJTZIOS,X,X,O
LJTZSIO,X,X,O
LJTZSOI,X,X,O
LJTZOIS,X,X,O
LJTZOSI,X,X,O
LJTOISZ,X,X,O
LJTOIZS,X,X,O
LJTOSIZ,X,X,O
LJTOSZI,X,X,O
LJTOZIS,X,X,O
LJTOZSI,X,X,O
LJITSZO,X,X,O
LJITSOZ,X,X,O
LJITZSO,X,X,O
LJITZOS,X,X,O
LJITOSZ,X,X,O
LJITOZS,X,X,O
LJISTZO,X,X,O
LJISTOZ,X,X,O
LJISZTO,O,X,O
LJISZOT,O,X,O
LJISOTZ,X,X,O
LJISOZT,O,X,O
LJIZTSO,X,X,O
LJIZTOS,X,X,O
LJIZSTO,O,X,O
LJIZSOT,O,X,O
LJIZOTS,X,X,O
LJIZOST,O,X,O
LJIOTSZ,X,X,O
LJIOTZS,X,X,O
LJIOSTZ,X,X,O
LJIOSZT,O,X,O
LJIOZTS,X,X,O
LJIOZST,O,X,O
LJSTIZO,X,X,O
LJSTIOZ,X,X,O
LJSTZIO,X,X,O
LJSTZOI,X,X,O
LJSTOIZ,X,X,O
LJSTOZI,X,X,O
LJSITZO,X,X,O
LJSITOZ,X,X,O
LJSIZTO,O,X,O
LJSIZOT,O,X,O
LJSIOTZ,X,X,O
LJSIOZT,O,X,O
LJSZTIO,O,X,O
LJSZTOI,O,X,O
LJSZITO,O,X,O
LJSZIOT,O,X,O
LJSZOTI,O,X,O
LJSZOIT,O,X,O
LJSOTIZ,X,X,O
LJSOTZI,X,X,O
LJSOITZ,X,X,O
LJSOIZT,O,X,O
LJSOZTI,O,X,O
LJSOZIT,O,X,O
LJZTISO,X,X,O
LJZTIOS,X,X,O
LJZTSIO,X,X,O
LJZTSOI,X,X,O
LJZTOIS,X,X,O
LJZTOSI,X,X,O
LJZITSO,X,X,O
LJZITOS,X,X,O
LJZISTO,O,X,O
LJZISOT,O,X,O
LJZIOTS,X,X,O
LJZIOST,O,X,O
LJZSTIO,O,X,O
LJZSTOI,O,X,O
LJZSITO,O,X,O
LJZSIOT,O,X,O
LJZSOTI,O,X,O
LJZSOIT,O,X,O
LJZOTIS,X,X,O
LJZOTSI,X,X,O
LJZOITS,X,X,O
LJZOIST,O,X,O
LJZOSTI,O,X,O
LJZOSIT,O,X,O
LJOTISZ,X,X,O
LJOTIZS,X,X,O
LJOTSIZ,X,X,O
LJOTSZI,X,X,O
LJOTZIS,X,X,O
LJOTZSI,X,X,O
LJOITSZ,X,X,O
LJOITZS,X,X,O
LJOISTZ,X,X,O
LJOISZT,O,X,O
LJOIZTS,X,X,O
LJOIZST,O,X,O
LJOSTIZ,X,X,O
LJOSTZI,X,X,O
LJOSITZ,X,X,O
LJOSIZT,O,X,O
LJOSZTI,O,X,O
LJOSZIT,O,X,O
LJOZTIS,X,X,O
LJOZTSI,X,X,O
LJOZITS,X,X,O
LJOZIST,O,X,O
LJOZSTI,O,X,O
LJOZSIT,O,X,O
LSTIJZO,X,O,X
LSTIJOZ,X,O,X
LSTIZJO,X,O,X
LSTIZOJ,X,O,O
LSTIOJZ,X,O,X
LSTIOZJ,X,O,O
LSTJIZO,X,O,X
LSTJIOZ,X,O,X
LSTJZIO,X,O,X
LSTJZOI,X,O,X
LSTJOIZ,X,O,X
LSTJOZI,X,O,X
LSTZIJO,X,O,X
LSTZIOJ,X,O,O
LSTZJIO,O,O,X
LSTZJOI,O,O,X
LSTZOIJ,X,O,O
LSTZOJI,O,O,X
LSTOIJZ,X,O,X
LSTOIZJ,X,O,O
LSTOJIZ,X,O,X
LSTOJZI,X,O,X
LSTOZIJ,X,O,O
LSTOZJI,O,O,X
LSITJZO,X,O,X
LSITJOZ,X,O,X
LSITZJO,X,O,X
LSITZOJ,X,O,O
LSITOJZ,X,O,X
LSITOZJ,X,O,O
LSIJTZO,X,X,O
LSIJTOZ,X,X,O
LSIJZTO,O,X,O
LSIJZOT,O,X,O
LSIJOTZ,X,X,O
LSIJOZT,O,X,O
LSIZTJO,X,O,X
LSIZTOJ,X,O,O
LSIZJTO,X,X,O
LSIZJOT,X,X,O
LSIZOTJ,X,O,O
LSIZOJT,X,X,O
LSIOTJZ,X,O,X
LSIOTZJ,X,O,O
LSIOJTZ,X,X,O
LSIOJZT,O,X,O
LSIOZTJ,X,O,O
LSIOZJT,X,X,O
LSJTIZO,X,X,O
LSJTIOZ,X,X,O
LSJTZIO,X,X,O
LSJTZOI,X,X,O
LSJTOIZ,X,X,O
LSJTOZI,X,X,O
LSJITZO,X,X,O
LSJITOZ,X,X,O
LSJIZTO,O,X,O
LSJIZOT,O,X,O
LSJIOTZ,X,X,O
LSJIOZT,O,X,O
LSJZTIO,O,X,O
LSJZTOI,O,X,O
LSJZITO,O,X,O
LSJZIOT,O,X,O
LSJZOTI,O,X,O
LSJZOIT,O,X,O
LSJOTIZ,X,X,O
LSJOTZI,X,X,O
LSJOITZ,X,X,O
LSJOIZT,O,X,O
LSJOZTI,O,X,O
LSJOZIT,O,X,O
LSZTIJO,X,O,X
LSZTIOJ,X,O,O
LSZTJIO,O,O,X
LSZTJOI,O,O,X
LSZTOIJ,X,O,O
LSZTOJI,O,O,X
LSZITJO,X,O,X
LSZITOJ,X,O,O
LSZIJTO,X,X,O
LSZIJOT,X,X,O
LSZIOTJ,X,O,O
LSZIOJT,X,X,O
LSZJTIO,O,X,O
LSZJTOI,O,X,O
LSZJITO,O,X,O
LSZJIOT,O,X,O
LSZJOTI,O,X,O
LSZJOIT,O,X,O
LSZOTIJ,X,O,O
LSZOTJI,O,O,X
LSZOITJ,X,O,O
LSZOIJT,X,X,O
LSZOJTI,O,X,O
LSZOJIT,O,X,O
LSOTIJZ,X,O,X
LSOTIZJ,X,O,O
LSOTJIZ,X,O,X
LSOTJZI,X,O,X
LSOTZIJ,X,O,O
LSOTZJI,O,O,X
LSOITJZ,X,O,X
LSOITZJ,X,O,O
LSOIJTZ,X,X,O
LSOIJZT,O,X,O
LSOIZTJ,X,O,O
LSOIZJT,X,X,O
LSOJTIZ,X,X,O
LSOJTZI,X,X,O
LSOJITZ,X,X,O
LSOJIZT,O,X,O
LSOJZTI,O,X,O
LSOJZIT,O,X,O
LSOZTIJ,X,O,O
LSOZTJI,O,O,X
LSOZITJ,X,O,O
LSOZIJT,X,X,O
LSOZJTI,O,X,O
LSOZJIT,O,X,O
LZTIJSO,X,X,X
LZTIJOS,X,X,X
LZTISJO,X,X,X
LZTISOJ,X,X,O
LZTIOJS,X,X,X
LZTIOSJ,X,X,O
LZTJISO,X,X,X
LZTJIOS,X,X,X
LZTJSIO,X,X,X
LZTJSOI,X,X,X
LZTJOIS,X,X,X
LZTJOSI,X,X,X
LZTSIJO,X,X,X
LZTSIOJ,X,X,O
LZTSJIO,X,X,X
LZTSJOI,X,X,X
LZTSOIJ,X,X,O
LZTSOJI,X,X,X
LZTOIJS,X,X,X
LZTOISJ,X,X,O
LZTOJIS,X,X,X
LZTOJSI,X,X,X
LZTOSIJ,X,X,O
LZTOSJI,X,X,X
LZITJSO,X,X,X
LZITJOS,X,X,X
LZITSJO,X,X,X
