sequence,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjB6mBO?nBzlBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhF3dBcjB6lBO?mBzmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBOnBC?mBtsBTrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBSjBThBN?nBWrB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFxcBTeBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTeBxhBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFicB+iBTeB3?hB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBKiBcjBX?mBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBanBG?mBtsBzqB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBulBi?mBtsBzrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBxdBenBC?jBXmB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeB0mBm?nB5nBXrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JecDJvhFxgBXiBzlBt?sBGrBisB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBzlBC?nBmmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF0hBxiBOoBz?lB9sBCsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF9hBKiBcjBz?lBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFthBTeB8lBm?nBxrB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFKhBzcBGeB3?iB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFGeBXhBdoBz?mB0lB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeT+IvhF6lBxhBUhBm?nB3mB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFTeB0gBmhBf?oBSrB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFCdBTeBxmB8?sBerBXsB
IJSOLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOZTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJSOZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJZTLSO,X,O,X,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X
IJZTLOS,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
IJZTSLO,X,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X
IJZTSOL,X,O,X,O,X,X,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,X
IJZTOLS,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IJZTOSL,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X
IJZLTSO,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X
IJZLTOS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IJZLSTO,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IJZLSOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IJZLOTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IJZLOST,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IJZSTLO,X,O,X,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
IJZSTOL,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
IJZSLTO,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
IJZSLOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IJZSOTL,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
IJZSOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJZOTLS,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
IJZOTSL,X,O,X,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X
IJZOLTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IJZOLST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJZOSTL,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IJZOSLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOTLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IJOTLZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IJOTSLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJOTSZL,X,O,X,O,O,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
IJOTZLS,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
IJOTZSL,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X
IJOLTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOLTZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
IJOLSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IJOLZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
IJOLZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IJOSTLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IJOSTZL,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
IJOSLTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOSLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X
IJOSZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOZTLS,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
IJOZTSL,X,O,X,O,X,X,O,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X
IJOZLTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IJOZLST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOZSTL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X
IJOZSLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISTLJZO,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTLJOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTLZJO,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISTLZOJ,O,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ISTLOJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTLOZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTJLZO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTJLOZ,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISTJZLO,O,X,O,O,O,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X
ISTJZOL,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X
ISTJOLZ,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTJOZL,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISTZLJO,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X
ISTZLOJ,O,X,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ISTZJLO,O,X,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
ISTZJOL,O,X,O,O,X,O,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X
ISTZOLJ,O,X,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ISTZOJL,O,X,O,X,X,O,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X
ISTOLJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISTOJLZ,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTOJZL,O,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ISTOZLJ,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ISTOZJL,O,X,X,X,X,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ISLTJZO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTZJO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLTZOJ,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJTZO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJTOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJZTO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJZOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLJOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLZTJO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTOJ,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJTO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJOT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLZOTJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLZOJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLOTJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLOJTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLOZTJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLOZJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISJTLZO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJTLOZ,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISJTZLO,X,X,X,O,O,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X
ISJTZOL,X,X,X,O,O,O,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X
ISJTOLZ,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJTOZL,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISJLTZO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJLZTO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X
ISJZTOL,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X
ISJZLTO,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ISJZLOT,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISJZOTL,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ISJZOLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJOTLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJOTZL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISJOLTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJOZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISZTLJO,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X
ISZTLOJ,O,X,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ISZTJLO,O,X,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
ISZTJOL,O,X,O,O,X,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X
ISZTOLJ,O,X,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X
ISZTOJL,O,X,O,X,X,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X
ISZLTJO,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X
ISZLTOJ,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ISZLJTO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
ISZLJOT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ISZLOTJ,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ISZLOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ISZJTLO,O,X,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
ISZJTOL,O,X,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
ISZJLTO,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
ISZJLOT,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISZJOTL,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
ISZJOLT,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ISZOTLJ,O,X,O,X,X,X,O,O,O,O,X,X,O,O,X,O,X,O,X,X,X,X
ISZOTJL,O,X,O,X,X,X,O,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X
ISZOLTJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ISZOJTL,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
ISZOJLT,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ISOTLJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTLZJ,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
ISOTJLZ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTJZL,O,X,X,X,O,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
ISOTZJL,O,X,X,X,X,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOLZTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ISOLZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISOJTLZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOJTZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISOJLTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
ISOJZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
ISOZTJL,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X
ISOZLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ISOZJTL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IZTLJSO,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,O
IZTLJOS,O,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
IZTLSJO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O
IZTLSOJ,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O
IZTLOJS,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O
IZTLOSJ,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,O
IZTJLSO,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,O
IZTJLOS,O,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
IZTJSLO,O,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X,X,O
IZTJSOL,O,O,O,O,X,X,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,O
IZTJOLS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
IZTJOSL,O,O,O,O,X,X,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,O
IZTSLJO,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O
IZTSLOJ,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O
IZTSJLO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O
IZTSJOL,O,O,O,O,X,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,O
IZTSOLJ,O,O,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X,O
IZTSOJL,O,O,O,X,X,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,O
IZTOLJS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IZTOLSJ,O,O,O,O,X,X,X,O,X,O,X,X,O,X,O,O,X,O,X,X,X,O
IZTOJLS,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O
IZTOJSL,O,O,O,O,X,X,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,O
IZTOSLJ,O,O,O,O,X,X,O,X,O,O,X,X,O,O,O,O,X,O,X,X,X,O
IZTOSJL,O,O,O,X,X,X,O,X,O,O,X,X,O,X,O,O,O,O,X,X,X,O
IZLTJSO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O
IZLTJOS,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O
IZLTSJO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O
IZLTSOJ,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O
IZLTOJS,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O
IZLTOSJ,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,O
IZLJTSO,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X
IZLJTOS,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZLJSTO,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZLJSOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
IZLJOTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZLJOST,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IZLSTJO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
IZLSTOJ,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZLSJTO,O,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
IZLSJOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
IZLSOTJ,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZLSOJT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IZLOTJS,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O
IZLOTSJ,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O
IZLOJTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZLOJST,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IZLOSTJ,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZLOSJT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IZJTLSO,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,O
IZJTLOS,O,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
IZJTSLO,O,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X,X,O
IZJTSOL,O,O,O,O,X,X,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,O
IZJTOLS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
IZJTOSL,O,O,O,O,X,X,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,O
IZJLTSO,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X
IZJLTOS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZJLSTO,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZJLSOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZJLOTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZJLOST,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IZJSTLO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
IZJSTOL,O,X,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
IZJSLTO,O,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
IZJSLOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZJSOTL,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
IZJSOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IZJOTLS,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O
IZJOTSL,O,X,X,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X,O
IZJOLTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZJOLST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOSTL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IZJOSLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSTLJO,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O
IZSTLOJ,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O
