sequence,v115@ShB8FeF8AeD8JeOEJvhFXgBxhBTjBCmB0nBlrB,v115@ShB8FeF8AeD8Jex/IvhF8lBzhBWoBikBXoBlrB,v115@ShB8FeF8AeD8JeOEJvhFXgB0hBxiBzlBFoBCsB
IJTSOZL,X,X,X
IJTZLSO,X,X,X
IJTZLOS,X,X,X
IJTZSLO,X,X,X
IJTZSOL,X,X,X
IJTZOLS,X,X,X
IJTZOSL,X,X,X
IJTOLSZ,X,X,X
IJTOLZS,X,X,X
IJTOSLZ,X,X,X
IJTOSZL,X,X,X
IJTOZLS,X,X,X
IJTOZSL,X,X,X
IJLTSZO,X,X,X
IJLTSOZ,X,X,X
IJLTZSO,X,X,X
IJLTZOS,X,X,X
IJLTOSZ,X,X,X
IJLTOZS,X,X,X
IJLSTZO,X,X,X
IJLSTOZ,X,X,X
IJLSZTO,X,X,X
IJLSZOT,X,X,X
IJLSOTZ,X,X,X
IJLSOZT,X,X,X
IJLZTSO,X,X,X
IJLZTOS,X,X,X
IJLZSTO,X,X,X
IJLZSOT,X,X,X
IJLZOTS,X,X,X
IJLZOST,X,X,X
IJLOTSZ,X,X,X
IJLOTZS,X,X,X
IJLOSTZ,X,X,X
IJLOSZT,X,X,X
IJLOZTS,X,X,X
IJLOZST,X,X,X
IJSTLZO,X,X,X
IJSTLOZ,X,X,X
IJSTZLO,X,X,X
IJSTZOL,X,X,X
IJSTOLZ,X,X,X
IJSTOZL,X,X,X
IJSLTZO,X,X,X
IJSLTOZ,X,X,X
IJSLZTO,X,X,X
IJSLZOT,X,X,X
IJSLOTZ,X,X,X
IJSLOZT,X,X,X
IJSZTLO,X,X,X
IJSZTOL,X,X,X
IJSZLTO,X,X,X
IJSZLOT,X,X,X
IJSZOTL,X,X,X
IJSZOLT,X,X,X
IJSOTLZ,X,X,X
IJSOTZL,X,X,X
IJSOLTZ,X,X,X
IJSOLZT,X,X,X
IJSOZTL,X,X,X
IJSOZLT,X,X,X
IJZTLSO,X,X,X
IJZTLOS,X,X,X
IJZTSLO,X,X,X
IJZTSOL,X,X,X
IJZTOLS,X,X,X
IJZTOSL,X,X,X
IJZLTSO,X,X,X
IJZLTOS,X,X,X
IJZLSTO,X,X,X
IJZLSOT,X,X,X
IJZLOTS,X,X,X
IJZLOST,X,X,X
IJZSTLO,X,X,X
IJZSTOL,X,X,X
IJZSLTO,X,X,X
IJZSLOT,X,X,X
IJZSOTL,X,X,X
IJZSOLT,X,X,X
IJZOTLS,X,X,X
IJZOTSL,X,X,X
IJZOLTS,X,X,X
IJZOLST,X,X,X
IJZOSTL,X,X,X
IJZOSLT,X,X,X
IJOTLSZ,X,X,X
IJOTLZS,X,X,X
IJOTSLZ,X,X,X
IJOTSZL,X,X,X
IJOTZLS,X,X,X
IJOTZSL,X,X,X
IJOLTSZ,X,X,X
IJOLTZS,X,X,X
IJOLSTZ,X,X,X
IJOLSZT,X,X,X
IJOLZTS,X,X,X
IJOLZST,X,X,X
IJOSTLZ,X,X,X
IJOSTZL,X,X,X
IJOSLTZ,X,X,X
IJOSLZT,X,X,X
IJOSZTL,X,X,X
IJOSZLT,X,X,X
IJOZTLS,X,X,X
IJOZTSL,X,X,X
IJOZLTS,X,X,X
IJOZLST,X,X,X
IJOZSTL,X,X,X
IJOZSLT,X,X,X
ISTLJZO,X,X,X
ISTLJOZ,X,X,X
ISTLZJO,X,X,X
ISTLZOJ,X,X,X
ISTLOJZ,X,X,X
ISTLOZJ,X,X,X
ISTJLZO,X,X,X
ISTJLOZ,X,X,X
ISTJZLO,X,X,X
ISTJZOL,X,X,X
ISTJOLZ,X,X,X
ISTJOZL,X,X,X
ISTZLJO,X,X,X
ISTZLOJ,X,X,X
ISTZJLO,X,X,X
ISTZJOL,X,X,X
ISTZOLJ,X,X,X
ISTZOJL,X,X,X
ISTOLJZ,X,X,X
ISTOLZJ,X,X,X
ISTOJLZ,X,X,X
ISTOJZL,X,X,X
ISTOZLJ,X,X,X
ISTOZJL,X,X,X
ISLTJZO,X,X,X
ISLTJOZ,X,X,X
ISLTZJO,X,X,X
ISLTZOJ,X,X,X
ISLTOJZ,X,X,X
ISLTOZJ,X,X,X
ISLJTZO,X,X,X
ISLJTOZ,X,X,X
ISLJZTO,X,X,X
ISLJZOT,X,X,X
ISLJOTZ,X,X,X
ISLJOZT,X,X,X
ISLZTJO,X,X,X
ISLZTOJ,X,X,X
ISLZJTO,X,X,X
ISLZJOT,X,X,X
ISLZOTJ,X,X,X
ISLZOJT,X,X,X
ISLOTJZ,X,X,X
ISLOTZJ,X,X,X
ISLOJTZ,X,X,X
ISLOJZT,X,X,X
ISLOZTJ,X,X,X
ISLOZJT,X,X,X
ISJTLZO,X,X,X
ISJTLOZ,X,X,X
ISJTZLO,X,X,X
ISJTZOL,X,X,X
ISJTOLZ,X,X,X
ISJTOZL,X,X,X
ISJLTZO,X,X,X
ISJLTOZ,X,X,X
ISJLZTO,X,X,X
ISJLZOT,X,X,X
ISJLOTZ,X,X,X
ISJLOZT,X,X,X
ISJZTLO,X,X,X
ISJZTOL,X,X,X
ISJZLTO,X,X,X
ISJZLOT,X,X,X
ISJZOTL,X,X,X
ISJZOLT,X,X,X
ISJOTLZ,X,X,X
ISJOTZL,X,X,X
ISJOLTZ,X,X,X
ISJOLZT,X,X,X
ISJOZTL,X,X,X
ISJOZLT,X,X,X
ISZTLJO,X,X,X
ISZTLOJ,X,X,X
ISZTJLO,X,X,X
ISZTJOL,X,X,X
ISZTOLJ,X,X,X
ISZTOJL,X,X,X
ISZLTJO,X,X,X
ISZLTOJ,X,X,X
ISZLJTO,X,X,X
ISZLJOT,X,X,X
ISZLOTJ,X,X,X
ISZLOJT,X,X,X
ISZJTLO,X,X,X
ISZJTOL,X,X,X
ISZJLTO,X,X,X
ISZJLOT,X,X,X
ISZJOTL,X,X,X
ISZJOLT,X,X,X
ISZOTLJ,X,X,X
ISZOTJL,X,X,X
ISZOLTJ,X,X,X
ISZOLJT,X,X,X
ISZOJTL,X,X,X
ISZOJLT,X,X,X
ISOTLJZ,X,X,X
ISOTLZJ,X,X,X
ISOTJLZ,X,X,X
ISOTJZL,X,X,X
ISOTZLJ,X,X,X
ISOTZJL,X,X,X
ISOLTJZ,X,X,X
ISOLTZJ,X,X,X
ISOLJTZ,X,X,X
ISOLJZT,X,X,X
ISOLZTJ,X,X,X
ISOLZJT,X,X,X
ISOJTLZ,X,X,X
ISOJTZL,X,X,X
ISOJLTZ,X,X,X
ISOJLZT,X,X,X
ISOJZTL,X,X,X
ISOJZLT,X,X,X
ISOZTLJ,X,X,X
ISOZTJL,X,X,X
ISOZLTJ,X,X,X
ISOZLJT,X,X,X
ISOZJTL,X,X,X
ISOZJLT,X,X,X
IZTLJSO,X,X,X
IZTLJOS,X,X,X
IZTLSJO,X,X,X
IZTLSOJ,X,X,X
IZTLOJS,X,X,X
IZTLOSJ,X,X,X
IZTJLSO,X,X,X
IZTJLOS,X,X,X
IZTJSLO,X,X,X
IZTJSOL,X,X,X
IZTJOLS,X,X,X
IZTJOSL,X,X,X
IZTSLJO,X,X,X
IZTSLOJ,X,X,X
IZTSJLO,X,X,X
IZTSJOL,X,X,X
IZTSOLJ,X,X,X
IZTSOJL,X,X,X
IZTOLJS,X,X,X
IZTOLSJ,X,X,X
IZTOJLS,X,X,X
IZTOJSL,X,X,X
IZTOSLJ,X,X,X
IZTOSJL,X,X,X
IZLTJSO,X,X,X
IZLTJOS,X,X,X
IZLTSJO,X,X,X
IZLTSOJ,X,X,X
IZLTOJS,X,X,X
IZLTOSJ,X,X,X
IZLJTSO,X,X,X
IZLJTOS,X,X,X
IZLJSTO,X,X,X
IZLJSOT,X,X,X
IZLJOTS,X,X,X
IZLJOST,X,X,X
IZLSTJO,X,X,X
IZLSTOJ,X,X,X
IZLSJTO,X,X,X
IZLSJOT,X,X,X
IZLSOTJ,X,X,X
IZLSOJT,X,X,X
IZLOTJS,X,X,X
IZLOTSJ,X,X,X
IZLOJTS,X,X,X
IZLOJST,X,X,X
IZLOSTJ,X,X,X
IZLOSJT,X,X,X
IZJTLSO,X,X,X
IZJTLOS,X,X,X
IZJTSLO,X,X,X
IZJTSOL,X,X,X
IZJTOLS,X,X,X
IZJTOSL,X,X,X
IZJLTSO,X,X,X
IZJLTOS,X,X,X
IZJLSTO,X,X,X
IZJLSOT,X,X,X
IZJLOTS,X,X,X
IZJLOST,X,X,X
IZJSTLO,X,X,X
IZJSTOL,X,X,X
IZJSLTO,X,X,X
IZJSLOT,X,X,X
IZJSOTL,X,X,X
IZJSOLT,X,X,X
IZJOTLS,X,X,X
IZJOTSL,X,X,X
IZJOLTS,X,X,X
IZJOLST,X,X,X
IZJOSTL,X,X,X
IZJOSLT,X,X,X
IZSTLJO,X,X,X
IZSTLOJ,X,X,X
IZSTJLO,X,X,X
IZSTJOL,X,X,X
IZSTOLJ,X,X,X
IZSTOJL,X,X,X
IZSLTJO,X,X,X
IZSLTOJ,X,X,X
IZSLJTO,X,X,X
IZSLJOT,X,X,X
IZSLOTJ,X,X,X
IZSLOJT,X,X,X
IZSJTLO,X,X,X
IZSJTOL,X,X,X
IZSJLTO,X,X,X
IZSJLOT,X,X,X
IZSJOTL,X,X,X
IZSJOLT,X,X,X
IZSOTLJ,X,X,X
IZSOTJL,X,X,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,X
IZSOJTL,X,X,X
IZSOJLT,X,X,X
IZOTLJS,X,X,X
IZOTLSJ,X,X,X
IZOTJLS,X,X,X
IZOTJSL,X,X,X
IZOTSLJ,X,X,X
IZOTSJL,X,X,X
IZOLTJS,X,X,X
IZOLTSJ,X,X,X
IZOLJTS,X,X,X
IZOLJST,X,X,X
IZOLSTJ,X,X,X
IZOLSJT,X,X,X
IZOJTLS,X,X,X
IZOJTSL,X,X,X
IZOJLTS,X,X,X
IZOJLST,X,X,X
IZOJSTL,X,X,X
IZOJSLT,X,X,X
IZOSTLJ,X,X,X
IZOSTJL,X,X,X
IZOSLTJ,X,X,X
IZOSLJT,X,X,X
IZOSJTL,X,X,X
IZOSJLT,X,X,X
IOTLJSZ,X,X,X
IOTLJZS,X,X,X
IOTLSJZ,X,X,X
IOTLSZJ,X,X,X
IOTLZJS,X,X,X
IOTLZSJ,X,X,X
IOTJLSZ,X,X,X
IOTJLZS,X,X,X
IOTJSLZ,X,X,X
IOTJSZL,X,X,X
IOTJZLS,X,X,X
IOTJZSL,X,X,X
IOTSLJZ,X,X,X
IOTSLZJ,X,X,X
IOTSJLZ,X,X,X
IOTSJZL,X,X,X
IOTSZLJ,X,X,X
IOTSZJL,X,X,X
IOTZLJS,X,X,X
IOTZLSJ,X,X,X
IOTZJLS,X,X,X
IOTZJSL,X,X,X
IOTZSLJ,X,X,X
IOTZSJL,X,X,X
IOLTJSZ,X,X,X
IOLTJZS,X,X,X
IOLTSJZ,X,X,X
IOLTSZJ,X,X,X
IOLTZJS,X,X,X
IOLTZSJ,X,X,X
IOLJTSZ,X,X,X
IOLJTZS,X,X,X
IOLJSTZ,X,X,X
IOLJSZT,X,X,X
IOLJZTS,X,X,X
IOLJZST,X,X,X
IOLSTJZ,X,X,X
IOLSTZJ,X,X,X
IOLSJTZ,X,X,X
IOLSJZT,X,X,X
IOLSZTJ,X,X,X
IOLSZJT,X,X,X
IOLZTJS,X,X,X
IOLZTSJ,X,X,X
IOLZJTS,X,X,X
IOLZJST,X,X,X
IOLZSTJ,X,X,X
IOLZSJT,X,X,X
IOJTLSZ,X,X,X
IOJTLZS,X,X,X
IOJTSLZ,X,X,X
IOJTSZL,X,X,X
IOJTZLS,X,X,X
IOJTZSL,X,X,X
IOJLTSZ,X,X,X
IOJLTZS,X,X,X
IOJLSTZ,X,X,X
IOJLSZT,X,X,X
IOJLZTS,X,X,X
IOJLZST,X,X,X
IOJSTLZ,X,X,X
IOJSTZL,X,X,X
IOJSLTZ,X,X,X
IOJSLZT,X,X,X
IOJSZTL,X,X,X
IOJSZLT,X,X,X
IOJZTLS,X,X,X
IOJZTSL,X,X,X
IOJZLTS,X,X,X
IOJZLST,X,X,X
IOJZSTL,X,X,X
IOJZSLT,X,X,X
IOSTLJZ,X,X,X
IOSTLZJ,X,X,X
IOSTJLZ,X,X,X
IOSTJZL,X,X,X
IOSTZLJ,X,X,X
IOSTZJL,X,X,X
IOSLTJZ,X,X,X
IOSLTZJ,X,X,X
IOSLJTZ,X,X,X
IOSLJZT,X,X,X
IOSLZTJ,X,X,X
IOSLZJT,X,X,X
IOSJTLZ,X,X,X
IOSJTZL,X,X,X
IOSJLTZ,X,X,X
IOSJLZT,X,X,X
IOSJZTL,X,X,X
IOSJZLT,X,X,X
IOSZTLJ,X,X,X
IOSZTJL,X,X,X
IOSZLTJ,X,X,X
IOSZLJT,X,X,X
IOSZJTL,X,X,X
IOSZJLT,X,X,X
IOZTLJS,X,X,X
IOZTLSJ,X,X,X
IOZTJLS,X,X,X
IOZTJSL,X,X,X
IOZTSLJ,X,X,X
IOZTSJL,X,X,X
IOZLTJS,X,X,X
IOZLTSJ,X,X,X
IOZLJTS,X,X,X
IOZLJST,X,X,X
IOZLSTJ,X,X,X
IOZLSJT,X,X,X
IOZJTLS,X,X,X
IOZJTSL,X,X,X
IOZJLTS,X,X,X
IOZJLST,X,X,X
IOZJSTL,X,X,X
IOZJSLT,X,X,X
IOZSTLJ,X,X,X
IOZSTJL,X,X,X
IOZSLTJ,X,X,X
IOZSLJT,X,X,X
IOZSJTL,X,X,X
IOZSJLT,X,X,X
LTIJSZO,X,X,O
LTIJSOZ,X,X,X
LTIJZSO,X,X,O
LTIJZOS,X,X,X
LTIJOSZ,X,X,O
LTIJOZS,X,X,O
LTISJZO,X,X,O
LTISJOZ,X,X,X
LTISZJO,X,X,O
LTISZOJ,X,X,X
LTISOJZ,X,X,X
LTISOZJ,X,X,X
LTIZJSO,X,X,O
LTIZJOS,X,X,X
LTIZSJO,X,X,O
LTIZSOJ,X,X,X
LTIZOJS,X,X,X
LTIZOSJ,X,X,X
LTIOJSZ,X,X,O
LTIOJZS,X,X,O
LTIOSJZ,X,X,O
LTIOSZJ,X,X,O
LTIOZJS,X,X,O
LTIOZSJ,X,X,O
LTJISZO,X,X,O
LTJISOZ,X,X,X
LTJIZSO,X,X,O
LTJIZOS,X,X,X
LTJIOSZ,X,X,O
LTJIOZS,X,X,O
LTJSIZO,X,X,O
LTJSIOZ,X,X,X
LTJSZIO,X,X,O
LTJSZOI,X,X,X
LTJSOIZ,X,X,X
LTJSOZI,X,X,X
LTJZISO,X,X,O
LTJZIOS,X,O,X
LTJZSIO,X,X,O
LTJZSOI,X,X,X
LTJZOIS,X,O,X
LTJZOSI,X,O,X
LTJOISZ,X,X,O
LTJOIZS,X,X,O
LTJOSIZ,X,X,O
LTJOSZI,X,X,O
LTJOZIS,X,O,O
LTJOZSI,X,O,O
LTSIJZO,X,X,O
LTSIJOZ,X,X,X
LTSIZJO,X,X,O
LTSIZOJ,X,X,X
LTSIOJZ,X,X,X
LTSIOZJ,X,X,X
LTSJIZO,X,X,O
LTSJIOZ,X,X,X
LTSJZIO,X,X,O
LTSJZOI,X,X,X
LTSJOIZ,X,X,X
LTSJOZI,X,X,X
LTSZIJO,X,X,O
LTSZIOJ,X,X,X
LTSZJIO,X,X,O
LTSZJOI,X,X,X
LTSZOIJ,X,X,X
LTSZOJI,X,X,X
LTSOIJZ,X,X,X
LTSOIZJ,X,X,X
LTSOJIZ,X,X,X
LTSOJZI,X,X,X
LTSOZIJ,X,X,X
LTSOZJI,X,X,X
LTZIJSO,X,X,O
LTZIJOS,X,O,X
LTZISJO,X,X,O
LTZISOJ,X,X,X
LTZIOJS,X,O,X
LTZIOSJ,X,X,X
LTZJISO,X,X,O
LTZJIOS,X,O,X
LTZJSIO,X,X,O
LTZJSOI,X,X,X
LTZJOIS,X,O,X
LTZJOSI,X,O,X
LTZSIJO,X,X,O
LTZSIOJ,X,X,X
LTZSJIO,X,X,O
LTZSJOI,X,X,X
LTZSOIJ,X,X,X
LTZSOJI,X,X,X
LTZOIJS,X,O,X
LTZOISJ,X,X,X
LTZOJIS,X,O,X
LTZOJSI,X,O,X
LTZOSIJ,X,X,X
LTZOSJI,X,X,X
LTOIJSZ,X,X,O
LTOIJZS,X,X,O
LTOISJZ,X,X,O
LTOISZJ,X,X,O
LTOIZJS,X,X,O
LTOIZSJ,X,X,O
LTOJISZ,X,X,O
LTOJIZS,X,X,O
LTOJSIZ,X,X,O
LTOJSZI,X,X,O
LTOJZIS,X,O,O
LTOJZSI,X,O,O
LTOSIJZ,X,X,O
LTOSIZJ,X,X,O
LTOSJIZ,X,X,O
LTOSJZI,X,X,O
LTOSZIJ,X,X,O
LTOSZJI,X,X,O
LTOZIJS,X,O,O
LTOZISJ,X,X,O
LTOZJIS,X,O,O
LTOZJSI,X,O,O
LTOZSIJ,X,X,O
LTOZSJI,X,X,O
LITJSZO,X,X,X
LITJSOZ,X,X,X
LITJZSO,X,X,X
LITJZOS,X,X,X
LITJOSZ,X,X,X
LITJOZS,X,X,X
LITSJZO,X,X,X
LITSJOZ,X,X,X
LITSZJO,X,X,X
LITSZOJ,X,X,X
LITSOJZ,X,X,X
LITSOZJ,X,X,X
LITZJSO,X,X,X
LITZJOS,X,X,X
LITZSJO,X,X,X
LITZSOJ,X,X,X
LITZOJS,X,X,X
LITZOSJ,X,X,X
LITOJSZ,X,X,X
LITOJZS,X,X,X
LITOSJZ,X,X,X
LITOSZJ,X,X,X
LITOZJS,X,X,X
LITOZSJ,X,X,X
LIJTSZO,X,X,X
LIJTSOZ,X,X,X
LIJTZSO,X,X,X
LIJTZOS,X,X,X
LIJTOSZ,X,X,X
LIJTOZS,X,X,X
LIJSTZO,X,X,X
LIJSTOZ,X,X,X
LIJSZTO,X,X,X
LIJSZOT,O,X,X
LIJSOTZ,O,X,X
LIJSOZT,O,X,X
LIJZTSO,X,X,X
LIJZTOS,X,O,X
LIJZSTO,X,X,X
LIJZSOT,O,X,X
LIJZOTS,X,X,X
LIJZOST,O,X,X
LIJOTSZ,X,X,X
LIJOTZS,X,X,X
LIJOSTZ,O,X,X
LIJOSZT,O,X,X
LIJOZTS,X,X,X
LIJOZST,X,X,X
LISTJZO,X,X,X
LISTJOZ,X,X,X
LISTZJO,X,X,X
LISTZOJ,X,X,X
LISTOJZ,X,X,X
LISTOZJ,X,X,X
LISJTZO,X,X,X
LISJTOZ,X,X,X
LISJZTO,X,X,X
LISJZOT,O,X,X
LISJOTZ,O,X,X
LISJOZT,O,X,X
LISZTJO,X,X,X
LISZTOJ,X,X,X
LISZJTO,X,X,X
LISZJOT,O,X,X
LISZOTJ,X,X,X
LISZOJT,O,X,X
LISOTJZ,X,X,X
LISOTZJ,X,X,X
LISOJTZ,O,X,X
LISOJZT,O,X,X
LISOZTJ,X,X,X
LISOZJT,X,X,X
LIZTJSO,X,X,X
LIZTJOS,X,O,X
LIZTSJO,X,X,X
LIZTSOJ,X,X,X
LIZTOJS,X,O,X
LIZTOSJ,X,X,X
LIZJTSO,X,X,X
LIZJTOS,X,O,X
LIZJSTO,X,X,X
LIZJSOT,O,X,X
LIZJOTS,X,X,X
LIZJOST,O,X,X
LIZSTJO,X,X,X
LIZSTOJ,X,X,X
LIZSJTO,X,X,X
LIZSJOT,O,X,X
LIZSOTJ,X,X,X
LIZSOJT,O,X,X
LIZOTJS,X,X,X
LIZOTSJ,X,X,X
LIZOJTS,X,X,X
LIZOJST,O,X,X
LIZOSTJ,X,X,X
LIZOSJT,O,X,X
LIOTJSZ,X,X,X
LIOTJZS,X,X,X
LIOTSJZ,X,X,X
LIOTSZJ,X,X,X
LIOTZJS,X,X,X
LIOTZSJ,X,X,X
LIOJTSZ,X,X,X
LIOJTZS,X,X,X
LIOJSTZ,O,X,X
LIOJSZT,O,X,X
LIOJZTS,X,X,X
LIOJZST,X,X,X
LIOSTJZ,X,X,X
LIOSTZJ,X,X,X
LIOSJTZ,O,X,X
LIOSJZT,O,X,X
LIOSZTJ,X,X,X
LIOSZJT,X,X,X
LIOZTJS,X,X,X
LIOZTSJ,X,X,X
LIOZJTS,X,X,X
LIOZJST,X,X,X
LIOZSTJ,X,X,X
LIOZSJT,X,X,X
LJTISZO,X,X,O
LJTISOZ,X,X,X
LJTIZSO,X,X,O
LJTIZOS,X,X,X
LJTIOSZ,X,X,O
LJTIOZS,X,X,O
LJTSIZO,X,X,O
LJTSIOZ,X,X,X
LJTSZIO,X,X,O
LJTSZOI,X,X,X
LJTSOIZ,X,X,X
LJTSOZI,X,X,X
LJTZISO,X,X,O
LJTZIOS,X,O,X
LJTZSIO,X,X,O
LJTZSOI,X,X,X
LJTZOIS,X,O,X
LJTZOSI,X,O,X
LJTOISZ,X,X,O
LJTOIZS,X,X,O
LJTOSIZ,X,X,O
LJTOSZI,X,X,O
LJTOZIS,X,O,O
LJTOZSI,X,O,O
LJITSZO,X,X,X
LJITSOZ,X,X,X
LJITZSO,X,X,X
LJITZOS,X,X,X
LJITOSZ,X,X,X
LJITOZS,X,X,X
LJISTZO,X,X,X
LJISTOZ,X,X,X
LJISZTO,X,X,X
LJISZOT,O,X,X
LJISOTZ,O,X,X
LJISOZT,O,X,X
LJIZTSO,X,X,X
LJIZTOS,X,O,X
LJIZSTO,X,X,X
LJIZSOT,O,X,X
LJIZOTS,X,X,X
LJIZOST,O,X,X
LJIOTSZ,X,X,X
LJIOTZS,X,X,X
LJIOSTZ,O,X,X
LJIOSZT,O,X,X
LJIOZTS,X,X,X
LJIOZST,X,X,X
LJSTIZO,X,X,O
LJSTIOZ,X,X,X
LJSTZIO,X,X,O
LJSTZOI,X,X,X
LJSTOIZ,X,X,X
LJSTOZI,X,X,X
LJSITZO,X,X,X
LJSITOZ,X,X,X
LJSIZTO,X,X,X
LJSIZOT,O,X,X
LJSIOTZ,O,X,X
LJSIOZT,O,X,X
LJSZTIO,X,X,O
LJSZTOI,X,X,X
LJSZITO,X,X,O
LJSZIOT,O,X,O
LJSZOTI,O,X,X
LJSZOIT,O,X,X
LJSOTIZ,O,X,X
LJSOTZI,X,X,X
LJSOITZ,O,X,X
LJSOIZT,O,X,X
LJSOZTI,O,X,X
LJSOZIT,O,X,X
LJZTISO,X,X,O
LJZTIOS,X,O,X
LJZTSIO,X,X,O
LJZTSOI,X,X,X
LJZTOIS,X,O,X
LJZTOSI,X,O,X
LJZITSO,X,X,X
LJZITOS,X,O,X
LJZISTO,X,X,O
LJZISOT,O,X,O
LJZIOTS,X,X,X
LJZIOST,O,X,X
LJZSTIO,X,X,O
LJZSTOI,X,X,X
LJZSITO,X,X,O
LJZSIOT,O,X,O
LJZSOTI,O,X,X
LJZSOIT,O,X,X
LJZOTIS,X,X,X
LJZOTSI,X,X,X
LJZOITS,X,X,X
LJZOIST,O,X,X
LJZOSTI,O,X,X
LJZOSIT,O,X,X
LJOTISZ,O,X,O
LJOTIZS,X,X,O
LJOTSIZ,O,X,O
LJOTSZI,X,X,O
LJOTZIS,X,X,O
LJOTZSI,X,X,O
LJOITSZ,X,X,X
LJOITZS,X,X,X
LJOISTZ,O,X,X
LJOISZT,O,X,X
LJOIZTS,X,X,X
LJOIZST,X,X,X
LJOSTIZ,O,X,O
LJOSTZI,X,X,O
LJOSITZ,O,X,X
LJOSIZT,O,X,X
LJOSZTI,O,X,O
LJOSZIT,O,X,O
LJOZTIS,X,X,O
LJOZTSI,X,X,O
LJOZITS,X,X,X
LJOZIST,O,X,O
LJOZSTI,O,X,O
LJOZSIT,O,X,O
LSTIJZO,X,X,O
LSTIJOZ,X,X,X
LSTIZJO,X,X,O
LSTIZOJ,X,X,X
LSTIOJZ,X,X,X
LSTIOZJ,X,X,X
LSTJIZO,X,X,O
LSTJIOZ,X,X,X
LSTJZIO,X,X,O
LSTJZOI,X,X,X
LSTJOIZ,X,X,X
LSTJOZI,X,X,X
LSTZIJO,X,X,O
LSTZIOJ,X,X,X
LSTZJIO,X,X,O
LSTZJOI,X,X,X
LSTZOIJ,X,X,X
LSTZOJI,X,X,X
LSTOIJZ,X,X,X
LSTOIZJ,X,X,X
LSTOJIZ,X,X,X
LSTOJZI,X,X,X
LSTOZIJ,X,X,X
LSTOZJI,X,X,X
LSITJZO,X,X,X
LSITJOZ,X,X,X
LSITZJO,X,X,X
LSITZOJ,X,X,X
LSITOJZ,X,X,X
LSITOZJ,X,X,X
LSIJTZO,X,X,X
LSIJTOZ,X,X,X
LSIJZTO,X,X,X
LSIJZOT,O,X,X
LSIJOTZ,O,X,X
LSIJOZT,O,X,X
LSIZTJO,X,X,X
LSIZTOJ,X,X,X
LSIZJTO,X,X,X
LSIZJOT,O,X,X
LSIZOTJ,X,X,X
LSIZOJT,O,X,X
LSIOTJZ,X,X,X
LSIOTZJ,X,X,X
LSIOJTZ,O,X,X
LSIOJZT,O,X,X
LSIOZTJ,X,X,X
LSIOZJT,X,X,X
LSJTIZO,X,X,O
LSJTIOZ,X,X,X
LSJTZIO,X,X,O
LSJTZOI,X,X,X
LSJTOIZ,X,X,X
LSJTOZI,X,X,X
LSJITZO,X,X,X
LSJITOZ,X,X,X
LSJIZTO,X,X,X
LSJIZOT,O,X,X
LSJIOTZ,O,X,X
LSJIOZT,O,X,X
LSJZTIO,X,X,O
LSJZTOI,X,X,X
LSJZITO,X,X,O
LSJZIOT,O,X,O
LSJZOTI,O,X,X
LSJZOIT,O,X,X
LSJOTIZ,O,X,X
LSJOTZI,X,X,X
LSJOITZ,O,X,X
LSJOIZT,O,X,X
LSJOZTI,O,X,X
LSJOZIT,O,X,X
LSZTIJO,X,X,O
LSZTIOJ,X,X,X
LSZTJIO,X,X,O
LSZTJOI,X,X,X
LSZTOIJ,X,X,X
LSZTOJI,X,X,X
LSZITJO,X,X,X
LSZITOJ,X,X,X
LSZIJTO,X,X,O
LSZIJOT,O,X,O
LSZIOTJ,X,X,X
LSZIOJT,O,X,X
LSZJTIO,X,X,O
LSZJTOI,X,X,X
LSZJITO,X,X,O
LSZJIOT,O,X,O
LSZJOTI,O,X,X
LSZJOIT,O,X,X
LSZOTIJ,X,X,X
LSZOTJI,X,X,X
LSZOITJ,X,X,X
LSZOIJT,O,X,X
LSZOJTI,O,X,X
LSZOJIT,O,X,X
LSOTIJZ,O,X,X
LSOTIZJ,X,X,X
LSOTJIZ,O,X,X
LSOTJZI,X,X,X
LSOTZIJ,X,X,X
LSOTZJI,X,X,X
LSOITJZ,X,X,X
LSOITZJ,X,X,X
LSOIJTZ,O,X,X
LSOIJZT,O,X,X
LSOIZTJ,X,X,X
LSOIZJT,X,X,X
LSOJTIZ,O,X,X
LSOJTZI,X,X,X
LSOJITZ,O,X,X
LSOJIZT,O,X,X
LSOJZTI,O,X,X
LSOJZIT,O,X,X
LSOZTIJ,X,X,X
LSOZTJI,X,X,X
LSOZITJ,X,X,X
LSOZIJT,O,X,X
LSOZJTI,O,X,X
LSOZJIT,O,X,X
LZTIJSO,X,X,O
LZTIJOS,X,O,X
LZTISJO,X,X,O
LZTISOJ,X,X,X
LZTIOJS,X,O,X
LZTIOSJ,X,X,X
LZTJISO,X,X,O
LZTJIOS,X,O,X
LZTJSIO,X,X,O
LZTJSOI,X,X,X
LZTJOIS,X,O,X
LZTJOSI,X,O,X
LZTSIJO,X,X,O
LZTSIOJ,X,X,X
LZTSJIO,X,X,O
LZTSJOI,X,X,X
LZTSOIJ,X,X,X
LZTSOJI,X,X,X
LZTOIJS,X,O,X
LZTOISJ,X,X,X
LZTOJIS,X,O,X
LZTOJSI,X,O,X
LZTOSIJ,X,X,X
LZTOSJI,X,X,X
LZITJSO,X,X,X
LZITJOS,X,O,X
LZITSJO,X,X,X
LZITSOJ,X,X,X
LZITOJS,X,O,X
LZITOSJ,X,X,X
