sequence,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFufB3bBTeBy?lB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFCbBehBTeBX?gB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei6IvhFzbBckB2lBx?iBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFWgBTeBylB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFmbB0gBxiBX?jBikBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhFOkBzgBxiB0?fBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jex6IvhFygBTeBOkB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFlbBykB8lBx?iBXjBmpB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT+IvhFRgB0iBlkB3?lBOkBiqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhF0fBzgBxiBO?kBXjBFqB
TSOIJZL,X,O,X,X,X,X,O,X,X,X
TSOIZLJ,X,X,X,X,X,X,X,X,O,O
TSOIZJL,X,X,X,X,X,X,X,X,O,X
TSOLIJZ,O,X,X,X,X,O,O,X,X,X
TSOLIZJ,O,X,X,X,X,X,O,X,X,O
TSOLJIZ,O,X,X,X,X,O,O,X,X,X
TSOLJZI,O,X,X,X,X,X,O,X,X,X
TSOLZIJ,O,X,X,X,X,X,O,X,X,O
TSOLZJI,O,X,X,X,X,X,O,X,X,X
TSOJILZ,O,O,X,X,X,O,O,X,X,X
TSOJIZL,X,O,X,X,X,X,O,X,X,X
TSOJLIZ,O,O,X,X,X,O,O,X,X,X
TSOJLZI,O,O,X,X,X,X,O,X,X,X
TSOJZIL,X,O,X,X,X,X,O,X,X,X
TSOJZLI,X,O,X,X,X,X,O,X,X,X
TSOZILJ,X,X,X,X,X,X,O,X,O,O
TSOZIJL,X,X,X,X,X,X,O,X,O,X
TSOZLIJ,X,X,X,X,X,X,O,X,O,O
TSOZLJI,X,X,X,X,X,X,O,X,O,X
TSOZJIL,X,X,X,X,X,X,O,X,O,X
TSOZJLI,X,X,X,X,X,X,O,X,O,X
TZILJSO,O,O,O,X,O,X,X,O,X,X
TZILJOS,O,O,O,X,O,X,X,O,X,X
TZILSJO,O,X,O,X,O,X,X,X,X,X
TZILSOJ,O,X,X,X,O,X,X,X,X,X
TZILOJS,O,O,O,X,O,X,X,X,X,O
TZILOSJ,O,X,X,X,O,X,X,X,X,O
TZIJLSO,O,O,O,X,O,X,X,O,X,X
TZIJLOS,O,O,O,X,O,X,X,O,X,X
TZIJSLO,O,O,O,X,O,X,X,O,X,X
TZIJSOL,O,O,O,X,X,X,X,X,X,X
TZIJOLS,O,O,O,X,O,O,X,O,X,O
TZIJOSL,O,O,O,X,X,X,X,X,X,X
TZISLJO,O,X,O,O,O,X,X,X,O,X
TZISLOJ,O,X,X,O,O,X,X,X,O,X
TZISJLO,O,O,O,O,O,X,X,O,O,X
TZISJOL,O,O,O,O,X,X,X,X,O,X
TZISOLJ,O,X,X,O,X,X,X,X,O,O
TZISOJL,O,O,X,O,X,X,X,X,O,X
TZIOLJS,O,O,O,X,O,O,X,X,X,O
TZIOLSJ,O,X,X,X,O,X,X,X,X,O
TZIOJLS,O,O,O,X,O,O,X,O,X,O
TZIOJSL,O,O,O,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,O,X,X,X,X,O,O
TZIOSJL,O,O,X,O,X,X,X,X,O,X
TZLIJSO,O,O,O,X,O,X,X,O,X,X
TZLIJOS,O,O,O,X,O,X,X,O,X,X
TZLISJO,O,X,O,X,O,X,X,X,X,X
TZLISOJ,O,X,X,X,O,X,X,X,X,X
TZLIOJS,O,O,O,X,O,X,X,X,X,O
TZLIOSJ,O,X,X,X,O,X,X,X,X,O
TZLJISO,O,O,O,X,O,X,X,O,X,X
TZLJIOS,O,O,O,X,O,X,X,O,X,X
TZLJSIO,O,O,O,X,O,X,X,O,X,X
TZLJSOI,O,O,O,X,O,X,X,O,X,X
TZLJOIS,O,O,O,X,O,X,X,O,X,X
TZLJOSI,O,O,O,X,O,X,X,O,X,X
TZLSIJO,O,X,O,X,O,X,X,X,O,X
TZLSIOJ,O,X,X,X,O,X,X,X,O,X
TZLSJIO,O,X,O,X,O,X,X,X,O,X
TZLSJOI,O,X,O,X,O,X,X,X,O,X
TZLSOIJ,O,X,X,X,O,X,X,X,O,X
TZLSOJI,O,X,X,X,O,X,X,X,O,X
TZLOIJS,O,O,O,X,O,X,X,X,X,O
TZLOISJ,O,X,X,X,O,X,X,X,X,O
TZLOJIS,O,O,O,X,O,X,X,X,X,O
TZLOJSI,O,O,O,X,O,X,X,X,X,X
TZLOSIJ,O,X,X,X,O,X,X,X,O,O
TZLOSJI,O,X,X,X,O,X,X,X,O,X
TZJILSO,O,O,O,X,O,X,X,O,X,X
TZJILOS,O,O,O,X,O,X,X,O,X,X
TZJISLO,O,O,O,X,O,X,X,O,X,X
TZJISOL,O,O,O,X,X,X,X,X,X,X
TZJIOLS,O,O,O,X,O,O,X,O,X,O
TZJIOSL,O,O,O,X,X,X,X,X,X,X
TZJLISO,O,O,O,X,O,X,X,O,X,X
TZJLIOS,O,O,O,X,O,X,X,O,X,X
TZJLSIO,O,O,O,X,O,X,X,O,X,X
TZJLSOI,O,O,O,X,O,X,X,O,X,X
TZJLOIS,O,O,O,X,O,X,X,O,X,X
TZJLOSI,O,O,O,X,O,X,X,O,X,X
TZJSILO,O,O,O,X,O,X,O,O,O,X
TZJSIOL,O,O,O,X,X,X,O,X,O,X
TZJSLIO,O,O,O,X,O,X,O,O,O,X
TZJSLOI,O,O,O,X,O,X,O,O,O,X
TZJSOIL,O,O,O,X,X,X,O,X,O,X
TZJSOLI,O,O,O,X,X,X,O,X,O,X
TZJOILS,O,O,O,X,O,O,X,O,X,O
TZJOISL,O,O,O,X,X,X,X,X,X,X
TZJOLIS,O,O,O,X,O,O,X,O,X,O
TZJOLSI,O,O,O,X,O,X,X,O,X,X
TZJOSIL,O,O,O,X,X,X,O,X,O,X
TZJOSLI,O,O,O,X,X,X,O,X,O,X
TZSILJO,O,X,O,O,O,X,O,X,O,X
TZSILOJ,O,X,X,O,O,X,O,X,O,X
TZSIJLO,O,O,O,O,O,X,O,O,O,X
TZSIJOL,O,O,O,O,X,X,O,X,O,X
TZSIOLJ,O,X,X,O,X,X,O,X,O,O
TZSIOJL,O,O,X,O,X,X,O,X,O,X
TZSLIJO,O,X,O,O,O,X,O,X,O,X
TZSLIOJ,O,X,X,O,O,X,O,X,O,X
TZSLJIO,O,X,O,O,O,X,O,X,O,X
TZSLJOI,O,X,O,O,O,X,O,X,O,X
TZSLOIJ,O,X,X,O,O,X,O,X,O,X
TZSLOJI,O,X,X,O,O,X,O,X,O,X
TZSJILO,O,O,O,O,O,X,O,O,O,X
TZSJIOL,O,O,O,O,X,X,O,X,O,X
TZSJLIO,O,O,O,O,O,X,O,O,O,X
TZSJLOI,O,O,O,O,O,X,O,O,O,X
TZSJOIL,O,O,O,O,X,X,O,X,O,X
TZSJOLI,O,O,O,O,X,X,O,X,O,X
TZSOILJ,O,X,X,O,X,X,O,X,O,O
TZSOIJL,O,O,X,O,X,X,O,X,O,X
TZSOLIJ,O,X,X,O,X,X,O,X,O,O
TZSOLJI,O,X,X,O,X,X,O,X,O,X
TZSOJIL,O,O,X,O,X,X,O,X,O,X
TZSOJLI,O,O,X,O,X,X,O,X,O,X
TZOILJS,O,O,O,X,O,O,X,X,X,O
TZOILSJ,O,X,X,X,O,X,X,X,X,O
TZOIJLS,O,O,O,X,O,O,X,O,X,O
TZOIJSL,O,O,O,X,X,X,X,X,X,X
TZOISLJ,O,X,X,O,X,X,X,X,O,O
TZOISJL,O,O,X,O,X,X,X,X,O,X
TZOLIJS,O,O,O,X,O,O,X,X,X,O
TZOLISJ,O,X,X,X,O,X,X,X,X,O
TZOLJIS,O,O,O,X,O,O,X,X,X,O
TZOLJSI,O,O,O,X,O,X,X,X,X,X
TZOLSIJ,O,X,X,X,O,X,X,X,O,O
TZOLSJI,O,X,X,X,O,X,X,X,O,X
TZOJILS,O,O,O,X,O,O,X,O,X,O
TZOJISL,O,O,O,X,X,X,X,X,X,X
TZOJLIS,O,O,O,X,O,O,X,O,X,O
TZOJLSI,O,O,O,X,O,X,X,O,X,X
TZOJSIL,O,O,O,X,X,X,O,X,O,X
TZOJSLI,O,O,O,X,X,X,O,X,O,X
TZOSILJ,O,X,X,O,X,X,O,X,O,O
TZOSIJL,O,O,X,O,X,X,O,X,O,X
TZOSLIJ,O,X,X,O,X,X,O,X,O,O
TZOSLJI,O,X,X,O,X,X,O,X,O,X
TZOSJIL,O,O,X,O,X,X,O,X,O,X
TZOSJLI,O,O,X,O,X,X,O,X,O,X
TOILJSZ,O,O,X,X,X,O,X,X,X,X
TOILJZS,O,X,X,X,O,O,X,X,X,O
TOILSJZ,O,X,X,X,X,O,X,X,X,X
TOILSZJ,O,X,X,X,O,X,X,X,X,O
TOILZJS,O,X,X,X,O,O,X,X,X,O
TOILZSJ,O,X,X,X,O,X,X,X,X,O
TOIJLSZ,O,O,X,X,X,O,X,X,X,X
TOIJLZS,O,X,O,X,X,O,X,X,X,O
TOIJSLZ,O,O,X,X,X,O,X,X,X,X
TOIJSZL,X,O,O,X,X,X,X,X,X,X
TOIJZLS,O,O,O,X,X,O,X,X,X,O
TOIJZSL,O,O,O,X,X,X,X,X,X,X
TOISLJZ,O,X,X,X,X,O,X,X,X,X
TOISLZJ,O,X,X,X,X,X,X,X,X,O
TOISJLZ,O,O,X,X,X,O,X,X,X,X
TOISJZL,X,O,X,X,X,X,X,X,X,X
TOISZLJ,X,X,X,X,X,X,X,X,X,O
TOISZJL,X,X,X,X,X,X,X,X,X,X
TOIZLJS,O,O,O,X,O,O,X,X,X,O
TOIZLSJ,O,X,X,X,O,X,X,X,X,O
TOIZJLS,O,O,O,X,O,O,X,X,X,O
TOIZJSL,O,O,O,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,X,X,X,O
TOIZSJL,O,O,X,X,X,X,X,X,X,X
TOLIJSZ,O,O,X,X,X,O,X,X,X,X
TOLIJZS,O,X,X,X,O,O,X,X,X,O
TOLISJZ,O,X,X,X,X,O,X,X,X,X
TOLISZJ,O,X,X,X,O,X,X,X,X,O
TOLIZJS,O,X,X,X,O,O,X,X,X,O
TOLIZSJ,O,X,X,X,O,X,X,X,X,O
TOLJISZ,O,O,X,X,X,O,X,X,X,X
TOLJIZS,O,X,X,X,O,O,X,X,X,O
TOLJSIZ,O,O,X,X,X,O,X,X,X,X
TOLJSZI,O,O,X,X,X,X,X,X,X,X
TOLJZIS,O,X,X,X,O,O,X,X,X,O
TOLJZSI,O,X,X,X,O,X,X,X,X,X
TOLSIJZ,O,X,X,X,X,O,X,X,X,X
TOLSIZJ,O,X,X,X,O,X,X,X,X,O
TOLSJIZ,O,X,X,X,X,O,X,X,X,X
TOLSJZI,O,X,X,X,X,X,X,X,X,X
TOLSZIJ,O,X,X,X,O,X,X,X,X,O
TOLSZJI,O,X,X,X,O,X,X,X,X,X
TOLZIJS,O,X,X,X,O,O,X,X,X,O
TOLZISJ,O,X,X,X,O,X,X,X,X,O
TOLZJIS,O,X,X,X,O,O,X,X,X,O
TOLZJSI,O,X,X,X,O,X,X,X,X,X
TOLZSIJ,O,X,X,X,O,X,X,X,X,O
TOLZSJI,O,X,X,X,O,X,X,X,X,X
TOJILSZ,O,O,X,X,X,O,X,X,X,X
TOJILZS,O,X,O,X,X,O,X,X,X,O
TOJISLZ,O,O,X,X,X,O,X,X,X,X
TOJISZL,X,O,O,X,X,X,X,X,X,X
TOJIZLS,O,O,O,X,X,O,X,X,X,O
TOJIZSL,O,O,O,X,X,X,X,X,X,X
TOJLISZ,O,O,X,X,X,O,X,X,X,X
TOJLIZS,O,X,O,X,X,O,X,X,X,O
TOJLSIZ,O,O,X,X,X,O,X,X,X,X
TOJLSZI,O,O,X,X,X,X,X,X,X,X
TOJLZIS,O,X,O,X,X,O,X,X,X,O
TOJLZSI,O,X,O,X,X,X,X,X,X,X
TOJSILZ,O,O,X,X,X,O,O,X,X,X
TOJSIZL,X,O,O,X,X,X,O,X,X,X
TOJSLIZ,O,O,X,X,X,O,O,X,X,X
TOJSLZI,O,O,X,X,X,X,O,X,X,X
TOJSZIL,X,O,O,X,X,X,O,X,X,X
TOJSZLI,X,O,O,X,X,X,O,X,X,X
TOJZILS,O,O,O,X,X,O,X,X,X,O
TOJZISL,O,O,O,X,X,X,X,X,X,X
TOJZLIS,O,O,O,X,X,O,X,X,X,O
TOJZLSI,O,O,O,X,X,X,X,X,X,X
TOJZSIL,O,O,O,X,X,X,X,X,X,X
TOJZSLI,O,O,O,X,X,X,X,X,X,X
TOSILJZ,O,X,X,X,X,O,O,X,X,X
TOSILZJ,O,X,X,X,X,X,O,X,X,O
TOSIJLZ,O,O,X,X,X,O,O,X,X,X
TOSIJZL,X,O,X,X,X,X,O,X,X,X
TOSIZLJ,X,X,X,X,X,X,X,X,O,O
TOSIZJL,X,X,X,X,X,X,X,X,O,X
TOSLIJZ,O,X,X,X,X,O,O,X,X,X
TOSLIZJ,O,X,X,X,X,X,O,X,X,O
TOSLJIZ,O,X,X,X,X,O,O,X,X,X
TOSLJZI,O,X,X,X,X,X,O,X,X,X
TOSLZIJ,O,X,X,X,X,X,O,X,X,O
TOSLZJI,O,X,X,X,X,X,O,X,X,X
TOSJILZ,O,O,X,X,X,O,O,X,X,X
TOSJIZL,X,O,X,X,X,X,O,X,X,X
TOSJLIZ,O,O,X,X,X,O,O,X,X,X
TOSJLZI,O,O,X,X,X,X,O,X,X,X
TOSJZIL,X,O,X,X,X,X,O,X,X,X
TOSJZLI,X,O,X,X,X,X,O,X,X,X
TOSZILJ,X,X,X,X,X,X,X,X,O,O
TOSZIJL,X,X,X,X,X,X,X,X,O,X
TOSZLIJ,X,X,X,X,X,X,O,X,O,O
TOSZLJI,X,X,X,X,X,X,O,X,O,X
TOSZJIL,X,X,X,X,X,X,O,X,O,X
TOSZJLI,X,X,X,X,X,X,O,X,O,X
TOZILJS,O,O,O,X,O,O,X,X,X,O
TOZILSJ,O,X,X,X,O,X,X,X,X,O
TOZIJLS,O,O,O,X,O,O,X,X,X,O
TOZIJSL,O,O,O,X,X,X,X,X,X,X
TOZISLJ,O,X,X,X,X,X,X,X,O,O
TOZISJL,O,O,X,X,X,X,X,X,O,X
TOZLIJS,O,O,O,X,O,O,X,X,X,O
TOZLISJ,O,X,X,X,O,X,X,X,X,O
TOZLJIS,O,O,O,X,O,O,X,X,X,O
TOZLJSI,O,O,O,X,O,X,X,X,X,X
TOZLSIJ,O,X,X,X,O,X,X,X,O,O
TOZLSJI,O,X,X,X,O,X,X,X,O,X
TOZJILS,O,O,O,X,O,O,X,X,X,O
TOZJISL,O,O,O,X,X,X,X,X,X,X
TOZJLIS,O,O,O,X,O,O,X,X,X,O
TOZJLSI,O,O,O,X,O,X,X,X,X,X
TOZJSIL,O,O,O,X,X,X,X,X,O,X
TOZJSLI,O,O,O,X,X,X,X,X,O,X
TOZSILJ,O,X,X,X,X,X,X,X,O,O
TOZSIJL,O,O,X,X,X,X,X,X,O,X
TOZSLIJ,O,X,X,X,X,X,X,X,O,O
TOZSLJI,O,X,X,X,X,X,X,X,O,X
TOZSJIL,O,O,X,X,X,X,X,X,O,X
TOZSJLI,O,O,X,X,X,X,X,X,O,X
ITLJSZO,O,O,X,X,X,X,X,X,X,X
ITLJSOZ,O,O,X,X,X,X,X,X,X,X
ITLJZSO,O,O,O,X,O,X,X,X,X,X
ITLJZOS,O,O,O,X,O,X,X,X,X,X
ITLJOSZ,O,O,X,X,X,O,X,X,X,X
ITLJOZS,O,X,O,X,O,O,X,X,X,X
ITLSJZO,O,X,X,X,X,X,X,X,X,X
ITLSJOZ,O,X,X,X,X,X,X,X,X,X
ITLSZJO,O,X,X,X,O,X,X,X,X,X
ITLSZOJ,O,X,X,X,O,X,X,X,X,X
ITLSOJZ,O,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,X,X,X,O,X,X,X,X,X
ITLZJSO,O,O,O,X,O,X,X,X,X,X
ITLZJOS,O,O,O,X,O,X,X,X,X,X
ITLZSJO,O,X,O,X,O,X,X,X,X,X
ITLZSOJ,O,X,X,X,O,X,X,X,X,X
ITLZOJS,O,O,O,X,O,X,X,X,X,O
ITLZOSJ,O,X,X,X,O,X,X,X,X,O
ITLOJSZ,O,O,X,X,X,O,X,X,X,X
ITLOJZS,O,X,X,X,O,O,X,X,X,O
ITLOSJZ,O,X,X,X,X,O,X,X,X,X
ITLOSZJ,O,X,X,X,O,X,X,X,X,O
ITLOZJS,O,X,X,X,O,O,X,X,X,O
ITLOZSJ,O,X,X,X,O,X,X,X,X,O
ITJLSZO,O,O,X,X,X,X,X,X,X,X
ITJLSOZ,O,O,X,X,X,X,X,X,X,X
ITJLZSO,O,O,O,X,O,X,X,O,X,X
ITJLZOS,O,O,O,X,O,X,X,O,X,X
ITJLOSZ,O,O,X,X,X,O,X,X,X,X
ITJLOZS,O,X,O,X,O,O,X,O,X,X
ITJSLZO,O,O,X,X,X,X,X,X,X,X
ITJSLOZ,O,O,X,X,X,X,X,X,X,X
ITJSZLO,O,O,O,X,X,X,X,X,X,X
ITJSZOL,O,O,O,X,X,X,X,X,X,X
ITJSOLZ,O,O,X,X,X,O,X,X,X,X
ITJSOZL,X,O,O,X,X,X,X,X,X,X
ITJZLSO,O,O,O,X,O,X,X,O,X,X
ITJZLOS,O,O,O,X,O,X,X,O,X,X
ITJZSLO,O,O,O,X,O,X,X,O,X,X
ITJZSOL,O,O,O,X,X,X,X,X,X,X
ITJZOLS,O,O,O,X,O,O,X,O,X,O
ITJZOSL,O,O,O,X,X,X,X,X,X,X
ITJOLSZ,O,O,X,X,X,O,X,X,X,X
ITJOLZS,O,X,O,X,X,O,X,X,X,O
ITJOSLZ,O,O,X,X,X,O,X,X,X,X
ITJOSZL,X,O,O,X,X,X,X,X,X,X
ITJOZLS,O,O,O,X,X,O,X,X,X,O
ITJOZSL,O,O,O,X,X,X,X,X,X,X
ITSLJZO,O,X,X,O,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,X,X,X
ITSLZJO,O,X,X,O,O,X,X,X,O,X
ITSLZOJ,O,X,X,O,O,X,X,X,O,X
ITSLOJZ,O,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,O,X,X,X,X,X
ITSJLZO,O,O,X,O,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,X,X,X,X,X
ITSJZLO,O,O,O,O,X,X,X,X,O,X
ITSJZOL,O,O,O,O,X,X,X,X,O,X
ITSJOLZ,O,O,X,X,X,O,X,X,X,X
ITSJOZL,X,O,O,X,X,X,X,X,X,X
ITSZLJO,O,X,O,O,O,X,X,X,O,X
ITSZLOJ,O,X,X,O,O,X,X,X,O,X
ITSZJLO,O,O,O,O,O,X,X,X,O,X
ITSZJOL,O,O,O,O,X,X,X,X,O,X
ITSZOLJ,O,X,X,O,X,X,X,X,O,O
ITSZOJL,O,O,X,O,X,X,X,X,O,X
ITSOLJZ,O,X,X,X,X,O,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X,X,O
ITSOJLZ,O,O,X,X,X,O,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X,X,X,X
ITSOZLJ,X,X,X,X,X,X,X,X,O,O
ITSOZJL,X,X,X,X,X,X,X,X,O,X
ITZLJSO,O,O,O,X,O,X,X,O,X,X
ITZLJOS,O,O,O,X,O,X,X,O,X,X
ITZLSJO,O,X,O,X,O,X,X,X,X,X
ITZLSOJ,O,X,X,X,O,X,X,X,X,X
ITZLOJS,O,O,O,X,O,X,X,X,X,O
ITZLOSJ,O,X,X,X,O,X,X,X,X,O
ITZJLSO,O,O,O,X,O,X,X,O,X,X
ITZJLOS,O,O,O,X,O,X,X,O,X,X
ITZJSLO,O,O,O,X,O,X,X,O,X,X
ITZJSOL,O,O,O,X,X,X,X,X,X,X
ITZJOLS,O,O,O,X,O,O,X,O,X,O
ITZJOSL,O,O,O,X,X,X,X,X,X,X
ITZSLJO,O,X,O,O,O,X,X,X,O,X
ITZSLOJ,O,X,X,O,O,X,X,X,O,X
ITZSJLO,O,O,O,O,O,X,X,O,O,X
ITZSJOL,O,O,O,O,X,X,X,X,O,X
ITZSOLJ,O,X,X,O,X,X,X,X,O,O
ITZSOJL,O,O,X,O,X,X,X,X,O,X
ITZOLJS,O,O,O,X,O,O,X,X,X,O
ITZOLSJ,O,X,X,X,O,X,X,X,X,O
ITZOJLS,O,O,O,X,O,O,X,O,X,O
ITZOJSL,O,O,O,X,X,X,X,X,X,X
ITZOSLJ,O,X,X,O,X,X,X,X,O,O
ITZOSJL,O,O,X,O,X,X,X,X,O,X
ITOLJSZ,O,O,X,X,X,O,X,X,X,X
ITOLJZS,O,X,X,X,O,O,X,X,X,O
ITOLSJZ,O,X,X,X,X,O,X,X,X,X
ITOLSZJ,O,X,X,X,O,X,X,X,X,O
ITOLZJS,O,X,X,X,O,O,X,X,X,O
ITOLZSJ,O,X,X,X,O,X,X,X,X,O
ITOJLSZ,O,O,X,X,X,O,X,X,X,X
ITOJLZS,O,X,O,X,X,O,X,X,X,O
ITOJSLZ,O,O,X,X,X,O,X,X,X,X
ITOJSZL,X,O,O,X,X,X,X,X,X,X
ITOJZLS,O,O,O,X,X,O,X,X,X,O
ITOJZSL,O,O,O,X,X,X,X,X,X,X
ITOSLJZ,O,X,X,X,X,O,X,X,X,X
ITOSLZJ,O,X,X,X,X,X,X,X,X,O
ITOSJLZ,O,O,X,X,X,O,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,X,X,X,X,X,X,X,X,X,O
ITOSZJL,X,X,X,X,X,X,X,X,X,X
ITOZLJS,O,O,O,X,O,O,X,X,X,O
ITOZLSJ,O,X,X,X,O,X,X,X,X,O
ITOZJLS,O,O,O,X,O,O,X,X,X,O
ITOZJSL,O,O,O,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,X,X,X,O
ITOZSJL,O,O,X,X,X,X,X,X,X,X
ILTJSZO,O,O,X,X,X,X,X,X,X,X
ILTJSOZ,O,O,X,X,X,X,X,X,X,X
ILTJZSO,O,O,O,X,O,X,X,X,X,X
ILTJZOS,O,O,O,X,O,X,X,X,X,X
ILTJOSZ,O,O,X,X,X,O,X,X,X,X
ILTJOZS,O,X,O,X,O,O,X,X,X,X
ILTSJZO,O,X,X,X,X,X,X,X,X,X
ILTSJOZ,O,X,X,X,X,X,X,X,X,X
ILTSZJO,O,X,X,X,O,X,X,X,X,X
ILTSZOJ,O,X,X,X,O,X,X,X,X,X
ILTSOJZ,O,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,X,X,X,O,X,X,X,X,X
ILTZJSO,O,O,O,X,O,X,X,X,X,X
ILTZJOS,O,O,O,X,O,X,X,X,X,X
ILTZSJO,O,X,O,X,O,X,X,X,X,X
ILTZSOJ,O,X,X,X,O,X,X,X,X,X
ILTZOJS,O,O,O,X,O,X,X,X,X,O
ILTZOSJ,O,X,X,X,O,X,X,X,X,O
ILTOJSZ,O,O,X,X,X,O,X,X,X,X
ILTOJZS,O,X,X,X,O,O,X,X,X,O
ILTOSJZ,O,X,X,X,X,O,X,X,X,X
ILTOSZJ,O,X,X,X,O,X,X,X,X,O
ILTOZJS,O,X,X,X,O,O,X,X,X,O
ILTOZSJ,O,X,X,X,O,X,X,X,X,O
ILJTSZO,X,O,X,X,X,X,X,X,X,X
ILJTSOZ,X,O,X,X,X,X,X,X,X,X
ILJTZSO,X,O,O,X,X,X,X,O,X,X
ILJTZOS,X,O,O,X,X,X,X,O,X,X
ILJTOSZ,X,O,X,X,X,O,X,X,X,X
ILJTOZS,X,X,O,X,X,O,X,O,X,X
ILJSTZO,O,O,X,X,X,X,X,X,X,X
ILJSTOZ,O,O,X,X,X,X,X,X,X,X
ILJSZTO,O,O,X,X,X,X,X,O,X,X
ILJSZOT,O,O,X,X,X,X,X,O,X,X
ILJSOTZ,O,O,X,X,X,X,X,X,X,X
ILJSOZT,O,O,X,X,X,X,X,O,X,X
ILJZTSO,X,O,X,X,X,X,X,O,X,X
ILJZTOS,X,O,O,X,O,X,X,O,X,X
ILJZSTO,O,O,X,X,X,X,X,O,X,X
ILJZSOT,O,O,O,X,O,X,X,O,X,X
ILJZOTS,X,O,O,X,O,X,X,O,X,X
ILJZOST,O,O,O,X,O,X,X,O,X,X
ILJOTSZ,X,O,X,X,X,O,X,X,X,X
ILJOTZS,X,X,O,X,X,O,X,O,X,X
ILJOSTZ,O,O,X,X,X,O,X,X,X,X
ILJOSZT,O,O,X,X,X,O,X,O,X,X
ILJOZTS,X,X,O,X,O,O,X,O,X,X
ILJOZST,X,X,O,X,O,O,X,O,X,X
ILSTJZO,O,X,X,O,X,X,X,X,X,X
ILSTJOZ,O,X,X,X,X,X,X,X,X,X
ILSTZJO,O,X,X,O,X,X,X,X,X,X
ILSTZOJ,O,X,X,O,X,X,X,X,X,X
ILSTOJZ,O,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,X,X,X,X,X,X,X,X
ILSJTZO,O,X,X,O,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,X,X
ILSJZTO,O,X,X,O,X,X,X,X,X,X
ILSJZOT,O,X,X,O,X,X,X,X,X,X
ILSJOTZ,O,X,X,X,X,X,X,X,X,X
ILSJOZT,O,X,X,O,X,X,X,X,X,X
ILSZTJO,O,X,X,O,X,X,X,X,X,X
ILSZTOJ,O,X,X,O,X,X,X,X,X,X
ILSZJTO,O,X,X,O,X,X,X,X,X,X
ILSZJOT,O,X,X,O,O,X,X,X,X,X
ILSZOTJ,O,X,X,O,X,X,X,X,X,X
ILSZOJT,O,X,X,O,O,X,X,X,X,X
ILSOTJZ,O,X,X,X,X,X,X,X,X,X
ILSOTZJ,O,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,X,X,X,X,X,X,X,X,X
ILSOJZT,O,X,X,O,X,X,X,X,X,X
ILSOZTJ,O,X,X,O,X,X,X,X,X,X
ILSOZJT,O,X,X,O,O,X,X,X,X,X
ILZTJSO,O,O,O,X,O,X,X,O,X,X
ILZTJOS,O,O,O,X,O,X,X,O,X,X
ILZTSJO,O,X,O,X,O,X,X,X,X,X
ILZTSOJ,O,X,X,X,O,X,X,X,X,X
ILZTOJS,O,O,O,X,O,X,X,X,X,X
ILZTOSJ,O,X,X,X,O,X,X,X,X,X
ILZJTSO,X,O,O,X,O,X,X,O,X,X
ILZJTOS,X,O,O,X,O,X,X,O,X,X
ILZJSTO,O,O,X,X,X,X,X,O,X,X
ILZJSOT,O,O,O,X,O,X,X,O,X,X
ILZJOTS,X,O,O,X,O,X,X,O,X,X
ILZJOST,O,O,O,X,O,X,X,O,X,X
ILZSTJO,O,X,O,O,X,X,X,X,X,X
ILZSTOJ,O,X,X,O,X,X,X,X,X,X
ILZSJTO,O,X,X,O,X,X,X,X,X,X
ILZSJOT,O,X,O,O,O,X,X,X,X,X
ILZSOTJ,O,X,X,O,X,X,X,X,X,X
ILZSOJT,O,X,X,O,O,X,X,X,X,X
ILZOTJS,O,O,O,X,O,X,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,X,X,X,X
ILZOJTS,X,O,O,X,O,X,X,X,X,X
ILZOJST,O,O,O,X,O,X,X,X,X,X
ILZOSTJ,O,X,X,O,X,X,X,X,X,X
ILZOSJT,O,X,X,O,O,X,X,X,X,X
