sequence,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFOgB8gBfiB6?iBZjBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFibBGdBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Je2/IvhFzbBfiB6iBZ?jBUgBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBSiBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jex6IvhF8gBzcBmfBa?oB3iBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBRdBUgBe?oBXnBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBRiB3gBU?iBaoBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBmdBUgB1?nBRsBfsB
TZJSOIL,O,O,X,X,X,X,X,X
TZJSOLI,O,O,X,X,X,X,X,X
TZJOILS,X,X,X,X,O,X,X,X
TZJOISL,O,O,X,X,X,X,X,X
TZJOLIS,X,X,X,X,O,X,X,X
TZJOLSI,X,X,X,X,O,X,X,X
TZJOSIL,O,O,X,X,X,X,X,X
TZJOSLI,O,O,X,X,X,X,X,X
TZSILJO,O,O,X,X,X,X,X,X
TZSILOJ,O,O,X,X,X,X,X,X
TZSIJLO,O,O,X,X,X,X,X,X
TZSIJOL,O,O,X,X,X,X,X,X
TZSIOLJ,O,O,X,X,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X,X
TZSLIJO,O,O,X,X,X,X,X,X
TZSLIOJ,O,O,X,X,X,X,X,X
TZSLJIO,O,O,X,X,X,X,X,X
TZSLJOI,O,O,X,X,X,X,X,X
TZSLOIJ,O,O,X,X,X,X,X,X
TZSLOJI,O,O,X,X,X,X,X,X
TZSJILO,O,O,X,X,X,X,X,X
TZSJIOL,O,O,X,X,X,X,X,X
TZSJLIO,O,O,X,X,X,X,X,X
TZSJLOI,O,O,X,X,X,X,X,X
TZSJOIL,O,O,X,X,X,X,X,X
TZSJOLI,O,O,X,X,X,X,X,X
TZSOILJ,O,O,X,X,X,X,X,X
TZSOIJL,O,O,X,X,X,X,X,X
TZSOLIJ,O,O,X,X,X,X,X,X
TZSOLJI,O,O,X,X,X,X,X,X
TZSOJIL,O,O,X,X,X,X,X,X
TZSOJLI,O,O,X,X,X,X,X,X
TZOILJS,X,X,X,X,X,X,X,X
TZOILSJ,X,X,X,X,X,X,X,X
TZOIJLS,X,X,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,X
TZOISLJ,O,O,X,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X,X
TZOLIJS,X,X,X,X,X,X,X,X
TZOLISJ,X,X,X,X,X,X,X,X
TZOLJIS,X,X,X,X,O,X,X,X
TZOLJSI,X,X,X,X,O,X,X,X
TZOLSIJ,X,X,X,X,X,X,X,X
TZOLSJI,X,X,X,X,X,X,X,X
TZOJILS,X,X,X,X,O,X,X,X
TZOJISL,O,O,X,X,X,X,X,X
TZOJLIS,X,X,X,X,O,X,X,X
TZOJLSI,X,X,X,X,O,X,X,X
TZOJSIL,O,O,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,X
TZOSILJ,O,O,X,X,X,X,X,X
TZOSIJL,O,O,X,X,X,X,X,X
TZOSLIJ,O,O,X,X,X,X,X,X
TZOSLJI,O,O,X,X,X,X,X,X
TZOSJIL,O,O,X,X,X,X,X,X
TZOSJLI,O,O,X,X,X,X,X,X
TOILJSZ,X,X,X,O,X,X,X,X
TOILJZS,X,X,X,O,X,X,X,X
TOILSJZ,X,X,X,X,X,X,X,X
TOILSZJ,X,X,X,X,X,X,X,X
TOILZJS,X,X,X,X,X,X,X,X
TOILZSJ,X,X,X,X,X,X,X,X
TOIJLSZ,X,X,X,O,X,X,O,X
TOIJLZS,X,X,X,O,X,X,O,X
TOIJSLZ,X,X,O,X,X,X,O,X
TOIJSZL,X,X,X,X,X,X,O,X
TOIJZLS,X,X,X,X,X,X,O,X
TOIJZSL,X,X,X,X,X,X,O,X
TOISLJZ,X,X,O,X,X,X,X,X
TOISLZJ,O,O,X,X,X,X,X,X
TOISJLZ,X,X,O,X,X,X,X,X
TOISJZL,X,X,X,X,X,X,X,X
TOISZLJ,O,O,X,X,X,X,X,X
TOISZJL,O,O,X,X,X,X,X,X
TOIZLJS,X,X,X,X,X,X,X,X
TOIZLSJ,X,X,X,X,X,X,X,X
TOIZJLS,X,X,X,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X,X
TOIZSLJ,O,O,X,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X,X
TOLIJSZ,X,X,X,O,X,X,X,X
TOLIJZS,X,X,X,O,X,X,X,X
TOLISJZ,X,X,X,X,X,X,X,X
TOLISZJ,X,X,X,X,X,X,X,X
TOLIZJS,X,X,X,X,X,X,X,X
TOLIZSJ,X,X,X,X,X,X,X,X
TOLJISZ,X,X,X,O,X,X,X,X
TOLJIZS,X,X,X,O,X,X,X,X
TOLJSIZ,X,X,X,X,X,X,X,X
TOLJSZI,X,X,X,X,X,X,X,X
TOLJZIS,X,X,X,X,O,X,X,X
TOLJZSI,X,X,X,X,O,X,X,X
TOLSIJZ,X,X,X,X,X,X,X,X
TOLSIZJ,X,X,X,X,X,X,X,X
TOLSJIZ,X,X,X,X,X,X,X,X
TOLSJZI,X,X,X,X,X,X,X,X
TOLSZIJ,X,X,X,X,X,X,X,X
TOLSZJI,X,X,X,X,X,X,X,X
TOLZIJS,X,X,X,X,X,X,X,X
TOLZISJ,X,X,X,X,X,X,X,X
TOLZJIS,X,X,X,X,O,X,X,X
TOLZJSI,X,X,X,X,O,X,X,X
TOLZSIJ,X,X,X,X,X,X,X,X
TOLZSJI,X,X,X,X,X,X,X,X
TOJILSZ,X,X,X,O,X,X,O,X
TOJILZS,X,X,X,O,X,X,O,X
TOJISLZ,X,X,O,X,X,X,O,X
TOJISZL,X,X,X,X,X,X,O,X
TOJIZLS,X,X,X,X,X,X,O,X
TOJIZSL,X,X,X,X,X,X,O,X
TOJLISZ,X,X,X,O,X,X,X,X
TOJLIZS,X,X,X,O,X,X,X,X
TOJLSIZ,X,X,X,X,X,X,X,X
TOJLSZI,X,X,X,X,X,X,X,X
TOJLZIS,X,X,X,X,O,X,X,X
TOJLZSI,X,X,X,X,O,X,X,X
TOJSILZ,X,X,O,X,X,X,X,X
TOJSIZL,X,X,X,X,X,X,X,X
TOJSLIZ,X,X,O,X,X,X,X,X
TOJSLZI,X,X,X,X,X,X,X,X
TOJSZIL,X,X,X,X,X,X,X,X
TOJSZLI,X,X,X,X,X,X,X,X
TOJZILS,X,X,X,X,O,X,X,X
TOJZISL,X,X,X,X,X,X,X,X
TOJZLIS,X,X,X,X,O,X,X,X
TOJZLSI,X,X,X,X,O,X,X,X
TOJZSIL,X,X,X,X,X,X,X,X
TOJZSLI,X,X,X,X,X,X,X,X
TOSILJZ,X,X,O,X,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X,X
TOSIJLZ,X,X,O,X,X,X,X,X
TOSIJZL,X,X,X,X,X,X,X,X
TOSIZLJ,O,O,X,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X,X,X
TOSLIJZ,X,X,O,X,X,X,X,X
TOSLIZJ,O,O,X,X,X,X,X,X
TOSLJIZ,X,X,O,X,X,X,X,X
TOSLJZI,X,X,X,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X
TOSJILZ,X,X,O,X,X,X,X,X
TOSJIZL,X,X,X,X,X,X,X,X
TOSJLIZ,X,X,O,X,X,X,X,X
TOSJLZI,X,X,X,X,X,X,X,X
TOSJZIL,X,X,X,X,X,X,X,X
TOSJZLI,X,X,X,X,X,X,X,X
TOSZILJ,O,O,X,X,X,X,X,X
TOSZIJL,O,O,X,X,X,X,X,X
TOSZLIJ,O,O,X,X,X,X,X,X
TOSZLJI,O,O,X,X,X,X,X,X
TOSZJIL,O,O,X,X,X,X,X,X
TOSZJLI,O,O,X,X,X,X,X,X
TOZILJS,X,X,X,X,X,X,X,X
TOZILSJ,X,X,X,X,X,X,X,X
TOZIJLS,X,X,X,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X,X
TOZISLJ,O,O,X,X,X,X,X,X
TOZISJL,O,O,X,X,X,X,X,X
TOZLIJS,X,X,X,X,X,X,X,X
TOZLISJ,X,X,X,X,X,X,X,X
TOZLJIS,X,X,X,X,O,X,X,X
TOZLJSI,X,X,X,X,O,X,X,X
TOZLSIJ,X,X,X,X,X,X,X,X
TOZLSJI,X,X,X,X,X,X,X,X
TOZJILS,X,X,X,X,O,X,X,X
TOZJISL,O,O,X,X,X,X,X,X
TOZJLIS,X,X,X,X,O,X,X,X
TOZJLSI,X,X,X,X,O,X,X,X
TOZJSIL,O,O,X,X,X,X,X,X
TOZJSLI,O,O,X,X,X,X,X,X
TOZSILJ,O,O,X,X,X,X,X,X
TOZSIJL,O,O,X,X,X,X,X,X
TOZSLIJ,O,O,X,X,X,X,X,X
TOZSLJI,O,O,X,X,X,X,X,X
TOZSJIL,O,O,X,X,X,X,X,X
TOZSJLI,O,O,X,X,X,X,X,X
ITLJSZO,X,X,X,X,X,X,X,X
ITLJSOZ,X,X,X,X,X,X,X,X
ITLJZSO,X,X,X,X,X,X,X,X
ITLJZOS,X,X,X,X,X,X,X,X
ITLJOSZ,X,X,X,O,X,X,X,X
ITLJOZS,X,X,X,O,X,X,X,X
ITLSJZO,X,X,X,X,X,X,X,X
ITLSJOZ,X,X,X,X,X,X,X,X
ITLSZJO,X,X,X,X,X,X,X,X
ITLSZOJ,X,X,X,X,X,X,X,X
ITLSOJZ,X,X,X,X,X,X,X,X
ITLSOZJ,X,X,X,X,X,X,X,X
ITLZJSO,X,X,X,X,X,X,X,X
ITLZJOS,X,X,X,X,X,X,X,X
ITLZSJO,X,X,X,X,X,X,X,O
ITLZSOJ,X,X,X,X,X,X,X,O
ITLZOJS,X,X,X,X,X,X,X,X
ITLZOSJ,X,X,X,X,X,X,X,O
ITLOJSZ,X,X,X,O,X,X,X,X
ITLOJZS,X,X,X,O,X,X,X,X
ITLOSJZ,X,X,X,X,X,X,X,X
ITLOSZJ,X,X,X,X,X,X,X,X
ITLOZJS,X,X,X,X,X,X,X,X
ITLOZSJ,X,X,X,X,X,X,X,X
ITJLSZO,X,X,X,X,X,X,X,X
ITJLSOZ,X,X,X,X,X,X,X,X
ITJLZSO,X,X,X,X,X,X,X,X
ITJLZOS,X,X,X,X,X,X,X,X
ITJLOSZ,X,X,X,O,X,X,X,X
ITJLOZS,X,X,X,O,X,X,X,X
ITJSLZO,X,X,X,X,X,X,X,X
ITJSLOZ,X,X,O,X,X,X,X,X
ITJSZLO,X,X,X,X,X,X,X,X
ITJSZOL,X,X,X,X,X,X,X,X
ITJSOLZ,X,X,O,X,X,X,X,X
ITJSOZL,X,X,X,X,X,X,X,X
ITJZLSO,X,X,X,X,X,X,X,X
ITJZLOS,X,X,X,X,X,X,X,X
ITJZSLO,X,X,X,X,X,X,X,X
ITJZSOL,X,X,X,X,X,X,X,X
ITJZOLS,X,X,X,X,X,X,X,X
ITJZOSL,X,X,X,X,X,X,X,X
ITJOLSZ,X,X,X,O,X,X,X,X
ITJOLZS,X,X,X,O,X,X,X,X
ITJOSLZ,X,X,O,X,X,X,X,X
ITJOSZL,X,X,X,X,X,X,X,X
ITJOZLS,X,X,X,X,X,X,X,X
ITJOZSL,X,X,X,X,X,X,X,X
ITSLJZO,X,X,X,X,X,X,X,X
ITSLJOZ,X,X,O,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X
ITSLOJZ,X,X,O,X,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,X,X
ITSJLZO,X,X,X,X,X,X,X,X
ITSJLOZ,X,X,O,X,X,X,X,X
ITSJZLO,X,X,X,X,X,X,X,X
ITSJZOL,X,X,X,X,X,X,X,X
ITSJOLZ,X,X,O,X,X,X,X,X
ITSJOZL,X,X,X,X,X,X,X,X
ITSZLJO,O,O,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X,X
ITSZOJL,O,O,X,X,X,X,X,X
ITSOLJZ,X,X,O,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,X,X
ITSOJLZ,X,X,O,X,X,X,X,X
ITSOJZL,X,X,X,X,X,X,X,X
ITSOZLJ,O,O,X,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X,X
ITZLJSO,X,X,X,X,X,X,X,X
ITZLJOS,X,X,X,X,X,X,X,X
ITZLSJO,X,X,X,X,X,X,X,O
ITZLSOJ,X,X,X,X,X,X,X,O
ITZLOJS,X,X,X,X,X,X,X,X
ITZLOSJ,X,X,X,X,X,X,X,O
ITZJLSO,X,X,X,X,X,X,X,X
ITZJLOS,X,X,X,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X
ITZJOLS,X,X,X,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X,O
ITZSLOJ,O,O,X,X,X,X,X,O
ITZSJLO,O,O,X,X,X,X,X,O
ITZSJOL,O,O,X,X,X,X,X,O
ITZSOLJ,O,O,X,X,X,X,X,O
ITZSOJL,O,O,X,X,X,X,X,O
ITZOLJS,X,X,X,X,X,X,X,X
ITZOLSJ,X,X,X,X,X,X,X,O
ITZOJLS,X,X,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X
ITZOSLJ,O,O,X,X,X,X,X,O
ITZOSJL,O,O,X,X,X,X,X,O
ITOLJSZ,X,X,X,O,X,X,X,X
ITOLJZS,X,X,X,O,X,X,X,X
ITOLSJZ,X,X,X,X,X,X,X,X
ITOLSZJ,X,X,X,X,X,X,X,X
ITOLZJS,X,X,X,X,X,X,X,X
ITOLZSJ,X,X,X,X,X,X,X,X
ITOJLSZ,X,X,X,O,X,X,X,X
ITOJLZS,X,X,X,O,X,X,X,X
ITOJSLZ,X,X,O,X,X,X,X,X
ITOJSZL,X,X,X,X,X,X,X,X
ITOJZLS,X,X,X,X,X,X,X,X
ITOJZSL,X,X,X,X,X,X,X,X
ITOSLJZ,X,X,O,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,X,X,X
ITOSJLZ,X,X,O,X,X,X,X,X
ITOSJZL,X,X,X,X,X,X,X,X
ITOSZLJ,O,O,X,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,X,X,X
ITOZLSJ,X,X,X,X,X,X,X,X
ITOZJLS,X,X,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X,X
ITOZSLJ,O,O,X,X,X,X,X,X
ITOZSJL,O,O,X,X,X,X,X,X
ILTJSZO,X,X,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,X,X,X,X
ILTJZSO,X,X,X,X,X,X,X,X
ILTJZOS,X,X,X,X,X,X,X,X
ILTJOSZ,X,X,X,X,X,X,X,X
ILTJOZS,X,X,X,X,X,X,X,X
ILTSJZO,X,X,X,X,X,X,X,X
ILTSJOZ,X,X,X,X,X,X,X,X
ILTSZJO,X,X,X,X,X,X,X,X
ILTSZOJ,X,X,X,X,X,X,X,X
ILTSOJZ,X,X,X,X,X,X,X,X
ILTSOZJ,X,X,X,X,X,X,X,X
ILTZJSO,X,X,X,X,X,X,X,X
ILTZJOS,X,X,X,X,X,X,X,X
ILTZSJO,X,X,X,X,X,X,X,O
ILTZSOJ,X,X,X,X,X,X,X,O
ILTZOJS,X,X,X,X,X,X,X,X
ILTZOSJ,X,X,X,X,X,X,X,O
ILTOJSZ,X,X,X,X,X,X,X,X
ILTOJZS,X,X,X,X,X,X,X,X
ILTOSJZ,X,X,X,X,X,X,X,X
ILTOSZJ,X,X,X,X,X,X,X,X
ILTOZJS,X,X,X,X,X,X,X,X
ILTOZSJ,X,X,X,X,X,X,X,X
ILJTSZO,X,X,X,X,X,X,X,X
ILJTSOZ,X,X,X,X,X,X,X,X
ILJTZSO,X,X,X,X,X,X,X,X
ILJTZOS,X,X,X,X,X,X,X,X
ILJTOSZ,X,X,X,X,X,X,X,X
ILJTOZS,X,X,X,X,X,X,X,X
ILJSTZO,X,X,X,X,X,X,X,X
ILJSTOZ,X,X,X,X,X,X,X,X
ILJSZTO,X,X,X,X,X,X,X,X
ILJSZOT,X,X,X,X,X,X,X,X
ILJSOTZ,X,X,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,X,X
ILJZTSO,X,X,X,X,X,X,X,X
ILJZTOS,X,X,X,X,X,X,X,X
ILJZSTO,X,X,X,X,X,X,X,X
ILJZSOT,X,X,X,X,X,X,X,X
ILJZOTS,X,X,X,X,X,X,X,X
ILJZOST,X,X,X,X,X,X,X,X
ILJOTSZ,X,X,X,X,X,X,X,X
ILJOTZS,X,X,X,X,X,X,X,X
ILJOSTZ,X,X,X,X,X,X,X,X
ILJOSZT,X,X,X,O,X,X,X,X
ILJOZTS,X,X,X,X,X,X,X,X
ILJOZST,X,X,X,O,X,X,X,X
ILSTJZO,X,X,X,X,X,X,X,X
ILSTJOZ,X,X,X,X,X,X,X,X
ILSTZJO,X,X,X,X,X,X,X,X
ILSTZOJ,X,X,X,X,X,X,X,X
ILSTOJZ,X,X,X,X,X,X,X,X
ILSTOZJ,X,X,X,X,X,X,X,X
ILSJTZO,X,X,X,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,X,X,X
ILSJZTO,X,X,X,X,X,X,X,X
ILSJZOT,X,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X
ILSZTJO,X,X,X,X,X,X,X,X
ILSZTOJ,X,X,X,X,X,X,X,X
ILSZJTO,X,X,X,X,X,X,X,X
ILSZJOT,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,X,X,X,X,X
ILSZOJT,X,X,X,X,X,X,X,X
ILSOTJZ,X,X,X,X,X,X,X,X
ILSOTZJ,X,X,X,X,X,X,X,X
ILSOJTZ,X,X,X,X,X,X,X,X
ILSOJZT,X,X,X,X,X,X,X,X
ILSOZTJ,X,X,X,X,X,X,X,X
ILSOZJT,X,X,X,X,X,X,X,X
ILZTJSO,X,X,X,X,X,X,X,X
ILZTJOS,X,X,X,X,X,X,X,X
ILZTSJO,X,X,X,X,X,X,X,O
ILZTSOJ,X,X,X,X,X,X,X,O
ILZTOJS,X,X,X,X,X,X,X,X
ILZTOSJ,X,X,X,X,X,X,X,O
ILZJTSO,X,X,X,X,X,X,X,X
ILZJTOS,X,X,X,X,X,X,X,X
ILZJSTO,X,X,X,X,X,X,X,X
ILZJSOT,X,X,X,X,X,X,X,X
ILZJOTS,X,X,X,X,X,X,X,X
ILZJOST,X,X,X,X,X,X,X,X
ILZSTJO,X,X,X,X,X,X,X,X
ILZSTOJ,X,X,X,X,X,X,X,X
ILZSJTO,X,X,X,X,X,X,X,X
ILZSJOT,X,X,X,X,X,X,X,X
ILZSOTJ,X,X,X,X,X,X,X,X
ILZSOJT,X,X,X,X,X,X,X,X
ILZOTJS,X,X,X,X,X,X,X,X
ILZOTSJ,X,X,X,X,X,X,X,O
ILZOJTS,X,X,X,X,X,X,X,X
ILZOJST,X,X,X,X,X,X,X,X
ILZOSTJ,X,X,X,X,X,X,X,X
ILZOSJT,X,X,X,X,X,X,X,X
ILOTJSZ,X,X,X,X,X,X,X,X
ILOTJZS,X,X,X,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,X,X,X
ILOTSZJ,X,X,X,X,X,X,X,X
ILOTZJS,X,X,X,X,X,X,X,X
ILOTZSJ,X,X,X,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,X,X,X
ILOJTZS,X,X,X,X,X,X,X,X
ILOJSTZ,X,X,X,X,X,X,X,X
ILOJSZT,X,X,X,O,X,X,X,X
ILOJZTS,X,X,X,X,X,X,X,X
ILOJZST,X,X,X,O,X,X,X,X
ILOSTJZ,X,X,X,X,X,X,X,X
ILOSTZJ,X,X,X,X,X,X,X,X
ILOSJTZ,X,X,X,X,X,X,X,X
ILOSJZT,X,X,X,X,X,X,X,X
ILOSZTJ,X,X,X,X,X,X,X,X
ILOSZJT,X,X,X,X,X,X,X,X
ILOZTJS,X,X,X,X,X,X,X,X
ILOZTSJ,X,X,X,X,X,X,X,X
ILOZJTS,X,X,X,X,X,X,X,X
ILOZJST,X,X,X,X,X,X,X,X
ILOZSTJ,X,X,X,X,X,X,X,X
ILOZSJT,X,X,X,X,X,X,X,X
IJTLSZO,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,X,X,X,X
IJTLZSO,X,X,X,X,X,X,X,X
IJTLZOS,X,X,X,X,X,X,X,X
IJTLOSZ,X,X,X,O,X,X,X,X
IJTLOZS,X,X,X,O,X,X,X,X
IJTSLZO,X,X,X,X,X,X,X,X
IJTSLOZ,X,X,O,X,X,X,X,X
IJTSZLO,X,X,X,X,X,X,X,X
IJTSZOL,X,X,X,X,X,X,X,X
IJTSOLZ,X,X,O,X,X,X,X,X
IJTSOZL,X,X,X,X,X,X,X,X
IJTZLSO,X,X,X,X,X,X,X,X
IJTZLOS,X,X,X,X,X,X,X,X
IJTZSLO,X,X,X,X,X,X,X,X
IJTZSOL,X,X,X,X,X,X,X,X
IJTZOLS,X,X,X,X,X,X,X,X
IJTZOSL,X,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,O,X,X,X,X
IJTOLZS,X,X,X,O,X,X,X,X
IJTOSLZ,X,X,O,X,X,X,X,X
IJTOSZL,X,X,X,X,X,X,X,X
IJTOZLS,X,X,X,X,X,X,X,X
IJTOZSL,X,X,X,X,X,X,X,X
IJLTSZO,X,X,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,X,X,X
IJLTZSO,X,X,X,X,X,X,X,X
IJLTZOS,X,X,X,X,X,X,X,X
IJLTOSZ,X,X,X,X,X,X,X,X
IJLTOZS,X,X,X,X,X,X,X,X
IJLSTZO,X,X,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,X,X,X
IJLSZTO,X,X,X,X,X,X,X,X
IJLSZOT,X,X,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X
IJLZTSO,X,X,X,X,X,X,X,X
IJLZTOS,X,X,X,X,X,X,X,X
IJLZSTO,X,X,X,X,X,X,X,X
IJLZSOT,X,X,X,X,X,X,X,X
IJLZOTS,X,X,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,X,X,X,X,X,X
IJLOTZS,X,X,X,X,X,X,X,X
IJLOSTZ,X,X,X,X,X,X,X,X
IJLOSZT,X,X,X,O,X,X,X,X
IJLOZTS,X,X,X,X,X,X,X,X
IJLOZST,X,X,X,O,X,X,X,X
IJSTLZO,X,X,X,X,X,X,X,X
IJSTLOZ,X,X,X,X,X,X,X,X
IJSTZLO,X,X,X,X,X,X,X,X
IJSTZOL,X,X,X,X,X,X,X,X
IJSTOLZ,X,X,X,X,X,X,X,X
IJSTOZL,X,X,X,X,X,X,X,X
IJSLTZO,X,X,X,X,X,X,X,X
IJSLTOZ,X,X,X,X,X,X,X,X
IJSLZTO,X,X,X,X,X,X,X,X
IJSLZOT,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,X,X,X,X,X,X
IJSLOZT,X,X,O,X,X,X,X,X
IJSZTLO,X,X,X,X,X,X,X,X
IJSZTOL,X,X,X,X,X,X,X,X
IJSZLTO,X,X,X,X,X,X,X,X
IJSZLOT,X,X,X,X,X,X,X,X
IJSZOTL,X,X,X,X,X,X,X,X
IJSZOLT,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,X,X,X
IJSOTZL,X,X,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,X,X,X,X
IJSOLZT,X,X,O,X,X,X,X,X
IJSOZTL,X,X,X,X,X,X,X,X
IJSOZLT,X,X,X,X,X,X,X,X
IJZTLSO,X,X,X,X,X,X,X,X
IJZTLOS,X,X,X,X,X,X,X,X
IJZTSLO,X,X,X,X,X,X,X,X
IJZTSOL,X,X,X,X,X,X,X,X
IJZTOLS,X,X,X,X,X,X,X,X
IJZTOSL,X,X,X,X,X,X,X,X
IJZLTSO,X,X,X,X,X,X,X,X
IJZLTOS,X,X,X,X,X,X,X,X
IJZLSTO,X,X,X,X,X,X,X,X
IJZLSOT,X,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,X,X,X
IJZSTLO,X,X,X,X,X,X,X,X
IJZSTOL,X,X,X,X,X,X,X,X
IJZSLTO,X,X,X,X,X,X,X,X
IJZSLOT,X,X,X,X,X,X,X,X
IJZSOTL,X,X,X,X,X,X,X,X
IJZSOLT,X,X,X,X,X,X,X,X
IJZOTLS,X,X,X,X,X,X,X,X
IJZOTSL,X,X,X,X,X,X,X,X
IJZOLTS,X,X,X,X,X,X,X,X
IJZOLST,X,X,X,X,X,X,X,X
IJZOSTL,X,X,X,X,X,X,X,X
IJZOSLT,X,X,X,X,X,X,X,X
IJOTLSZ,X,X,X,O,X,X,O,X
IJOTLZS,X,X,X,O,X,X,O,X
IJOTSLZ,X,X,O,X,X,X,O,X
IJOTSZL,X,X,X,X,X,X,O,X
IJOTZLS,X,X,X,X,X,X,O,X
IJOTZSL,X,X,X,X,X,X,O,X
IJOLTSZ,X,X,X,X,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,X
IJOLSTZ,X,X,X,X,X,X,X,X
IJOLSZT,X,X,X,O,X,X,O,X
IJOLZTS,X,X,X,X,X,X,X,X
IJOLZST,X,X,X,O,X,X,O,X
IJOSTLZ,X,X,X,X,X,X,O,X
IJOSTZL,X,X,X,X,X,X,O,X
IJOSLTZ,X,X,X,X,X,X,X,X
IJOSLZT,X,X,O,X,X,X,O,X
IJOSZTL,X,X,X,X,X,X,X,X
IJOSZLT,X,X,X,X,X,X,O,X
IJOZTLS,X,X,X,X,X,X,X,X
IJOZTSL,X,X,X,X,X,X,X,X
IJOZLTS,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,X,O,X
IJOZSTL,X,X,X,X,X,X,X,X
IJOZSLT,X,X,X,X,X,X,O,X
ISTLJZO,X,X,X,X,X,X,X,X
ISTLJOZ,X,X,X,X,X,X,X,X
ISTLZJO,X,O,X,X,X,X,X,X
ISTLZOJ,X,O,X,X,X,X,X,X
ISTLOJZ,X,X,X,X,X,X,X,X
ISTLOZJ,X,O,X,X,X,X,X,X
ISTJLZO,X,X,X,X,X,X,X,X
ISTJLOZ,X,X,X,X,X,X,X,X
ISTJZLO,X,X,X,X,X,X,X,X
ISTJZOL,X,X,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,X,X,X,X
ISTJOZL,X,X,X,X,X,X,X,X
ISTZLJO,X,O,X,X,X,X,X,X
ISTZLOJ,X,O,X,X,X,X,X,X
ISTZJLO,X,O,X,X,X,X,X,X
ISTZJOL,X,O,X,X,X,X,X,X
ISTZOLJ,X,O,X,X,X,X,X,X
ISTZOJL,X,O,X,X,X,X,X,X
ISTOLJZ,X,X,X,X,X,X,X,X
ISTOLZJ,X,O,X,X,X,X,X,X
ISTOJLZ,X,X,X,X,X,X,X,X
ISTOJZL,X,X,X,X,X,X,X,X
ISTOZLJ,X,O,X,X,X,X,X,X
